"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"35","16","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","555,562.0","564,877.0","586,556.0","594,660.0","607,153.0","613,614.0","625,002.0","658,887.0","681,681.0","713,417.0","734,289.0","735,361.0","737,362.0","719,947.0","721,252.0","750,098.0","735,417.0","743,685.0","767,885.0","793,103.0","810,774.0","836,155.0","871,664.0","858,660.0","847,235.0","808,931.0","764,741.0","747,281.0","746,749.0","772,894.0","776,445.0","758,083.0","761,290.0","760,963.0","775,545.0","810,924.0","823,974.0","837,716.0","848,271.0","861,601.0","879,231.0","908,112.0","905,686.0","931,315.0","970,279.0","987,825.0","988,254.0","1,019,241.0","1,026,690.0","1,042,434.0","1,078,919.0","1,110,977.0","1,122,400.0","1,159,934.0","1,154,772.0","1,072,870.0","956,102.0","940,667.0","993,929.0","1,069,541.0"
"36","17","    Services","A646RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","262,742.0","264,348.0","279,339.0","283,812.0","281,455.0","290,530.0","285,384.0","309,240.0","303,546.0","310,210.0","312,620.0","309,408.0","312,534.0","318,664.0","312,191.0","322,199.0","329,150.0","333,113.0","336,912.0","339,081.0","340,740.0","347,968.0","340,871.0","344,510.0","340,183.0","340,038.0","325,151.0","311,782.0","329,487.0","332,448.0","336,624.0","343,821.0","330,279.0","327,155.0","342,019.0","358,760.0","373,384.0","378,335.0","376,761.0","391,392.0","397,007.0","395,358.0","398,153.0","405,367.0","418,510.0","424,262.0","425,819.0","453,923.0","459,163.0","462,293.0","490,933.0","512,947.0","501,057.0","510,544.0","500,424.0","494,941.0","477,245.0","477,367.0","483,926.0","487,072.0"
"37","18","  Imports","A021RX1","51,021.0","52,004.0","46,121.0","48,608.0","54,813.0","56,986.0","59,960.0","58,987.0","57,218.0","56,385.0","54,086.0","54,899.0","56,433.0","59,549.0","73,486.0","73,623.0","73,626.0","71,186.0","65,159.0","63,456.0","70,818.0","70,451.0","74,760.0","81,463.0","79,456.0","83,577.0","83,258.0","79,163.0","74,591.0","81,300.0","76,396.0","77,121.0","81,678.0","86,309.0","87,762.0","90,941.0","94,760.0","94,267.0","95,085.0","90,722.0","97,938.0","98,702.0","96,800.0","97,132.0","98,578.0","102,791.0","101,230.0","106,527.0","109,272.0","114,558.0","115,635.0","112,697.0","116,968.0","117,847.0","114,379.0","108,984.0","108,454.0","109,776.0","117,046.0","119,829.0","123,477.0","126,172.0","127,772.0","129,334.0","126,340.0","129,314.0","132,598.0","132,163.0","132,039.0","135,011.0","138,634.0","142,383.0","137,257.0","153,455.0","154,086.0","161,607.0","165,776.0","169,898.0","179,420.0","181,426.0","184,289.0","182,810.0","185,202.0","194,968.0","206,460.0","209,614.0","222,214.0","220,342.0","199,557.0","238,927.0","235,831.0","233,240.0","232,476.0","237,071.0","236,527.0","240,195.0","237,364.0","255,270.0","260,913.0","243,228.0","278,775.0","268,870.0","274,466.0","286,830.0","300,085.0","291,435.0","283,384.0","285,499.0","275,816.0","290,427.0","285,351.0","282,519.0","254,171.0","233,832.0","253,272.0","266,791.0","283,505.0","295,783.0","307,851.0","318,040.0","333,096.0","336,167.0","331,482.0","336,185.0","358,739.0","359,875.0","364,574.0","369,574.0","368,562.0","370,552.0","364,901.0","372,874.0","373,150.0","346,071.0","321,182.0","338,417.0","352,872.0","353,406.0","349,375.0","359,396.0","349,154.0","343,449.0","359,383.0","345,276.0","353,182.0","380,333.0","409,957.0","430,067.0","464,643.0","484,108.0","496,636.0","511,188.0","499,909.0","524,468.0","519,408.0","539,764.0","539,272.0","562,239.0","577,818.0","582,268.0","578,785.0","593,219.0","604,757.0","618,659.0","615,767.0","608,688.0","623,058.0","642,039.0","645,019.0","648,074.0","647,192.0","658,904.0","679,801.0","678,664.0","675,927.0","657,802.0","650,309.0","661,865.0","680,494.0","695,528.0","700,585.0","712,105.0","723,336.0","740,646.0","756,683.0","772,320.0","782,488.0","813,928.0","832,894.0","863,924.0","888,226.0","913,220.0","933,245.0","942,119.0","945,357.0","957,436.0","988,561.0","1,010,688.0","1,043,461.0","1,064,042.0","1,109,488.0","1,146,733.0","1,188,991.0","1,214,654.0","1,260,215.0","1,289,095.0","1,306,469.0","1,348,725.0","1,383,077.0","1,427,155.0","1,478,929.0","1,514,404.0","1,575,814.0","1,623,851.0","1,680,568.0","1,679,324.0","1,654,828.0","1,605,542.0","1,566,677.0","1,548,000.0","1,586,785.0","1,640,366.0","1,667,429.0","1,697,394.0","1,676,895.0","1,700,926.0","1,720,712.0","1,784,380.0","1,829,767.0","1,903,065.0","1,930,724.0","1,979,660.0","1,991,032.0","2,012,901.0","2,025,235.0","2,081,994.0","2,121,325.0","2,144,880.0","2,170,548.0","2,168,061.0","2,190,837.0","2,188,125.0","2,208,336.0","2,188,007.0","2,174,293.0","2,146,478.0","2,134,428.0","2,038,891.0","1,821,043.0","1,749,826.0","1,836,247.0","1,904,768.0"
"38","19","    Goods","A255RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","755,326.0","765,745.0","767,386.0","776,021.0","803,637.0","823,850.0","851,771.0","872,474.0","910,027.0","944,640.0","979,034.0","1,001,068.0","1,038,082.0","1,062,418.0","1,074,547.0","1,114,063.0","1,144,435.0","1,184,612.0","1,230,980.0","1,263,895.0","1,312,813.0","1,354,182.0","1,402,021.0","1,402,413.0","1,381,298.0","1,325,983.0","1,300,593.0","1,288,939.0","1,314,328.0","1,370,172.0","1,395,488.0","1,413,492.0","1,397,947.0","1,434,455.0","1,440,265.0","1,490,952.0","1,526,401.0","1,592,919.0","1,618,790.0","1,660,669.0","1,675,033.0","1,694,894.0","1,706,284.0","1,755,709.0","1,782,719.0","1,804,741.0","1,829,253.0","1,818,589.0","1,841,070.0","1,836,534.0","1,849,356.0","1,831,618.0","1,815,414.0","1,793,978.0","1,777,063.0","1,682,648.0","1,474,430.0","1,409,430.0","1,490,562.0","1,561,094.0"
"39","20","    Services","B656RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","180,769.0","178,458.0","180,281.0","183,984.0","187,043.0","188,544.0","193,221.0","192,517.0","200,412.0","202,556.0","210,496.0","214,042.0","222,682.0","227,185.0","232,580.0","235,039.0","238,882.0","242,591.0","247,829.0","250,205.0","262,828.0","269,377.0","278,181.0","276,392.0","273,038.0","280,052.0","266,191.0","259,012.0","272,471.0","270,029.0","271,761.0","283,797.0","278,893.0","266,630.0","280,270.0","293,214.0","303,139.0","310,052.0","311,913.0","318,983.0","316,024.0","318,023.0","318,948.0","326,246.0","338,642.0","340,145.0","341,285.0","349,475.0","349,813.0","351,633.0","358,987.0","356,379.0","358,983.0","352,468.0","357,703.0","356,924.0","346,155.0","339,512.0","345,275.0","343,661.0"
"40","21","Government consumption expenditures and gross investment","A822RX1","407,250.0","409,821.0","413,577.0","407,464.0","415,526.0","435,526.0","444,004.0","462,670.0","475,894.0","497,437.0","502,434.0","491,757.0","483,529.0","491,441.0","482,007.0","512,730.0","567,536.0","645,583.0","718,824.0","758,918.0","782,406.0","808,945.0","816,954.0","831,599.0","859,809.0","878,735.0","868,116.0","865,402.0","842,247.0","812,452.0","792,850.0","788,035.0","787,078.0","779,260.0","784,005.0","767,012.0","766,577.0","782,653.0","775,255.0","795,400.0","811,741.0","806,694.0","812,879.0","827,672.0","818,432.0","838,936.0","844,166.0","862,177.0","856,586.0","869,650.0","880,597.0","871,003.0","853,854.0","860,777.0","881,521.0","887,665.0","899,280.0","901,432.0","919,102.0","939,306.0","955,925.0","961,108.0","982,989.0","984,407.0","978,412.0","977,169.0","1,019,077.0","1,009,811.0","1,013,542.0","1,020,117.0","1,020,724.0","1,017,800.0","1,015,337.0","1,028,437.0","1,064,015.0","1,086,880.0","1,106,422.0","1,126,023.0","1,156,500.0","1,175,316.0","1,225,212.0","1,218,547.0","1,231,232.0","1,239,611.0","1,261,258.0","1,267,071.0","1,269,734.0","1,270,786.0","1,272,016.0","1,266,695.0","1,268,485.0","1,249,843.0","1,243,113.0","1,227,053.0","1,232,370.0","1,232,395.0","1,212,430.0","1,208,542.0","1,207,778.0","1,198,777.0","1,203,146.0","1,210,617.0","1,185,646.0","1,193,086.0","1,204,833.0","1,197,648.0","1,182,265.0","1,190,961.0","1,215,862.0","1,224,057.0","1,225,904.0","1,230,164.0","1,245,229.0","1,235,659.0","1,257,395.0","1,268,045.0","1,271,211.0","1,257,259.0","1,250,653.0","1,249,687.0","1,261,015.0","1,274,108.0","1,276,453.0","1,272,338.0","1,274,395.0","1,308,806.0","1,319,250.0","1,331,210.0","1,319,246.0","1,333,171.0","1,335,123.0","1,343,823.0","1,365,421.0","1,369,670.0","1,350,777.0","1,349,410.0","1,367,319.0","1,370,375.0","1,367,287.0","1,379,857.0","1,378,483.0","1,386,525.0","1,396,011.0","1,420,115.0","1,430,763.0","1,443,006.0","1,468,036.0","1,443,229.0","1,457,763.0","1,489,182.0","1,500,173.0","1,532,346.0","1,549,903.0","1,584,668.0","1,625,808.0","1,635,534.0","1,653,216.0","1,688,342.0","1,726,551.0","1,716,646.0","1,723,664.0","1,734,572.0","1,734,616.0","1,755,600.0","1,747,098.0","1,751,665.0","1,750,667.0","1,786,237.0","1,775,248.0","1,802,756.0","1,819,744.0","1,829,402.0","1,857,635.0","1,860,385.0","1,859,832.0","1,878,307.0","1,885,933.0","1,892,505.0","1,883,525.0","1,875,628.0","1,889,872.0","1,887,646.0","1,897,319.0","1,897,874.0","1,877,869.0","1,876,477.0","1,874,611.0","1,883,850.0","1,859,876.0","1,867,707.0","1,900,455.0","1,884,057.0","1,891,553.0","1,897,867.0","1,893,691.0","1,872,504.0","1,884,502.0","1,911,577.0","1,909,730.0","1,925,899.0","1,929,350.0","1,946,046.0","1,948,231.0","1,951,466.0","1,939,723.0","1,981,881.0","2,000,225.0","2,018,131.0","2,028,442.0","2,036,925.0","2,063,255.0","2,095,874.0","2,078,721.0","2,106,440.0","2,099,809.0","2,106,206.0","2,137,344.0","2,181,739.0","2,177,755.0","2,216,427.0","2,250,402.0","2,272,017.0","2,290,386.0","2,305,727.0","2,300,945.0","2,335,133.0","2,342,019.0","2,343,706.0","2,354,858.0","2,363,476.0","2,372,102.0","2,357,599.0","2,359,869.0","2,362,421.0","2,383,875.0","2,373,365.0","2,397,067.0","2,399,084.0","2,402,740.0","2,409,449.0","2,409,483.0","2,435,387.0","2,458,916.0","2,468,684.0","2,484,695.0","2,506,917.0","2,536,620.0","2,543,977.0","2,527,209.0","2,568,630.0","2,585,477.0","2,576,932.0"
"41","22","  Federal","A823RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","715,326.0","712,492.0","707,649.0","681,081.0","695,265.0","705,172.0","692,741.0","690,744.0","681,445.0","693,525.0","691,261.0","690,311.0","668,783.0","687,184.0","681,472.0","688,147.0","683,601.0","683,594.0","697,936.0","713,445.0","685,216.0","712,641.0","698,827.0","695,597.0","710,403.0","725,623.0","730,493.0","739,318.0","756,915.0","774,408.0","786,673.0","799,967.0","800,196.0","838,775.0","839,598.0","845,722.0","856,570.0","861,440.0","876,385.0","865,596.0","869,204.0","870,044.0","890,394.0","875,557.0","900,511.0","892,839.0","892,002.0","894,404.0","882,766.0","898,713.0","918,983.0","925,110.0","943,372.0","961,280.0","991,551.0","1,007,273.0","996,287.0","1,023,528.0","1,043,294.0","1,043,381.0"
"42","23","    National defense","A824RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","484,046.0","483,186.0","477,404.0","462,374.0","471,392.0","477,818.0","467,682.0","464,674.0","449,747.0","460,344.0","458,114.0","460,630.0","433,205.0","449,791.0","455,383.0","451,799.0","446,331.0","446,557.0","459,788.0","470,675.0","442,840.0","463,268.0","453,741.0","454,098.0","462,088.0","468,549.0","472,810.0","479,332.0","489,662.0","500,934.0","509,417.0","521,163.0","517,093.0","560,721.0","554,094.0","565,069.0","573,490.0","576,509.0","593,219.0","578,449.0","583,557.0","588,021.0","603,725.0","580,885.0","595,614.0","597,197.0","594,302.0","606,500.0","594,655.0","607,068.0","621,714.0","622,435.0","634,756.0","645,578.0","675,447.0","681,719.0","672,805.0","695,156.0","709,326.0","702,830.0"
"43","24","    Nondefense","A825RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","231,424.0","229,453.0","230,349.0","218,877.0","224,028.0","227,498.0","225,176.0","226,155.0","231,659.0","233,171.0","233,119.0","229,734.0","235,331.0","237,253.0","226,160.0","236,252.0","237,109.0","236,872.0","238,071.0","242,716.0","242,091.0","249,142.0","244,851.0","241,335.0","248,098.0","256,767.0","257,400.0","259,722.0","266,954.0","273,172.0","276,969.0","278,566.0","282,822.0","278,028.0","285,392.0","280,608.0","283,050.0","284,893.0","283,229.0","287,125.0","285,632.0","282,012.0","286,668.0","294,700.0","304,957.0","295,660.0","297,746.0","287,837.0","288,064.0","291,575.0","297,184.0","302,670.0","308,629.0","315,763.0","315,851.0","325,423.0","323,378.0","328,213.0","333,796.0","340,499.0"
"44","25","  State and local","A829RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,174,843.0","1,184,100.0","1,184,842.0","1,190,686.0","1,188,229.0","1,205,414.0","1,216,286.0","1,234,629.0","1,247,644.0","1,252,095.0","1,256,622.0","1,260,861.0","1,271,060.0","1,294,722.0","1,319,030.0","1,330,234.0","1,345,202.0","1,353,724.0","1,365,654.0","1,382,746.0","1,393,984.0","1,394,221.0","1,401,388.0","1,410,986.0","1,427,331.0","1,456,513.0","1,447,748.0","1,477,614.0","1,494,031.0","1,498,086.0","1,504,195.0","1,506,253.0","1,501,219.0","1,496,591.0","1,502,664.0","1,498,207.0","1,498,441.0","1,502,168.0","1,495,673.0","1,492,013.0","1,490,679.0","1,492,413.0","1,493,513.0","1,497,725.0","1,496,637.0","1,506,287.0","1,510,751.0","1,515,045.0","1,526,487.0","1,536,530.0","1,540,031.0","1,543,705.0","1,541,888.0","1,546,589.0","1,546,992.0","1,539,302.0","1,533,309.0","1,547,954.0","1,545,547.0","1,537,033.0"
"45","26","Residual","A960RX1","9,700.0","3,200.0","-2,000.0","7,200.0","9,400.0","3,100.0","1,900.0","-10,100.0","-24,100.0","-43,500.0","-42,000.0","-47,400.0","-26,000.0","-17,800.0","-5,200.0","1,300.0","-30,100.0","-50,800.0","-83,000.0","-106,600.0","-112,700.0","-135,300.0","-137,100.0","-135,300.0","-142,700.0","-149,500.0","-146,800.0","-154,900.0","-147,900.0","-134,400.0","-122,200.0","-113,800.0","-101,300.0","-92,400.0","-89,900.0","-81,900.0","-85,100.0","-88,900.0","-86,900.0","-92,100.0","-97,500.0","-97,900.0","-97,800.0","-114,900.0","-124,700.0","-133,600.0","-126,900.0","-123,200.0","-112,500.0","-104,800.0","-117,000.0","-110,400.0","-86,200.0","-100,500.0","-108,500.0","-124,400.0","-125,200.0","-118,300.0","-114,700.0","-117,500.0","-115,300.0","-113,800.0","-121,000.0","-127,000.0","-117,000.0","-109,300.0","-120,100.0","-113,300.0","-105,900.0","-107,700.0","-105,300.0","-101,900.0","-93,200.0","-88,000.0","-96,200.0","-98,600.0","-92,000.0","-97,800.0","-110,700.0","-112,900.0","-129,300.0","-135,100.0","-135,900.0","-133,100.0","-134,400.0","-128,800.0","-131,500.0","-131,400.0","-130,000.0","-116,400.0","-115,100.0","-118,000.0","-121,400.0","-114,500.0","-113,900.0","-121,900.0","-100,000.0","-94,900.0","-90,300.0","-101,500.0","-84,500.0","-79,600.0","-70,300.0","-71,200.0","-58,200.0","-42,200.0","-46,900.0","-33,500.0","-43,900.0","-44,500.0","-63,800.0","-55,800.0","-80,900.0","-83,200.0","-85,900.0","-80,700.0","-72,700.0","-66,400.0","-66,600.0","-69,300.0","-70,800.0","-52,600.0","-37,500.0","-53,800.0","-56,000.0","-28,900.0","-21,700.0","-12,500.0","-10,800.0","-14,000.0","-11,700.0","-11,400.0","-10,900.0","-13,200.0","-15,000.0","-4,000.0","15,500.0","900.0","17,600.0","-1,700.0","-36,900.0","-34,200.0","-56,700.0","-85,200.0","-80,900.0","-74,700.0","-74,300.0","-52,900.0","-40,500.0","-41,200.0","-38,800.0","-50,500.0","-59,600.0","-68,100.0","-78,100.0","-72,100.0","-71,200.0","-87,300.0","-102,900.0","-98,500.0","-90,600.0","-92,000.0","-90,300.0","-73,800.0","-79,200.0","-67,600.0","-68,200.0","-71,100.0","-57,100.0","-57,100.0","-60,000.0","-64,600.0","-65,200.0","-63,000.0","-65,800.0","-73,500.0","-78,500.0","-77,800.0","-73,500.0","-66,500.0","-69,700.0","-62,600.0","-61,200.0","-59,700.0","-56,400.0","-56,300.0","-58,000.0","-52,700.0","-45,100.0","-38,100.0","-43,500.0","-35,700.0","-179,700.0","-184,500.0","-176,500.0","-163,500.0","-167,400.0","-159,900.0","-147,800.0","-141,100.0","-135,700.0","-124,500.0","-109,100.0","-105,400.0","-93,700.0","-95,200.0","-91,500.0","-71,500.0","-67,600.0","-50,400.0","-40,100.0","-40,300.0","-24,400.0","-24,900.0","-23,600.0","-24,100.0","-23,600.0","-33,800.0","-37,900.0","-21,500.0","-25,700.0","-21,800.0","-14,600.0","-18,100.0","-17,300.0","-13,600.0","-10,400.0","-7,600.0","-6,700.0","-4,900.0","-2,100.0","-300.0","-1,000.0","100.0","200.0","600.0","-2,300.0","-1,800.0","-1,400.0","-1,500.0","-3,600.0","400.0","2,700.0","1,900.0","9,600.0","17,100.0","24,700.0","28,600.0","23,600.0","24,000.0","15,500.0","10,600.0"
