"","Table 4#2#5# Exports and Imports of Goods and Services by Type o","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"43","24","Imports of goods \1\","A255RC1","30,772.0","39,116.0","38,536.0","38,828.0","39,348.0","40,068.0","41,180.0","42,824.0","43,376.0","47,440.0","49,640.0","45,744.0","55,092.0","54,092.0","57,288.0","61,264.0","66,460.0","70,040.0","72,100.0","78,772.0","88,832.0","106,388.0","110,600.0","112,260.0","100,936.0","92,264.0","98,772.0","104,028.0","113,540.0","121,324.0","128,920.0","134,744.0","147,624.0","153,150.0","153,170.0","156,572.0","170,334.0","175,133.0","179,406.0","184,766.0","192,181.0","204,075.0","216,775.0","238,116.0","259,655.0","248,467.0","234,146.0","252,012.0","270,185.0","271,773.0","260,492.0","268,806.0","257,623.0","245,844.0","257,204.0","241,495.0","242,508.0","262,761.0","285,851.0","299,589.0","322,454.0","337,923.0","339,856.0","345,030.0","325,388.0","344,425.0","340,520.0","362,845.0","357,705.0","365,100.0","374,759.0","382,460.0","389,537.0","409,063.0","422,798.0","437,679.0","441,486.0","445,679.0","451,121.0","470,214.0","481,986.0","490,713.0","477,447.0","489,020.0","510,376.0","495,803.0","506,283.0","519,820.0","496,967.0","491,023.0","500,436.0","514,455.0","523,470.0","537,882.0","553,860.0","564,495.0","575,865.0","590,145.0","592,109.0","612,924.0","627,223.0","662,022.0","695,660.0","722,344.0","745,464.0","764,255.0","759,719.0","760,356.0","784,526.0","798,397.0","814,409.0","832,459.0","861,459.0","871,959.0","898,369.0","910,830.0","920,800.0","926,876.0","922,498.0","952,829.0","978,495.0","1,024,545.0","1,078,344.0","1,123,452.0","1,194,187.0","1,232,376.0","1,284,123.0","1,295,208.0","1,265,200.0","1,189,600.0","1,145,838.0","1,106,132.0","1,123,573.0","1,197,710.0","1,225,338.0","1,250,715.0","1,275,085.0","1,278,603.0","1,288,030.0","1,343,051.0","1,409,992.0","1,493,470.0","1,533,097.0","1,609,694.0","1,641,999.0","1,682,209.0","1,729,122.0","1,824,160.0","1,855,935.0","1,900,192.0","1,941,560.0","1,900,937.0","1,942,452.0","1,981,866.0","2,015,108.0","2,075,651.0","2,165,223.0","2,264,918.0","2,273,738.0","1,893,629.0","1,524,334.0","1,478,731.0","1,609,001.0","1,749,109.0","1,838,571.0","1,928,650.0","1,984,152.0","2,047,881.0","2,172,471.0","2,251,745.0","2,263,593.0","2,291,113.0","2,327,179.0","2,326,150.0","2,287,710.0","2,283,112.0","2,288,586.0","2,302,170.0","2,308,572.0","2,309,706.0","2,341,479.0","2,412,618.0"
"44","25","  Foods, feeds, and beverages","B647RC1","4,060.0","5,568.0","5,572.0","5,744.0","5,968.0","6,028.0","6,272.0","6,320.0","5,928.0","6,436.0","7,976.0","5,116.0","7,164.0","6,604.0","7,568.0","7,696.0","8,164.0","8,716.0","9,192.0","10,404.0","10,760.0","10,348.0","10,284.0","10,880.0","9,148.0","8,820.0","10,308.0","10,292.0","10,336.0","10,924.0","12,380.0","12,544.0","13,712.0","15,248.0","13,312.0","13,652.0","16,064.0","15,688.0","15,039.0","16,510.0","17,242.0","18,208.0","17,094.0","19,569.0","18,690.0","18,204.0","17,826.0","19,537.0","20,377.0","18,690.0","17,452.0","17,708.0","15,694.0","17,635.0","18,442.0","18,135.0","17,804.0","18,676.0","19,375.0","19,442.0","21,437.0","21,318.0","22,408.0","22,355.0","22,263.0","21,684.0","21,152.0","22,298.0","24,438.0","24,049.0","24,518.0","24,499.0","24,365.0","25,114.0","24,899.0","24,858.0","26,024.0","23,870.0","24,968.0","24,854.0","25,027.0","24,309.0","25,279.0","24,960.0","27,842.0","26,021.0","25,972.0","25,774.0","25,675.0","26,849.0","26,181.0","26,084.0","26,544.0","28,406.0","27,953.0","27,500.0","27,007.0","27,339.0","28,254.0","28,845.0","29,228.0","30,392.0","32,253.0","31,951.0","33,726.0","32,644.0","33,329.0","33,061.0","33,966.0","35,693.0","36,327.0","36,947.0","37,689.0","39,555.0","41,082.0","40,489.0","41,241.0","41,352.0","41,006.0","41,440.0","42,831.0","44,403.0","44,084.0","45,002.0","45,480.0","46,393.0","47,206.0","46,873.0","46,373.0","46,330.0","48,484.0","47,684.0","47,859.0","49,707.0","51,308.0","52,396.0","54,644.0","55,657.0","56,988.0","58,798.0","60,688.0","63,385.0","62,598.0","65,326.0","66,097.0","68,479.0","69,768.0","71,943.0","74,855.0","74,236.0","76,326.0","78,907.0","81,698.0","81,628.0","83,864.0","84,708.0","87,819.0","91,249.0","92,812.0","89,877.0","83,023.0","82,069.0","82,282.0","84,066.0","88,115.0","91,576.0","94,245.0","96,036.0","102,990.0","108,810.0","108,054.0","113,170.0","111,599.0","110,387.0","110,890.0","111,643.0","114,474.0","117,104.0","115,946.0","116,572.0","120,423.0","128,785.0"
"45","26","  Industrial supplies and materials, except petroleum and products","A649RC1","9,892.0","12,872.0","11,928.0","11,940.0","11,784.0","12,008.0","12,172.0","12,980.0","12,880.0","14,416.0","14,344.0","12,684.0","15,048.0","15,428.0","15,964.0","17,476.0","18,512.0","18,776.0","18,864.0","20,600.0","21,612.0","25,740.0","29,404.0","31,320.0","27,864.0","22,564.0","21,216.0","22,620.0","25,364.0","28,072.0","29,508.0","30,988.0","30,112.0","33,572.0","34,788.0","35,268.0","37,259.0","39,345.0","39,955.0","40,714.0","40,956.0","44,826.0","45,234.0","49,049.0","51,774.0","48,115.0","43,361.0","46,098.0","49,933.0","53,200.0","52,551.0","52,471.0","47,843.0","45,158.0","44,926.0","43,560.0","46,683.0","49,289.0","52,806.0","55,540.0","61,589.0","63,917.0","61,907.0","63,080.0","58,450.0","60,702.0","58,604.0","59,159.0","61,584.0","62,133.0","61,434.0","64,723.0","63,569.0","63,316.0","65,606.0","71,843.0","75,044.0","75,352.0","76,120.0","80,065.0","80,830.0","79,455.0","77,109.0","77,661.0","77,990.0","76,612.0","79,129.0","79,036.0","74,277.0","75,042.0","75,145.0","78,158.0","80,264.0","81,471.0","82,858.0","85,026.0","85,733.0","86,844.0","89,094.0","93,154.0","96,648.0","101,189.0","106,890.0","115,085.0","118,623.0","121,989.0","118,711.0","118,982.0","121,029.0","122,248.0","125,435.0","129,624.0","131,247.0","132,777.0","135,875.0","138,959.0","141,351.0","144,442.0","142,134.0","140,956.0","140,290.0","145,075.0","152,524.0","161,273.0","167,221.0","172,235.0","179,182.0","181,953.0","188,590.0","170,145.0","159,634.0","151,074.0","151,112.0","159,896.0","164,114.0","170,365.0","173,594.0","173,869.0","180,149.0","181,776.0","199,154.0","224,792.0","240,241.0","248,480.0","255,920.0","258,348.0","260,766.0","296,788.0","290,113.0","290,649.0","302,079.0","291,308.0","289,177.0","305,014.0","302,867.0","294,567.0","309,330.0","334,538.0","347,485.0","283,561.0","209,188.0","174,942.0","187,533.0","214,896.0","237,141.0","251,180.0","252,229.0","257,231.0","281,872.0","297,312.0","301,852.0","289,820.0","288,092.0","288,216.0","291,613.0","287,619.0","296,155.0","291,624.0","287,615.0","289,306.0","304,380.0","315,812.0"
"46","27","    Durable goods","A820RC1","6,024.0","8,052.0","7,244.0","7,268.0","7,052.0","7,340.0","7,480.0","7,976.0","7,832.0","8,888.0","8,780.0","7,816.0","9,064.0","9,520.0","9,976.0","11,112.0","11,716.0","11,836.0","12,028.0","13,016.0","13,476.0","16,204.0","18,488.0","20,124.0","17,544.0","13,572.0","12,328.0","12,828.0","14,280.0","16,036.0","17,188.0","17,528.0","17,296.0","20,048.0","20,716.0","21,540.0","22,531.0","22,979.0","24,239.0","24,844.0","24,904.0","26,280.0","26,792.0","28,808.0","30,427.0","26,240.0","23,418.0","25,888.0","26,721.0","29,683.0","28,894.0","28,156.0","24,904.0","22,340.0","21,406.0","20,491.0","23,041.0","25,109.0","28,237.0","28,782.0","32,407.0","33,916.0","32,473.0","32,421.0","29,989.0","31,396.0","30,448.0","30,213.0","32,646.0","33,782.0","32,396.0","34,700.0","32,681.0","32,762.0","33,576.0","36,963.0","38,836.0","38,734.0","38,751.0","42,251.0","41,650.0","40,715.0","39,342.0","38,903.0","38,251.0","37,421.0","39,533.0","38,702.0","35,400.0","35,167.0","35,653.0","36,277.0","38,633.0","38,957.0","39,102.0","39,990.0","41,154.0","40,866.0","43,151.0","47,084.0","48,317.0","51,718.0","54,536.0","59,246.0","61,386.0","60,896.0","58,041.0","58,395.0","59,967.0","62,212.0","64,042.0","65,800.0","66,210.0","68,588.0","69,669.0","71,801.0","74,451.0","76,976.0","76,335.0","76,116.0","76,070.0","78,056.0","80,430.0","85,700.0","90,961.0","90,886.0","90,078.0","88,658.0","87,562.0","82,661.0","80,724.0","76,982.0","80,455.0","82,092.0","84,100.0","86,136.0","83,837.0","82,135.0","85,837.0","92,523.0","101,174.0","118,690.0","129,832.0","136,107.0","137,795.0","137,537.0","130,524.0","142,531.0","157,819.0","163,481.0","171,928.0","164,179.0","159,510.0","164,927.0","161,817.0","153,518.0","159,896.0","169,852.0","174,258.0","141,950.0","101,251.0","83,834.0","91,174.0","105,749.0","115,917.0","128,285.0","126,432.0","130,122.0","145,554.0","153,236.0","153,813.0","145,773.0","154,984.0","151,669.0","146,905.0","148,218.0","154,825.0","149,563.0","148,839.0","150,245.0","159,148.0","166,751.0"
"47","28","    Nondurable goods","B696RC1","3,868.0","4,820.0","4,684.0","4,672.0","4,732.0","4,668.0","4,692.0","5,004.0","5,048.0","5,528.0","5,564.0","4,868.0","5,984.0","5,908.0","5,988.0","6,364.0","6,796.0","6,940.0","6,836.0","7,584.0","8,136.0","9,536.0","10,916.0","11,196.0","10,320.0","8,992.0","8,888.0","9,792.0","11,084.0","12,036.0","12,320.0","13,460.0","12,816.0","13,524.0","14,072.0","13,728.0","14,728.0","16,366.0","15,716.0","15,870.0","16,052.0","18,546.0","18,442.0","20,241.0","21,347.0","21,875.0","19,943.0","20,210.0","23,212.0","23,517.0","23,657.0","24,315.0","22,939.0","22,818.0","23,520.0","23,069.0","23,642.0","24,180.0","24,569.0","26,758.0","29,182.0","30,001.0","29,434.0","30,659.0","28,461.0","29,306.0","28,156.0","28,946.0","28,938.0","28,351.0","29,038.0","30,023.0","30,888.0","30,554.0","32,030.0","34,880.0","36,208.0","36,618.0","37,369.0","37,814.0","39,180.0","38,740.0","37,767.0","38,758.0","39,739.0","39,191.0","39,596.0","40,334.0","38,877.0","39,875.0","39,492.0","41,881.0","41,631.0","42,514.0","43,756.0","45,036.0","44,579.0","45,978.0","45,943.0","46,070.0","48,331.0","49,471.0","52,354.0","55,839.0","57,237.0","61,093.0","60,670.0","60,587.0","61,062.0","60,036.0","61,393.0","63,824.0","65,037.0","64,189.0","66,206.0","67,158.0","66,900.0","67,466.0","65,799.0","64,840.0","64,220.0","67,019.0","72,094.0","75,573.0","76,260.0","81,349.0","89,104.0","93,295.0","101,028.0","87,484.0","78,910.0","74,092.0","70,657.0","77,804.0","80,014.0","84,229.0","89,757.0","91,734.0","94,312.0","89,253.0","97,980.0","106,102.0","110,409.0","112,373.0","118,125.0","120,811.0","130,242.0","154,257.0","132,294.0","127,168.0","130,151.0","127,129.0","129,667.0","140,087.0","141,050.0","141,049.0","149,434.0","164,686.0","173,227.0","141,611.0","107,937.0","91,108.0","96,359.0","109,147.0","121,224.0","122,895.0","125,797.0","127,109.0","136,318.0","144,076.0","148,039.0","144,047.0","133,108.0","136,547.0","144,708.0","139,401.0","141,330.0","142,061.0","138,776.0","139,061.0","145,232.0","149,061.0"
"48","29","  Petroleum and products","B648RC1","2,476.0","2,704.0","2,608.0","2,808.0","2,960.0","2,852.0","2,760.0","3,136.0","2,832.0","3,492.0","3,972.0","4,304.0","4,276.0","4,344.0","4,808.0","5,172.0","6,136.0","7,400.0","8,348.0","11,776.0","18,632.0","29,132.0","28,880.0","29,788.0","26,900.0","24,720.0","27,296.0","29,156.0","30,692.0","33,384.0","35,576.0","38,636.0","47,984.0","45,140.0","44,172.0","42,632.0","43,406.0","40,294.0","43,391.0","43,122.0","47,460.0","52,402.0","66,517.0","75,339.0","87,678.0","81,615.0","71,402.0","77,360.0","87,454.0","82,187.0","73,101.0","70,750.0","66,912.0","53,004.0","66,444.0","61,446.0","43,722.0","54,519.0","65,100.0","57,010.0","58,077.0","59,707.0","56,565.0","57,853.0","44,085.0","54,657.0","49,502.0","57,293.0","41,774.0","31,275.0","31,675.0","32,390.0","35,551.0","40,402.0","50,444.0","45,378.0","40,216.0","41,309.0","39,284.0","37,718.0","48,364.0","52,729.0","49,447.0","53,109.0","69,327.0","49,489.0","58,252.0","72,115.0","57,288.0","50,313.0","50,088.0","49,270.0","46,715.0","50,349.0","54,511.0","54,742.0","56,060.0","54,790.0","47,742.0","47,336.0","45,803.0","49,169.0","58,529.0","51,601.0","57,056.0","56,852.0","55,227.0","54,980.0","63,690.0","71,011.0","73,204.0","83,080.0","83,456.0","67,940.0","67,030.0","68,657.0","58,402.0","51,408.0","47,282.0","46,522.0","49,463.0","65,491.0","80,866.0","92,650.0","122,589.0","118,350.0","126,638.0","136,986.0","131,366.0","114,226.0","103,141.0","88,962.0","86,377.0","110,071.0","112,968.0","127,736.0","149,689.0","134,035.0","138,057.0","139,846.0","168,934.0","175,516.0","188,361.0","226,874.0","224,784.0","240,691.0","278,171.0","309,053.0","304,188.0","327,685.0","348,185.0","286,608.0","296,823.0","326,497.0","344,958.0","418,477.0","469,000.0","520,194.0","554,203.0","361,117.0","222,638.0","239,760.0","289,043.0","319,400.0","353,834.0","355,089.0","346,369.0","359,295.0","441,702.0","480,804.0","459,846.0","466,242.0","470,327.0","447,264.0","407,541.0","412,236.0","402,322.0","381,681.0","391,775.0","374,793.0","387,883.0","364,819.0"
"49","30","  Capital goods, except automotive","A650RC1","2,800.0","3,624.0","3,652.0","3,612.0","3,816.0","3,912.0","4,016.0","4,168.0","4,244.0","4,432.0","4,492.0","4,168.0","5,676.0","5,512.0","5,968.0","6,520.0","7,332.0","8,036.0","8,536.0","9,148.0","8,684.0","9,532.0","10,616.0","10,444.0","10,156.0","9,736.0","9,936.0","10,836.0","11,496.0","11,960.0","12,504.0","13,168.0","12,692.0","13,500.0","14,372.0","15,376.0","17,473.0","19,111.0","19,621.0","20,951.0","22,538.0","24,404.0","24,556.0","26,944.0","30,452.0","31,750.0","30,727.0","33,378.0","34,585.0","36,130.0","37,108.0","40,715.0","40,115.0","40,676.0","38,171.0","34,825.0","39,402.0","40,115.0","44,679.0","50,741.0","55,152.0","60,158.0","63,317.0","62,843.0","59,953.0","60,553.0","60,175.0","64,466.0","65,949.0","72,189.0","74,488.0","75,336.0","76,062.0","83,140.0","87,796.0","93,517.0","95,834.0","101,671.0","103,647.0","107,658.0","107,154.0","113,455.0","112,826.0","115,742.0","113,724.0","115,733.0","116,511.0","119,506.0","120,331.0","120,908.0","121,325.0","121,865.0","126,170.0","132,666.0","138,733.0","141,687.0","143,502.0","152,010.0","154,526.0","162,573.0","171,206.0","180,211.0","188,613.0","200,034.0","206,232.0","220,279.0","229,029.0","233,047.0","231,449.0","225,629.0","226,265.0","230,315.0","238,771.0","250,870.0","261,317.0","263,358.0","268,668.0","269,297.0","267,418.0","273,937.0","279,228.0","291,953.0","301,235.0","311,968.0","320,960.0","346,869.0","362,913.0","360,088.0","340,383.0","301,093.0","280,992.0","274,130.0","278,924.0","287,132.0","287,078.0","286,557.0","287,233.0","293,865.0","295,972.0","313,504.0","326,314.0","342,722.0","352,657.0","362,776.0","366,189.0","384,782.0","385,022.0","395,337.0","410,140.0","418,795.0","428,768.0","432,742.0","442,002.0","446,337.0","453,548.0","454,577.0","464,951.0","476,596.0","466,524.0","426,719.0","372,205.0","352,031.0","371,119.0","400,866.0","410,365.0","442,004.0","466,258.0","482,998.0","492,310.0","508,096.0","520,794.0","532,520.0","550,889.0","558,077.0","550,172.0","547,983.0","549,781.0","551,694.0","560,756.0","569,127.0","572,254.0","594,557.0"
"50","31","    Civilian aircraft, engines, and parts","B932RC1","184.0","168.0","172.0","184.0","168.0","208.0","168.0","220.0","232.0","260.0","252.0","160.0","360.0","472.0","464.0","612.0","592.0","552.0","656.0","672.0","604.0","724.0","704.0","512.0","576.0","660.0","436.0","516.0","448.0","384.0","388.0","404.0","412.0","572.0","528.0","856.0","808.0","911.0","810.0","865.0","1,243.0","1,228.0","1,163.0","1,896.0","2,706.0","3,232.0","2,824.0","3,780.0","3,853.0","3,696.0","3,370.0","4,529.0","3,830.0","3,678.0","3,006.0","3,568.0","3,342.0","2,817.0","2,674.0","4,028.0","3,492.0","3,180.0","4,204.0","3,894.0","4,700.0","5,648.0","4,896.0","5,909.0","5,107.0","7,405.0","5,729.0","6,027.0","5,208.0","6,631.0","6,842.0","7,626.0","6,318.0","8,494.0","8,392.0","8,349.0","8,033.0","9,987.0","9,022.0","10,702.0","9,058.0","10,372.0","9,816.0","12,650.0","10,945.0","12,047.0","12,417.0","11,538.0","11,838.0","13,156.0","12,286.0","13,043.0","10,631.0","11,594.0","10,440.0","12,509.0","11,417.0","12,080.0","9,810.0","11,886.0","10,687.0","11,085.0","10,385.0","10,680.0","10,960.0","12,607.0","13,138.0","13,978.0","13,946.0","15,322.0","18,977.0","18,147.0","18,033.0","22,574.0","22,424.0","24,225.0","22,417.0","23,057.0","25,600.0","24,062.0","23,290.0","24,941.0","26,785.0","30,594.0","31,068.0","31,103.0","30,838.0","32,514.0","28,514.0","24,688.0","22,444.0","26,289.0","23,349.0","23,908.0","22,988.0","26,220.0","21,046.0","24,484.0","24,071.0","27,760.0","25,738.0","28,191.0","24,116.0","25,227.0","28,299.0","27,615.0","27,293.0","30,651.0","32,976.0","34,493.0","35,106.0","35,382.0","37,053.0","38,293.0","34,411.0","32,247.0","30,149.0","31,692.0","29,780.0","31,110.0","29,931.0","30,509.0","31,874.0","32,864.0","33,872.0","34,337.0","34,611.0","39,320.0","36,532.0","39,243.0","41,130.0","43,632.0","44,629.0","45,816.0","48,364.0","48,763.0","51,126.0","53,873.0"
"51","32","    Computers, peripherals, and parts","B852RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","296.0","268.0","244.0","252.0","308.0","344.0","384.0","364.0","360.0","380.0","404.0","416.0","416.0","380.0","400.0","424.0","496.0","532.0","576.0","656.0","592.0","636.0","676.0","736.0","848.0","992.0","960.0","1,060.0","1,140.0","1,320.0","1,212.0","1,284.0","1,344.0","1,340.0","1,576.0","1,632.0","1,684.0","1,916.0","2,000.0","2,180.0","2,319.0","2,542.0","2,882.0","3,034.0","4,440.0","5,248.0","5,744.0","6,679.0","7,361.0","8,246.0","8,779.0","8,806.0","8,267.0","8,010.0","8,241.0","8,940.0","9,685.0","10,596.0","11,526.0","12,149.0","12,966.0","14,059.0","15,406.0","16,925.0","17,506.0","18,304.0","18,846.0","18,775.0","19,626.0","20,679.0","21,835.0","23,680.0","23,202.0","22,708.0","22,511.0","23,254.0","24,968.0","25,787.0","26,571.0","26,571.0","28,100.0","30,988.0","33,502.0","34,157.0","35,833.0","37,665.0","39,120.0","39,530.0","41,998.0","45,050.0","46,974.0","50,621.0","50,488.0","53,766.0","58,368.0","62,486.0","61,785.0","60,881.0","61,043.0","62,347.0","66,922.0","70,575.0","72,548.0","70,659.0","72,712.0","71,798.0","70,886.0","74,499.0","78,376.0","81,836.0","81,747.0","83,958.0","83,279.0","89,529.0","95,955.0","90,489.0","83,329.0","75,073.0","69,539.0","68,312.0","75,384.0","76,154.0","75,560.0","73,805.0","74,540.0","75,281.0","75,980.0","80,643.0","84,161.0","87,889.0","90,663.0","92,386.0","91,516.0","92,728.0","94,218.0","95,529.0","99,369.0","100,502.0","103,262.0","103,299.0","109,119.0","104,311.0","103,637.0","104,818.0","106,339.0","108,839.0","103,147.0","86,562.0","81,424.0","84,781.0","97,939.0","112,562.0","113,418.0","119,598.0","119,684.0","116,333.0","113,130.0","120,407.0","124,582.0","120,758.0","125,323.0","124,429.0","117,208.0","122,056.0","120,190.0","117,809.0","121,051.0","125,739.0","115,252.0","117,603.0"
"52","33","    Other","B853RC1","2,520.0","3,320.0","3,320.0","3,280.0","3,480.0","3,508.0","3,652.0","3,748.0","3,808.0","3,964.0","4,012.0","3,768.0","5,020.0","4,772.0","5,260.0","5,656.0","6,432.0","7,140.0","7,496.0","8,112.0","7,720.0","8,428.0","9,508.0","9,516.0","9,164.0","8,696.0","9,100.0","9,896.0","10,552.0","11,044.0","11,540.0","12,108.0","11,688.0","12,292.0","13,168.0","13,784.0","15,817.0","17,208.0","17,851.0","19,026.0","20,155.0","21,856.0","22,181.0","23,764.0","26,402.0","27,178.0","26,327.0","27,966.0","29,048.0","30,518.0","31,738.0","34,006.0","33,966.0","34,456.0","32,283.0","28,223.0","31,620.0","32,050.0","36,261.0","40,034.0","44,299.0","48,732.0","50,334.0","50,143.0","46,986.0","46,895.0","47,038.0","49,617.0","51,157.0","54,188.0","57,233.0","57,160.0","57,888.0","62,450.0","65,548.0","68,966.0","72,010.0","74,873.0","76,409.0","80,534.0","79,495.0","82,789.0","81,969.0","81,360.0","81,464.0","82,653.0","84,184.0","83,602.0","84,418.0","83,074.0","82,337.0","83,756.0","86,232.0","88,522.0","92,945.0","94,487.0","97,038.0","102,751.0","104,966.0","110,534.0","117,791.0","123,081.0","131,829.0","137,527.0","145,057.0","155,428.0","160,276.0","159,881.0","158,704.0","152,141.0","152,084.0","153,990.0","157,903.0","164,973.0","169,792.0","174,552.0","177,923.0","174,925.0","174,108.0","175,213.0","178,435.0","187,060.0","193,888.0","203,948.0","214,391.0","232,399.0","240,173.0","239,005.0","225,986.0","194,917.0","180,615.0","173,304.0","175,026.0","186,290.0","189,074.0","186,463.0","189,344.0","194,676.0","197,004.0","206,641.0","221,107.0","230,349.0","237,923.0","242,630.0","248,935.0","263,863.0","266,688.0","274,581.0","282,472.0","290,678.0","298,213.0","298,792.0","299,907.0","307,533.0","314,805.0","314,377.0","321,559.0","329,464.0","328,966.0","307,910.0","260,632.0","235,558.0","243,400.0","257,194.0","267,016.0","291,897.0","314,700.0","333,801.0","345,308.0","353,352.0","361,601.0","372,442.0","389,034.0","394,405.0","391,834.0","382,295.0","384,962.0","388,069.0","391,341.0","394,625.0","405,876.0","423,081.0"
"53","34","  Automotive vehicles, engines, and parts","B651RC1","4,040.0","5,168.0","5,552.0","5,468.0","5,296.0","5,724.0","5,820.0","5,888.0","6,892.0","7,248.0","8,184.0","7,900.0","8,812.0","8,780.0","8,692.0","9,680.0","10,296.0","10,756.0","10,652.0","11,128.0","11,724.0","12,756.0","13,268.0","11,952.0","10,460.0","10,928.0","13,144.0","13,808.0","15,860.0","16,860.0","17,392.0","17,016.0","17,472.0","18,744.0","19,932.0","21,288.0","22,804.0","25,537.0","25,306.0","26,506.0","26,337.0","27,179.0","25,971.0","27,027.0","28,374.0","26,414.0","28,103.0","30,138.0","29,555.0","31,058.0","30,407.0","32,941.0","33,201.0","35,895.0","36,550.0","31,531.0","37,395.0","41,696.0","42,623.0","50,465.0","54,266.0","55,798.0","57,226.0","58,797.0","59,540.0","63,140.0","66,666.0","70,278.0","71,546.0","77,667.0","82,153.0","80,875.0","83,391.0","86,008.0","83,650.0","87,647.0","86,634.0","86,471.0","86,425.0","92,262.0","93,775.0","89,305.0","82,364.0","84,155.0","85,712.0","90,574.0","89,238.0","87,275.0","83,739.0","80,602.0","88,231.0","89,262.0","90,025.0","90,191.0","90,488.0","95,143.0","100,444.0","101,268.0","99,958.0","106,548.0","107,544.0","115,883.0","121,182.0","127,908.0","129,093.0","127,140.0","120,296.0","118,368.0","123,397.0","130,164.0","133,602.0","127,804.0","138,790.0","138,846.0","140,583.0","139,495.0","144,364.0","145,613.0","142,716.0","161,851.0","169,680.0","174,442.0","182,787.0","186,055.0","196,656.0","194,548.0","196,190.0","192,421.0","188,294.0","189,403.0","190,488.0","186,796.0","192,467.0","202,503.0","208,008.0","208,130.0","204,406.0","210,819.0","203,977.0","217,486.0","220,221.0","228,788.0","229,392.0","230,926.0","231,141.0","233,778.0","239,248.0","250,692.0","256,001.0","255,727.0","250,958.0","261,162.0","254,874.0","257,691.0","265,838.0","255,587.0","257,901.0","252,500.0","229,188.0","193,226.0","129,809.0","129,163.0","174,394.0","203,386.0","203,121.0","225,466.0","234,180.0","239,798.0","251,764.0","232,457.0","262,608.0","274,076.0","294,556.0","297,577.0","300,665.0","301,216.0","293,870.0","308,437.0","316,748.0","319,232.0","309,858.0","332,939.0"
"54","35","  Consumer goods, except food and automotive","A652RC1","5,496.0","6,796.0","6,796.0","6,860.0","7,072.0","7,148.0","7,564.0","7,828.0","8,016.0","8,696.0","7,912.0","8,928.0","11,144.0","10,644.0","11,112.0","11,516.0","12,632.0","12,780.0","12,952.0","13,204.0","13,008.0","14,584.0","15,276.0","14,652.0","13,072.0","12,344.0","13,036.0","14,392.0","15,616.0","16,444.0","17,816.0","18,784.0","20,560.0","21,728.0","21,736.0","23,160.0","27,550.0","29,588.0","29,844.0","30,507.0","29,898.0","31,092.0","31,301.0","32,756.0","33,877.0","34,431.0","33,579.0","35,183.0","37,109.0","37,618.0","37,641.0","41,125.0","40,688.0","38,566.0","40,209.0","39,224.0","44,230.0","44,512.0","47,622.0","52,741.0","57,563.0","61,323.0","62,655.0","62,834.0","64,037.0","64,615.0","66,181.0","70,509.0","73,878.0","77,975.0","81,381.0","84,183.0","85,619.0","89,611.0","88,767.0","91,300.0","94,942.0","93,614.0","96,423.0","100,717.0","101,404.0","105,238.0","103,404.0","104,485.0","105,353.0","106,280.0","104,499.0","103,712.0","104,053.0","103,073.0","106,732.0","116,746.0","117,944.0","120,877.0","124,619.0","126,251.0","129,041.0","132,278.0","136,609.0","136,864.0","138,226.0","143,508.0","147,909.0","153,967.0","158,642.0","160,797.0","161,593.0","157,850.0","165,875.0","167,934.0","175,624.0","180,693.0","184,164.0","192,331.0","199,032.0","205,320.0","212,074.0","218,384.0","220,826.0","222,625.0","231,309.0","235,965.0","248,292.0","259,032.0","269,135.0","283,073.0","289,532.0","296,797.0","294,122.0","289,019.0","285,127.0","279,948.0","290,212.0","309,475.0","321,244.0","324,395.0","330,275.0","332,118.0","338,507.0","352,633.0","360,155.0","381,177.0","377,424.0","393,686.0","410,260.0","414,821.0","410,099.0","415,759.0","432,160.0","439,288.0","451,166.0","467,976.0","484,700.0","476,359.0","473,961.0","484,009.0","490,348.0","499,005.0","497,502.0","455,861.0","424,567.0","419,386.0","426,068.0","449,387.0","455,881.0","479,515.0","503,117.0","501,969.0","509,953.0","519,352.0","515,647.0","518,515.0","510,164.0","518,267.0","522,181.0","524,703.0","524,350.0","534,744.0","535,028.0","541,658.0","539,857.0","566,332.0"
