"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"33","14","Imports of goods and services","B021RC1","43,803.0","52,671.0","52,364.0","53,126.0","53,517.0","55,204.0","56,431.0","57,889.0","58,652.0","63,295.0","65,482.0","61,939.0","72,173.0","71,409.0","74,091.0","79,190.0","85,360.0","89,469.0","91,138.0","98,669.0","110,314.0","129,382.0","133,610.0","136,552.0","124,888.0","115,245.0","122,055.0","128,730.0","138,938.0","147,116.0","155,848.0","162,679.0","176,433.0","183,041.0","182,903.0","187,393.0","203,282.0","208,840.0","215,062.0","221,816.0","229,827.0","243,097.0","257,307.0","280,466.0","304,312.0","292,598.0","279,201.0","299,200.0","319,724.0","321,963.0","309,897.0","319,447.0","309,477.0","299,115.0","309,282.0","294,860.0","295,250.0","317,950.0","343,381.0","357,971.0","387,978.0","406,499.0","409,590.0","416,361.0","397,308.0","418,571.0","414,167.0","438,868.0","439,418.0","443,990.0","459,434.0","468,626.0","477,686.0","502,338.0","517,318.0","537,513.0","542,713.0","546,098.0","552,849.0","574,314.0","586,154.0","595,389.0","584,427.0","598,152.0","626,767.0","614,759.0","630,102.0","647,282.0","620,317.0","613,921.0","621,669.0","638,270.0","645,823.0","658,951.0","677,853.0","688,536.0","699,310.0","716,281.0","719,251.0","745,049.0","761,827.0","797,560.0","833,751.0","860,559.0","886,899.0","908,343.0","905,843.0","909,201.0","936,735.0","952,751.0","973,757.0","992,620.0","1,027,213.0","1,039,651.0","1,070,888.0","1,085,344.0","1,098,236.0","1,109,622.0","1,109,901.0","1,145,000.0","1,170,088.0","1,218,181.0","1,278,526.0","1,327,650.0","1,406,765.0","1,452,310.0","1,513,689.0","1,517,753.0","1,488,371.0","1,413,923.0","1,365,176.0","1,314,101.0","1,348,589.0","1,423,471.0","1,453,236.0","1,490,581.0","1,513,083.0","1,513,695.0","1,542,440.0","1,606,516.0","1,687,929.0","1,780,331.0","1,823,966.0","1,910,479.0","1,944,982.0","1,989,219.0","2,042,279.0","2,143,856.0","2,194,408.0","2,244,983.0","2,285,726.0","2,263,924.0","2,308,949.0","2,358,045.0","2,399,635.0","2,466,029.0","2,571,371.0","2,679,885.0","2,697,215.0","2,311,554.0","1,913,357.0","1,864,465.0","2,002,002.0","2,152,885.0","2,241,931.0","2,337,255.0","2,404,859.0","2,475,921.0","2,595,802.0","2,695,272.0","2,715,258.0","2,739,126.0","2,777,128.0","2,781,062.0","2,744,966.0","2,746,680.0","2,747,411.0","2,768,441.0","2,778,288.0","2,787,486.0","2,822,677.0","2,898,742.0"
"34","15","  Goods \1\","A255RC1","30,772.0","39,116.0","38,536.0","38,828.0","39,348.0","40,068.0","41,180.0","42,824.0","43,376.0","47,440.0","49,640.0","45,744.0","55,092.0","54,092.0","57,288.0","61,264.0","66,460.0","70,040.0","72,100.0","78,772.0","88,832.0","106,388.0","110,600.0","112,260.0","100,936.0","92,264.0","98,772.0","104,028.0","113,540.0","121,324.0","128,920.0","134,744.0","147,624.0","153,150.0","153,170.0","156,572.0","170,334.0","175,133.0","179,406.0","184,766.0","192,181.0","204,075.0","216,775.0","238,116.0","259,655.0","248,467.0","234,146.0","252,012.0","270,185.0","271,773.0","260,492.0","268,806.0","257,623.0","245,844.0","257,204.0","241,495.0","242,508.0","262,761.0","285,851.0","299,589.0","322,454.0","337,923.0","339,856.0","345,030.0","325,388.0","344,425.0","340,520.0","362,845.0","357,705.0","365,100.0","374,759.0","382,460.0","389,537.0","409,063.0","422,798.0","437,679.0","441,486.0","445,679.0","451,121.0","470,214.0","481,986.0","490,713.0","477,447.0","489,020.0","510,376.0","495,803.0","506,283.0","519,820.0","496,967.0","491,023.0","500,436.0","514,455.0","523,470.0","537,882.0","553,860.0","564,495.0","575,865.0","590,145.0","592,109.0","612,924.0","627,223.0","662,022.0","695,660.0","722,344.0","745,464.0","764,255.0","759,719.0","760,356.0","784,526.0","798,397.0","814,409.0","832,459.0","861,459.0","871,959.0","898,369.0","910,830.0","920,800.0","926,876.0","922,498.0","952,829.0","978,495.0","1,024,545.0","1,078,344.0","1,123,452.0","1,194,187.0","1,232,376.0","1,284,123.0","1,295,208.0","1,265,200.0","1,189,600.0","1,145,838.0","1,106,132.0","1,123,573.0","1,197,710.0","1,225,338.0","1,250,715.0","1,275,085.0","1,278,603.0","1,288,030.0","1,343,051.0","1,409,992.0","1,493,470.0","1,533,097.0","1,609,694.0","1,641,999.0","1,682,209.0","1,729,122.0","1,824,160.0","1,855,935.0","1,900,192.0","1,941,560.0","1,900,937.0","1,942,452.0","1,981,866.0","2,015,108.0","2,075,651.0","2,165,223.0","2,264,918.0","2,273,738.0","1,893,629.0","1,524,334.0","1,478,731.0","1,609,001.0","1,749,109.0","1,838,571.0","1,928,650.0","1,984,152.0","2,047,881.0","2,172,471.0","2,251,745.0","2,263,593.0","2,291,113.0","2,327,179.0","2,326,150.0","2,287,710.0","2,283,112.0","2,288,586.0","2,302,170.0","2,308,572.0","2,309,706.0","2,341,479.0","2,412,618.0"
"35","16","    Durable","A333RC1","17,264.0","22,168.0","21,818.0","21,778.0","21,658.0","22,418.0","23,088.0","23,936.0","25,048.0","27,200.0","27,430.0","26,730.0","32,016.0","31,938.0","33,096.0","36,110.0","38,926.0","40,444.0","41,170.0","42,672.0","44,458.0","49,908.0","53,572.0","53,346.0","47,748.0","43,104.0","44,838.0","46,866.0","52,304.0","55,636.0","58,892.0","60,424.0","62,898.0","68,077.0","70,601.0","75,198.0","82,646.0","88,504.0","90,817.0","94,136.0","95,568.0","99,784.0","99,710.0","106,727.0","114,440.0","109,693.0","107,432.0","116,164.0","119,195.0","126,281.0","125,502.0","133,217.0","129,965.0","129,174.0","125,373.0","116,006.0","132,818.0","139,324.0","149,642.0","167,508.0","181,574.0","192,053.0","196,808.0","199,321.0","195,689.0","202,111.0","204,566.0","214,294.0","221,517.0","239,083.0","245,327.0","249,250.0","250,291.0","261,554.0","264,829.0","280,059.0","284,282.0","289,534.0","293,799.0","311,496.0","312,446.0","314,913.0","304,661.0","309,113.0","309,080.0","315,475.0","316,855.0","316,688.0","309,867.0","308,347.0","318,200.0","325,682.0","334,638.0","342,300.0","350,983.0","358,880.0","370,375.0","380,258.0","387,425.0","407,530.0","419,478.0","444,838.0","462,162.0","489,701.0","501,114.0","514,643.0","512,371.0","514,903.0","525,064.0","529,709.0","539,093.0","539,713.0","563,406.0","582,352.0","600,502.0","607,850.0","624,949.0","633,420.0","631,182.0","661,347.0","676,473.0","703,241.0","730,049.0","753,612.0","790,106.0","818,404.0","843,629.0","839,500.0","808,555.0","761,266.0","738,459.0","722,397.0","743,372.0","776,623.0","788,158.0","788,704.0","780,016.0","795,283.0","800,069.0","849,911.0","874,424.0","931,537.0","955,482.0","984,684.0","1,000,188.0","1,019,050.0","1,024,725.0","1,058,812.0","1,105,916.0","1,122,405.0","1,138,969.0","1,157,410.0","1,167,432.0","1,171,630.0","1,189,595.0","1,176,328.0","1,194,170.0","1,219,597.0","1,189,340.0","1,048,701.0","865,492.0","827,352.0","899,045.0","983,222.0","1,015,915.0","1,094,412.0","1,141,270.0","1,176,117.0","1,207,363.0","1,218,780.0","1,254,732.0","1,273,909.0","1,320,657.0","1,335,584.0","1,327,909.0","1,330,452.0","1,332,053.0","1,359,069.0","1,367,244.0","1,383,697.0","1,381,829.0","1,457,268.0"
"36","17","    Nondurable","A340RC1","13,508.0","16,948.0","16,718.0","17,050.0","17,690.0","17,650.0","18,092.0","18,888.0","18,328.0","20,240.0","22,210.0","19,014.0","23,076.0","22,154.0","24,192.0","25,154.0","27,534.0","29,596.0","30,930.0","36,100.0","44,374.0","56,480.0","57,028.0","58,914.0","53,188.0","49,160.0","53,934.0","57,162.0","61,236.0","65,688.0","70,028.0","74,320.0","84,726.0","85,073.0","82,569.0","81,374.0","87,688.0","86,629.0","88,589.0","90,630.0","96,613.0","104,291.0","117,065.0","131,389.0","145,215.0","138,774.0","126,714.0","135,848.0","150,990.0","145,492.0","134,990.0","135,589.0","127,658.0","116,670.0","131,831.0","125,489.0","109,690.0","123,437.0","136,209.0","132,081.0","140,880.0","145,870.0","143,048.0","145,709.0","129,699.0","142,314.0","135,954.0","148,551.0","136,188.0","126,017.0","129,432.0","133,210.0","139,246.0","147,509.0","157,969.0","157,620.0","157,204.0","156,145.0","157,322.0","158,718.0","169,540.0","175,800.0","172,786.0","179,907.0","201,296.0","180,328.0","189,428.0","203,132.0","187,100.0","182,676.0","182,236.0","188,773.0","188,832.0","195,582.0","202,877.0","205,615.0","205,490.0","209,887.0","204,684.0","205,394.0","207,745.0","217,184.0","233,498.0","232,643.0","244,350.0","249,612.0","247,348.0","245,453.0","259,462.0","268,688.0","275,316.0","292,746.0","298,053.0","289,607.0","297,867.0","302,980.0","295,851.0","293,456.0","291,316.0","291,482.0","302,022.0","321,304.0","348,295.0","369,840.0","404,081.0","413,972.0","440,494.0","455,708.0","456,645.0","428,334.0","407,379.0","383,735.0","380,201.0","421,087.0","437,180.0","462,011.0","495,069.0","483,320.0","487,961.0","493,140.0","535,568.0","561,933.0","577,615.0","625,010.0","641,811.0","663,159.0","704,397.0","765,348.0","750,019.0","777,787.0","802,591.0","743,527.0","775,020.0","810,236.0","825,513.0","899,323.0","971,053.0","1,045,321.0","1,084,398.0","844,928.0","658,842.0","651,379.0","709,956.0","765,887.0","822,656.0","834,238.0","842,882.0","871,764.0","965,108.0","1,032,965.0","1,008,861.0","1,017,204.0","1,006,522.0","990,566.0","959,801.0","952,660.0","956,533.0","943,101.0","941,328.0","926,009.0","959,650.0","955,350.0"
"37","18","  Services \1\","B656RC1","13,031.0","13,555.0","13,828.0","14,298.0","14,169.0","15,136.0","15,251.0","15,065.0","15,276.0","15,855.0","15,842.0","16,195.0","17,081.0","17,317.0","16,803.0","17,926.0","18,900.0","19,429.0","19,038.0","19,897.0","21,482.0","22,994.0","23,010.0","24,292.0","23,952.0","22,981.0","23,283.0","24,702.0","25,398.0","25,792.0","26,928.0","27,935.0","28,809.0","29,891.0","29,733.0","30,821.0","32,948.0","33,707.0","35,656.0","37,050.0","37,646.0","39,022.0","40,532.0","42,350.0","44,657.0","44,131.0","45,055.0","47,188.0","49,539.0","50,190.0","49,405.0","50,641.0","51,854.0","53,271.0","52,078.0","53,365.0","52,742.0","55,189.0","57,530.0","58,382.0","65,524.0","68,576.0","69,734.0","71,331.0","71,920.0","74,146.0","73,647.0","76,023.0","81,713.0","78,890.0","84,675.0","86,166.0","88,149.0","93,275.0","94,520.0","99,834.0","101,227.0","100,419.0","101,728.0","104,100.0","104,168.0","104,676.0","106,980.0","109,132.0","116,391.0","118,956.0","123,819.0","127,462.0","123,350.0","122,898.0","121,233.0","123,815.0","122,353.0","121,069.0","123,993.0","124,041.0","123,445.0","126,136.0","127,142.0","132,125.0","134,604.0","135,538.0","138,091.0","138,215.0","141,435.0","144,088.0","146,124.0","148,845.0","152,209.0","154,354.0","159,348.0","160,161.0","165,754.0","167,692.0","172,519.0","174,514.0","177,436.0","182,746.0","187,403.0","192,171.0","191,593.0","193,636.0","200,182.0","204,198.0","212,578.0","219,934.0","229,566.0","222,545.0","223,171.0","224,323.0","219,338.0","207,969.0","225,016.0","225,761.0","227,898.0","239,866.0","237,998.0","235,092.0","254,410.0","263,465.0","277,937.0","286,861.0","290,869.0","300,785.0","302,983.0","307,010.0","313,157.0","319,696.0","338,473.0","344,791.0","344,166.0","362,987.0","366,497.0","376,179.0","384,527.0","390,378.0","406,148.0","414,967.0","423,477.0","417,925.0","389,023.0","385,734.0","393,001.0","403,776.0","403,360.0","408,605.0","420,707.0","428,040.0","423,331.0","443,527.0","451,665.0","448,013.0","449,949.0","454,912.0","457,256.0","463,568.0","458,825.0","466,271.0","469,716.0","477,780.0","481,198.0","486,124.0"
"38","19","Income payments","A655RC1","4,750.0","5,373.0","6,112.0","6,421.0","6,585.0","6,538.0","6,440.0","6,197.0","5,871.0","6,099.0","6,692.0","7,005.0","7,017.0","7,630.0","7,765.0","8,467.0","9,611.0","10,796.0","11,356.0","11,926.0","12,603.0","13,931.0","15,185.0","15,481.0","15,529.0","14,873.0","15,090.0","14,588.0","15,638.0","15,609.0","15,435.0","15,383.0","15,015.0","16,204.0","17,245.0","19,168.0","20,379.0","23,835.0","25,349.0","29,121.0","31,938.0","34,655.0","37,319.0","41,649.0","45,585.0","43,812.0","40,455.0","49,776.0","54,337.0","59,733.0","63,214.0","59,073.0","62,332.0","66,255.0","66,423.0","62,923.0","59,753.0","62,051.0","67,374.0","70,010.0","77,795.0","85,669.0","89,935.0","88,901.0","86,944.0","86,663.0","87,525.0","88,056.0","94,320.0","96,633.0","91,031.0","95,484.0","98,015.0","103,245.0","108,132.0","113,801.0","120,482.0","123,659.0","133,291.0","140,403.0","149,043.0","158,098.0","154,362.0","150,135.0","154,244.0","152,892.0","157,585.0","151,900.0","147,315.0","139,437.0","136,423.0","123,931.0","122,058.0","125,038.0","119,691.0","117,112.0","113,940.0","122,912.0","120,394.0","137,162.0","137,149.0","152,351.0","168,766.0","184,446.0","190,598.0","198,267.0","210,231.0","205,206.0","202,369.0","209,294.0","219,017.0","227,808.0","246,234.0","251,543.0","262,254.0","263,845.0","263,677.0","269,944.0","271,749.0","268,809.0","273,148.0","283,601.0","306,019.0","314,387.0","332,567.0","352,307.0","350,344.0","347,512.0","320,853.0","288,288.0","283,418.0","201,459.0","248,533.0","281,390.0","283,425.0","255,477.0","284,017.0","281,591.0","293,524.0","296,867.0","312,168.0","353,416.0","364,473.0","419,192.0","435,680.0","462,448.0","482,760.0","551,985.0","586,512.0","649,183.0","687,606.0","703,253.0","734,420.0","778,519.0","763,573.0","723,784.0","725,835.0","715,105.0","674,112.0","624,620.0","507,499.0","497,926.0","475,402.0","510,569.0","493,014.0","506,679.0","520,789.0","535,720.0","536,984.0","560,121.0","555,837.0","531,076.0","565,544.0","555,938.0","570,674.0","573,712.0","582,420.0","589,486.0","583,448.0","588,922.0","611,574.0","....."
"39","20","  Wage and salary payments","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,803.0","2,719.0","2,583.0","2,655.0","2,588.0","2,536.0","2,180.0","2,096.0","1,909.0","1,917.0","1,713.0","1,909.0","2,062.0","2,218.0","2,298.0","2,630.0","3,286.0","3,370.0","3,482.0","3,778.0","3,608.0","3,936.0","4,104.0","4,516.0","4,716.0","4,752.0","4,704.0","4,872.0","4,847.0","5,091.0","5,139.0","5,483.0","5,779.0","5,983.0","5,991.0","6,079.0","6,211.0","6,251.0","6,251.0","6,363.0","6,046.0","6,246.0","6,286.0","6,646.0","6,431.0","6,607.0","6,735.0","6,915.0","6,754.0","6,838.0","7,070.0","7,338.0","11,224.0","11,468.0","11,384.0","11,588.0","10,764.0","11,012.0","10,924.0","11,140.0","11,604.0","11,576.0","11,812.0","11,880.0","12,240.0","12,548.0","12,096.0","12,592.0","12,920.0","12,708.0","12,933.0","13,092.0","13,535.0","14,092.0","13,835.0","14,445.0","15,581.0","15,906.0","16,080.0","16,082.0","16,202.0","16,512.0","16,335.0","16,669.0","15,379.0","16,055.0","15,528.0","15,940.0","17,884.0","16,836.0","16,661.0","16,881.0","15,261.0","14,634.0","14,059.0","13,733.0","13,357.0","13,979.0","14,403.0","14,119.0","13,737.0","14,077.0","14,318.0","14,614.0","14,268.0","15,195.0","15,016.0","14,749.0","15,048.0","15,749.0","15,689.0","15,802.0","15,381.0","....."
"40","21","  Income payments on assets","W161RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","91,512.0","93,914.0","88,450.0","92,828.0","95,432.0","100,710.0","105,953.0","111,705.0","118,571.0","121,744.0","131,577.0","138,493.0","146,971.0","155,880.0","152,064.0","147,506.0","150,957.0","149,522.0","154,104.0","148,122.0","143,709.0","135,503.0","132,321.0","119,413.0","117,342.0","120,286.0","114,983.0","112,245.0","109,089.0","117,821.0","115,254.0","131,674.0","131,371.0","146,368.0","162,770.0","178,368.0","184,387.0","192,020.0","203,979.0","198,839.0","196,323.0","203,052.0","212,731.0","221,162.0","239,804.0","244,936.0","255,518.0","256,931.0","256,923.0","263,106.0","264,679.0","261,475.0","261,928.0","272,132.0","294,635.0","302,799.0","321,804.0","341,294.0","339,420.0","336,372.0","309,249.0","276,708.0","271,606.0","189,579.0","236,293.0","268,842.0","271,329.0","242,885.0","271,101.0","268,896.0","280,584.0","283,769.0","298,632.0","339,320.0","350,644.0","404,742.0","420,102.0","446,543.0","466,683.0","535,902.0","570,311.0","632,668.0","671,274.0","686,586.0","719,040.0","762,460.0","748,053.0","707,846.0","707,951.0","698,266.0","657,452.0","607,738.0","492,238.0","483,292.0","461,344.0","496,835.0","479,658.0","492,700.0","506,386.0","521,602.0","523,247.0","546,044.0","541,519.0","516,463.0","551,275.0","540,743.0","555,658.0","558,963.0","567,372.0","573,737.0","567,759.0","573,120.0","596,194.0","....."
"41","22","    Interest","B1869C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","83,005.0","82,658.0","80,492.0","83,577.0","83,699.0","90,137.0","93,028.0","103,285.0","103,225.0","106,362.0","117,390.0","125,026.0","136,605.0","144,096.0","142,976.0","145,229.0","143,898.0","143,070.0","146,315.0","150,098.0","145,475.0","135,129.0","130,779.0","123,479.0","117,367.0","112,497.0","107,961.0","106,080.0","105,666.0","103,299.0","104,617.0","112,189.0","111,112.0","123,522.0","133,169.0","144,839.0","151,853.0","159,503.0","164,595.0","165,606.0","162,203.0","166,019.0","172,960.0","182,533.0","189,886.0","198,491.0","204,304.0","212,746.0","215,144.0","216,433.0","221,117.0","217,390.0","215,107.0","217,525.0","229,881.0","247,821.0","255,385.0","276,043.0","287,645.0","292,389.0","278,099.0","261,427.0","242,103.0","213,970.0","203,354.0","212,480.0","210,651.0","206,771.0","190,845.0","191,633.0","193,589.0","194,621.0","197,145.0","213,429.0","233,158.0","257,024.0","281,023.0","305,227.0","335,371.0","369,159.0","406,685.0","451,948.0","481,078.0","510,706.0","540,257.0","586,738.0","595,735.0","586,490.0","526,562.0","498,018.0","496,142.0","449,514.0","381,548.0","343,667.0","324,673.0","320,237.0","311,554.0","310,302.0","306,824.0","313,960.0","304,210.0","310,182.0","313,945.0","309,241.0","309,670.0","307,482.0","308,365.0","311,141.0","315,398.0","317,175.0","314,408.0","318,978.0","325,024.0","....."
"42","23","    Dividends","B3376C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,352.0","9,032.0","10,164.0","11,412.0","10,196.0","11,072.0","10,304.0","13,256.0","10,900.0","16,980.0","13,244.0","11,812.0","23,276.0","12,984.0","14,476.0","14,376.0","18,832.0","17,396.0","16,760.0","21,748.0","17,720.0","17,804.0","14,672.0","18,280.0","16,084.0","16,832.0","15,432.0","18,248.0","22,000.0","19,976.0","16,036.0","17,528.0","24,328.0","19,524.0","17,984.0","24,108.0","23,220.0","23,636.0","30,896.0","25,396.0","26,708.0","26,024.0","29,600.0","32,400.0","27,696.0","31,596.0","30,788.0","41,040.0","35,512.0","36,760.0","42,892.0","48,744.0","66,156.0","54,608.0","41,356.0","41,728.0","49,136.0","62,664.0","62,384.0","53,484.0","47,160.0","31,396.0","54,872.0","52,728.0","43,160.0","42,600.0","38,184.0","55,056.0","40,040.0","107,988.0","59,392.0","68,256.0","81,006.0","64,976.0","47,001.0","100,319.0","95,395.0","68,439.0","125,820.0","120,260.0","72,669.0","75,181.0","97,527.0","187,077.0","82,518.0","110,812.0","108,655.0","132,221.0","121,168.0","115,362.0","116,943.0","189,941.0","154,378.0","130,587.0","91,747.0","99,354.0","130,517.0","112,222.0","120,279.0","143,292.0","134,306.0","140,960.0","147,523.0","151,944.0","140,478.0","141,836.0","143,980.0","152,929.0","151,617.0","135,112.0","183,509.0","145,575.0","167,310.0","....."
"43","24","    Reinvested earnings on foreign direct investment in the United States","B3476C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-845.0","2,224.0","-2,206.0","-2,161.0","1,537.0","-499.0","2,621.0","-4,836.0","4,446.0","-1,598.0","943.0","1,655.0","-12,910.0","-1,200.0","-5,388.0","-12,099.0","-11,773.0","-10,944.0","-8,971.0","-23,724.0","-19,486.0","-17,430.0","-13,130.0","-22,346.0","-16,109.0","-9,043.0","-8,410.0","-12,083.0","-18,577.0","-5,454.0","-5,399.0","1,957.0","-4,069.0","3,322.0","11,617.0","9,421.0","9,314.0","8,881.0","8,488.0","7,837.0","7,412.0","11,009.0","10,171.0","6,229.0","22,222.0","14,849.0","20,426.0","3,145.0","6,267.0","9,913.0","670.0","-4,659.0","-19,335.0","-1.0","23,398.0","13,250.0","17,283.0","2,587.0","-10,609.0","-9,501.0","-16,010.0","-16,115.0","-25,369.0","-77,119.0","-10,221.0","13,762.0","22,494.0","-18,942.0","40,216.0","-30,725.0","27,603.0","20,892.0","20,481.0","60,915.0","70,485.0","47,399.0","43,684.0","72,877.0","5,492.0","46,483.0","90,957.0","105,539.0","92,669.0","-11,197.0","96,265.0","64,910.0","43,663.0","-10,865.0","60,221.0","84,886.0","44,367.0","-31,717.0","-43,688.0","9,038.0","44,924.0","77,244.0","37,587.0","70,176.0","79,283.0","64,350.0","84,731.0","94,902.0","80,051.0","55,278.0","101,127.0","91,425.0","103,313.0","94,893.0","100,357.0","121,450.0","69,842.0","108,567.0","103,860.0","....."
"44","25","Current taxes and transfer payments to the rest of the world (net)","A123RC1","4,900.0","6,760.0","5,472.0","6,636.0","5,892.0","6,796.0","6,936.0","6,848.0","7,496.0","7,712.0","7,516.0","8,892.0","9,672.0","8,612.0","9,880.0","8,744.0","7,064.0","8,672.0","7,840.0","7,896.0","6,944.0","11,020.0","7,996.0","8,980.0","9,988.0","11,784.0","6,652.0","8,144.0","7,244.0","7,156.0","10,640.0","7,448.0","7,708.0","8,456.0","8,164.0","8,120.0","8,420.0","8,980.0","8,516.0","9,452.0","9,332.0","9,960.0","10,632.0","12,284.0","12,852.0","10,756.0","11,728.0","15,136.0","15,477.0","16,333.0","18,061.0","18,285.0","19,065.0","19,103.0","19,416.0","21,759.0","17,398.0","18,943.0","20,576.0","25,065.0","20,572.0","21,164.0","23,947.0","28,888.0","23,804.0","24,586.0","26,875.0","27,337.0","24,468.0","28,483.0","29,438.0","28,665.0","24,064.0","25,538.0","26,351.0","31,287.0","27,876.0","26,144.0","27,353.0","34,583.0","28,131.0","27,079.0","30,874.0","35,514.0","31,021.0","35,653.0","34,561.0","25,704.0","-54,254.0","-9,402.0","17,063.0","26,960.0","33,985.0","38,655.0","43,425.0","51,580.0","38,826.0","41,959.0","45,207.0","55,427.0","39,731.0","41,474.0","46,134.0","56,974.0","43,713.0","42,522.0","44,197.0","45,766.0","51,398.0","44,640.0","45,155.0","56,859.0","46,234.0","47,352.0","49,032.0","63,078.0","55,004.0","56,235.0","59,533.0","69,360.0","54,547.0","56,040.0","54,683.0","64,817.0","56,763.0","60,824.0","64,106.0","80,075.0","67,812.0","70,816.0","72,518.0","77,249.0","82,427.0","67,924.0","68,101.0","73,722.0","81,247.0","78,566.0","78,940.0","81,295.0","100,123.0","93,310.0","92,092.0","100,079.0","123,331.0","108,736.0","106,864.0","118,045.0","91,201.0","102,982.0","109,472.0","99,057.0","138,333.0","115,591.0","121,482.0","123,237.0","144,797.0","138,677.0","134,671.0","122,121.0","121,276.0","134,436.0","143,755.0","132,111.0","153,224.0","134,022.0","141,470.0","136,123.0","154,044.0","147,559.0","142,105.0","144,908.0","147,426.0","144,307.0","140,330.0","132,995.0","136,834.0","142,068.0","141,357.0","132,931.0","138,631.0","99,723.0"
