"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191"
"28","20","      Food services and accommodations","DFSARA3",38.701,39.541,39.261,39.487,40.358,40.805,40.864,40.402,39.983,40.272,40.666,41.334,42.668,43.296,44.091,44.59,45.91,45.486,46.027,45.934,45.219,45.462,45.326,45.671,46.106,47.194,47.151,48.78,49.587,49.893,50.687,50.479,52.587,51.787,50.927,50.708,51.921,53.376,54.547,54.896,55.571,54.741,54.943,56.144,55.631,54.912,55.042,55.914,56.471,56.303,55.637,55.298,55.246,56.105,56.68,57.156,57.672,57.809,58.567,58.541,59.481,59.189,60.186,60.17,60.32,60.915,60.579,60.398,61.506,62.127,62.366,63.213,64.41,65.195,65.465,67.167,67.213,68.748,70.455,71.419,71.121,70.956,71.592,71.843,73.466,74.069,74.588,73.554,72.962,74.372,74.244,74.284,76.164,74.545,75.035,77.655,76.924,77.405,78.103,77.697,77.669,78.64,79.24,79.335,78.766,78.886,78.982,78.814,78.814,79.196,79.292,79.991,80.764,80.724,81.577,81.008,81.919,82.937,83.253,84.419,84.13,84.637,84.976,86.976,88.396,89.173,89.482,89.185,89.841,88.954,88.459,88.317,89.617,90.287,90.45,90.59,91.243,92.949,94.521,95.479,96.516,96.654,97.536,98.548,99.112,100.543,101.243,102.279,103.789,103.217,103.819,105.388,104.91,105.15,105.254,106.179,104.774,105.348,104.321,102.731,100.911,99.921,99.648,99.52,100.458,101.227,101.83,102.663,103.629,103.818,104.345,104.817,105.993,106.523,107.059,107.826,108.612,107.699,108.014,109.745,109.451,111.252,112.368,114.066,114.823,116.836,117.363,118.632
"29","21","      Financial services and insurance","DIFSRA3",17.316,17.532,17.634,17.96,17.903,18.108,18.384,18.65,18.958,18.933,18.906,18.919,19.589,19.754,20.256,20.521,20.929,21.106,21.234,21.455,20.968,21.278,21.953,22.571,23.457,23.683,23.77,24.157,24.541,24.816,25.197,25.695,26.039,26.313,26.787,27.358,27.535,28.186,28.096,28.086,28.005,29.081,29.246,29,29.271,28.576,29.135,29.812,29.308,29.041,28.603,28.901,29.43,30.24,31.534,33.715,35.141,35.558,36.216,35.964,35.359,35.667,36.465,36.73,38.772,39.621,40.581,40.862,41.031,41.47,41.949,42.828,44.111,44.196,44.244,44.122,44.768,44.874,45.308,45.574,46.913,47.481,47.849,48.015,48.299,48.413,48.766,49.183,51.329,52.744,53.186,53.871,55.813,56.031,56.677,57.479,59.121,59.988,60.846,61.935,62.442,61.821,61.496,61.832,62.739,63.864,64.509,64.836,66.008,66.251,66.08,66.691,67.961,68.693,70.659,71.546,72.872,75.271,76.998,78.282,80.148,82.178,83.986,86.765,91.132,91.314,91.915,92.413,91.023,90.076,88.806,89.491,89.045,89.007,89.522,89.433,88.632,89.039,89.709,90.405,91.778,92.059,93.058,95.163,96.203,97.813,98.826,98.885,99.938,99.924,99.779,100.976,102.283,103.375,103.901,103.561,103.247,102.693,102.769,101.566,100.673,100.01,100.034,99.283,100.349,102.391,102.289,103.301,104.037,103.841,104.684,103.127,101.895,98.408,96.432,96.274,98.157,99.319,99.302,100.432,99.943,100.137,100.918,101.173,101.168,101.726,101.473,102.238
"30","22","      Other services","DOTSRA3",34.302,34.592,34.85,35.313,35.788,35.859,36.097,35.792,35.862,35.955,35.899,36.405,37.008,37.211,37.725,38.447,38.682,38.878,38.697,38.391,37.841,37.668,36.997,37.175,37.25,37.521,37.825,38.31,38.768,38.671,39.115,40.107,40.454,40.697,41.165,42.032,42.876,43.266,43.589,43.316,43.399,43.337,43.8,44.047,43.569,43.237,43.021,43.777,43.473,43.271,43.03,42.965,43.188,43.803,44.199,45.142,45.768,46.837,47.124,48.118,48.441,48.562,49.65,50.623,51.453,52.589,53.508,53.395,53.064,52.802,53.433,53.964,56.055,56.806,57.403,57.974,59.008,58.781,59.581,60.041,60.423,61.038,61.558,61.775,62.292,62.766,62.821,61.163,60.279,60.003,59.898,59.899,61.055,62.03,63.058,63.41,62.904,63.215,64.122,64.772,65.542,65.808,66.696,66.922,67.345,67.719,67.432,67.952,69.142,69.355,71.235,70.068,71.987,73.055,74.497,76.096,77.804,78.679,80.54,80.719,80.918,81.317,81.641,83.56,85.282,87.281,88.8,89.244,90.041,91.796,92.022,92.134,91.984,91.922,91.324,92.727,94.004,94.031,94.943,95.228,95.887,96.571,97.256,97.392,97.426,97.426,97.972,98.704,99.551,100.614,100.737,102.303,102.819,103.218,102.974,102.603,103.129,102.304,102.682,102.391,101.035,99.501,99.549,99.915,100.126,100.561,100.748,100.888,101.955,102.344,102.887,102.831,104.243,103.651,103.821,104.518,103.35,104.079,104.495,105.481,106.623,107.68,108.987,110.799,110.832,112.25,112.685,113.37
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",5.154,5.183,5.259,5.364,5.453,5.529,5.679,5.613,5.682,5.795,5.938,6.157,6.094,6.155,6.093,6.442,6.295,6.371,6.145,6.182,6.185,6.172,6.1,6.141,6.061,6.114,6.205,6.354,6.531,6.55,6.562,6.593,6.573,6.575,6.635,6.908,6.911,6.977,6.951,7.102,7.337,7.32,7.005,7.218,7.337,7.375,7.728,7.941,7.98,7.933,8.267,8.725,9.128,9.462,9.807,10.205,10.679,10.829,11.331,11.967,12.241,12.751,13.255,13.912,13.753,14.052,14.239,14.257,15.031,16.019,16.326,16.551,16.784,17.024,17.453,17.745,18.713,19.45,20.267,20.905,21.127,22.229,23.392,24.495,25.143,27.001,29.031,29.887,30.475,30.963,32.12,33.299,35.577,37.584,39.248,40.797,40.643,40.79,41.898,42.439,43.525,44.651,45.821,46.297,46.55,47.002,47.219,48.128,49.715,50.266,50.572,49.13,46.199,45.738,45.613,46.253,47.825,49.426,51.342,53.231,53.647,54.099,54.529,55.246,57.132,57.43,59.656,61.483,61.85,63.207,64.348,65.754,67.009,68.981,71.79,73.605,73.711,74.817,75.166,75.3,76.53,76.26,76.033,75.971,73.421,75.319,75.763,79.747,82.927,85.838,87.353,86.77,87.126,86.024,87.363,91.508,94.032,97.636,100.637,104.189,101.055,98.862,98.99,101.092,101.167,102.064,100.505,99.549,98.672,98.968,101.428,99.722,101.799,106.823,107.098,110.864,108.088,107.278,108.533,110.638,110.058,110.495,111.739,110.854,108.699,109.137,112.85,115.714
"32","24","      Gross output of nonprofit institutions \2\","DNPERA3",22.655,22.975,23.198,23.565,23.909,23.996,24.463,24.736,25.173,25.784,26.307,26.756,27.105,27.395,27.506,27.95,28.186,28.515,28.038,28.369,28.359,28.731,28.646,28.842,29.209,29.666,29.574,30.52,31.07,31.125,31.458,31.712,32.044,32.528,32.488,33.113,33.637,34.403,34.498,34.77,35.053,35.38,35.111,35.642,35.823,35.693,36.722,37.2,37.342,37.758,37.99,38.358,38.689,39.35,39.691,40.254,40.607,40.876,41.013,41.485,41.806,42.204,42.559,43.122,43.235,43.517,44.137,44.689,45.393,46.066,46.227,46.565,47.055,47.645,48.305,48.696,49.545,50.166,51.007,51.326,51.526,51.998,52.555,53.288,54.013,55.166,56.278,56.464,56.555,57.112,57.774,58.668,59.546,60.364,61.14,61.493,61.734,61.899,62.414,62.506,62.78,63.245,63.757,64.113,63.94,64.159,64.378,64.808,65.062,65.781,66.165,66.841,66.355,66.505,67.072,67.719,68.973,69.646,70.583,71.298,71.765,72.146,72.686,73.451,74.078,74.786,75.617,76.576,77.426,78.248,79.316,80.462,81.861,83.232,84.321,84.754,84.87,85.105,85.396,85.651,86.297,86.925,87.936,88.798,88.342,89.151,90.155,90.993,91.996,92.866,93.614,94.119,94.797,94.837,95.356,96.226,97.28,97.935,98.768,99.543,99.666,99.876,100.206,100.252,99.999,101.067,101.678,102.275,101.928,102.183,102.051,102.971,104.532,104.826,105.781,105.943,105.392,106.352,106.673,107.78,106.19,107.486,108.505,109.949,110.133,110.312,110.728,111.49
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",35.306,35.92,36.2,36.717,37.225,37.214,37.83,38.584,39.344,40.364,41.117,41.513,42.428,42.891,43.287,43.345,44.227,44.736,44.297,44.912,44.881,45.719,45.727,46.042,47.044,47.891,47.454,49.1,49.824,49.896,50.577,51.038,51.799,52.825,52.59,53.235,54.346,55.814,56.078,56.282,56.302,57.036,57.247,57.845,57.937,57.566,58.883,59.382,59.585,60.56,60.287,60.059,59.915,60.596,60.626,61.016,60.888,61.16,60.613,60.532,60.73,60.736,60.688,60.835,61.271,61.403,62.297,63.281,63.57,63.568,63.49,63.836,64.449,65.228,65.922,66.289,66.738,67.049,67.675,67.595,67.726,67.521,67.442,67.744,68.414,68.871,69.192,68.911,68.688,69.259,69.571,70.236,70.259,70.393,70.68,70.431,70.877,71.06,71.296,71.179,71.071,71.228,71.437,71.739,71.38,71.498,71.718,71.94,71.619,72.409,72.825,74.414,74.989,75.408,76.28,76.934,78.046,78.294,78.772,78.939,79.42,79.763,80.348,81.127,81.157,82.052,82.21,82.745,83.816,84.365,85.381,86.385,87.831,88.899,89.177,88.981,89.112,88.973,89.244,89.555,89.962,90.957,92.468,93.697,94.075,94.444,95.67,95.261,95.412,95.49,95.944,96.866,97.667,98.14,98.344,97.983,98.485,98.046,98.082,97.852,99.16,100.226,100.634,99.981,99.615,100.739,102.071,103.183,103.012,103.252,102.266,104.043,105.431,104.198,105.369,104.389,104.548,106.073,106.095,106.882,104.964,106.535,107.48,109.689,110.652,110.744,110.06,110.118
"34","26","Gross private domestic investment","A006RA3",33.396,33.199,33.873,32.237,31.276,31.344,31.854,30.163,33.679,34.635,35.055,34.111,36.359,38.424,38.97,39.214,41.512,43.282,41.712,43.198,40.731,40.569,38.466,38.699,32.466,31.499,33.941,34.889,38.255,39.769,39.908,40.206,42.069,45.085,47.367,46.178,47.078,50.136,51.597,52.791,52.879,52.831,51.941,51.018,50.666,46.359,43.302,47.344,51.735,49.588,52.368,50.498,45.518,45.46,45.031,41.548,42.995,46.809,49.743,54.583,59.856,61.8,63.137,62.318,60.609,61.642,61.222,63.479,63.46,62.352,60.675,60.856,62.499,62.531,62.541,66.802,63.596,65.111,65.473,66.473,68.722,68.062,67.458,66.965,67.62,67.644,66.324,62.63,60.547,60.551,61.755,63.946,62.77,66.329,66.864,68.911,70.529,70.928,70.451,74.146,77.005,80.779,79.45,82.717,83.609,81.877,81.391,83.416,84.693,88.796,92.885,92.856,94.86,100.099,101.891,103.334,107.935,107.205,110.069,113.174,116.397,116.5,119.417,122.923,121.815,129.095,127.476,127.552,121.678,121.242,119.087,113.245,117.287,118.465,118.449,118.238,119.241,119.869,124.108,128.487,128.561,133.158,135.209,137.937,141.863,140.061,141.518,145.765,147.692,146.728,145.231,141.793,140.488,142.414,141.531,138.714,134.043,131.655,127.989,116.608,103.171,96.935,96.09,103.804,107.177,112.714,116.378,115.336,113.194,117.563,117.885,126.39,129.364,132.534,132.155,131.099,133.382,135.091,139.488,140.943,140.06,144.269,146.854,147.623,150.696,152.535,152.265,151.893
"35","27","  Fixed investment","A007RA3",29.878,30.035,30.466,29.788,29.638,29.03,29.521,29.514,30.12,31.251,31.79,32.624,34.014,34.599,34.991,36.524,37.957,38.246,38.133,37.805,37.052,36.588,35.987,34.053,32.121,31.755,32.531,33.181,34.535,35.105,35.501,37.186,38.469,40.473,40.989,41.695,42.07,44.945,46.163,47.173,47.59,47.314,48.141,47.694,47.066,43.208,43.735,45.392,45.822,46.185,46.191,46.02,44.553,43.134,42.098,42.12,43.076,44.706,47.216,49.851,51.414,53.422,54.482,55.456,55.956,56.676,56.445,57.517,57.681,57.694,57.439,57.883,56.884,57.755,58.754,58.729,58.764,59.913,60.194,60.908,61.443,61.527,62.609,61.804,62.526,61.291,60.778,59.224,57.589,57.763,57.836,58.087,58.73,60.668,61.372,63.173,63.639,64.778,65.8,68.437,69.28,70.668,71.241,72.954,74.512,74.467,75.52,77.012,78.953,81.425,83.273,84.589,86.139,87.797,90.939,91.638,94.294,97.446,99.259,101.981,103.747,106.195,108.623,109.123,112.162,114.673,115.142,115.393,114.798,113.279,112.363,109.782,109.135,108.86,108.497,108.155,108.939,111.291,114.82,117.041,116.627,119.604,122.032,124.312,126.316,128.313,130.345,130.596,133.322,132.145,130.799,129.478,129.25,129.582,128.795,127.674,125.344,123.581,119.67,111.754,103.139,99.273,99.148,98.44,98.629,101.832,101.733,103.823,103.59,105.652,109.961,112.584,116.521,118.469,118.5,120.505,121.965,122.737,123.885,125.441,127.282,129.015,131.487,132.288,133.355,135.04,136.285,136.41
"36","28","    Nonresidential","A008RA3",21.453,21.687,22.18,22.064,21.909,21.766,21.842,21.093,21.267,21.556,21.651,22.094,22.798,23.17,23.509,24.635,25.668,26.623,27.033,27.236,27.208,27.161,26.884,26.178,24.684,24.091,24.348,24.638,25.166,25.5,26.058,26.561,27.529,28.29,28.854,29.733,29.993,32.316,33.413,34.493,35.287,35.253,36.294,36.392,36.786,35.086,35.319,36.063,36.804,37.551,38.409,39.278,38.255,37.038,35.96,35.338,34.817,35.307,36.797,39.022,40.261,42.135,43.428,44.449,44.948,45.592,45.074,45.889,45.435,44.513,44.002,44.427,43.377,44.251,45.481,45.424,45.788,46.812,47.106,47.762,48.52,49.181,50.439,49.938,50.57,49.914,50.257,49.48,48.485,48.242,47.83,47.803,47.622,49.173,49.933,51.248,51.75,52.761,53.19,55.102,55.724,56.579,57.532,59.769,61.994,62.595,63.01,64.26,65.858,67.638,69.765,71.52,73.146,74.682,78.001,78.531,81.024,83.701,84.962,87.404,89.318,91.665,94.236,94.578,97.947,101.045,102.11,102.38,101.554,99.248,97.951,95.113,93.181,91.944,91.401,90.305,90.52,92.707,94.565,95.919,94.853,96.962,99.597,101.712,102.969,104.449,106.363,106.79,110.728,112.111,113.449,114.186,116.145,118.427,120.263,122.292,122.325,121.62,118.337,111.429,103.357,100.033,98.753,97.856,98.874,101.581,103.632,105.794,105.552,107.807,112.695,115.286,118.654,120.829,120.199,121.302,122.483,122.788,123.856,126.452,128.984,130.389,133.235,133.46,133.986,135.336,136.208,135.482
"37","29","      Structures","B009RA3",69.831,70.386,73.704,73.188,72.612,71.87,72.132,71.287,71.11,70.927,70.672,70.486,72.328,72.732,72.892,74.053,76.473,78.862,80.646,79.905,79.458,79.134,75.704,74.791,70.949,68.282,68.673,68.723,70.579,70.367,71.081,71.303,71.059,73.715,74.831,75.371,75.226,82.583,88.029,91.711,91.199,92.519,96.833,99.798,101.34,99.117,99.61,102.54,102.478,106.34,109.022,117.043,113.322,109.629,103.586,101.234,97.104,92.494,94.657,97.292,102.823,107.985,111.392,112.544,117.313,117.247,114.819,116.25,113.344,102.664,99.002,99.606,97.276,98.419,102.52,104.468,100.526,102.614,101.229,100.975,102.6,101.441,104.994,104.348,106.641,106.119,105.734,100.973,98.808,96.112,89.861,88.013,86.873,86.888,87.69,88.858,87.677,86.211,86.422,89.052,86.248,89.841,89.221,90.455,92.977,95.219,95.524,94.708,96.463,98.57,99.767,105.075,105.688,104.713,109.111,109.706,108.7,114.471,114.186,113.853,113.548,112.37,112.313,113.485,115.878,120.726,124.958,125.4,121.869,122.521,123.496,111.693,105.759,99.958,95.224,93.89,93.22,95.685,95.278,95.397,93.394,93.923,95.364,95.329,96.542,96.049,95.531,96.377,99.905,102.898,104.718,104.598,108.358,114.229,119.576,122.495,123.001,124.993,124.07,121.019,111.925,103.434,96.435,88.206,82.081,84.399,83.146,84.712,78.275,83.681,88.583,91.496,95.734,98.1,97.1,95.267,93.798,96.435,100.488,101.488,106.028,105.985,105.491,106.602,104.567,106.157,104.201,102.851
"38","30","      Equipment","Y033RA3",18.402,18.593,18.835,18.677,18.544,18.465,18.578,17.598,17.895,18.33,18.458,19.095,19.819,20.269,20.754,22.342,23.575,24.664,24.968,25.37,25.39,25.343,25.464,24.429,22.652,22.183,22.459,22.793,23.088,23.523,24.166,24.847,26.443,27.118,27.793,29.111,29.526,31.842,32.459,33.329,34.527,34.029,34.776,34.233,34.482,32.015,32.259,32.737,33.631,33.908,34.657,34.186,33.044,31.611,30.971,30.382,30.184,31.713,33.508,36.452,37.084,38.911,40.128,41.311,40.946,41.84,41.262,42.033,41.614,42.129,41.883,42.359,40.896,42.092,43.204,42.401,43.726,44.814,45.298,45.874,46.423,47.422,48.352,47.031,47.249,45.811,46.466,45.779,44.132,43.85,44.516,44.308,43.958,46.496,47.551,49.301,50.236,52.247,52.848,55.76,57.34,57.685,59.183,62.746,65.952,65.849,65.968,67.833,69.535,71.571,74.442,75.35,76.824,79.372,83.628,83.431,87.796,90.351,91.725,95.801,98.625,102.132,105.59,104.906,109.644,113.695,114.087,113.871,113,108.308,105.497,105.074,103.289,102.115,102.349,100.762,100.809,104.185,107.24,109.316,107.532,111.726,115.57,119.105,120.153,122.767,126.937,127.796,134.489,134.96,135.318,135.84,137.53,139.101,139.83,141.244,139.587,136.058,129.071,114.348,101.488,98.028,99.308,101.175,108.28,114.099,118.912,122.277,125.811,127.161,135.182,138.252,143.47,146.511,145.269,147.855,150.14,149.825,148.377,153.549,154.874,157.339,163.443,161.419,162.344,162.485,166.38,165.516
"39","31","        Information processing equipment","Y034RA3",1.098,1.192,1.27,1.322,1.359,1.374,1.323,1.35,1.328,1.439,1.471,1.531,1.615,1.612,1.652,1.715,1.822,1.911,1.971,2.106,2.151,2.147,2.295,2.342,2.231,2.142,2.128,2.138,2.214,2.382,2.545,2.767,2.828,2.998,3.136,3.371,3.58,3.953,4.189,4.416,4.618,4.683,4.932,5.206,5.442,5.511,5.815,5.893,6.193,6.394,6.661,6.955,6.927,6.541,6.57,6.425,6.927,7.447,7.804,8.563,8.849,9.549,10.016,10.609,10.459,10.763,10.599,11.025,11.224,11.544,11.366,11.859,11.58,11.812,12.371,12.246,12.544,13.132,13.325,13.412,13.747,14.376,14.682,14.703,14.809,14.555,14.357,14.567,14.186,14.577,15.129,15.585,15.796,16.74,17.746,17.855,18.39,18.781,19.98,20.345,21.003,21.537,22.212,23.433,24.828,26.255,26.676,28.431,30.086,31.42,32.985,33.801,35.308,37.38,40.468,41.573,44.959,47.043,48.196,51.195,54.206,58.311,60.656,60.281,65.565,69.918,71.918,74.328,73.864,69.856,67.224,67.407,66.225,65.953,67.147,66.041,68.483,69.857,73.857,77.979,77.599,79.734,80.487,81.686,83.682,85.127,88.339,89.934,96.178,96.701,99.601,99.478,105.651,106.485,109.149,115.866,115.025,114.863,109.808,99.237,95.908,96.202,102.084,105.805,107.763,108.483,110.321,113.045,109.245,111.916,112.834,112.552,118.935,117.994,116.106,120.333,123.133,122.136,123.787,122.031,123.488,128.478,126.041,131.821,130.524,129.058,137.077,137.799
"40","32","          Computers and peripheral equipment","B935RA3",0.005,0.006,0.007,0.007,0.008,0.008,0.007,0.007,0.007,0.01,0.011,0.013,0.016,0.016,0.016,0.015,0.016,0.017,0.016,0.019,0.019,0.018,0.027,0.027,0.025,0.022,0.021,0.023,0.026,0.033,0.035,0.04,0.042,0.046,0.051,0.06,0.069,0.09,0.107,0.125,0.135,0.147,0.165,0.189,0.194,0.228,0.279,0.302,0.342,0.354,0.393,0.472,0.437,0.381,0.389,0.386,0.491,0.571,0.656,0.7,0.803,0.922,1.054,1.177,1.151,1.264,1.212,1.337,1.415,1.484,1.38,1.429,1.634,1.746,1.891,1.903,1.921,2.031,2.106,2.138,2.273,2.513,2.577,2.603,2.572,2.458,2.33,2.489,2.413,2.501,2.732,3.051,3.102,3.607,3.914,4.009,4.351,4.48,4.92,5.003,5.328,5.578,5.862,6.537,7.243,8.399,9.066,10.433,11.289,12.144,13.233,14.075,15.66,17.485,19.74,20.695,23.677,25.859,27.246,30.183,34.251,38.311,39.967,39.449,41.634,46.221,47.818,48.614,50.544,47.412,44.105,46.825,49.303,48.306,50.645,49.764,51.551,51.949,55.09,58.844,57.719,59.396,61.796,65.02,63.584,65.601,68.681,73.771,78.479,81.733,87.306,87.544,92.56,90.898,94.554,100.984,105.578,106.726,99.379,89.783,91.005,95.346,100.939,112.711,114.079,112.587,108.147,106.285,100.131,108.774,112.976,110.329,118.488,115.936,108.293,118.084,121.397,116.343,119.339,122.09,113.554,116.344,117.378,116.269,109.843,116.66,122.015,111.458
"41","33","          Other","A937RA3",7.683,8.186,8.669,8.966,8.94,9.123,8.964,9.074,8.873,9.179,9.156,9.323,9.364,9.461,9.635,10.27,10.992,11.469,11.946,12.545,12.844,12.875,12.969,13.251,12.716,12.441,12.435,12.286,12.535,13.087,13.965,15.025,15.357,16.121,16.665,17.554,18.235,19.405,20.042,20.641,21.462,21.407,22.179,22.896,23.99,23.397,23.683,23.536,24.204,24.958,25.497,25.383,25.921,25.175,25.161,24.472,24.877,25.905,26.118,28.971,28.68,30.12,30.386,31.373,31.065,31.027,30.951,31.359,31.38,32.008,32.299,33.789,30.785,30.72,31.663,31.109,32.09,33.448,33.609,33.691,33.936,34.535,35.21,35.124,35.716,35.556,35.648,35.397,34.506,35.315,35.893,35.734,36.168,36.775,38.578,38.512,38.737,39.425,41.344,42.126,42.887,43.551,44.504,45.724,47.372,47.785,46.998,47.987,50.215,51.636,53.133,53.328,53.735,55.143,58.234,59.115,61.876,63.141,63.649,66.021,67.131,70.517,73.227,73.07,80.812,84.305,86.447,90.147,87.511,83.121,81.295,79.327,75.253,75.546,75.775,74.565,77.373,79.401,83.827,88.008,88.167,90.519,90.077,89.842,94.046,95.079,98.282,97.727,104.736,103.686,105.084,104.786,111.54,113.654,115.836,122.68,119.231,118.452,114.435,103.409,98.033,96.54,102.54,102.887,105.14,106.802,111.239,115.82,112.929,113.191,112.79,113.442,119.137,118.841,119.241,121.26,123.853,124.465,125.582,122.046,127.45,133.314,129.508,138.015,138.739,134.03,143.097,148.201
"42","34","        Industrial equipment","A680RA3",63.399,64.698,66.648,65.968,67.53,66.483,66.382,64.019,60.939,59.907,60.162,61.839,61.498,64.389,67.007,68.952,71.587,76.232,78.942,82.813,84.282,85.167,83.732,80.172,72.816,70.371,70,69.458,71.019,71.045,70.781,71.196,72.777,72.861,76.302,79.093,80.107,83.107,85.707,86.014,89.927,88.922,88.588,91.436,89.261,85.703,83.537,84.943,84.66,84.544,84.724,84.059,81.128,78.672,76.203,72.75,68.871,69.034,72.167,74.171,78.478,80.282,82.155,84.394,83.753,85.779,84.131,86.669,85.05,83.81,85.098,84.785,82.727,81.656,83.327,82.606,82.728,86.123,88.879,89.162,92.193,92.946,94.347,91.6,90.983,86.942,87.226,84.476,83.132,81.837,81.843,80.416,80.157,81.863,83.889,87.295,88.047,88.554,89.733,95.156,95.819,96.551,99.228,102.136,106.646,108.3,109.071,108.129,110.684,112.775,111.712,113.01,112.465,114.611,115.25,115.527,121.364,120.308,117.84,118.27,118.055,119.755,121.334,121.586,127.384,130.743,133.085,131.039,131.332,122.011,116.875,113.521,114.502,111.569,112.918,112.258,111.876,116.381,113.664,111.134,106.884,109.518,113.03,115.365,117.972,116.672,121.675,126.659,125.483,133.237,132.294,132.614,130.021,138.473,139.24,132.33,132.154,131.094,128.596,122.282,105.856,100.284,97.643,96.217,94.045,99.383,100.5,104.086,113.001,114.509,123.742,130.794,129.52,133.486,129.908,132.61,130.511,127.495,128.021,126.281,132.961,137.577,140.421,138.612,138.101,145.259,143.983,147.908
"43","35","        Transportation equipment","A681RA3",114.882,112.44,109.579,103.284,94.687,92.58,94.655,79.25,93.838,96.272,96.105,103.863,109.557,110.012,107.883,125.719,131.75,139.167,137.862,136.194,131.454,127.788,126.385,107.662,104.174,100.96,108.63,111.207,113.975,115.803,118.298,124.412,139.922,143.164,142.389,148.757,147.377,163.673,160.781,162.812,172.62,163.348,169.692,156.863,149.518,128.812,132.162,130.357,135.328,130.27,134.014,126.315,124.399,116.895,108.506,116.189,115.924,121.207,134.316,153.266,146.911,156.514,160.227,161.389,159.457,163.564,165.482,161.034,153.099,157.439,159.491,154.687,142.151,155.801,153.089,142.985,157.45,157.515,153.787,160.239,146.077,144.767,144.447,131.74,139.181,132.773,146.496,140.961,140.148,134.19,138.349,131.415,124.08,144.874,135.813,151.807,150.232,171.822,159.476,181.595,190.659,184.038,188.777,213.794,226.978,204.3,199.739,204.799,201.998,208.097,227.311,226.134,226.358,230.815,242.276,226.351,229.708,239.289,252.526,279.68,282.413,291.804,308.819,298.164,295.922,298.967,288.355,273.855,263.525,263.994,256.375,264.361,252.764,239.556,232.356,223.318,205.028,220.98,225.327,226.2,221.199,241.153,259.639,278.306,268.809,278.718,293.224,281.118,311.228,297.506,296.105,300.183,301.561,285.991,282.277,284.178,281.225,249.07,209.278,149.55,97.227,95.229,99.128,108.415,155.437,185.534,215.36,219.823,238.147,236.811,267.186,295.411,303.12,312.793,308.381,316.682,323.762,345.82,339.589,369.066,366.372,370.79,405.964,397.359,408.292,403.989,421.983,410.949
"44","36","        Other equipment","A862RA3",45.131,44.256,44.082,44.681,45.234,45.993,47.794,46.816,45.602,46.562,46.872,46.224,48.75,50.692,53.457,57.057,61.436,62.209,61.943,59.755,59.899,60.665,60.166,61.469,54.785,55.987,55.61,57.876,56.233,55.886,57.666,56.304,61.488,62.92,63.825,66.134,65.892,70.073,70.678,73.56,72.861,72.715,72.816,67.313,71.553,62,60.329,62.925,64.564,66.795,67.897,64.479,58.919,57.371,57.642,54.259,50.077,53.882,55.608,60.32,60.996,61.795,62.935,63.277,63.486,63.631,61.473,62.79,62.569,62.486,60.217,61.534,60.667,62.301,65.216,65.563,66.205,65.834,66.807,67.149,71.745,73.537,76.571,75.056,73.077,71.453,71.324,69.804,62.618,61.507,60.147,59.828,59.486,59.246,61.637,62.43,65.117,65.868,66.41,68.419,69.98,71.2,72.163,73.89,76.065,75.517,75.174,75.942,76.614,77.598,79.655,80.366,82.286,83.632,88.825,89.861,93.607,96.258,95.755,94.218,97.479,96.039,97.129,99.2,102.016,104.391,102.71,102.641,104.135,101.258,103.074,100.148,98.887,102.383,102.196,102.092,104.516,105.63,110.619,112.409,111.469,114.183,118.277,120.916,122.987,128.154,128.645,129.752,134.03,133.773,131.147,131.484,128.737,132.524,131.596,131.286,127.468,127.893,127.192,116.35,107.952,99.959,96.584,95.505,103.104,107.393,110.054,113.69,117.401,117.682,126.209,120.194,128.9,134.162,137.344,135.151,138.981,133.018,127.224,138.916,136.631,132.721,142.138,131.598,132.876,130.518,127.82,124.476
