"","Table 5#6#5BM2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"22","12","    Nonmerchant wholesale industries","X42N0",6835,-1377,-7249,5001,1210,-2063,-984,239,962,6781,3291,3465,-18,3028,2133,-1617,1058,-175,-653,-327,2746,4299,5202,-7070,-2465,443,5408,2731,3252,3827,575,10837,593,5718,2140,1399,8678,7691,4990,8862,-3796,10452,9768,6170,3564,10048,1719,-958,6564,-6122,-6452,1491,-7641,-4804,-11004,-5882,-9244,-5080,-8936,-219,-11168,-12812,3493,3395,100,1802,7989,-3931,4466,7659,-719,7191,-8637,8709,-2328,1648,-3998,2326,1566,4417,-9853,4508,2703,11298,7663,3643,6108,-247,17799,10635,-2627,13258,12231,-5017,12999,-2686,18906,11155,14988,8656,-2206,6704,6891,4360,-6995,12452,14263,-266,20472,7392,-4704,-3132,4368,7236,1776,14544,10068,8544,6516,-16164,185,9714,-1789,6466,2757,1615,2327,-12383,27522,-12020,16414,2103,15789,19480,33009,7837,-2777,68991,-397,18088,-21723,16328,-14100,-51746,-31478,-27505,-7305,-16357,-14112,-8371,-16369,-4116,-15605,17301,-5804,-15501,15741,7473,5798,11880,-62,2238,18201,7929,10433,17966,13877,-3908,31848,23364,25560,29412,9528,-552,19740,5556,8100,5148,12780,-8868,8604,4548,6924
"23","13","      Durable goods industries","X42ND0",7641,-614,-8041,5064,1193,-3956,-595,-1622,379,6191,765,3805,2617,2655,1706,-2481,1066,899,48,681,4252,2852,4265,-4125,-3197,2117,3170,2541,654,3270,-2514,6741,-174,3440,18,1842,5355,4081,4310,5980,-6012,6653,6883,6180,194,7526,1695,-2296,3475,-3926,-7351,1311,-5409,-2612,-6901,-3401,-6708,-5004,-5294,193,-7921,-3403,2100,3092,1536,-1628,6646,-2992,1254,1901,1151,2098,-1423,161,-4073,-1054,-3542,-468,-1767,2222,-8859,4508,3132,9423,8969,-1277,3110,-1679,4704,9951,-5855,8492,12452,-5792,3205,-1604,3856,9457,11125,2660,2379,-2880,2645,7467,-11152,4845,13420,-7547,9840,456,-11796,-2100,-828,2988,1380,12204,9168,3192,7296,-16920,8314,7144,85,-4361,-2828,2637,-6408,-5770,9766,-12961,2977,10069,-4191,5311,13099,3016,6090,8309,1446,9423,674,1352,-16569,-7291,-11076,-14239,-9592,-5644,-11257,-14950,-4475,-3583,-5135,1496,2126,1885,3402,6275,9707,3254,8538,3368,8969,6533,-566,3117,7315,-8445,7596,12660,10692,2628,8916,3696,9816,12408,624,288,2616,-1236,5256,-1512,756
"24","14","      Nondurable goods industries","X42NN0",-806,-762,792,-63,17,1894,-389,1861,584,590,2526,-340,-2635,373,427,864,-8,-1075,-701,-1009,-1506,1446,937,-2945,732,-1674,2238,190,2598,557,3090,4096,767,2279,2123,-443,3324,3610,680,2882,2216,3799,2885,-10,3371,2522,24,1339,3089,-2196,898,181,-2233,-2193,-4103,-2481,-2536,-75,-3642,-412,-3247,-9409,1393,304,-1436,3429,1344,-939,3212,5758,-1870,5093,-7214,8548,1745,2702,-455,2794,3333,2194,-994,0,-428,1875,-1306,4920,2998,1432,13095,684,3228,4766,-220,775,9794,-1082,15050,1698,3863,5996,-4585,9584,4246,-3108,4157,7607,843,7281,10632,6936,7092,-1032,5196,4248,396,2340,900,5352,-780,756,-8129,2570,-1874,10826,5584,-1022,8735,-6613,17756,941,13437,-7965,19980,14169,19909,4821,-8868,60683,-1843,8665,-22397,14976,2468,-44454,-20401,-13266,2287,-10713,-2855,6579,-11894,-532,-10470,15805,-7930,-17386,12339,1197,-3908,8626,-8600,-1130,9232,1396,11000,14849,6562,4537,24252,10704,14868,26784,612,-4248,9924,-6852,7476,4860,10164,-7632,3348,6060,6168
"25","15","Retail trade industries","X440",-5555,29850,-25906,46075,16833,-4247,25831,-15413,25967,14946,15108,3410,11325,25367,41955,39352,-26292,-7740,8201,-9989,16436,6750,32928,8684,47594,20229,35409,11618,6084,19857,12859,9282,23228,42455,46400,60229,-13096,9380,21840,24514,49509,40587,26255,33541,7157,35854,22620,6533,-11386,-37818,-16461,14244,15271,-8491,2689,20149,765,-115890,-60058,48174,32856,9969,2991,7199,35106,27381,14570,-8354,46401,23929,52464,12047,20240,23788,31944,16591,-13411,11207,21652,-27733,61493,15122,38589,2118,11625,23524,47006,62144,21080,23545,12779,33721,11163,41839,37775,23102,27885,40191,5426,-7607,381,-12129,-82973,35581,52385,32035,13751,16778,13721,-19109,64607,-27730,52163,24677,-2755,31686,15753,-34079,10578,54494,-20131,30048,-11161,30159,7016,12647,29661,42612,-13767,39297,-10972,11530,4596,-17923,-34159,-18730,1689,4229,70763,-69709,-23706,-22749,-72831,-73311,-101098,-48794,-44025,-33997,-97691,-67510,-73028,-111838,37997,-13491,-28263,15643,33143,15094,27572,41781,29710,38995,20265,56756,37272,-21275,-30177,26977,14748,-17316,37764,7116,-27600,-14100,4680,9912,-11964,-25080,5688,-10716,33900,3912,54192
"26","16","  Motor vehicle dealers","X4410",-1943,13362,-8398,27547,429,-8591,16027,-2333,-4225,15666,12300,-8914,-903,9431,14967,28180,-7692,-41880,-7111,-16241,11804,11442,18168,-2296,30542,17241,22713,-2674,1080,4005,8959,-4194,8744,29183,20480,25537,3932,-8332,10428,25018,19689,30195,27023,11461,11333,13162,6984,4457,-16018,-39138,-21117,14232,15223,425,14281,25,7461,-119790,-31570,58542,29328,15801,9039,3047,20838,25485,-6826,-11234,23685,33073,48552,1247,17900,9856,22560,19147,6965,9047,3628,-22309,33209,2978,27021,2838,11997,7480,17018,37748,1832,6397,4655,8617,-657,20611,71,-9178,2445,26211,-11002,-13511,-12303,-27993,-72893,12205,44393,38719,-1765,-5074,-6439,-13697,24599,-26266,29591,7841,-7111,2022,11769,-42623,-4470,35642,-22075,-84,-8773,24483,-23812,7079,35253,36312,-7743,18237,6080,-20966,-12156,-13711,-6679,-34030,5925,5129,48095,-60181,-30366,-17901,-8475,-12303,-78550,-34214,-27933,-5713,-70607,-58186,-60008,-95038,60665,-13923,-16347,7291,37583,18874,-7408,22857,16690,32899,15981,40760,14544,-6935,-40425,-8663,-5184,-20028,-2244,3540,-40296,-23328,12288,-13140,-19716,-26148,-5844,-23880,16620,-2892,21604
"27","17","  Food and beverage stores","X4450",-828,84,672,-972,1536,144,-324,3600,1212,-1740,1524,-2292,2904,-612,2736,3384,-48,2880,1572,-1008,-1440,-360,2880,-1392,4500,684,588,-2136,3156,1944,1632,2628,3984,2220,1284,1884,-1260,-156,48,84,1944,-6408,-1476,-288,1836,300,-2628,1860,2904,2952,1560,1644,552,1680,156,216,624,2316,408,-1632,-2160,-300,-1044,-1248,-984,-672,-1224,2064,4524,-7716,1680,4176,-1200,1764,2388,-1800,-1452,-1572,2532,-12,3228,-4800,-1800,-852,1560,-720,1704,1836,3684,936,948,-684,804,672,2676,-1212,2172,-216,-456,1272,36,588,-1992,924,-4908,4176,2220,804,2736,1920,900,1332,2340,960,960,636,1764,60,-864,-468,-120,-648,2928,-3888,5256,3060,1284,4488,1044,4128,924,3084,-24,1920,528,3072,768,2016,420,1704,1788,2736,-2148,-2856,4356,240,840,12,1452,-2568,1680,-1740,948,804,576,-8232,5400,-372,2388,-2904,-816,12,-1020,288,1536,-864,72,2100,4632,456,1788,5592,420,900,3036,2604,2580,-744,816,1596,1668,2700,3826
"28","18","  General merchandise stores","X4520",-6828,3012,-4620,7296,132,1368,-1884,-5292,3336,-3588,720,7380,3336,960,576,684,-10776,10440,4044,-276,3048,-1116,-2364,-2076,-732,1188,5460,3600,-588,-900,1692,3468,2184,-2436,12636,5280,3096,2484,-6264,-888,2568,3612,-4140,960,168,5196,-828,1764,5112,1848,11760,-3996,5412,408,-7764,9756,-5736,-1032,-8940,-6888,-4680,1260,-6684,-1416,7200,-4308,11004,2544,264,600,10056,588,-1656,-3480,4320,9984,-8820,-1008,3132,-6096,8964,8868,-6180,3396,2832,5064,9156,912,2400,7404,-2136,5220,876,2844,11544,7896,2700,3096,15936,-504,2340,-168,-4164,10344,372,-5100,-12,3888,-7380,-7500,4224,-15612,8448,1212,10932,8724,2424,10380,5724,2700,4272,5316,-528,2724,3624,-1392,-6960,-276,-2640,2124,-12684,11712,11124,-132,-16068,8796,-1956,-6216,600,-7632,5136,-828,-8184,-15672,-4488,-9612,7524,-8304,-4104,3012,-5364,-5532,-2508,780,-2664,732,-6324,-3744,19968,6120,3876,4128,5016,5796,5124,-4656,1056,11124,216,2616,12252,-3312,4452,-936,-2964,2628,2760,2592,1320,12276,2340,60,7366
"29","19","  Other retail stores","X44Y0",4044,13392,-13560,12204,14736,2832,12012,-11388,25644,4608,564,7236,5988,15588,23676,7104,-7776,20820,9696,7536,3024,-3216,14244,14448,13284,1116,6648,12828,2436,14808,576,7380,8316,13488,12000,27528,-18864,15384,17628,300,25308,13188,4848,21408,-6180,17196,19092,-1548,-3384,-3480,-8664,2364,-5916,-11004,-3984,10152,-1584,2616,-19956,-1848,10368,-6792,1680,6816,8052,6876,11616,-1728,17928,-2028,-7824,6036,5196,15648,2676,-10740,-10104,4740,12360,684,16092,8076,19548,-3264,-4764,11700,19128,21648,13164,8808,9312,20568,10140,17712,23484,25596,20568,11100,948,5136,10308,15444,-3924,12108,12528,-5760,13308,17160,24804,168,34884,12816,11784,14664,-7536,20304,-204,-1896,10188,16620,-2208,25464,-4788,6840,21948,3900,84,2088,-4428,14808,-5292,17700,5652,-6000,-11940,3432,-3048,3300,21648,-3600,-264,-6756,-54024,-42480,-22416,-5208,-24456,-19992,-24432,-9768,-9336,-9528,-21108,-1152,-9828,15852,-3516,336,12624,15708,9960,1956,288,9912,16068,-8820,9120,22416,15084,-360,25968,1296,7824,9264,-7680,17820,2412,-780,9396,-708,13272,4044,21397
"30","20","Other industries","XOTH0",7544,7544,7544,3364,3364,3364,3068,3068,3068,5468,5468,5468,1916,1916,1916,4716,4716,4716,4840,4840,4840,7924,7924,7924,6504,6504,6504,9520,9520,9520,8136,8136,8136,6220,6220,6220,14948,14948,14948,14696,14696,14696,17880,17880,17880,6076,6076,6076,3024,3024,3024,192,192,192,-1864,-1864,-1864,-4336,-4336,-4336,-4316,-4316,-4316,1196,1196,1196,-1668,-1668,-1668,-1652,-1652,-1652,584,584,584,3088,3088,3088,1736,1736,1736,1376,1376,1376,6168,6168,6168,5860,5860,5860,7200,7200,7200,8332,8332,8332,4852,4852,4852,4288,4288,4288,4484,4484,4484,4136,4136,4136,5128,5128,5128,10888,10888,10888,6676,6676,6676,5024,5024,5024,9588,9588,9588,8100,8100,8100,4948,4948,4948,9344,9344,9344,7648,7648,7648,4712,4712,4712,4492,4492,4492,-872,-872,-872,-7580,-7580,-7580,-6292,-6292,-6292,-4000,-4000,-4000,-1048,-1048,-1048,2875,2875,2875,-966,-966,-966,3012,3012,3012,6464,6464,6464,11704,11704,11704,3856,3856,3856,1484,1484,1484,6108,6108,6108,1856,1856,1856
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
