"","Table 2#1# Personal Income and Its Disposition                  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"22","3","    Wage and salary disbursements","A576RC1","499,069.0","511,383.0","526,432.0","536,452.0","542,600.0","551,200.0","556,092.0","556,356.0","570,141.0","580,077.0","588,122.0","597,530.0","619,397.0","630,875.0","642,623.0","662,232.0","683,321.0","700,358.0","716,210.0","735,389.0","748,181.0","765,857.0","784,571.0","792,439.0","791,819.0","800,266.0","821,192.0","845,671.0","871,118.0","889,282.0","908,352.0","929,828.0","949,943.0","980,808.0","1,007,406.0","1,038,075.0","1,064,112.0","1,105,854.0","1,136,622.0","1,174,608.0","1,208,238.0","1,234,909.0","1,268,307.0","1,302,523.0","1,335,035.0","1,351,033.0","1,376,059.0","1,431,721.0","1,469,063.0","1,496,197.0","1,528,479.0","1,551,515.0","1,567,327.0","1,580,898.0","1,596,023.0","1,605,833.0","1,623,090.0","1,656,374.0","1,692,215.0","1,740,153.0","1,785,016.0","1,828,009.0","1,866,770.0","1,898,983.0","1,933,660.0","1,964,284.0","1,996,106.0","2,037,069.0","2,063,537.0","2,081,844.0","2,111,735.0","2,152,227.0","2,193,710.0","2,230,091.0","2,270,355.0","2,330,912.0","2,367,191.0","2,422,168.0","2,462,707.0","2,507,063.0","2,542,001.0","2,563,280.0","2,591,645.0","2,635,281.0","2,686,833.0","2,735,911.0","2,768,624.0","2,773,225.0","2,775,807.0","2,801,615.0","2,826,464.0","2,854,224.0","2,903,449.0","2,942,788.0","2,976,075.0","3,071,853.0","2,962,476.0","3,065,488.0","3,098,337.0","3,180,059.0","3,129,816.0","3,224,603.0","3,258,029.0","3,310,911.0","3,360,585.0","3,395,280.0","3,438,242.0","3,477,984.0","3,525,821.0","3,590,504.0","3,646,525.0","3,702,516.0","3,777,101.0","3,835,270.0","3,903,401.0","3,990,509.0","4,075,891.0","4,145,919.0","4,216,910.0","4,287,767.0","4,370,376.0","4,412,747.0","4,474,309.0","4,582,673.0","4,755,048.0","4,781,932.0","4,874,351.0","4,899,464.0","4,988,117.0","4,961,425.0","4,932,431.0","4,926,837.0","4,963,557.0","5,002,990.0","5,006,293.0","5,016,386.0","5,049,563.0","5,109,864.0","5,159,579.0","5,239,391.0","5,279,397.0","5,385,092.0","5,493,902.0","5,544,377.0","5,584,179.0","5,651,665.0","5,758,339.0","5,809,745.0","5,978,894.0","6,018,598.0","6,075,433.0","6,202,646.0","6,353,128.0","6,382,797.0","6,427,563.0","6,523,411.0","6,595,945.0","6,575,092.0","6,567,867.0","6,497,271.0","6,260,022.0","6,287,656.0","6,263,889.0","6,284,913.0","6,291,419.0","6,388,824.0","6,443,716.0","6,471,571.0","6,524,230.0"
"23","4","      Private industries","A132RC1","397,785.0","408,271.0","418,268.0","426,612.0","430,740.0","432,552.0","437,392.0","436,636.0","446,265.0","454,469.0","460,394.0","468,458.0","484,649.0","495,035.0","504,227.0","521,000.0","538,353.0","553,050.0","566,634.0","581,997.0","592,541.0","607,121.0","621,831.0","625,587.0","621,411.0","625,906.0","643,488.0","663,583.0","686,438.0","702,106.0","718,968.0","735,844.0","753,295.0","781,244.0","803,842.0","827,899.0","850,252.0","888,758.0","915,614.0","947,584.0","977,234.0","1,000,885.0","1,029,995.0","1,056,595.0","1,083,603.0","1,093,301.0","1,113,059.0","1,157,881.0","1,190,342.0","1,214,058.0","1,241,926.0","1,255,769.0","1,266,778.0","1,276,344.0","1,286,899.0","1,289,897.0","1,303,748.0","1,332,090.0","1,364,660.0","1,410,374.0","1,446,193.0","1,483,373.0","1,515,172.0","1,542,368.0","1,568,231.0","1,593,195.0","1,619,292.0","1,654,029.0","1,675,597.0","1,688,254.0","1,712,023.0","1,744,589.0","1,779,105.0","1,809,955.0","1,845,697.0","1,897,843.0","1,924,448.0","1,973,028.0","2,008,335.0","2,045,168.0","2,071,345.0","2,086,581.0","2,107,133.0","2,142,725.0","2,180,934.0","2,220,096.0","2,245,458.0","2,242,110.0","2,232,087.0","2,254,103.0","2,276,457.0","2,300,203.0","2,338,661.0","2,372,160.0","2,401,366.0","2,493,974.0","2,377,108.0","2,479,832.0","2,506,849.0","2,586,531.0","2,528,620.0","2,616,159.0","2,646,213.0","2,694,383.0","2,735,709.0","2,767,720.0","2,808,010.0","2,844,548.0","2,884,361.0","2,944,224.0","2,996,429.0","3,048,108.0","3,113,917.0","3,167,498.0","3,228,657.0","3,308,965.0","3,384,759.0","3,447,887.0","3,511,958.0","3,576,931.0","3,649,120.0","3,684,731.0","3,736,829.0","3,834,669.0","3,989,236.0","4,003,356.0","4,090,247.0","4,109,112.0","4,183,713.0","4,146,001.0","4,103,999.0","4,087,561.0","4,101,981.0","4,132,618.0","4,128,481.0","4,133,694.0","4,146,142.0","4,196,045.0","4,243,959.0","4,318,951.0","4,338,969.0","4,432,872.0","4,538,062.0","4,581,633.0","4,601,739.0","4,664,053.0","4,763,883.0","4,808,297.0","4,959,878.0","4,990,282.0","5,034,453.0","5,150,354.0","5,276,752.0","5,300,145.0","5,334,983.0","5,418,907.0","5,468,913.0","5,436,864.0","5,416,951.0","5,337,527.0","5,092,450.0","5,111,412.0","5,088,313.0","5,110,021.0","5,105,914.0","5,195,692.0","5,258,452.0","5,287,067.0","5,336,890.0"
"24","5","      Government","B202RC1","101,284.0","103,112.0","108,164.0","109,840.0","111,860.0","118,648.0","118,700.0","119,720.0","123,876.0","125,608.0","127,728.0","129,072.0","134,748.0","135,840.0","138,396.0","141,232.0","144,968.0","147,308.0","149,576.0","153,392.0","155,640.0","158,736.0","162,740.0","166,852.0","170,408.0","174,360.0","177,704.0","182,088.0","184,680.0","187,176.0","189,384.0","193,984.0","196,648.0","199,564.0","203,564.0","210,176.0","213,860.0","217,096.0","221,008.0","227,024.0","231,004.0","234,024.0","238,312.0","245,928.0","251,432.0","257,732.0","263,000.0","273,840.0","278,721.0","282,139.0","286,553.0","295,746.0","300,549.0","304,554.0","309,124.0","315,936.0","319,342.0","324,284.0","327,555.0","329,779.0","338,823.0","344,636.0","351,598.0","356,615.0","365,429.0","371,089.0","376,814.0","383,040.0","387,940.0","393,590.0","399,712.0","407,638.0","414,605.0","420,136.0","424,658.0","433,069.0","442,743.0","449,140.0","454,372.0","461,895.0","470,656.0","476,699.0","484,512.0","492,556.0","505,899.0","515,815.0","523,166.0","531,115.0","543,720.0","547,512.0","550,007.0","554,021.0","564,788.0","570,628.0","574,709.0","577,879.0","585,368.0","585,656.0","591,488.0","593,528.0","601,196.0","608,444.0","611,816.0","616,528.0","624,876.0","627,560.0","630,232.0","633,436.0","641,460.0","646,280.0","650,096.0","654,408.0","663,184.0","667,772.0","674,744.0","681,544.0","691,132.0","698,032.0","704,952.0","710,836.0","721,256.0","728,016.0","737,480.0","748,004.0","765,812.0","778,576.0","784,104.0","790,352.0","804,404.0","815,424.0","828,432.0","839,276.0","861,576.0","870,372.0","877,812.0","882,692.0","903,421.0","913,819.0","915,620.0","920,440.0","940,428.0","952,220.0","955,840.0","962,744.0","982,440.0","987,612.0","994,456.0","1,001,448.0","1,019,016.0","1,028,316.0","1,040,980.0","1,052,292.0","1,076,376.0","1,082,652.0","1,092,580.0","1,104,504.0","1,127,032.0","1,138,228.0","1,150,916.0","1,159,744.0","1,167,572.0","1,176,244.0","1,175,576.0","1,174,892.0","1,185,505.0","1,193,132.0","1,185,264.0","1,184,504.0","1,187,340.0"
"25","6","    Supplements to wages and salaries","A038RC1","56,825.0","58,390.0","60,140.0","61,755.0","63,527.0","65,082.0","66,441.0","67,583.0","71,409.0","73,426.0","75,332.0","77,276.0","83,162.0","85,290.0","87,287.0","89,670.0","98,302.0","100,736.0","103,658.0","107,147.0","112,522.0","116,075.0","120,006.0","123,265.0","127,552.0","131,388.0","136,422.0","141,864.0","151,144.0","156,757.0","162,355.0","168,133.0","176,954.0","183,517.0","189,425.0","195,575.0","205,504.0","211,984.0","217,721.0","224,333.0","235,104.0","241,208.0","248,053.0","255,539.0","264,127.0","270,297.0","276,872.0","285,303.0","299,793.0","305,668.0","311,308.0","316,396.0","324,647.0","330,201.0","334,752.0","338,898.0","349,677.0","355,427.0","360,570.0","366,412.0","390,773.0","397,496.0","404,124.0","409,731.0","419,930.0","425,963.0","431,822.0","439,078.0","446,423.0","451,471.0","457,438.0","465,949.0","470,763.0","476,104.0","482,078.0","488,547.0","501,888.0","510,114.0","518,317.0","527,173.0","536,492.0","544,537.0","552,769.0","559,270.0","572,179.0","581,480.0","589,842.0","596,727.0","609,038.0","618,199.0","628,813.0","639,362.0","657,663.0","669,863.0","680,508.0","686,542.0","697,642.0","709,838.0","719,481.0","729,275.0","740,694.0","749,340.0","753,721.0","756,549.0","758,543.0","759,694.0","761,782.0","763,129.0","766,072.0","770,124.0","773,234.0","776,070.0","780,483.0","785,603.0","794,769.0","807,077.0","823,208.0","836,794.0","849,218.0","860,080.0","870,886.0","879,995.0","892,541.0","911,622.0","937,021.0","949,504.0","971,472.0","986,607.0","1,005,831.0","1,018,496.0","1,033,324.0","1,050,817.0","1,074,858.0","1,098,358.0","1,122,554.0","1,158,266.0","1,194,884.0","1,222,863.0","1,241,030.0","1,253,187.0","1,263,888.0","1,272,790.0","1,287,399.0","1,306,787.0","1,336,928.0","1,351,901.0","1,370,050.0","1,377,365.0","1,394,808.0","1,401,297.0","1,408,659.0","1,422,648.0","1,428,255.0","1,431,571.0","1,440,984.0","1,460,890.0","1,486,245.0","1,502,249.0","1,515,067.0","1,523,463.0","1,517,659.0","1,531,392.0","1,534,805.0","1,546,496.0","1,566,668.0","1,581,097.0","1,592,443.0","1,602,356.0","1,622,099.0"
"26","7","      Employer contributions for employee pension and insurance funds","B040RC1","34,737.0","35,878.0","37,124.0","38,355.0","39,831.0","41,222.0","42,497.0","43,727.0","45,345.0","47,022.0","48,832.0","50,460.0","52,530.0","54,250.0","56,127.0","57,874.0","59,554.0","61,388.0","63,714.0","66,055.0","68,926.0","71,595.0","74,718.0","77,853.0","81,840.0","85,388.0","89,414.0","93,688.0","98,032.0","102,809.0","107,499.0","112,457.0","117,882.0","122,917.0","127,693.0","132,563.0","136,692.0","141,012.0","145,457.0","150,269.0","154,596.0","159,588.0","164,733.0","170,639.0","176,779.0","182,569.0","187,920.0","193,571.0","198,105.0","202,732.0","206,792.0","211,096.0","215,623.0","220,565.0","224,608.0","228,626.0","232,573.0","236,679.0","240,098.0","243,208.0","255,129.0","259,332.0","263,800.0","267,711.0","275,270.0","279,531.0","283,346.0","287,710.0","291,391.0","295,083.0","298,718.0","304,613.0","307,871.0","311,376.0","315,098.0","318,107.0","322,256.0","326,722.0","332,113.0","337,869.0","345,640.0","352,137.0","358,501.0","362,098.0","369,151.0","375,248.0","381,538.0","388,487.0","397,062.0","404,363.0","412,373.0","421,086.0","432,555.0","442,055.0","450,536.0","455,838.0","462,894.0","470,962.0","478,493.0","485,171.0","491,326.0","495,992.0","498,457.0","497,973.0","497,699.0","496,838.0","496,502.0","495,629.0","496,500.0","496,732.0","496,694.0","496,354.0","496,683.0","498,527.0","503,729.0","510,621.0","522,092.0","531,602.0","539,886.0","546,772.0","551,626.0","558,983.0","568,901.0","582,178.0","595,833.0","607,876.0","623,584.0","636,431.0","646,491.0","660,088.0","676,304.0","693,641.0","711,518.0","731,874.0","755,746.0","790,454.0","819,252.0","842,627.0","856,938.0","863,439.0","863,088.0","867,334.0","876,371.0","891,691.0","914,308.0","927,717.0","939,694.0","944,557.0","950,672.0","956,769.0","962,723.0","970,420.0","970,211.0","974,159.0","981,964.0","995,642.0","1,015,289.0","1,031,885.0","1,043,867.0","1,055,475.0","1,060,239.0","1,069,880.0","1,073,993.0","1,083,964.0","1,095,808.0","1,103,097.0","1,110,263.0","1,118,192.0","1,126,931.0"
"27","8","      Employer contributions for government social insurance","B039RC1","22,088.0","22,512.0","23,016.0","23,400.0","23,696.0","23,860.0","23,944.0","23,856.0","26,064.0","26,404.0","26,500.0","26,816.0","30,632.0","31,040.0","31,160.0","31,796.0","38,748.0","39,348.0","39,944.0","41,092.0","43,596.0","44,480.0","45,288.0","45,412.0","45,712.0","46,000.0","47,008.0","48,176.0","53,112.0","53,948.0","54,856.0","55,676.0","59,072.0","60,600.0","61,732.0","63,012.0","68,812.0","70,972.0","72,264.0","74,064.0","80,508.0","81,620.0","83,320.0","84,900.0","87,348.0","87,728.0","88,952.0","91,732.0","101,688.0","102,936.0","104,516.0","105,300.0","109,024.0","109,636.0","110,144.0","110,272.0","117,104.0","118,748.0","120,472.0","123,204.0","135,644.0","138,164.0","140,324.0","142,020.0","144,660.0","146,432.0","148,476.0","151,368.0","155,032.0","156,388.0","158,720.0","161,336.0","162,892.0","164,728.0","166,980.0","170,440.0","179,632.0","183,392.0","186,204.0","189,304.0","190,852.0","192,400.0","194,268.0","197,172.0","203,028.0","206,232.0","208,304.0","208,240.0","211,976.0","213,836.0","216,440.0","218,276.0","225,108.0","227,808.0","229,972.0","230,704.0","234,748.0","238,876.0","240,988.0","244,104.0","249,368.0","253,348.0","255,264.0","258,576.0","260,844.0","262,856.0","265,280.0","267,500.0","269,572.0","273,392.0","276,540.0","279,716.0","283,800.0","287,076.0","291,040.0","296,456.0","301,116.0","305,192.0","309,332.0","313,308.0","319,260.0","321,012.0","323,640.0","329,444.0","341,188.0","341,628.0","347,888.0","350,176.0","359,340.0","358,408.0","357,020.0","357,176.0","363,340.0","366,484.0","366,808.0","367,812.0","375,632.0","380,236.0","384,092.0","389,748.0","400,800.0","405,456.0","411,028.0","415,096.0","422,620.0","424,184.0","430,356.0","432,808.0","444,136.0","444,528.0","445,936.0","452,228.0","458,044.0","457,412.0","459,020.0","465,248.0","470,956.0","470,364.0","471,200.0","467,988.0","457,420.0","461,512.0","460,812.0","462,532.0","470,860.0","478,000.0","482,180.0","484,164.0","495,168.0"
"28","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","76,310.0","77,556.0","78,201.0","77,974.0","77,623.0","77,126.0","79,215.0","79,946.0","81,113.0","83,733.0","85,323.0","88,555.0","88,732.0","92,155.0","96,540.0","106,703.0","105,928.0","111,696.0","114,392.0","122,492.0","116,246.0","109,257.0","113,329.0","115,101.0","113,478.0","115,488.0","122,520.0","126,948.0","127,605.0","130,029.0","133,812.0","137,516.0","140,531.0","141,933.0","143,626.0","158,023.0","158,399.0","168,112.0","171,329.0","172,174.0","179,150.0","179,269.0","182,508.0","183,511.0","168,537.0","162,232.0","175,776.0","187,326.0","190,128.0","177,902.0","184,231.0","174,199.0","167,607.0","173,047.0","174,447.0","184,232.0","187,965.0","188,172.0","188,426.0","198,039.0","224,220.0","234,945.0","237,081.0","236,036.0","248,246.0","244,635.0","244,627.0","246,901.0","249,506.0","257,189.0","271,473.0","272,087.0","282,666.0","289,711.0","297,187.0","307,425.0","327,530.0","333,759.0","342,960.0","335,107.0","356,950.0","348,373.0","347,809.0","353,169.0","360,571.0","364,256.0","369,188.0","366,560.0","357,845.0","365,161.0","367,735.0","378,378.0","396,424.0","410,410.0","420,928.0","431,920.0","435,806.0","450,119.0","446,990.0","465,548.0","476,686.0","481,839.0","485,755.0","496,139.0","500,446.0","506,258.0","519,983.0","537,412.0","560,245.0","586,523.0","588,601.0","599,361.0","619,628.0","619,381.0","632,838.0","641,087.0","663,642.0","677,038.0","692,871.0","716,572.0","729,610.0","738,877.0","750,646.0","768,077.0","783,717.0","819,361.0","826,658.0","840,095.0","867,442.0","871,609.0","878,082.0","865,764.0","880,547.0","884,155.0","893,274.0","903,194.0","889,617.0","919,132.0","945,769.0","968,067.0","1,002,098.0","1,029,752.0","1,040,052.0","1,063,122.0","1,046,818.0","1,053,967.0","1,082,572.0","1,095,770.0","1,126,917.0","1,133,217.0","1,131,160.0","1,140,560.0","1,103,021.0","1,090,029.0","1,079,269.0","1,089,127.0","1,107,288.0","1,116,120.0","1,111,527.0","1,073,009.0","1,018,673.0","1,000,546.0","1,006,439.0","1,022,088.0","1,030,748.0","1,049,731.0","1,059,510.0","1,080,164.0","1,097,591.0"
"29","10","    Farm","B042RC1","11,565.0","12,549.0","13,142.0","14,078.0","13,524.0","12,380.0","13,171.0","12,500.0","13,090.0","13,268.0","12,964.0","14,221.0","13,130.0","15,423.0","17,182.0","22,364.0","21,762.0","27,587.0","29,471.0","37,480.0","28,616.0","20,097.0","21,479.0","23,681.0","19,741.0","20,136.0","23,773.0","24,349.0","19,425.0","17,016.0","16,117.0","16,284.0","15,965.0","14,074.0","11,772.0","22,043.0","18,484.0","20,908.0","20,785.0","19,509.0","23,755.0","21,836.0","22,254.0","20,753.0","13,310.0","3,120.0","11,741.0","18,659.0","17,631.0","18,179.0","23,347.0","16,951.0","14,386.0","12,768.0","11,934.0","14,169.0","12,877.0","7,855.0","192.0","3,770.0","19,531.0","21,282.0","20,432.0","22,513.0","22,830.0","20,420.0","19,282.0","21,369.0","18,241.0","19,689.0","26,692.0","26,728.0","27,291.0","29,050.0","28,850.0","30,438.0","33,365.0","27,443.0","28,765.0","17,635.0","36,747.0","32,418.0","30,399.0","32,520.0","34,385.0","32,668.0","31,810.0","29,807.0","26,689.0","28,525.0","25,275.0","29,523.0","33,947.0","36,429.0","37,803.0","35,056.0","29,338.0","35,589.0","26,699.0","36,482.0","42,562.0","37,545.0","33,103.0","29,175.0","21,604.0","19,797.0","22,826.0","29,522.0","38,201.0","45,385.0","34,603.0","35,552.0","38,161.0","28,260.0","32,548.0","31,386.0","28,189.0","26,828.0","27,052.0","33,449.0","34,319.0","28,744.0","26,583.0","24,333.0","25,766.0","31,569.0","29,736.0","31,456.0","32,070.0","30,779.0","31,142.0","28,101.0","16,259.0","11,588.0","20,121.0","25,840.0","29,911.0","37,490.0","38,328.0","40,410.0","54,180.0","51,957.0","43,972.0","48,543.0","43,674.0","46,366.0","45,612.0","39,851.0","28,439.0","28,368.0","28,367.0","32,166.0","36,197.0","34,068.0","35,000.0","45,850.0","60,701.0","52,692.0","50,453.0","39,495.0","29,645.0","28,006.0","28,012.0","36,215.0","36,789.0","38,934.0","48,520.0","55,511.0","57,246.0"
"30","11","    Nonfarm","A045RC1","64,745.0","65,007.0","65,059.0","63,896.0","64,099.0","64,746.0","66,044.0","67,446.0","68,023.0","70,465.0","72,359.0","74,334.0","75,602.0","76,732.0","79,358.0","84,339.0","84,166.0","84,109.0","84,921.0","85,012.0","87,630.0","89,160.0","91,850.0","91,420.0","93,737.0","95,352.0","98,747.0","102,599.0","108,180.0","113,013.0","117,695.0","121,232.0","124,566.0","127,859.0","131,854.0","135,980.0","139,915.0","147,204.0","150,544.0","152,665.0","155,395.0","157,433.0","160,254.0","162,758.0","155,227.0","159,112.0","164,035.0","168,667.0","172,497.0","159,723.0","160,884.0","157,248.0","153,221.0","160,279.0","162,513.0","170,063.0","175,088.0","180,317.0","188,234.0","194,269.0","204,689.0","213,663.0","216,649.0","213,523.0","225,416.0","224,215.0","225,345.0","225,532.0","231,265.0","237,500.0","244,781.0","245,359.0","255,375.0","260,661.0","268,337.0","276,987.0","294,165.0","306,316.0","314,195.0","317,472.0","320,203.0","315,955.0","317,410.0","320,649.0","326,186.0","331,588.0","337,378.0","336,753.0","331,156.0","336,636.0","342,460.0","348,855.0","362,477.0","373,981.0","383,125.0","396,864.0","406,468.0","414,530.0","420,291.0","429,066.0","434,124.0","444,294.0","452,652.0","466,964.0","478,842.0","486,461.0","497,157.0","507,890.0","522,044.0","541,138.0","553,998.0","563,809.0","581,467.0","591,121.0","600,290.0","609,701.0","635,453.0","650,210.0","665,819.0","683,123.0","695,291.0","710,133.0","724,063.0","743,744.0","757,951.0","787,792.0","796,922.0","808,639.0","835,372.0","840,830.0","846,940.0","837,663.0","864,288.0","872,567.0","873,153.0","877,354.0","859,706.0","881,642.0","907,441.0","927,657.0","947,918.0","977,795.0","996,080.0","1,014,579.0","1,003,144.0","1,007,601.0","1,036,960.0","1,055,919.0","1,098,478.0","1,104,849.0","1,102,793.0","1,108,394.0","1,066,824.0","1,055,961.0","1,044,269.0","1,043,277.0","1,046,587.0","1,063,428.0","1,061,074.0","1,033,514.0","989,028.0","972,540.0","978,427.0","985,873.0","993,959.0","1,010,797.0","1,010,990.0","1,024,653.0","1,040,345.0"
"31","12","  Rental income of persons with capital consumption adjustment","A048RC1","20,789.0","20,855.0","20,996.0","20,944.0","20,905.0","20,635.0","21,241.0","21,516.0","21,460.0","22,033.0","22,397.0","22,842.0","23,454.0","20,500.0","24,326.0","24,293.0","24,194.0","24,131.0","23,149.0","24,141.0","24,365.0","23,752.0","24,144.0","23,932.0","23,737.0","23,509.0","23,339.0","22,884.0","22,645.0","21,717.0","21,934.0","22,043.0","20,899.0","19,888.0","18,972.0","18,740.0","20,402.0","19,773.0","21,421.0","21,940.0","23,422.0","21,079.0","21,237.0","24,834.0","28,585.0","24,084.0","25,004.0","36,304.0","36,230.0","35,115.0","35,653.0","38,839.0","39,513.0","36,165.0","37,991.0","38,532.0","37,621.0","37,803.0","38,157.0","39,081.0","38,121.0","36,742.0","40,435.0","44,821.0","42,916.0","41,737.0","42,249.0","40,500.0","36,776.0","35,576.0","32,539.0","30,417.0","31,550.0","30,477.0","35,340.0","39,367.0","38,405.0","36,915.0","38,777.0","46,828.0","44,199.0","43,505.0","41,126.0","40,827.0","43,283.0","48,217.0","53,322.0","54,392.0","56,118.0","58,088.0","62,711.0","69,406.0","71,597.0","81,281.0","89,297.0","96,302.0","105,461.0","113,510.0","115,353.0","122,031.0","133,109.0","141,622.0","148,533.0","148,391.0","150,967.0","153,013.0","152,773.0","161,513.0","166,742.0","168,411.0","172,105.0","174,501.0","174,946.0","175,883.0","176,422.0","178,942.0","182,739.0","188,604.0","195,685.0","198,843.0","202,990.0","206,939.0","209,157.0","213,537.0","214,577.0","212,122.0","213,310.0","221,093.0","225,294.0","230,569.0","239,533.0","234,088.0","229,194.0","231,732.0","212,674.0","201,350.0","209,726.0","204,189.0","186,154.0","216,584.0","204,249.0","197,080.0","196,803.0","195,400.0","190,671.0","181,501.0","168,362.0","172,306.0","161,326.0","153,170.0","140,341.0","131,245.0","122,438.0","139,822.0","146,823.0","165,902.0","182,423.0","205,981.0","237,130.0","262,639.0","264,679.0","269,361.0","279,121.0","282,808.0","292,675.0","298,843.0","303,837.0","308,352.0","325,196.0"
"32","13","  Personal income receipts on assets","W210RC1","80,516.0","83,029.0","85,325.0","87,672.0","89,643.0","91,928.0","95,388.0","97,067.0","99,479.0","100,349.0","101,703.0","102,355.0","105,187.0","107,569.0","111,082.0","114,601.0","117,233.0","121,147.0","127,625.0","132,645.0","137,713.0","143,954.0","149,133.0","154,685.0","159,045.0","159,854.0","163,129.0","166,665.0","170,430.0","176,341.0","180,820.0","186,201.0","190,239.0","201,012.0","210,470.0","219,505.0","224,947.0","230,586.0","237,411.0","246,163.0","257,052.0","266,968.0","277,719.0","297,223.0","324,020.0","334,583.0","335,984.0","360,050.0","378,191.0","405,586.0","445,466.0","458,472.0","474,740.0","491,712.0","492,258.0","494,689.0","506,442.0","514,407.0","539,299.0","558,205.0","569,650.0","595,954.0","627,050.0","638,869.0","646,040.0","653,707.0","647,593.0","665,460.0","687,677.0","696,350.0","697,664.0","696,069.0","698,342.0","703,265.0","720,852.0","740,737.0","745,302.0","750,400.0","772,962.0","799,488.0","846,917.0","871,844.0","885,032.0","895,379.0","908,253.0","919,275.0","927,692.0","927,864.0","927,258.0","931,343.0","931,484.0","924,211.0","915,523.0","912,806.0","906,303.0","904,252.0","907,155.0","902,504.0","895,341.0","896,808.0","909,208.0","932,781.0","962,042.0","986,630.0","992,970.0","998,284.0","1,007,042.0","1,023,140.0","1,041,729.0","1,067,948.0","1,093,568.0","1,119,712.0","1,134,334.0","1,152,169.0","1,173,832.0","1,201,465.0","1,245,361.0","1,276,756.0","1,286,231.0","1,268,312.0","1,229,515.0","1,236,248.0","1,245,399.0","1,275,999.0","1,334,283.0","1,363,141.0","1,375,869.0","1,369,427.0","1,357,843.0","1,350,561.0","1,340,636.0","1,334,836.0","1,319,070.0","1,315,397.0","1,303,838.0","1,299,966.0","1,299,198.0","1,306,179.0","1,312,385.0","1,333,841.0","1,350,024.0","1,372,938.0","1,395,491.0","1,515,514.0","1,459,680.0","1,507,077.0","1,560,412.0","1,640,823.0","1,711,091.0","1,817,244.0","1,881,342.0","1,909,022.0","1,959,197.0","2,050,361.0","2,098,692.0","2,119,840.0","2,123,596.0","2,114,704.0","2,129,755.0","2,069,090.0","1,972,730.0","1,925,891.0","1,891,105.0","1,889,171.0","1,911,065.0","1,914,444.0","1,889,738.0","1,915,015.0","1,947,546.0"
"33","14","    Personal interest income","A064RC1","56,552.0","58,905.0","61,057.0","63,072.0","65,135.0","67,668.0","71,148.0","72,847.0","74,431.0","75,393.0","76,535.0","77,419.0","79,083.0","81,141.0","83,978.0","86,893.0","88,861.0","91,867.0","97,249.0","101,153.0","105,197.0","110,678.0","115,597.0","121,265.0","126,149.0","127,210.0","130,317.0","133,329.0","134,310.0","138,273.0","140,940.0","144,385.0","147,607.0","157,116.0","164,886.0","172,725.0","176,731.0","181,194.0","185,703.0","192,567.0","201,704.0","210,108.0","219,763.0","237,639.0","262,328.0","270,395.0","271,420.0","294,602.0","309,619.0","333,022.0","369,694.0","380,860.0","397,196.0","415,344.0","415,278.0","415,341.0","425,566.0","432,483.0","455,135.0","472,017.0","481,226.0","505,266.0","536,158.0","546,301.0","550,780.0","556,859.0","549,433.0","566,144.0","584,585.0","590,130.0","590,324.0","588,601.0","589,650.0","593,577.0","607,700.0","623,669.0","623,754.0","624,156.0","640,338.0","660,932.0","699,061.0","716,308.0","724,152.0","728,463.0","738,353.0","749,619.0","757,940.0","761,876.0","752,042.0","751,167.0","748,516.0","741,211.0","731,465.0","726,325.0","717,530.0","713,316.0","713,815.0","704,749.0","690,790.0","683,078.0","684,679.0","699,453.0","722,675.0","743,986.0","748,892.0","750,255.0","751,625.0","756,900.0","762,020.0","775,871.0","791,015.0","808,575.0","816,138.0","826,702.0","840,517.0","859,723.0","895,506.0","923,316.0","934,619.0","923,943.0","895,749.0","906,691.0","911,603.0","929,517.0","969,125.0","984,988.0","992,861.0","989,702.0","987,376.0","985,051.0","973,619.0","959,846.0","931,295.0","917,875.0","901,260.0","897,022.0","898,189.0","898,055.0","885,707.0","877,168.0","855,577.0","850,321.0","857,968.0","876,966.0","927,772.0","970,577.0","1,003,104.0","1,046,491.0","1,067,199.0","1,128,735.0","1,156,840.0","1,157,150.0","1,205,385.0","1,248,539.0","1,291,599.0","1,315,041.0","1,313,658.0","1,315,255.0","1,334,031.0","1,295,920.0","1,240,490.0","1,229,541.0","1,213,310.0","1,205,794.0","1,208,690.0","1,205,288.0","1,174,692.0","1,190,858.0","1,208,109.0"
