"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199"
"21","12","Q1TON1 B   Other","Q1TON10",362999,361352,362024,360766,359642,360153,361358,361427,361176,360047,361981,358891,357761,359317,361944,358075,360052,357889,359381,358539,358827,358597,359509,361374,366606,365551,360441,362711,363953,364294,364326,365365,366793,371951,369239,371317,373480,373741,373379,375271,377439,377684,380977,379805,382352,382390,384457,387329,386338,389141,392834,393766,394667,396787,397549,401461,402484,404445,404727,408302,409826,405020,408937,411047,413194,415512,414095,413679,418310,416439,420334,423164,418976,421992,425162,427800,427475,432851,434780,435563,437450,442155,443460,447691,443642,448293,452279,449023,450547,455231,458279,460235,462963,463752,467444,467945,472597,469464,471984,473268,474776,483622,482434,485093,485258,487213,494551,493496,498574,500530,502059,502224,506801,503785,497540,507313,512380,514458,522798,534723,514735,514235,526117,530679,533817,531190,533998,535789,541373,542892,540419,549052,540435,541112,540814,539972,552254,545892,551002,555952,548279,560641,555947,558606,565655,564302,564995,565410,560695,567840,566487,563604,569401,570675,573590,572258,577133,578924,582552,579270,575162,591126,589330,597387,596881,597366,606792,603318,607527,595368,612952,612584,615275,614529,619224,620875,624920,626007,624414,626183,630105,633254,630179,636115,635183,641716,640240,643415,641918,643149,649511,651467,657744,657557,658985,659550
"22","13","Q1TSS1 A Services","Q1TSS10",2802321,2813086,2825108,2838938,2851078,2858542,2865300,2876576,2875240,2875633,2866007,2872215,2860585,2867697,2876654,2894138,2899127,2897202,2906396,2908282,2911857,2913114,2931580,2932758,2951381,2951263,2979079,2980494,2986112,2997113,3010628,3007878,3029761,3025243,3043394,3047362,3036597,3065553,3059542,3060524,3054788,3081072,3088065,3102366,3109399,3117689,3120792,3131950,3151005,3156309,3148530,3154895,3169353,3179371,3174539,3189036,3193908,3198348,3199408,3204948,3207423,3226832,3229778,3236222,3250483,3266788,3265177,3281128,3274528,3279124,3296490,3304623,3313816,3327135,3337782,3340100,3343557,3352476,3359744,3366855,3373063,3374006,3382296,3401311,3408697,3424727,3419973,3438910,3451875,3449911,3479731,3483974,3492932,3516583,3513362,3534931,3537603,3567697,3580741,3579680,3600228,3626001,3632484,3641560,3652128,3644545,3652403,3664307,3687527,3689648,3711886,3729094,3737187,3749170,3772783,3783862,3790070,3799106,3815371,3830537,3845191,3874579,3893437,3892966,3907502,3924043,3936379,3949580,3961995,3972092,3983447,4004780,3995194,3993387,4005213,4010949,4020299,4016724,4027843,4033147,4022460,4045208,4045680,4062652,4059863,4072356,4075971,4086775,4099190,4101076,4115220,4105555,4106184,4123628,4126064,4132703,4146690,4149833,4142918,4156041,4173760,4179339,4185389,4193090,4192068,4211123,4229746,4247229,4268680,4274534,4263651,4275752,4294728,4295239,4315276,4324313,4332524,4346236,4360929,4379041,4381949,4390356,4403675,4396210,4421512,4434988,4443710,4452157,4464454,4468658,4483823,4495138,4480602,4514940,4527080,4530223
"23","14","Q1HOS1 B   Housing","Q1HOS10",794567,796338,797214,798170,800193,801803,802608,804239,806252,807097,808406,809181,809664,811888,813186,816830,817625,819185,822144,823623,825223,825777,828223,827337,829259,828967,830880,830538,830930,832712,833758,833597,833617,835469,836305,836808,837764,836989,836184,837311,837251,839223,841055,843390,844869,846550,848392,852196,855447,860771,863268,864274,864797,867313,869860,872839,876835,877791,879270,879492,881786,882430,884131,884715,885772,887090,887704,888721,890492,891327,893129,893169,893803,894468,897215,897628,898262,899842,901322,902912,904140,906374,907823,909484,912111,914124,915482,917324,919237,921451,923121,926040,927117,928727,931123,933840,937423,939839,940845,943029,945495,948766,950890,952651,953728,955892,957784,959777,966248,969459,972398,973042,975427,977027,979976,981697,983690,985834,988159,989668,992778,995174,999280,1000840,1003749,1005329,1007342,1009526,1012817,1014498,1017306,1018835,1022167,1024401,1026756,1028950,1031396,1033349,1035925,1038300,1035200,1039760,1042618,1046000,1044721,1044711,1043755,1044611,1043514,1042950,1042467,1041330,1039136,1039719,1038270,1039870,1039699,1041712,1042477,1043504,1043735,1046171,1048425,1050901,1051092,1054273,1057745,1061217,1064720,1067155,1070869,1072097,1074593,1076968,1079635,1082031,1084154,1087214,1089297,1092115,1094994,1095487,1096242,1099130,1101677,1103307,1104555,1105854,1109437,1107877,1112345,1112919,1115204,1115556,1118022,1119702
"24","15","Q1HOP1 B   Household operation","Q1HOP10",253938,259462,262770,266894,268704,267417,267580,272804,272699,271782,263578,268782,267619,258112,265052,268060,279171,272937,274126,270756,272804,267725,276771,265099,266824,264530,278468,279338,275164,275554,277797,274403,285108,280442,289290,281948,272808,293897,289540,284808,280583,293117,291646,296292,298836,297724,291334,302249,301824,301906,297888,297943,303143,315412,302324,305546,303580,305359,302242,302620,301411,307629,298836,308834,311948,312057,319219,324314,314511,311889,321966,321969,323183,329460,328266,326772,329889,327486,320733,327404,322718,328812,332194,330333,335202,331968,326308,339501,336954,332659,341011,338772,343578,357871,345399,355102,341444,352312,356923,350358,359365,365896,362096,363341,365030,356401,353046,358819,363325,357657,367378,368623,369286,375364,380576,379729,379487,377537,368685,374884,376456,378481,374084,380291,389107,396289,388713,394109,394807,394077,399375,415530,395692,396040,401060,388167,391206,389010,391405,389696,389654,394050,379199,386439,384469,389104,390313,392279,398345,394737,394101,392232,390902,398997,397124,395833,401033,405004,387699,395146,400093,394042,397780,399430,390508,399145,402570,405352,412811,408632,391062,399114,406483,401450,404556,403854,401942,409112,412818,415147,411640,411909,419466,407528,417554,416396,415947,418366,421124,419653,414987,420995,392642,413119,411578,403584
"25","16","Q1GEL1 B     Electricity and gas","Q1GEL10",105953,113388,114540,118287,119223,118046,116887,120591,123965,121288,115468,121176,120353,112403,119044,121030,131247,124164,124591,120745,122496,117257,126060,113625,114409,111367,124449,124314,119036,118311,119624,115521,125708,120704,129568,122066,112971,133703,128483,122832,117678,129000,126431,130155,131949,130700,123848,133649,132257,131253,126131,125893,130330,141552,127378,129453,126405,127550,123699,123363,123075,128709,119021,128407,130959,130038,136050,140344,129206,125998,135401,134632,135632,141195,138948,136396,138178,134865,127404,133756,128301,133394,135956,132822,136152,131724,124856,137403,133497,127524,133603,129605,132836,145623,131714,140218,125647,135939,139881,132763,141108,146857,140785,140851,141662,132684,128428,133536,137885,130106,138435,137706,136542,141300,144892,142849,141758,140183,130380,135685,135460,136227,130042,134827,142383,148667,140404,145150,145749,144689,149867,166135,146609,147259,151656,138620,140288,137612,139834,138249,138729,143995,130274,137594,136212,140828,142225,143111,148430,145931,145445,143717,143022,151312,149773,148350,152190,155379,138234,144789,148861,142820,145904,147132,138491,146304,149362,152047,158259,154105,136780,144763,150661,145306,146680,145877,144157,151117,155234,157603,153057,153024,159393,148273,156850,154360,153470,155281,157735,156839,153195,158233,134309,151402,150140,143203
"26","17","Q1HLU1 B     Other household operation","Q1HLU10",148535,146513,148685,149026,149902,149796,151138,152644,149115,150914,148552,147992,147653,146175,146424,147439,148298,149164,149941,150418,150724,150889,151129,151904,152836,153577,154475,155475,156568,157689,158627,159335,159853,160209,160149,160342,160290,160648,161495,162447,163422,164550,165688,166589,167334,167480,167983,169081,170076,171165,172263,172537,173319,174437,175429,176592,177641,178285,178966,179665,178734,179386,180141,180881,181479,182478,183720,184581,185711,186237,187061,187817,188049,188836,189848,190857,192210,193064,193669,194061,194772,195818,196657,197887,199422,200614,201803,202531,203835,205427,207766,209467,211066,212665,214023,215272,215904,216693,217456,217816,218702,219645,221691,222861,223760,223755,224465,225317,225618,227363,229049,230964,232714,234192,235920,237030,237840,237423,238092,239183,241031,242337,243951,245503,246886,247858,248435,249035,249097,249549,249445,248579,249107,248547,248727,249946,251195,251869,251802,251738,251133,250010,249302,248996,248423,248352,248122,249176,249805,248717,248561,248423,247779,247483,247135,247248,248433,249114,249748,250336,250990,251390,251846,252202,252458,252821,253021,252962,253870,254107,254956,254534,255667,256390,258101,258266,258194,257859,257079,256827,258323,258646,259307,259564,260171,261864,262449,262881,262866,262294,261896,261958,262062,262128,262077,262257
"27","18","Q1TOT1 B   Transportation","Q1TOT10",195429,197138,196311,196387,197135,196547,196125,195740,195755,195143,193946,192624,189435,188141,186260,187040,186807,185686,185890,184975,184422,184940,184597,187923,188243,189353,190087,190410,191211,194575,197948,196824,197718,196212,197761,200054,198027,198213,198612,200039,200502,201487,201915,203450,205314,205500,207530,208916,210160,211605,214028,214794,216568,217619,219317,220319,221909,223476,225052,225690,226963,226767,227050,227979,229197,230490,231282,233851,235097,235954,237631,239023,240395,242836,243576,244581,246651,245655,247749,248874,250400,251772,250877,256641,257824,259199,261266,261048,261747,262833,264729,264668,266031,265105,265929,267977,267493,268428,269375,270980,271804,272555,273150,272963,273677,273942,274090,275573,277920,279388,280443,280839,281855,282918,284328,285915,286131,287637,287648,285840,287765,289518,292407,291111,292238,292209,291662,290896,292128,291560,292812,290744,293526,292978,292250,292291,291440,290721,290147,289192,278334,282033,282027,280696,281646,281876,282237,281165,280670,281048,279828,279254,278238,278343,277696,280824,280585,281048,280268,279182,279525,279374,280035,280122,279784,279948,279662,281547,281925,285042,284453,283518,283745,283172,283387,283233,283524,282988,283341,282796,283539,284573,285787,285111,286958,286710,287354,286999,288309,288997,291012,291810,293692,294717,294679,295754
"28","19","Q1TMD1 B   Medical care","Q1TMD10",778601,779772,783961,788531,793418,799877,804323,805165,805997,808841,810535,812363,811542,814519,813133,818976,815392,821399,824254,827745,830281,834922,837931,844143,847942,849626,856937,859288,861671,864269,866219,868735,871775,870933,871395,874742,874454,878274,874444,875317,874937,876108,879301,878141,876837,878736,880482,879311,881293,882844,883532,884178,888173,884189,887351,887639,889887,890185,892465,893471,897856,899601,902825,901901,905290,905392,906306,909305,909951,912488,911399,914439,914973,909120,916636,919716,918731,924234,921606,923125,925908,929594,930077,936197,929040,934513,934390,937922,938579,940684,946362,945869,949597,948293,953252,955162,963315,968932,967063,966683,969445,968716,971755,972310,973193,974066,975791,976694,977269,977937,978666,981582,983533,985905,990022,992733,994612,998648,1002241,1004511,1007160,1010548,1014481,1018835,1021730,1025386,1028887,1031998,1035377,1039453,1042318,1045593,1049095,1053757,1057771,1060811,1065483,1070668,1078215,1082097,1087765,1092714,1098854,1105683,1107449,1113928,1119185,1124514,1129967,1135121,1139208,1144784,1149055,1155144,1159282,1162003,1166408,1169037,1174058,1177077,1179911,1183402,1183936,1187838,1190908,1196894,1202655,1206967,1207686,1212081,1214555,1220398,1225789,1230409,1237084,1241140,1246654,1250761,1254149,1261378,1265023,1268669,1273751,1277622,1282202,1287110,1295468,1298836,1304484,1310090,1315501,1320091,1325297,1331417,1337013,1342691
"29","20","Q1REC1 B   Recreation","Q1REC10",165866,167169,169417,170372,170018,170944,170992,172178,171585,171955,173543,173125,168513,171137,171384,169849,170209,171475,171928,170681,172009,172237,173015,176915,179496,180250,180937,180864,183351,183204,183960,184722,185672,186935,188783,189417,191673,191249,191388,193690,193017,194589,197239,198226,198468,198905,197502,198701,199592,200322,201387,202154,202948,205030,207527,206526,206280,206950,209102,209727,210730,212608,215629,215240,218832,220259,219181,221788,222054,222912,225605,225415,224044,224763,227102,226472,226909,229316,233385,229404,229350,230378,230515,231982,232106,235910,234971,235899,236773,235231,235448,236084,234582,236830,236202,237790,242356,240714,241567,242190,242391,243577,245634,247263,246289,248443,248953,250028,249873,251743,253819,255777,255192,256909,258299,260048,263560,262398,263766,262436,260727,264313,267656,267621,267734,267565,271487,269523,269311,271259,272246,269740,275701,273802,274693,273673,274988,273716,275776,276965,270862,273523,276879,278161,279028,278424,277928,280522,281045,278835,279688,280750,283006,283680,283950,287540,286848,285182,286370,287805,290145,291499,290276,290864,293471,295709,296419,298399,298539,301924,302732,300344,301170,301707,302791,303695,304207,303770,304470,303958,306026,308778,308397,305621,308709,310713,309873,309031,307764,309352,309728,309055,313535,311485,311187,312784
"30","21","Q1OSR1 B   Other","Q1OSR10",617368,615750,617746,620574,623611,624595,626543,628643,625181,623346,619799,619364,617169,628804,631481,637091,631850,629627,631169,634253,630753,632039,634470,636580,644724,643996,645812,644072,648357,651393,655319,654468,659490,659472,663000,668411,666973,669688,672488,673036,672639,679280,679951,685419,687292,692721,698747,692598,704943,701244,691255,694386,696070,690915,690773,698501,698047,697101,694188,696808,691719,700346,704744,700137,701869,713958,703354,704669,704725,707062,708623,712463,719132,727702,726463,726520,724477,727598,737133,736802,742535,728837,732347,738353,743698,750632,749591,748494,759911,758691,770118,773788,773032,779956,782387,785527,786842,798184,805440,807190,812146,826666,829325,833364,840458,836324,843277,843883,853172,853891,859462,869451,872090,871249,879762,883924,882827,887244,905019,913305,920362,936462,945325,934248,933009,937370,948314,953564,957622,961359,959420,964225,959126,952353,952410,967347,965947,959316,956279,956771,960394,962920,965701,965256,962049,963866,962134,963222,965332,967990,979474,966684,965284,967309,969257,966155,971698,967441,971471,972776,979833,984260,984383,983371,985575,984487,990011,993142,1002507,999225,999017,999405,1002214,1000587,1006859,1009318,1010888,1011352,1015854,1022533,1019591,1019846,1019071,1019950,1023327,1029571,1029306,1031803,1032087,1031406,1039143,1038992,1040014,1047638,1053597,1054922
"31",NA,"         Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","22","Q1NRG1 B   Energy goods and services","Q1NRG10",259701,276568,275322,277652,277980,277642,278600,285543,280508,277247,272108,275443,275419,267244,274010,276812,289691,283190,285443,278663,281589,275218,282015,272637,274268,267187,287465,288436,283916,279584,282855,278067,291891,284438,294857,288462,273263,300528,295476,287117,286122,295218,293715,301144,303216,298255,293688,303454,307247,303106,292677,293866,301174,314515,299343,300438,295242,297046,288918,294863,294010,303337,291050,301646,305610,305808,310150,314334,301338,296778,310471,308650,311301,315104,318657,313123,314833,314000,304964,312055,302868,310903,313357,308295,310659,310006,304355,317096,312309,309045,315982,308908,312881,325801,315071,322875,308141,318941,328620,320648,327250,331783,326303,329517,325998,318569,316976,324251,329353,321318,332413,332781,329621,332332,338245,332968,326316,333795,320950,335613,327498,327177,321107,328884,334398,332831,329309,336825,332520,335094,342747,368998,343082,344646,347615,334863,326594,320320,336266,327977,325640,335888,329811,336906,329925,338489,337511,337548,347080,345971,344087,343112,340491,346510,347883,348245,349500,353193,335684,340217,345138,340354,342516,349199,337819,347039,351686,353243,361442,352222,336373,344174,355004,344629,346695,347595,346741,354174,357896,360304,365623,358707,363983,353320,363668,358148,359908,360036,354123,359631,355794,361971,338154,355523,352339,348797
"33","23","Q1XEF1 B   Personal consumption expenditures excluding food and energy","Q1XEF10",3742836,3695986,3704754,3710671,3709028,3720315,3730343,3724753,3725247,3713521,3710891,3695219,3653192,3690507,3731767,3718836,3709411,3717849,3736699,3735658,3740096,3729630,3741685,3761301,3807657,3822397,3813904,3818397,3844315,3869739,3875000,3887767,3907438,3918835,3912205,3951383,3962725,3943273,3937958,3974068,3990670,4000040,4024040,4020314,4038725,4058451,4075437,4083711,4103930,4131766,4136259,4155492,4138725,4151546,4163985,4194889,4202834,4231327,4241519,4247601,4242724,4234779,4269354,4250998,4281573,4324203,4305135,4326450,4351546,4336094,4367272,4397463,4372039,4408641,4429737,4454011,4458011,4467490,4487600,4503545,4518888,4526175,4536531,4562175,4577737,4601298,4618613,4607380,4619545,4646230,4691216,4725736,4719216,4736695,4773188,4792804,4803544,4833023,4847380,4871927,4910448,4935215,4943270,4970119,5000639,5028584,5048310,5080091,5076529,5109242,5133296,5161899,5195104,5213077,5224858,5255214,5271323,5274227,5311761,5357515,5372583,5427049,5459596,5434281,5452364,5450939,5477788,5499980,5544747,5540911,5539541,5553295,5559925,5580199,5570993,5579267,5612801,5623486,5626336,5661623,5602610,5767157,5735048,5713239,5741458,5769458,5759376,5801075,5759705,5796855,5837622,5839595,5801951,5815979,5830390,5877622,5875431,5856965,5898006,5916362,5935814,5981732,5994389,6052197,6043375,6031540,6078005,6109786,6118389,6124142,6165786,6139539,6189402,6171265,6235429,6234224,6253292,6269566,6282826,6329730,6317785,6348799,6356141,6389237,6369127,6442059,6526113,6448031,6415757,6406004,6472141,6517127,6560907,6558935,6576469,6590003
"34",NA,"Real PCE by Major Type of Expenditure (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","24","Q1PCE1 A     Personal consumption expenditures","Q1PCE10",4768784,4743579,4758944,4769660,4766829,4782532,4791496,4793720,4792641,4767032,4763325,4744522,4699705,4728752,4785700,4771614,4783274,4783408,4804772,4796820,4798841,4780510,4801807,4805513,4871222,4873783,4879849,4883623,4907009,4918533,4933427,4945423,4976694,4993205,5001158,5033776,5026296,5034787,5020769,5054062,5071180,5090387,5114447,5119097,5148278,5157848,5171731,5189321,5203137,5243977,5243843,5264600,5254154,5285088,5281246,5314808,5321143,5353290,5355514,5367443,5365556,5354368,5381798,5372228,5410440,5452292,5436521,5463749,5476284,5455122,5498793,5534445,5507757,5549271,5576701,5598064,5604534,5612217,5624752,5644903,5652384,5670176,5686081,5706636,5728673,5751857,5766818,5764190,5768503,5794922,5852948,5880983,5878085,5905245,5931057,5957947,5959093,6001281,6030261,6048794,6096037,6131419,6133238,6166733,6196993,6220109,6242888,6283324,6276315,6311091,6346540,6379697,6416292,6432938,6451202,6482136,6496895,6508554,6539892,6621911,6606814,6668143,6708781,6688496,6708579,6712960,6735132,6761753,6807041,6810815,6813309,6850713,6844310,6862978,6851858,6851049,6879422,6880298,6901325,6933539,6866752,7045076,7003629,7003966,7022634,7057342,7046694,7092252,7060038,7098115,7138147,7136260,7095082,7117524,7138821,7188355,7193545,7176764,7206282,7224950,7248403,7297196,7318088,7394985,7368903,7369645,7426255,7453415,7494121,7487921,7522224,7501332,7569400,7539073,7606736,7607073,7638681,7670153,7686395,7739839,7740715,7774344,7779668,7804874,7801706,7882107,7967495,7899158,7856902,7859058,7930226,7986769,8011031,8029160,8039943,8049917
"36","25","Q1FTB1 C Food and tobacco","Q1FTB10",855319,859765,867825,870495,868648,873165,870716,871469,875062,864152,868417,860408,855650,855470,864443,860237,868548,866490,866811,866621,861522,859956,863098,856473,875714,870666,866400,864613,866300,855801,862566,866189,864413,877250,881054,879659,875845,877712,873958,878786,880070,881305,882590,884055,893149,887237,888411,888672,878324,895979,901409,901630,901379,907612,905073,906608,910061,911978,911597,911918,915943,903507,907722,906889,910874,909549,909108,911185,910232,908796,908646,915863,912350,913544,916585,918864,919707,918703,919556,916937,917639,920680,923973,923671,927897,928058,931209,927686,923993,926612,933187,932926,932875,930266,929232,929081,932614,935545,941678,942210,944820,951283,949356,952819,954947,955870,959745,961642,953221,960939,962635,966339,971829,967744,968708,973546,977992,979839,985098,1007953,985550,992616,1006748,1004088,1000666,1008003,1006758,1003546,1008344,1013363,1009187,1005604,1019445,1016103,1011054,1015069,1018732,1015641,1017076,1022085,1016404,1019947,1016133,1031520,1027816,1026742,1026802,1030406,1030295,1031971,1032694,1029502,1028308,1030677,1035806,1037281,1042811,1040242,1047318,1042560,1041276,1048683,1054505,1066469,1061129,1063769,1068998,1062936,1085620,1083391,1093187,1089946,1096259,1095687,1097192,1097503,1110682,1117317,1116002,1120007,1126430,1136939,1128929,1134350,1137923,1152818,1153480,1161279,1158740,1162343,1174016,1178111,1191591,1187917,1185800,1187365
"37","26","Q1FXA1 C   Food excluding alcoholic beverages","Q1FXA10",672476,677024,683474,684756,683923,687303,685360,685319,687597,677546,680796,674640,675383,678795,687124,684348,691916,689222,690292,690259,686552,684976,686675,682764,698481,692904,688830,688071,689459,681033,686960,689532,687785,699110,702857,703184,700343,702041,698914,703535,704694,705462,706507,708116,716819,711349,712631,713586,703519,718787,722878,723621,722918,728911,726217,727809,730406,732545,732284,732324,735941,725409,729303,727581,731451,730014,728944,731165,729303,728438,728503,734431,730642,732520,734725,736758,738097,736342,737027,734545,735835,738701,741216,741020,744980,744906,746572,744564,741404,742906,748532,748303,748336,745821,744841,745029,747960,749895,756386,757129,759538,765653,764216,767099,769842,770805,774235,776390,770561,777509,778897,781542,787617,784531,785878,790393,794386,795545,800656,821256,800411,806045,818309,817158,813108,820358,818995,816268,820701,825118,821583,819795,830793,828262,824081,827478,830221,827633,830034,834410,829756,833455,830181,844289,840534,839733,839154,842730,843195,844918,845841,844608,843538,846625,851401,851254,858055,855475,861346,857312,856953,863975,868735,878753,874361,877218,882240,876484,896528,894479,903836,901166,905844,905453,906775,907559,919921,924599,924248,929016,934275,942652,935238,939623,942301,955487,955487,962272,959186,962590,973784,977271,989502,986677,985142,986440
"38","27","Q1ALC1 C   Alcoholic beverages","Q1ALC10",99535,99437,100739,102190,101512,102837,102810,103833,105128,104690,105863,105121,101134,98039,98542,97263,97962,98675,98029,97717,96159,96084,97037,94181,96214,96242,95638,94715,94999,93506,94163,95362,95365,96450,97292,96415,95009,95039,94304,94786,94961,95464,95729,95585,95720,95479,95275,94472,94258,95973,97035,96475,96857,96828,96985,96804,97487,97119,96940,97169,97426,95852,95978,96824,96742,96819,97391,97102,97978,97385,97089,98086,98391,97599,98284,98394,97816,98550,98646,98543,97895,97942,98609,98485,98587,98811,100213,98831,98431,99534,100342,100381,100388,100477,100550,100318,100893,101954,101581,101561,101911,102333,102141,102905,102528,102742,103450,103592,101754,102934,103618,104917,104578,103870,103720,104208,104822,105712,105913,108061,106343,107719,109587,108200,108887,109037,109224,108811,109259,109918,109389,107738,110313,109441,108516,109286,110290,109859,108986,109739,108811,108790,108372,109899,110141,110037,110861,111082,110702,110860,110885,109106,109187,108706,109342,111192,110260,110475,111951,111384,110637,111282,112564,114790,113971,113949,114345,114123,117003,116941,117586,117152,118980,118940,119294,118974,120047,122192,121388,120834,122119,124426,123852,125028,126046,127988,128760,129935,130558,130888,131578,132341,133834,133062,132555,132937
"39","28","Q1TOB1 C   Tobacco products","Q1TOB10",89535,89121,89153,88983,88456,87898,87249,86911,86824,86904,86409,85005,82364,81435,81135,81132,80732,80715,80525,80774,81308,81518,82127,82694,84122,85127,85961,85880,85822,85415,85397,84994,85009,85111,83790,82633,83429,83578,83855,83289,83164,83064,82983,82937,82922,82876,82965,83128,83517,83714,83870,83932,84049,84166,84288,84404,84519,84649,84748,84832,84865,84948,85044,85170,85280,85392,85506,85619,85732,85844,85957,86072,86198,86306,86408,86501,86588,86668,86745,86810,86865,86908,86949,86985,87038,87047,87034,86993,86940,86870,86782,86675,86549,86384,86236,86084,85979,85782,85543,85239,84936,84609,84252,83883,83496,83155,82684,82148,81347,80825,80386,80093,79769,79477,79215,78991,78801,78583,78511,78522,78792,78837,78833,78719,78662,78602,78542,78472,78395,78340,78229,78090,78354,78410,78451,78310,78245,78168,78082,77984,77874,77761,77622,77464,77275,77108,76941,76776,76602,76423,76238,76051,75861,75676,75475,75264,75017,74810,74614,74440,74262,74090,73923,73762,73607,73444,73312,73196,73134,73023,72901,72753,72619,72483,72346,72208,72069,71940,71790,71630,71568,71491,71410,71323,71240,71156,71073,70989,70904,70822,70734,70644,70544,70453,70364,70279
"40","29","Q1CAJ1 C Clothing, accessories, and jewelry","Q1CAJ10",254046,249338,249564,245646,247786,250199,250561,247282,245603,244293,244896,243495,240311,244809,247770,249529,247687,245587,246972,246349,240974,240240,240089,239220,248274,253764,250390,253780,254931,257583,256896,261711,263712,263946,263196,264970,269063,261267,259798,265049,269225,271345,273866,270404,272989,274422,274497,274636,276299,280221,283016,281837,277788,280038,281864,286874,285461,292320,292495,294563,294063,289379,293301,292265,296635,297806,300922,296222,304391,297461,304261,304713,300593,308409,308464,311684,312394,314260,313438,319015,319504,320555,317638,320008,317987,320091,320297,316784,316070,320980,324346,328494,328375,330058,333103,332940,336120,341872,344226,347203,346512,349307,349446,346989,347695,354296,356686,359548,365868,369678,373497,370774,375267,376458,376597,378816,380186,379991,380547,384219,384286,387779,394512,392150,398501,395869,399216,400240,405992,400855,401859,402177,403892,400014,392201,399478,399513,397100,399894,406031,392106,404773,405678,411152,414264,418138,414419,420020,414161,420341,419055,419226,413097,427717,425081,429348,428999,425204,430122,431754,437597,442170,445449,448601,449017,447632,452872,457441,461557,463375,468670,458282,463296,461513,465455,465038,471314,478043,475554,477792,482977,490277,478694,489133,487736,498521,496068,494361,489407,499819,506572,507814,514880,516686,513280,508858
