"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"42","23","      Other","W827RC1","11,784.0","12,108.0","12,592.0","13,140.0","14,088.0","15,308.0","16,416.0","18,208.0","18,628.0","19,120.0","19,796.0","20,208.0","20,628.0","21,024.0","21,444.0","22,528.0","23,084.0","23,216.0","23,148.0","23,736.0","26,500.0","27,436.0","29,304.0","30,540.0","31,952.0","39,816.0","34,864.0","35,980.0","37,692.0","38,028.0","38,684.0","39,100.0","39,472.0","39,880.0","41,040.0","41,876.0","43,504.0","44,372.0","45,312.0","45,288.0","46,504.0","47,976.0","51,332.0","52,820.0","57,772.0","58,056.0","65,512.0","64,428.0","65,584.0","65,448.0","66,628.0","64,892.0","64,424.0","64,816.0","66,444.0","68,856.0","69,976.0","70,420.0","71,624.0","71,960.0","73,220.0","73,600.0","73,544.0","74,804.0","76,256.0","77,188.0","77,984.0","78,804.0","80,576.0","82,276.0","82,996.0","83,820.0","84,476.0","85,396.0","86,024.0","87,624.0","90,712.0","91,860.0","93,012.0","94,688.0","98,384.0","99,948.0","101,836.0","105,488.0","108,020.0","110,208.0","112,064.0","117,500.0","120,032.0","122,796.0","125,024.0","130,992.0","135,732.0","138,780.0","143,100.0","144,876.0","146,456.0","147,820.0","148,144.0","148,516.0","152,808.0","152,468.0","153,080.0","155,572.0","158,972.0","159,528.0","159,212.0","160,196.0","163,672.0","163,248.0","162,556.0","160,276.0","161,780.0","160,684.0","160,232.0","160,136.0","162,824.0","163,948.0","164,116.0","165,224.0","169,080.0","169,452.0","170,184.0","170,520.0","171,328.0","174,024.0","175,616.0","178,356.0","182,124.0","186,764.0","189,560.0","193,228.0","203,271.0","205,722.0","207,968.0","211,132.0","219,534.0","224,656.0","229,321.0","233,714.0","243,478.0","248,310.0","253,109.0","253,980.0","260,698.0","261,624.0","279,008.0","274,020.0","274,898.0","276,277.0","276,582.0","278,414.0","284,486.0","286,667.0","289,211.0","295,046.0","302,401.0","421,281.0","322,022.0","331,773.0","350,156.0","429,191.0","389,645.0","392,744.0","431,369.0","436,101.0","439,927.0","438,667.0","432,204.0","431,965.0","432,346.0","432,724.0","417,654.0","417,868.0","420,028.0","421,612.0","418,703.0","418,985.0","419,149.0","417,069.0","428,407.0","445,720.0","451,160.0","454,824.0","464,772.0"
"43","24","    Other current transfer receipts, from business (net)","B931RC1","3,260.0","3,356.0","3,368.0","3,340.0","3,124.0","2,968.0","2,848.0","2,764.0","2,676.0","2,656.0","2,696.0","2,756.0","2,916.0","3,036.0","3,188.0","3,308.0","3,628.0","3,864.0","4,064.0","4,204.0","4,332.0","4,512.0","4,880.0","5,228.0","6,148.0","6,900.0","7,096.0","7,232.0","7,048.0","6,980.0","6,656.0","6,092.0","5,468.0","5,004.0","4,860.0","5,028.0","5,644.0","6,176.0","6,748.0","7,284.0","7,852.0","8,192.0","8,396.0","8,460.0","8,176.0","8,328.0","8,712.0","9,304.0","10,356.0","10,972.0","11,484.0","11,888.0","12,032.0","12,296.0","12,480.0","12,736.0","12,780.0","13,172.0","13,980.0","15,252.0","17,608.0","19,248.0","20,568.0","21,484.0","21,948.0","22,148.0","22,332.0","22,612.0","23,340.0","23,457.0","23,008.0","21,988.0","21,274.0","20,560.0","19,729.0","19,348.0","19,600.0","20,110.0","20,762.0","21,911.0","23,271.0","23,131.0","23,193.0","23,088.0","23,280.0","22,943.0","21,872.0","20,677.0","19,154.0","17,932.0","17,026.0","16,430.0","16,501.0","16,460.0","16,271.0","15,916.0","15,120.0","14,361.0","13,671.0","13,064.0","12,808.0","12,788.0","13,249.0","14,173.0","16,013.0","17,841.0","19,644.0","21,413.0","22,798.0","23,526.0","23,242.0","21,947.0","19,720.0","18,727.0","18,953.0","20,385.0","22,844.0","25,087.0","27,114.0","28,935.0","31,182.0","32,830.0","34,807.0","37,071.0","39,821.0","41,462.0","43,301.0","45,150.0","47,874.0","48,306.0","46,984.0","43,911.0","39,084.0","35,197.0","32,253.0","30,246.0","29,607.0","28,012.0","25,463.0","21,959.0","17,500.0","15,425.0","15,734.0","18,426.0","23,503.0","26,417.0","27,170.0","25,760.0","22,189.0","20,475.0","20,619.0","22,620.0","26,479.0","29,674.0","32,204.0","34,069.0","35,269.0","36,291.0","37,134.0","37,799.0","37,892.0","38,320.0","38,909.0","39,657.0","40,565.0","41,868.0","43,256.0","46,115.0","49,407.0","51,068.0","51,084.0","49,407.0","45,791.0","43,340.0","41,882.0","41,417.0","41,937.0","42,309.0","42,531.0","42,603.0","43,065.0","43,788.0","44,542.0","45,328.0","45,881.0"
"44","25","  Less: Contributions for government social insurance, domestic","A061RC1","42,908.0","43,692.0","44,624.0","45,284.0","45,984.0","46,260.0","46,712.0","46,480.0","50,468.0","51,044.0","51,308.0","51,884.0","58,140.0","58,804.0","59,492.0","60,380.0","73,628.0","74,724.0","76,068.0","77,564.0","83,100.0","84,696.0","86,360.0","86,568.0","87,632.0","88,020.0","89,764.0","91,824.0","98,948.0","100,432.0","102,192.0","103,764.0","109,284.0","112,088.0","114,332.0","116,672.0","126,156.0","130,112.0","132,752.0","136,020.0","148,764.0","150,892.0","154,196.0","157,144.0","163,100.0","163,248.0","166,572.0","171,832.0","191,624.0","194,112.0","197,652.0","199,416.0","207,168.0","208,372.0","209,844.0","210,192.0","220,368.0","223,600.0","227,212.0","232,632.0","250,972.0","255,828.0","259,944.0","263,136.0","275,416.0","278,840.0","282,832.0","288,392.0","297,932.0","300,712.0","305,048.0","310,060.0","316,452.0","320,220.0","324,532.0","331,248.0","352,108.0","359,128.0","364,396.0","370,296.0","379,840.0","382,832.0","386,388.0","391,864.0","404,108.0","408,332.0","414,088.0","413,904.0","424,456.0","427,728.0","432,604.0","435,940.0","448,708.0","453,672.0","457,780.0","459,644.0","467,456.0","475,556.0","480,084.0","486,604.0","498,368.0","506,368.0","510,572.0","517,412.0","525,748.0","530,148.0","535,324.0","539,980.0","544,208.0","552,064.0","558,680.0","565,360.0","575,496.0","582,200.0","590,244.0","601,024.0","611,840.0","620,404.0","628,996.0","637,364.0","652,452.0","656,432.0","662,204.0","674,052.0","697,464.0","698,912.0","711,168.0","715,816.0","735,492.0","734,016.0","731,528.0","731,748.0","745,360.0","752,148.0","753,484.0","754,996.0","764,352.0","774,192.0","783,440.0","795,040.0","810,376.0","823,936.0","838,704.0","843,696.0","859,808.0","867,128.0","879,124.0","887,320.0","915,364.0","918,804.0","921,928.0","934,268.0","957,688.0","957,980.0","959,844.0","970,080.0","986,488.0","987,200.0","990,700.0","988,560.0","961,272.0","966,288.0","963,432.0","966,636.0","972,016.0","984,012.0","988,372.0","992,032.0","913,606.0","916,289.0","924,068.0","917,229.0","944,120.0","944,834.0","946,916.0","968,929.0","1,090,688.0","1,102,122.0","1,107,837.0","1,117,496.0","1,146,643.0","1,154,187.0","1,166,147.0","1,181,523.0","1,195,649.0"
"45","26","Less: Personal current taxes","W055RC1","102,602.0","105,660.0","104,139.0","105,623.0","104,573.0","105,512.0","100,657.0","101,538.0","98,331.0","100,714.0","102,307.0","105,468.0","119,785.0","123,370.0","124,277.0","127,128.0","126,399.0","129,181.0","134,089.0","139,959.0","142,792.0","148,902.0","154,911.0","157,587.0","157,988.0","121,068.0","152,831.0","158,541.0","162,140.0","168,974.0","175,765.0","182,353.0","188,438.0","195,331.0","198,191.0","208,116.0","211,744.0","222,832.0","236,046.0","246,966.0","253,378.0","261,751.0","274,580.0","284,955.0","284,168.0","291,517.0","301,538.0","318,197.0","330,283.0","342,057.0","356,272.0","352,048.0","351,882.0","359,102.0","349,516.0","355,940.0","350,319.0","358,999.0","344,878.0","355,104.0","360,670.0","369,940.0","383,606.0","395,432.0","431,811.0","388,050.0","421,053.0","428,442.0","425,715.0","428,828.0","438,878.0","455,447.0","450,203.0","511,142.0","488,447.0","506,440.0","501,055.0","496,811.0","505,668.0","516,218.0","551,253.0","565,037.0","569,937.0","578,153.0","580,547.0","592,621.0","598,766.0","598,898.0","578,489.0","583,698.0","587,957.0","596,356.0","586,542.0","604,866.0","613,858.0","636,858.0","614,567.0","641,342.0","656,970.0","673,253.0","671,064.0","695,266.0","692,803.0","702,883.0","720,005.0","742,222.0","747,685.0","765,680.0","796,545.0","834,409.0","838,438.0","858,428.0","896,442.0","910,515.0","935,439.0","962,208.0","990,115.0","1,016,355.0","1,037,222.0","1,062,016.0","1,073,520.0","1,090,773.0","1,116,233.0","1,149,578.0","1,204,669.0","1,226,085.0","1,243,640.0","1,254,642.0","1,297,621.0","1,304,479.0","1,109,544.0","1,227,684.0","1,065,192.0","1,044,988.0","1,048,796.0","1,042,352.0","1,017,888.0","1,014,700.0","950,712.0","1,020,144.0","1,008,308.0","1,023,260.0","1,062,896.0","1,089,404.0","1,167,768.0","1,192,996.0","1,221,880.0","1,251,364.0","1,315,720.0","1,344,224.0","1,353,976.0","1,394,536.0","1,457,300.0","1,482,688.0","1,494,800.0","1,516,728.0","1,529,380.0","1,337,020.0","1,442,388.0","1,432,016.0","1,195,500.0","1,125,220.0","1,126,428.0","1,132,592.0","1,145,592.0","1,167,928.0","1,209,444.0","1,242,912.0","1,372,887.0","1,390,559.0","1,418,119.0","1,420,935.0","1,464,711.0","1,479,507.0","1,505,115.0","1,565,435.0","1,636,825.0","1,660,637.0","1,661,513.0","1,688,089.0","1,711,788.0","1,715,256.0","1,750,058.0","1,798,550.0","1,846,809.0"
"46","27","Equals: Disposable personal income","A067RC1","668,721.0","684,766.0","707,850.0","721,675.0","737,189.0","754,131.0","773,379.0","781,410.0","804,631.0","825,671.0","838,197.0","853,224.0","866,178.0","880,089.0","904,924.0","948,551.0","966,902.0","993,408.0","1,015,959.0","1,048,213.0","1,061,597.0","1,081,469.0","1,111,700.0","1,138,457.0","1,157,933.0","1,226,477.0","1,231,254.0","1,261,488.0","1,290,456.0","1,308,055.0","1,337,692.0","1,366,910.0","1,391,164.0","1,432,595.0","1,476,478.0","1,526,535.0","1,562,876.0","1,610,855.0","1,651,029.0","1,695,518.0","1,745,731.0","1,777,854.0","1,830,535.0","1,883,009.0","1,945,976.0","1,964,614.0","2,035,013.0","2,126,202.0","2,173,012.0","2,208,757.0","2,290,864.0","2,330,261.0","2,362,593.0","2,398,832.0","2,449,613.0","2,487,935.0","2,530,931.0","2,572,389.0","2,645,626.0","2,720,649.0","2,806,259.0","2,880,722.0","2,942,920.0","2,985,638.0","3,014,136.0","3,098,044.0","3,112,238.0","3,169,669.0","3,232,174.0","3,271,242.0","3,311,167.0","3,336,948.0","3,400,408.0","3,399,480.0","3,493,721.0","3,571,504.0","3,651,715.0","3,729,954.0","3,812,275.0","3,887,673.0","3,979,805.0","4,020,956.0","4,071,453.0","4,136,348.0","4,230,723.0","4,294,353.0","4,349,913.0","4,372,030.0","4,403,031.0","4,457,005.0","4,503,445.0","4,574,456.0","4,701,356.0","4,781,976.0","4,833,462.0","4,884,216.0","4,940,843.0","4,982,921.0","5,007,673.0","5,069,489.0","5,123,115.0","5,206,227.0","5,274,537.0","5,372,975.0","5,450,268.0","5,493,511.0","5,564,846.0","5,621,646.0","5,707,243.0","5,799,819.0","5,871,080.0","5,941,631.0","6,027,737.0","6,094,276.0","6,182,666.0","6,290,722.0","6,424,437.0","6,525,723.0","6,612,147.0","6,682,773.0","6,760,026.0","6,812,910.0","6,894,656.0","7,037,580.0","7,236,300.0","7,344,901.0","7,476,959.0","7,543,832.0","7,659,066.0","7,688,960.0","7,876,684.0","7,784,360.0","7,988,201.0","8,090,544.0","8,120,810.0","8,197,212.0","8,278,078.0","8,405,181.0","8,595,108.0","8,664,765.0","8,794,462.0","8,943,526.0","9,042,913.0","9,228,233.0","9,186,563.0","9,320,841.0","9,471,452.0","9,624,379.0","9,889,811.0","9,981,056.0","10,081,151.0","10,195,522.0","10,357,980.0","10,460,498.0","10,547,308.0","10,662,160.0","10,831,200.0","11,175,406.0","11,029,709.0","10,941,370.0","10,858,945.0","10,985,191.0","10,933,024.0","10,992,953.0","11,041,458.0","11,197,644.0","11,286,660.0","11,425,722.0","11,652,203.0","11,751,674.0","11,876,631.0","11,924,907.0","12,186,015.0","12,296,640.0","12,323,776.0","12,729,675.0","12,340,375.0","12,470,706.0","12,585,840.0","12,623,658.0","12,772,943.0","12,945,204.0","13,061,186.0","13,180,727.0","13,286,505.0"
"47","28","Less: Personal outlays","A068RC1","603,205.0","615,271.0","625,973.0","638,444.0","649,915.0","660,192.0","672,401.0","679,381.0","698,787.0","713,309.0","726,263.0","743,031.0","760,722.0","779,794.0","798,654.0","823,790.0","848,623.0","864,754.0","883,618.0","900,331.0","917,391.0","946,427.0","976,007.0","986,485.0","1,014,009.0","1,042,959.0","1,077,472.0","1,106,664.0","1,140,110.0","1,159,913.0","1,189,741.0","1,224,120.0","1,260,889.0","1,289,918.0","1,322,019.0","1,361,306.0","1,392,818.0","1,451,970.0","1,484,383.0","1,524,860.0","1,561,204.0","1,602,870.0","1,658,774.0","1,704,103.0","1,756,282.0","1,758,573.0","1,816,914.0","1,887,251.0","1,947,253.0","1,980,957.0","2,023,549.0","2,041,224.0","2,083,057.0","2,113,121.0","2,163,805.0","2,228,202.0","2,270,358.0","2,336,977.0","2,409,703.0","2,464,549.0","2,512,074.0","2,573,360.0","2,614,873.0","2,666,836.0","2,749,696.0","2,800,457.0","2,877,176.0","2,906,275.0","2,952,853.0","2,982,635.0","3,050,244.0","3,088,353.0","3,118,767.0","3,189,930.0","3,256,619.0","3,291,476.0","3,374,432.0","3,436,497.0","3,507,883.0","3,583,831.0","3,643,981.0","3,711,418.0","3,769,577.0","3,817,547.0","3,902,662.0","3,949,015.0","4,015,462.0","4,038,083.0","4,046,691.0","4,101,811.0","4,148,739.0","4,177,152.0","4,274,284.0","4,330,832.0","4,408,327.0","4,483,455.0","4,529,317.0","4,598,909.0","4,667,045.0","4,735,098.0","4,805,597.0","4,871,955.0","4,948,196.0","5,025,444.0","5,065,631.0","5,147,573.0","5,219,377.0","5,285,996.0","5,362,982.0","5,458,152.0","5,517,804.0","5,599,978.0","5,683,987.0","5,728,613.0","5,842,484.0","5,931,564.0","5,988,499.0","6,110,329.0","6,209,567.0","6,315,405.0","6,385,751.0","6,517,651.0","6,626,413.0","6,763,890.0","6,928,466.0","7,030,961.0","7,153,928.0","7,259,973.0","7,336,166.0","7,388,350.0","7,419,290.0","7,525,416.0","7,557,628.0","7,656,142.0","7,745,992.0","7,816,523.0","7,895,188.0","7,996,687.0","8,158,877.0","8,257,530.0","8,396,289.0","8,513,345.0","8,649,718.0","8,809,753.0","8,931,976.0","9,093,302.0","9,260,807.0","9,365,407.0","9,519,274.0","9,649,783.0","9,781,264.0","9,879,100.0","10,017,405.0","10,144,862.0","10,258,734.0","10,365,701.0","10,422,372.0","10,537,916.0","10,569,817.0","10,278,625.0","10,189,147.0","10,196,025.0","10,319,555.0","10,377,324.0","10,462,102.0","10,545,326.0","10,636,655.0","10,795,248.0","10,925,167.0","11,050,649.0","11,156,310.0","11,228,732.0","11,365,023.0","11,433,664.0","11,523,492.0","11,629,215.0","11,760,618.0","11,823,853.0","11,933,067.0","12,070,776.0","12,146,858.0","12,289,577.0","12,433,044.0","12,560,281.0","12,566,278.0"
"48","29","  Personal consumption expenditures","DPCERC1","587,812.0","599,170.0","609,487.0","621,488.0","632,576.0","642,533.0","654,479.0","661,178.0","680,203.0","694,251.0","706,654.0","722,854.0","740,119.0","758,615.0","777,120.0","801,878.0","826,451.0","842,043.0","860,476.0","875,580.0","893,757.0","922,287.0","951,062.0","960,868.0","987,077.0","1,015,822.0","1,049,589.0","1,078,524.0","1,112,300.0","1,131,964.0","1,161,344.0","1,195,080.0","1,230,568.0","1,258,543.0","1,289,707.0","1,327,873.0","1,357,760.0","1,415,292.0","1,446,246.0","1,485,397.0","1,520,983.0","1,561,548.0","1,615,985.0","1,659,463.0","1,706,520.0","1,708,916.0","1,767,679.0","1,835,354.0","1,890,711.0","1,921,924.0","1,961,244.0","1,976,139.0","2,014,394.0","2,041,093.0","2,089,226.0","2,150,927.0","2,190,562.0","2,254,512.0","2,324,306.0","2,376,696.0","2,422,755.0","2,481,222.0","2,519,712.0","2,568,936.0","2,643,896.0","2,691,201.0","2,764,744.0","2,790,877.0","2,834,731.0","2,863,039.0","2,929,733.0","2,966,130.0","2,998,253.0","3,068,803.0","3,133,528.0","3,167,620.0","3,248,998.0","3,308,970.0","3,378,332.0","3,451,266.0","3,506,077.0","3,569,519.0","3,625,560.0","3,670,109.0","3,754,497.0","3,800,161.0","3,863,399.0","3,884,449.0","3,890,218.0","3,943,691.0","3,989,638.0","4,017,069.0","4,117,664.0","4,173,359.0","4,245,410.0","4,326,188.0","4,368,484.0","4,437,456.0","4,506,030.0","4,572,021.0","4,640,857.0","4,702,884.0","4,773,113.0","4,847,226.0","4,883,349.0","4,954,959.0","5,020,462.0","5,077,937.0","5,153,790.0","5,244,132.0","5,298,287.0","5,376,067.0","5,456,730.0","5,495,080.0","5,603,459.0","5,687,614.0","5,745,924.0","5,857,832.0","5,952,816.0","6,055,545.0","6,129,002.0","6,252,980.0","6,357,222.0","6,488,890.0","6,642,744.0","6,737,272.0","6,845,136.0","6,944,405.0","7,020,383.0","7,072,101.0","7,103,358.0","7,216,591.0","7,251,359.0","7,344,494.0","7,433,115.0","7,507,237.0","7,593,530.0","7,684,580.0","7,845,545.0","7,938,463.0","8,076,797.0","8,186,343.0","8,312,675.0","8,464,252.0","8,573,119.0","8,723,929.0","8,888,051.0","8,991,340.0","9,134,285.0","9,253,742.0","9,374,319.0","9,453,632.0","9,591,854.0","9,700,919.0","9,799,229.0","9,910,027.0","9,974,369.0","10,095,765.0","10,124,858.0","9,859,595.0","9,770,222.0","9,769,750.0","9,890,813.0","9,957,093.0","10,044,522.0","10,137,651.0","10,233,421.0","10,393,185.0","10,523,541.0","10,651,357.0","10,754,462.0","10,827,855.0","10,959,651.0","11,030,559.0","11,119,764.0","11,222,587.0","11,351,149.0","11,414,261.0","11,518,653.0","11,653,305.0","11,728,451.0","11,870,703.0","12,001,960.0","12,120,233.0","12,122,588.0"
"49","30","  Personal interest payments \4\","B069RC1","13,326.0","13,815.0","14,222.0","14,601.0","14,857.0","15,060.0","15,339.0","15,599.0","15,945.0","16,340.0","16,722.0","17,197.0","17,578.0","18,026.0","18,343.0","18,617.0","19,157.0","19,643.0","20,042.0","20,378.0","20,322.0","20,757.0","21,473.0","22,060.0","23,280.0","23,517.0","23,867.0","24,104.0","23,538.0","23,686.0","23,975.0","24,421.0","25,610.0","26,542.0","27,440.0","28,485.0","29,969.0","31,276.0","32,669.0","33,698.0","34,534.0","35,547.0","36,699.0","38,024.0","43,232.0","42,967.0","42,228.0","44,508.0","45,701.0","47,796.0","50,561.0","52,791.0","55,568.0","58,347.0","60,518.0","62,895.0","65,640.0","67,609.0","69,836.0","71,915.0","72,904.0","75,178.0","78,041.0","80,127.0","87,526.0","90,872.0","93,288.0","96,193.0","97,897.0","99,007.0","99,290.0","99,848.0","98,382.0","98,261.0","99,189.0","99,870.0","100,559.0","102,056.0","103,953.0","105,967.0","110,836.0","114,177.0","115,943.0","118,123.0","118,840.0","119,176.0","120,865.0","121,548.0","121,790.0","122,217.0","121,936.0","121,222.0","120,098.0","119,093.0","117,232.0","115,908.0","116,522.0","116,425.0","115,019.0","115,858.0","116,133.0","119,509.0","124,815.0","127,366.0","131,491.0","141,330.0","145,866.0","151,572.0","153,740.0","156,730.0","161,342.0","164,562.0","164,914.0","170,386.0","174,858.0","178,159.0","176,644.0","184,414.0","186,374.0","186,135.0","183,064.0","188,359.0","191,998.0","197,235.0","203,739.0","210,931.0","225,017.0","230,489.0","226,842.0","225,678.0","223,774.0","216,487.0","211,081.0","215,830.0","215,212.0","209,913.0","202,609.0","211,068.0","213,293.0","212,397.0","211,160.0","216,500.0","225,368.0","234,017.0","239,653.0","250,023.0","253,065.0","252,392.0","263,223.0","267,818.0","277,173.0","292,317.0","288,118.0","304,646.0","318,149.0","312,631.0","300,998.0","291,771.0","292,189.0","273,518.0","271,889.0","277,600.0","279,161.0","267,085.0","259,192.0","252,441.0","246,768.0","244,680.0","243,324.0","240,491.0","243,019.0","238,660.0","242,385.0","240,025.0","244,008.0","240,003.0","243,484.0","243,357.0","250,785.0","250,789.0","249,777.0","251,342.0","260,876.0","265,195.0","271,014.0"
"50","31","  Personal current transfer payments","W211RC1","2,067.0","2,286.0","2,264.0","2,355.0","2,482.0","2,599.0","2,583.0","2,604.0","2,639.0","2,718.0","2,887.0","2,980.0","3,025.0","3,153.0","3,191.0","3,295.0","3,015.0","3,068.0","3,100.0","4,373.0","3,312.0","3,383.0","3,472.0","3,557.0","3,652.0","3,620.0","4,016.0","4,036.0","4,272.0","4,263.0","4,422.0","4,619.0","4,711.0","4,833.0","4,872.0","4,948.0","5,089.0","5,402.0","5,468.0","5,765.0","5,687.0","5,775.0","6,090.0","6,616.0","6,530.0","6,690.0","7,007.0","7,389.0","10,841.0","11,237.0","11,744.0","12,294.0","13,095.0","13,681.0","14,061.0","14,380.0","14,156.0","14,856.0","15,561.0","15,938.0","16,415.0","16,960.0","17,120.0","17,773.0","18,274.0","18,384.0","19,144.0","19,205.0","20,225.0","20,589.0","21,221.0","22,375.0","22,132.0","22,866.0","23,902.0","23,986.0","24,875.0","25,471.0","25,598.0","26,598.0","27,068.0","27,722.0","28,074.0","29,315.0","29,325.0","29,678.0","31,198.0","32,086.0","34,683.0","35,903.0","37,165.0","38,861.0","36,522.0","38,380.0","45,685.0","41,359.0","44,311.0","45,028.0","45,996.0","47,219.0","48,607.0","49,562.0","50,268.0","50,852.0","50,791.0","51,284.0","53,049.0","56,487.0","55,452.0","57,290.0","58,175.0","59,349.0","62,343.0","63,147.0","64,167.0","65,791.0","65,931.0","68,083.0","70,377.0","73,725.0","73,685.0","76,312.0","77,193.0","77,765.0","81,983.0","82,758.0","83,775.0","85,079.0","88,941.0","90,571.0","92,158.0","92,338.0","95,188.0","95,818.0","97,665.0","99,373.0","99,049.0","101,039.0","100,039.0","106,670.0","108,332.0","110,502.0","111,675.0","111,484.0","119,204.0","119,350.0","119,691.0","121,675.0","121,766.0","128,223.0","129,772.0","133,151.0","137,433.0","139,297.0","141,356.0","143,043.0","147,005.0","150,380.0","152,770.0","145,512.0","147,036.0","148,675.0","149,581.0","153,146.0","158,388.0","155,234.0","156,466.0","157,383.0","158,302.0","158,801.0","158,829.0","162,217.0","162,987.0","163,080.0","159,720.0","166,625.0","165,985.0","166,235.0","163,629.0","166,682.0","168,630.0","167,532.0","170,208.0","174,853.0","172,676.0"
"51","32","    To government","W062RC1","1,075.0","1,106.0","1,144.0","1,187.0","1,222.0","1,259.0","1,299.0","1,344.0","1,371.0","1,422.0","1,479.0","1,548.0","1,673.0","1,765.0","1,831.0","1,875.0","1,831.0","1,820.0","1,828.0","1,861.0","1,940.0","2,015.0","2,108.0","2,209.0","2,304.0","2,424.0","2,556.0","2,688.0","2,828.0","2,959.0","3,082.0","3,203.0","3,307.0","3,421.0","3,516.0","3,620.0","3,705.0","3,802.0","3,908.0","4,009.0","4,139.0","4,259.0","4,386.0","4,528.0","4,642.0","4,830.0","5,047.0","5,289.0","5,612.0","5,856.0","6,075.0","6,261.0","6,691.0","6,924.0","7,187.0","7,462.0","7,720.0","7,988.0","8,277.0","8,535.0","8,779.0","9,055.0","9,306.0","9,532.0","9,863.0","10,220.0","10,607.0","11,010.0","11,344.0","11,720.0","12,055.0","12,717.0","12,662.0","12,911.0","13,507.0","13,696.0","14,153.0","14,759.0","15,071.0","15,401.0","15,921.0","16,293.0","16,677.0","17,081.0","17,275.0","17,876.0","18,658.0","19,599.0","20,927.0","22,068.0","23,111.0","24,178.0","24,987.0","25,777.0","26,383.0","26,833.0","28,042.0","28,331.0","28,682.0","29,221.0","30,114.0","30,696.0","31,182.0","31,576.0","31,883.0","32,343.0","32,886.0","33,480.0","34,027.0","34,633.0","35,235.0","35,829.0","37,240.0","38,019.0","38,583.0","38,954.0","39,052.0","39,340.0","39,996.0","41,064.0","42,288.0","43,516.0","44,672.0","45,772.0","46,936.0","48,128.0","49,340.0","50,596.0","51,536.0","52,456.0","53,388.0","54,304.0","55,172.0","55,996.0","56,788.0","57,564.0","58,508.0","59,692.0","61,092.0","62,744.0","64,848.0","66,358.0","67,653.0","68,738.0","70,264.0","71,154.0","72,067.0","73,015.0","75,099.0","76,137.0","77,153.0","78,149.0","79,822.0","80,635.0","81,366.0","81,997.0","82,206.0","82,668.0","82,978.0","83,158.0","83,302.0","83,513.0","83,645.0","83,702.0","84,013.0","83,883.0","83,797.0","83,740.0","84,163.0","84,826.0","85,791.0","87,064.0","88,642.0","89,794.0","90,542.0","90,872.0","90,783.0","90,971.0","91,452.0","92,210.0","93,253.0","94,261.0","95,263.0","96,222.0","97,762.0"
