"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"27","19","S1 PN448ZZZMG   Clothing and clothing accessories stores","T070193",111.963,111.632,111.619,110.986,111.746,111.792,112.135,111.812,111.634,111.85,111.975,112.214,111.837,112.117,111.552,111.858,111.298,110.891,110.897,111.79,111.397,110.94,111.499,111.187,110.454,110.05,110.628,110.39,110.754,110.986,110.75,109.996,109.955,109.283,109.261,108.815,108.72,107.707,107.933,108.121,107.512,107.361,107.409,107.611,107.476,107.513,107.237,107.324,107.258,106.606,107.091,106.503,106.486,105.823,105.596,104.105,105.05,105.054,105.318,105.179,105.526,105.41,105.346,105.922,106.316,106.066,105.852,104.882,105.09,104.786,104.756,104.887,104.619,103.843,103.331,103.117,103.458,103.233,103.296,104.418,103.06,102.883,103.033,102.188,101.755,101.299,100.963,101.976,102.019,101.918,101.603,101.317,101.446,101.647,101.385,101.335,100.746,100.497,100.454,100.321,99.984,99.594,99.386,99.342,99.984,100.002,99.894,99.794,100.128,100.019,100.17,99.183,98.372,98.665,98.444,97.715,97.204,97.485,97.016,96.749,96.486,96.307,96.994,96.759,96.324,95.765,95.158,95.819,95.534,95.165,95.067,94.78,94.267,94.04,93.368,93.171,92.866,93.213,93.44,93.267,93.196,93.305,93.006,92.626,92.708,92.823,93.025,93.206,93.487,93.589,93.528,92.849,92.488,92.887,93.108,92.452,92.558,92.65,92.816,92.198,92.167,91.617,91.447,91.915,91.803,91.494,91.788,91.211,91.469,90.835,91.225,91.837,91.973,92.048,91.471,92.059,92.493,92.047,91.986,92.159,92.553,93.122,92.122,91.818,91.572,91.177,91.382,90.765,90.99
"28","20","S2 PN4481ZZMG     Clothing stores","T070203",112.043,111.155,111.228,110.668,111.433,111.38,111.528,111.15,111.178,111.367,111.548,111.667,111.02,111.961,111.578,111.393,110.605,110.18,110.316,111.619,110.657,110.138,110.928,110.757,109.845,108.98,109.378,109.517,109.811,110.131,109.825,108.758,108.94,108.444,108.112,107.597,107.342,106.199,106.354,106.484,106.385,105.671,105.935,105.85,105.653,105.987,105.672,105.636,105.883,105.196,105.414,105.105,105.072,104.265,103.982,102.56,103.497,103.488,103.969,104.216,104.585,104.402,104.21,105.371,105.852,105.5,105.128,104.001,104.344,103.842,104.126,104.133,103.793,102.919,102.6,102.304,102.747,102.676,102.818,104.219,102.52,102.403,102.502,101.727,101.311,100.76,100.554,101.545,101.671,101.793,101.211,101.059,101.375,101.75,101.352,101.505,100.753,100.377,100.373,100.024,99.899,99.666,99.608,99.587,100.082,100.201,99.82,99.61,99.732,99.895,99.904,99.034,98.067,98.144,97.716,96.917,96.93,96.804,96.424,96.007,95.759,95.945,96.318,96.129,95.636,95.038,94.569,95.401,94.836,94.405,94.417,94.117,93.46,93.28,92.781,92.555,92.247,92.438,92.574,92.451,92.501,92.712,92.343,92.098,92.062,92.169,92.277,92.342,92.545,92.715,92.675,91.978,91.528,92.219,92.431,91.242,91.679,91.59,91.856,91.25,91.051,90.504,90.123,90.421,89.902,89.827,90.475,89.875,89.8,89.155,89.772,90.237,90.097,90.208,89.482,90.169,90.718,90.097,89.952,90.118,90.456,90.822,89.898,89.66,89.272,88.262,88.428,88.154,88.246
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",106.923,107.023,107.669,107.51,107.707,108.026,108.388,108.832,108.41,108.794,108.372,109.075,108.636,108.362,108.15,108.384,108.807,108.304,107.875,107.597,108.233,108.18,108.736,108.401,108.477,107.584,107.386,107.794,108.451,108.824,107.779,107.36,106.533,105.619,106.145,105.852,106.186,106.19,106.161,106.372,105.62,105.385,105.344,105.535,106.692,106.006,105.589,104.63,104.303,105.536,106.722,105.314,105.764,105.708,104.985,103.726,104.852,104.449,104.623,104.685,104.544,104.643,104.623,105.022,105.428,104.352,104.582,104.965,105.33,105.793,104.841,105.325,105.451,103.94,103.005,102.804,103.854,104.563,104.282,104.82,104.406,103.083,103.655,102.992,102.964,101.874,101.77,102.383,101.666,101.462,102.07,100.948,100.725,100.399,100.713,100.402,100.219,100.047,100.347,100.515,100.522,100.369,98.488,98.691,100.82,99.7,99.917,100.4,99.899,100.257,100.569,99.238,99.292,99.001,99.158,99.503,98.866,99.07,98.385,97.669,96.575,97.801,98.705,98.696,99.052,98.069,97.267,97.677,97.548,97.224,97.297,97.407,98.193,97.459,95.667,95.041,95.345,96.139,96.86,96.073,95.911,96.14,96.123,95.886,95.011,95.177,95.676,95.746,95.776,95.889,95.532,95.931,96.905,96.321,96.782,97.035,97.506,98.069,97.586,97.704,97.759,98.112,98.419,99.043,99.7,99.413,98.443,97.685,99.394,99.04,99.233,99.245,99.488,98.998,98.335,98.246,98.453,98.59,98.621,98.855,98.414,98.49,97.838,97.427,97.429,97.119,98.496,97.87,97.548
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",116.298,118.444,117.157,115.557,116.96,117.235,118.653,117.738,116.677,116.848,117.308,117.658,118.896,116.065,114.107,117.223,116.796,116.595,116.383,116.502,117.846,117.296,116.654,115.668,114.977,117.455,119.889,116.945,117.362,116.99,118.001,118.487,118.18,116.886,117.806,117.533,117.771,116.357,117.19,117.614,114.675,117.348,116.423,118.046,116.848,116.193,116.26,118.042,116.744,114.285,115.32,114.263,113.831,113.226,113.777,111.716,112.517,112.995,112.311,110.133,110.869,110.85,111.348,109.294,109.255,110.364,110.457,108.867,108.249,108.147,107.528,107.907,107.614,108.022,107.004,107.147,106.3,104.483,104.506,104.874,104.226,104.851,104.835,103.501,102.624,103.194,102.051,103.528,103.881,102.851,102.927,102.771,102.376,102.264,102.1,101.429,101.178,101.403,100.894,101.461,99.916,98.66,99.142,98.793,98.881,99.355,100.201,100.116,102.098,100.379,101.027,99.78,98.939,100.778,101.214,99.867,96.97,99.277,98.572,99.402,99.779,96.689,98.634,98.003,97.193,97.164,96.078,96.16,97.023,96.916,96.172,95.626,94.77,94.712,94.14,94.406,93.614,94.341,94.604,94.694,94.131,93.671,93.474,92.375,93.735,93.845,94.251,95.064,95.903,95.674,95.741,94.308,93.346,93.099,93.172,94.379,92.611,93.199,93.372,92.152,92.854,91.59,92.089,93.279,94.61,93.104,92.632,92.314,93.076,92.284,91.749,93.506,94.932,95.259,95.511,96.13,96.171,96.149,96.449,96.605,97.96,100.028,98.337,97.774,98.092,100.98,100.456,97.983,99.379
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",99.591,99.724,99.878,99.774,100.014,99.979,100.151,100.127,100.09,100.04,100.216,100.321,100.169,100.428,100.411,100.582,100.49,100.211,100.278,100.69,100.466,100.532,100.84,100.786,100.502,100.183,100.45,100.562,100.761,100.949,101.017,100.799,100.872,100.691,100.67,100.435,100.504,100.182,100.21,100.381,100.353,100.135,100.357,100.537,100.601,100.691,100.568,100.593,100.739,100.666,100.854,100.83,100.836,100.487,100.507,100.112,100.523,100.547,100.721,100.801,100.928,101.041,100.981,101.318,101.444,101.266,101.242,100.766,100.837,100.743,100.8,100.707,100.849,100.663,100.496,100.614,100.705,100.443,100.558,100.956,100.453,100.459,100.391,100.277,100.368,100.036,99.751,100.347,100.307,100.306,100.213,100.053,100.274,100.324,100.104,100.053,99.868,99.771,100.008,100.107,100.076,99.946,100.063,99.962,100.183,99.992,100.023,100.003,100.11,100.209,100.074,100.002,99.67,99.771,99.819,99.499,99.535,99.503,99.453,99.07,99.026,99.027,99.089,99.284,98.827,98.591,98.414,98.542,98.375,98.016,97.994,97.719,97.43,97.316,97.014,97.045,96.5,96.562,96.579,96.261,96.079,96.104,96.035,95.913,95.943,96.08,96.054,96.009,96.057,95.974,95.738,95.398,95.282,95.883,95.755,95.196,95.297,95.277,95.215,95.196,95.237,94.782,94.639,94.51,94.428,94.354,94.422,94.192,94.098,93.91,93.918,93.918,93.849,93.7,93.465,93.492,93.497,93.381,93.054,92.921,92.949,93.254,92.981,92.795,92.579,92.47,92.231,91.867,91.762
"32","24","S1 PN4521ZZMG     Department stores","T070243",104.597,104.663,104.811,104.667,104.929,104.812,105.038,104.9,104.829,104.797,104.97,104.986,104.791,105.085,105.07,105.174,104.936,104.635,104.719,105.297,105.043,104.98,105.374,105.229,104.869,104.434,104.731,104.869,105.087,105.246,105.221,104.841,104.926,104.683,104.605,104.22,104.294,103.836,103.826,103.92,103.921,103.584,103.786,103.96,103.974,104.089,103.889,103.848,103.952,103.766,103.911,103.823,103.785,103.248,103.192,102.656,103.127,103.025,103.25,103.342,103.519,103.543,103.472,103.934,104.104,103.863,103.731,103.095,103.162,102.943,103.047,102.928,102.984,102.703,102.487,102.526,102.585,102.222,102.32,102.835,102.098,102.047,101.938,101.531,101.483,101.098,100.819,101.448,101.397,101.416,101.138,100.923,101.045,101.132,100.81,100.728,100.411,100.131,100.287,100.31,100.136,99.887,99.931,99.797,99.959,99.789,99.728,99.634,99.702,99.737,99.505,99.239,98.599,98.653,98.553,98.086,98.081,98.051,97.971,97.546,97.405,97.319,97.351,97.4,96.982,96.657,96.31,96.501,96.17,95.83,95.692,95.257,94.893,94.648,94.226,94.252,93.682,93.736,93.787,93.4,93.209,93.21,93.047,92.751,92.805,92.908,92.846,92.774,92.766,92.69,92.374,91.919,91.788,92.449,92.354,91.619,91.833,91.88,91.841,91.572,91.609,91.088,90.82,90.77,90.596,90.446,90.583,90.292,90.153,89.854,89.932,90.036,89.934,89.736,89.377,89.478,89.558,89.337,88.985,88.907,88.862,89.115,88.618,88.384,88.025,87.73,87.478,87.005,86.856
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",90.511,90.791,90.963,90.948,91.14,91.291,91.343,91.572,91.611,91.518,91.705,91.998,91.938,92.126,92.107,92.424,92.641,92.404,92.435,92.5,92.336,92.676,92.81,92.945,92.816,92.738,92.948,93.007,93.168,93.418,93.68,93.795,93.845,93.79,93.883,93.95,94.008,93.957,94.065,94.391,94.306,94.32,94.588,94.782,94.945,94.989,95.018,95.172,95.405,95.552,95.823,95.925,96.015,96.025,96.193,96.063,96.363,96.63,96.708,96.764,96.799,97.079,97.039,97.142,97.187,97.125,97.301,97.122,97.2,97.337,97.305,97.263,97.563,97.544,97.462,97.718,97.863,97.77,97.911,98.115,97.997,98.095,98.092,98.453,98.761,98.509,98.212,98.757,98.733,98.703,98.892,98.815,99.183,99.178,99.106,99.102,99.105,99.271,99.623,99.829,99.998,100.035,100.249,100.192,100.491,100.275,100.427,100.505,100.664,100.846,100.834,101,101.04,101.197,101.418,101.269,101.351,101.314,101.297,100.956,101.016,101.109,101.201,101.549,101.051,100.905,100.901,100.967,100.963,100.584,100.676,100.556,100.334,100.343,100.149,100.184,99.658,99.726,99.714,99.455,99.28,99.328,99.339,99.368,99.377,99.543,99.549,99.525,99.62,99.531,99.359,99.11,99.007,99.564,99.409,98.987,98.999,98.926,98.845,99.019,99.064,98.655,98.603,98.413,98.396,98.377,98.396,98.206,98.142,98.029,97.987,97.915,97.868,97.75,97.596,97.571,97.525,97.478,97.164,96.993,97.07,97.412,97.281,97.123,96.993,97.001,96.766,96.465,96.385
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",89.734,89.854,90.008,90.118,90.503,91.115,91.415,91.271,91.3,91.604,91.869,92.107,92.167,92.279,92.149,92.105,91.493,90.983,90.895,90.824,90.519,91.862,91.548,91.181,90.963,91.525,91.534,91.474,91.02,91.234,92.211,93.352,93.224,93.139,93.45,93.367,93.338,93.159,92.931,93.048,93.366,93.424,93.403,93.22,93.013,93.032,92.692,93.21,94.201,94.175,94.963,96.118,96.328,95.258,95.182,94.821,95,95.666,96.036,96.64,96.69,96.83,96.314,95.579,94.503,94.188,94.064,94.913,95.282,95.133,94.708,94.515,93.586,92.751,91.713,91.449,91.89,91.957,91.951,91.338,91.108,91.305,90.825,90.651,90.653,90.069,90.295,93.224,93.115,92.974,93.93,94.908,95.935,95.982,95.676,96.743,97.153,98.644,100.701,99.438,99.12,101.219,101.049,99.535,101.283,100.778,100.76,100.32,100.498,100.161,99.259,100.199,101.795,101.369,98.966,98.025,100.062,97.265,94.746,93.196,93.57,93.195,95.05,97.187,96.698,96.675,96.826,97.101,97.246,97.751,97.503,97.266,98.732,101.229,102.604,99.826,97.233,97.02,97.481,98.727,99.883,98.642,97.686,98.067,99.727,100.728,101.517,101.365,103.621,104.159,103.297,102.944,102.995,105.876,105.396,104.257,103.231,104.397,105.591,106.841,106.192,105.91,107.748,109.701,114.169,113.381,108.779,107.747,108.902,108.62,109.034,111.163,112.913,112.749,113.816,113.935,110.058,107.222,106.686,108.399,107.64,107.772,110.242,111.307,113.567,113.112,112.648,111.375,111.193
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",84.307,84.958,85.34,85.785,85.582,85.662,85.894,86.011,86.141,86.181,86.332,86.639,86.617,86.874,87.089,86.997,87.207,87.353,87.704,87.637,87.667,87.715,87.819,88.039,88.034,87.959,88.122,88.488,88.635,88.685,88.77,88.978,88.987,89.139,89.283,89.323,89.242,89.168,89.037,89.054,89.08,89.184,89.44,89.672,89.695,89.967,90.241,90.24,90.322,90.561,90.72,90.816,90.924,90.823,91.174,91.297,91.34,91.656,91.405,91.435,91.562,91.838,92.091,92.094,92.193,92.226,92.16,91.888,91.982,92.004,92.28,92.463,92.674,92.825,92.836,93.332,93.749,93.723,93.832,94.062,94.457,94.648,94.547,94.908,95.258,95.441,95.67,96.206,96.475,96.893,97.147,97.56,97.858,98.091,98.474,98.611,98.797,98.792,99.214,99.483,99.535,99.733,100.076,100.475,100.631,100.733,101.048,101.484,101.9,102.435,102.857,103.214,103.309,103.869,104.381,104.614,105.18,105.257,105.649,106.004,106.08,106.559,106.667,107.007,107.306,107.752,108.071,108.199,108.406,108.758,109.167,109.483,109.575,109.619,109.94,110.005,109.784,110.118,110.357,110.644,110.794,110.842,110.978,111.462,111.97,112.083,112.545,113.264,113.635,113.466,113.856,113.768,114.258,114.707,114.695,114.827,114.755,115.151,114.999,115.353,115.673,116.029,116.3,116.54,116.784,117.453,117.935,118.407,118.47,118.632,119.111,119.713,119.761,119.889,120.179,120.304,120.636,120.393,120.058,120.144,120.537,120.508,120.317,120.602,120.628,120.543,120.927,121.101,120.773
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",74.763,74.565,74.736,74.665,75.264,76.521,76.951,76.725,76.679,77.433,77.692,78.114,78.228,78.387,77.851,77.533,76.26,75.382,74.988,74.619,73.797,76.698,75.89,75.156,74.693,75.597,75.287,75.123,73.887,74.373,76.443,79.121,78.801,78.698,79.219,79.241,78.839,78.705,78.188,78.301,78.893,79.19,78.71,78.069,77.375,77.548,76.432,77.524,79.375,79.478,81.215,83.999,84.588,82.596,82.35,81.814,81.847,82.969,84.017,85.526,85.972,86.046,84.805,83.363,80.949,80.276,80.222,83.065,84.185,84.027,82.732,82.165,79.831,77.912,75.279,74.063,75.318,76.112,76.179,74.84,74.599,75.183,74.411,73.852,73.834,72.78,73.617,80.815,80.539,80.197,82.975,85.816,88.527,88.532,87.834,91.043,91.861,94.986,101.552,97.838,97.13,104.023,103.513,99.042,103.754,102.683,102.45,101.169,101.529,100.933,98.954,101.778,107.32,105.98,98.344,96.3,102.64,94.618,87.037,83.213,85.187,84.342,90.511,96.757,95.272,95.347,96.013,96.918,97.72,99.698,99.229,98.968,103.276,110.738,114.871,106.842,100.794,100.517,102.033,107.343,111.928,107.41,103.935,105.077,109.682,112.792,115.324,114.472,121.876,124.205,121.458,120.54,120.368,128.067,127.037,124.553,121.355,125.137,129.249,133.69,131.47,131.074,137.669,144.994,159.848,156.978,141.188,138.327,143.489,142.709,144.473,151.983,158.594,158.741,162.863,163.492,150.277,140.325,138.773,144.959,142.622,143.278,152.739,157.201,166.532,165.906,164.516,159.878,160.579
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",106.492,106.442,106.725,106.829,107.109,106.908,106.885,106.895,107.048,107.221,107.671,107.209,107.196,107.212,107.343,107.297,106.792,106.716,106.855,107.236,107.497,108.084,107.824,107.669,107.442,107.431,107.887,107.956,108.069,108.132,108.43,108.313,108.159,107.916,108.296,107.466,108.12,107.872,107.579,107.791,107.732,107.207,107.289,107.611,107.751,107.478,107.589,107.768,107.828,108.323,108.428,108.238,108.149,108.169,108.041,107.611,107.597,107.816,107.938,107.679,107.571,107.674,107.718,106.767,106.654,106.975,106.689,107.133,107.029,106.764,106.796,106.697,106.466,106.297,106.45,106.319,106.014,105.703,105.509,105.398,104.973,104.73,104.422,104.161,104.115,103.614,103.259,103.521,103.455,102.685,102.22,101.899,101.333,101.341,101.157,100.525,100.5,100.347,100.409,100.348,100.369,100.111,99.901,99.707,99.721,99.546,99.57,99.471,99.181,98.82,98.486,98.8,98.705,98.766,98.746,98.517,98.352,98.343,98.125,97.766,97.485,97.704,97.317,97.156,97.036,96.405,96.11,96.259,96.123,95.75,95.6,95.286,95.19,94.967,94.615,94.46,93.949,93.859,93.925,93.573,93.471,93.468,93.434,93.183,92.945,93.009,93.192,92.888,92.526,92.443,92.04,91.681,91.567,92.11,91.988,91.22,91.124,91.161,90.871,90.593,90.811,90.539,90.262,90.111,90.219,89.982,89.58,89.118,88.966,88.867,88.645,88.701,88.689,88.3,88.125,87.89,87.16,87.315,87.361,87.169,86.776,86.744,86.707,86.407,86.448,86.046,85.834,85.465,84.779
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",110.455,110.271,110.491,110.712,110.84,110.67,110.59,110.649,110.579,110.821,111.561,110.995,110.729,110.778,110.901,110.717,110.173,110.002,110.191,110.503,110.976,111.656,111.413,111.174,110.851,110.76,111.383,111.467,111.649,111.877,112.177,111.908,111.421,111.324,111.968,110.788,111.633,111.271,110.92,110.962,110.893,110.604,110.72,110.974,111.208,110.795,110.459,110.728,110.656,111.305,111.526,111.286,111.387,111.327,110.976,110.225,110.45,110.559,110.855,110.406,110.321,110.356,110.438,110.064,109.702,109.806,109.669,109.787,109.671,109.445,109.346,109.28,109.085,108.737,108.542,108.111,107.741,107.438,107.235,106.882,106.073,105.88,105.782,105.328,104.996,104.452,104.254,104.373,103.911,103.569,103.376,102.81,102.129,101.935,101.367,100.611,100.733,100.391,100.547,100.669,100.558,99.984,99.789,99.604,99.687,99.587,99.293,99.159,98.822,98.359,97.901,98.14,98.088,97.989,97.837,97.635,97.618,97.547,97.05,96.504,96.392,96.482,96.245,96.065,95.446,94.773,94.549,94.361,94.076,93.69,93.36,93.132,93.1,92.939,92.559,92.377,91.874,92.141,92.235,91.74,91.585,91.644,91.699,91.48,91.113,91.362,91.39,90.98,90.621,90.524,90.148,89.839,89.671,90.229,90.156,89.323,89.2,89.467,89.035,88.748,88.965,88.591,88.371,88.283,88.534,88.285,87.755,87.452,87.328,87.124,87.034,87.151,87.182,86.838,86.735,86.452,85.72,85.785,85.935,85.784,85.341,85.217,85.316,85.053,85.064,84.476,84.285,83.978,83.335
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",98.626,98.85,99.259,99.127,99.727,99.46,99.556,99.469,100.069,100.102,99.988,99.729,100.212,100.167,100.313,100.535,100.11,100.223,100.266,100.791,100.619,101.017,100.722,100.739,100.709,100.861,100.972,101.012,100.99,100.734,101.03,101.205,101.703,101.175,101.044,100.889,101.186,101.148,100.965,101.503,101.466,100.491,100.513,100.96,100.923,100.913,101.888,101.89,102.208,102.402,102.28,102.188,101.75,101.913,102.211,102.391,101.914,102.344,102.129,102.251,102.095,102.323,102.291,100.246,100.612,101.348,100.775,101.842,101.761,101.419,101.696,101.535,101.229,101.396,102.214,102.672,102.499,102.176,102.001,102.368,102.69,102.351,101.633,101.746,102.274,101.862,101.196,101.749,102.481,100.837,99.831,99.999,99.674,100.099,100.693,100.318,99.987,100.245,100.112,99.663,99.958,100.375,100.142,99.93,99.797,99.463,100.174,100.155,99.967,99.827,99.756,100.234,100.049,100.463,100.735,100.443,99.949,100.064,100.488,100.553,99.889,100.392,99.659,99.55,100.552,100.023,99.565,100.496,100.712,100.372,100.666,100.146,99.904,99.534,99.251,99.161,98.634,97.701,97.7,97.687,97.713,97.565,97.316,96.985,97.06,96.672,97.229,97.183,96.813,96.767,96.297,95.818,95.837,96.339,96.096,95.494,95.475,94.926,94.995,94.743,94.963,94.965,94.536,94.226,93.959,93.758,93.696,92.815,92.583,92.786,92.19,92.069,91.935,91.419,91.035,90.944,90.232,90.66,90.386,90.075,89.845,90.099,89.624,89.205,89.342,89.573,89.287,88.722,87.907
"40","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",96.144,96.72,96.725,96.616,97.172,97.137,97.082,96.684,96.833,96.453,97.012,97.538,97.483,97.366,97.5,98.198,97.972,97.241,97.221,97.639,97.697,97.685,97.718,97.592,97.825,98.153,98.594,98.251,98.608,98.454,98.628,98.594,98.771,98.928,99.279,99.186,99.852,99.725,100.085,100.167,100.446,100.49,101.006,101.063,101.584,101.393,101.921,101.98,102.078,101.415,101.498,101.362,101.558,100.776,100.773,100.205,100.797,100.516,100.39,100.454,100.24,100.862,101.102,101.395,101.147,100.898,101.087,100.503,100.233,100.363,100.675,100.921,101.325,101.297,101.138,101.979,101.708,101.093,101.21,100.877,100.725,100.872,100.755,101.35,101.56,100.969,100.771,101.376,101.04,100.988,100.813,100.453,100.842,100.81,100.369,99.979,100.324,100.42,100.544,101.138,100.717,100.245,100.006,99.534,99.623,99.081,99.457,98.911,98.969,99.033,98.739,99.111,98.821,98.407,98.742,98.272,98.187,97.907,98.183,97.54,96.972,96.737,96.396,96.762,96.481,96.631,96.473,96.321,96.519,96.015,95.82,95.06,95.262,95.111,94.521,94.881,93.305,92.938,92.832,91.505,91.354,91.619,91.69,91.488,91.903,92.097,91.829,91.701,91.772,91.419,91.245,90.93,91.155,93.195,92.44,91.561,91.634,91.735,91.679,91.209,91.287,90.718,90.229,89.909,89.767,89.603,89.683,89.298,88.598,88.444,88.031,87.902,88.287,87.849,87.57,87.317,86.576,86.769,86.732,86.716,86.5,86.581,86.329,85.887,85.88,85.567,85.107,85.041,84.424
"41","33","S3 PN4531ZZMG       Florists","T070333",99.071,99.542,101.314,103.932,101.186,103.538,102.902,101.522,100.735,98.327,97.919,102.556,100.908,100.246,100.106,101.558,100.324,97.365,96.929,97.292,98.622,99.057,99.348,98.934,97.255,99.227,98.515,96.785,98.564,99.618,99.332,100.258,100.799,101.7,101.659,101.523,101.399,102.037,101.682,101.352,102.27,102.05,102.72,102.838,103.94,102.79,102.946,101.771,98.557,99.514,102.31,102.47,101.899,99.081,99.059,98.704,100.59,97.155,97.327,100.997,98.746,98.052,99.755,101.057,99.912,98.307,97.073,95.596,93.946,95.304,94.955,94.963,100.074,100.94,98.342,100.46,98.906,98.303,99.007,98.746,97.102,96.766,97.207,96.462,96.5,98.39,98.521,98.593,98.348,98.523,95.097,95.121,94.492,95.273,94.039,95.947,95.174,96.146,100.021,101.988,102.249,101.86,101.485,100.95,99.977,99.666,100.641,100.23,101.052,104.62,103.953,102.877,103.49,103.418,102.5,102.584,101.442,101.885,102.869,102.325,102.601,103.989,103.786,103.161,103.98,103.725,102.804,101.545,101.468,102.071,102.866,101.393,102.524,102.385,101.642,102.135,101.487,101.351,101.654,101.52,101.597,101.036,101.515,103.095,103.21,103.803,104.433,105.358,104.685,103.142,103.402,103.718,104.178,105.82,104.663,103.724,103.04,102.176,102.926,102.424,102.841,103.907,104.176,104.467,104.768,104.962,104.553,104.72,104.424,104.354,104.146,104.213,104.431,104.09,103.485,102.812,102.546,102.855,103.002,103.341,104.113,104.759,104.115,104.009,103.601,103.132,103.884,103.778,104.025
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",105.091,105.875,105.578,104.914,106.069,105.703,105.787,105.356,105.681,105.351,106.221,105.891,105.856,105.55,105.634,106.403,106.232,105.651,105.455,106.139,106.214,106.354,106.167,106.05,106.188,106.66,106.958,106.504,106.536,106.087,106.267,106.153,106.38,106.557,106.583,106.841,107.711,107.681,108.786,109.111,109.529,109.636,110.313,110.712,111.187,110.869,111.214,111.461,111.841,110.492,109.778,109.57,109.753,108.893,108.917,108.169,108.628,108.647,108.247,107.719,107.478,108.505,108.558,108.547,108.311,108.17,108.556,107.713,107.427,107.23,107.691,108.135,107.865,107.354,107.621,108.3,107.676,106.868,106.641,105.984,105.76,105.912,105.331,105.087,104.62,103.703,103.652,103.812,103.345,103.3,102.996,102.671,102.735,102.495,101.925,101.496,101.767,101.641,101.236,101.291,100.871,100.202,99.651,99.132,99.033,98.56,98.534,98.083,97.748,97.332,96.841,96.869,96.367,95.621,95.709,95.081,94.556,94.296,94.169,93.536,92.702,91.848,91.471,91.397,91.124,91.004,90.781,90.273,90.076,89.693,89.247,88.489,88.466,88.22,87.666,87.846,86.015,85.361,84.92,83.153,82.808,82.931,82.813,82.37,82.672,82.656,82.001,81.782,81.712,81.298,80.926,80.674,80.593,82.261,81.302,80.373,80.446,80.264,80.192,79.79,79.595,78.837,78.193,77.527,77.045,76.778,76.878,76.368,75.496,75.387,74.93,74.417,74.447,73.955,73.586,73.463,72.811,72.926,72.9,72.864,72.436,72.322,71.983,71.614,71.46,70.982,70.396,70.321,69.62
