"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252"
"37","29","      Profits after tax with IVA and CCAdj","W328RC1",6.9,11,11.1,11.6,14.9,15.7,15.1,16.8,16.5,15.5,16.4,13.5,13.4,14.5,15.1,16.2,10.8,14.6,17.2,16.6,15.8,14.8,14.5,16.7,16.5,15.5,14.9,12.6,15,15.7,16.5,18.4,21.2,22.1,22,22.1,20.8,20.1,20.3,19.8,21.1,20.9,20.7,18.9,16.6,16.8,18.9,21.9,24.3,27,23.7,24.1,25.1,22.8,22.9,21.4,20.4,23.7,24.5,26.4,30.2,29.3,29.8,31.4,31.8,33.8,34.4,35.1,39,39,39.5,39.1,44.8,45.7,46.4,47.9,49.6,48.4,46.8,48.6,47.2,46.6,47.1,48.4,44.7,47.3,47,47,45.1,43.2,41.5,36.4,32.9,36.2,34.3,30.9,39.9,40.5,42.8,45.3,47.2,47.1,50.2,52.4,53.1,47.4,47.6,47.7,40.2,37.3,29,32.2,43.7,54.9,65,67.4,72.1,67.3,67.6,65.9,66.8,80.9,91.9,83.9,76.4,90,89.6,90.2,83.8,79.6,74.3,75,63.5,58.9,62.1,75.5,89,98.1,115.6,104.2,100,107.4,106.8,98.2,116.2,128.3,136.9,143.4,162.1,171.7,175.3,179.1,173.4,171.9,186.8,168.6,156.2,150.2,142.4,134.7,150.5,160.8,175.7,175,197.5,197.3,200.4,213.8,181.5,183.4,188.3,173.7,182.8,194.4,164.9,161.2,178,174.6,170.5,168.6,189,193.4,182.1,214.7,206.3,228,230.5,259.8,247.1,283.9,292.4,308.8,292.2,296.1,326.2,331.1,356.7,365.4,372.9,385.3,399.1,404.9,425.5,416.5,380.6,373.6,389.3,375.2,378.4,378.8,355.8,352.2,314.4,325.2,307.6,277.5,256.6,253.5,230.2,241.7,292.3,321.6,339.5,375.8,324,346.4,372.7,382.7,450.2,490.9,515.2,506.4,493.3,551.7,479.4,583.1,627.4,622.7,673.4,595.1,563.8,565.7,553.7,504.7,507.6,489.2,531.6,540.9,478.3
"38","30","        Net dividends","B467RC1",5.1,5.4,5.6,5.4,5.9,5.5,5.9,6.1,6,6,5.9,6.3,6.9,7.1,7.5,8,7,7.1,7.1,7,6.7,7.2,7.1,7.3,6.8,7.4,7.4,7.3,7.6,7,7.4,7.4,8,8.2,8.7,8.8,8.9,8.9,8.9,9.3,9.3,9.1,9.2,9.2,9.2,9.2,9.1,8.9,9.5,9.9,9.9,10,10.3,10.3,10.7,10.5,10.3,10.5,10.5,11,11.4,11.7,11.9,11.4,12.1,12.4,12.5,12.8,13.1,13.8,14.2,14.9,15,15.7,16.6,17.5,17.6,16.9,16.6,15.9,17.1,17.9,17.6,16.5,18.6,18.6,19.4,19.5,19,19.2,18.8,19.1,18.3,18.5,18,18.4,18.9,17.6,19,17.1,19.9,19.8,19.7,19.3,19.7,20.6,21.4,21.3,20.3,23,22.1,20.7,24.8,24.2,24.1,25.1,24.1,27.9,29,30.1,29.2,29.9,31.2,33.3,33.9,33.1,37.5,39.2,38.2,38.2,35.9,38.2,38.3,51.6,43,45.7,49.5,51.8,54,54.7,58.4,47.4,52.4,58.1,63,61.1,63.5,65.4,67.9,67.5,67.5,65.9,68.4,76.2,70.6,72.7,71.4,76.4,70.7,72.9,75.4,73.2,74.3,82.1,70.2,78,94.8,85.6,106.3,105.7,108.6,100.9,120.2,116.3,117.4,119.2,120.9,125.8,125.4,130,123.4,128.4,134.6,150.1,146.9,146,148,155.4,147.4,157.7,157.6,168.8,171.7,172.4,181.8,185.9,195.5,190.7,199.1,204.7,206.4,209.9,216.6,230.6,234.9,242.4,239.4,247.3,233.5,230.2,210,224.9,241.1,255.8,264.2,244.2,248.4,233.3,252.2,247.8,245,257.8,245.5,270.9,245.5,333.1,292.7,299.6,324.2,312.8,334.8,496.1,326.7,267.7,121.3,21,404.7,431.7,484.3,576.9,491.9,496.1,492.7,533,494,514.2,498.4,527.7,495.3
"39","31","        Undistributed profits with IVA and CCAdj","W332RC1",1.8,5.6,5.6,6.2,9,10.2,9.1,10.6,10.5,9.5,10.5,7.2,6.5,7.4,7.6,8.3,3.8,7.5,10.1,9.6,9.2,7.5,7.4,9.5,9.6,8,7.4,5.4,7.5,8.6,9.1,11,13.2,13.9,13.3,13.3,11.9,11.1,11.4,10.5,11.9,11.7,11.4,9.6,7.4,7.6,9.8,13.1,14.9,17.1,13.8,14.1,14.8,12.5,12.2,11,10.2,13.2,14,15.4,18.8,17.7,17.9,20,19.8,21.4,21.8,22.3,25.9,25.2,25.2,24.3,29.8,30,29.8,30.4,32,31.5,30.3,32.7,30.1,28.7,29.5,31.9,26,28.7,27.6,27.5,26.1,24,22.7,17.3,14.6,17.7,16.3,12.5,21,22.9,23.8,28.2,27.3,27.3,30.4,33.1,33.4,26.8,26.2,26.3,19.9,14.3,6.8,11.6,18.9,30.6,40.9,42.2,47.9,39.4,38.6,35.8,37.5,51,60.6,50.6,42.5,56.9,52.1,51,45.6,41.4,38.3,36.7,25.2,7.3,19.1,29.8,39.5,46.3,61.6,49.5,41.6,60,54.4,40.1,53.2,67.2,73.4,78,94.2,104.2,107.7,113.2,104.9,95.7,116.1,95.9,84.8,73.9,71.7,61.8,75.1,87.5,101.4,92.9,127.2,119.3,105.6,128.2,75.2,77.7,79.7,72.9,62.6,78.1,47.4,42,57.1,48.7,45.1,38.6,65.5,64.9,47.5,64.7,59.4,82.1,82.5,104.4,99.7,126.2,134.9,140,120.5,123.7,144.4,145.3,161.3,174.7,173.8,180.7,192.7,195,208.9,185.9,145.7,131.2,149.9,127.9,144.9,148.7,145.7,127.4,73.3,69.4,43.4,33.3,8.2,20.1,-22,-6,47.3,63.7,94,105,78.5,13.3,80,83.1,126,178.1,180.4,10.3,166.7,284,358.1,562.1,222.7,191,189.1,18.2,71.9,69.5,61,-28.3,13.6,-25,33.2,13.2,-17
"40",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","32","    Profits before tax (without IVA and CCAdj)","A446RC1",31.9,30,29.6,32.3,33.9,35.6,35.1,33.9,30.8,27.1,28.2,27.8,31.8,38.3,46.5,51.2,50.4,42.4,38.3,41.2,38.8,36.8,36.9,40.9,42.6,42.7,41.8,32.4,34.7,35.8,38.1,40.9,46.1,46.7,47.7,49.6,47.6,48.6,45.8,48.6,49.3,46.8,45.8,42,35.9,36.7,41.4,47.7,50.8,55.7,49.5,48.1,53.5,49.1,46.9,44.5,43.5,46.6,49.3,53.7,52.7,52.2,53.9,54.1,54,57.8,59.4,60.9,64,64.1,65.7,64.8,71.6,74,75.6,80.5,83,83,82.2,80.4,77.4,77.3,78,82.4,85,86.6,86.8,88.9,89,86,82.7,81.4,74.1,73.8,75.7,71.9,81.3,83.6,86.7,88.4,93.6,94.5,97.7,107.3,119.4,120.6,116.9,122.8,123.3,129.3,141.7,126.8,109.9,118.8,145.2,149.7,163.8,162.9,163.6,162.3,176.3,190.6,198.1,200.2,194.1,227.6,230.2,241.1,238.6,240.7,238.1,231.9,240.7,194.2,210.1,227.2,230.7,210,217.4,198.1,167.1,168.9,169.8,158,162.3,195.8,216.3,220.9,245.8,243.8,218.1,220.5,216.7,213.4,226,221.3,196.3,201.3,203.8,224.5,235.2,267.3,286.3,289.5,303.9,325.6,335.7,351.1,344.7,322,297,302.8,318.3,336.4,349.4,329.7,334.6,342.8,354.4,354.3,388.7,406,349,408.4,403.8,441.5,430.9,484.5,443,491,520.9,545.1,559.9,575.1,602.7,588.3,619.9,635.9,632.1,636.7,660.8,674.9,709.7,703.6,619.1,611.2,625.8,605.1,636.4,649.9,656.8,674.4,664.3,646.2,618,582.2,594.5,583.9,524.6,449.8,538.8,595,631.8,685,710.2,692.2,755.2,812.9,926.4,1011.9,994.3,1112.5,1366.6,1378.8,1283.3,1495.9,1563.3,1630.4,1669.3,1561.7,1540.9,1612,1540.7,1473,1352.4,1376.5,1315.2,798.6,972.4
"43","33","    Profits after tax (without IVA and CCAdj)","A448RC1",20.3,19.1,18.8,20.5,21.7,22.9,22.5,21.7,19.8,17.4,18.1,17.8,18.2,22,26.6,29.4,24.1,20.1,18.1,19.6,19,18.1,18.3,20.3,21,20.9,20.6,15.8,18.3,18.9,20.2,21.6,24.7,25.1,25.6,26.5,25.5,26.1,24.6,26.3,26.5,25,24.4,22.4,19,19.4,22,25.4,27.3,29.9,26.4,25.5,28.4,26,24.8,23.6,22.8,24.5,25.9,28.2,28.8,28.6,29.5,29.6,29.4,31.5,32.4,33.2,36.1,36.1,37.1,36.6,42.1,43.5,44.5,47.4,48.8,48.8,48.4,47.2,44.9,45.1,45.5,48,46.2,47.1,47.1,48.2,47.5,45.6,43.6,42.5,39.7,39.2,40,37.7,43.5,45.1,48.8,50,53.2,53.8,55.8,61,69.7,70.4,68.3,71.5,73.6,77.1,84.4,74.8,66.1,72,88,90.9,97.2,97.7,98.7,97.9,107.5,116.2,121.4,122.4,121.6,141,142.8,148.2,148.5,149.7,147.5,143.4,143.7,116.9,126.9,135.8,139.6,127.4,131.2,120.7,101.4,100.5,101.2,94.8,98.2,116.6,128.1,130,141.9,140.9,127.1,128.2,118,116.4,123.7,121.6,89.7,95,96.5,106.1,121.5,138,147.6,149.5,172.6,185.6,191.7,199.9,187.4,174,159.3,161.6,180.4,190.1,196.5,185.1,199.6,205.3,213.3,213.5,238.8,250.1,214.3,253.9,246,270,263.4,297.1,271.1,301.2,319.4,333.2,348.9,358.6,376.3,367.4,392.7,402.6,400,402.6,424.6,433.1,455.7,451.3,370,364.8,373,360.2,385.4,393.4,396.6,407.5,383.5,373.7,357.7,335.1,372,366.1,327,271.2,363.9,406.5,434.9,474.9,476.1,463.3,509.6,548.2,643.9,704.8,691.8,775.2,959.3,966.8,896.9,1046.7,1109.4,1155.6,1182.1,1102,1092.4,1143.4,1089.6,1039.6,949.5,969.7,921.7,535.3,674.9
"44","34","    Inventory valuation adjustment","B058RC1",-9.7,-4.7,-4,-5.2,-2.9,-2.9,-2.8,-0.1,1.4,2.8,3,0.2,-0.7,-3.3,-7.3,-8.5,-8.7,-1,3.5,1.5,1.3,1.2,0.7,0.8,-0.4,-1.6,-2,0,0,0,-0.7,-0.5,-1.1,-0.9,-2.2,-2.8,-2.9,-3.6,-1.2,-3,-2.4,-1.5,-1.3,-0.9,-0.2,0.3,-0.2,-0.9,-0.6,-1,-0.3,0.8,-0.9,-0.6,0.5,0.3,-0.1,1,0.3,-0.2,0.4,-0.1,-0.8,0.5,1,0.2,-0.2,-0.8,-0.2,-0.1,-0.9,-0.7,-0.4,-1.1,-1.5,-1.9,-1.2,-2.7,-3.6,-1,-0.4,-1.3,-1.7,-2.8,-4.7,-2.9,-3,-4.1,-4.9,-5.2,-4.9,-8.4,-8.8,-4.6,-6.2,-6.6,-3.6,-4.7,-5.6,-4.5,-5.8,-5.8,-5.8,-9,-15.8,-21.1,-18.7,-22.7,-31.8,-36.7,-50,-34.4,-12.4,-7,-11.7,-11.1,-10.7,-14.9,-15.2,-15.6,-21.4,-15.3,-9.5,-16.6,-20.8,-23.2,-23.3,-27.5,-35.1,-40,-44.1,-41.4,-53.5,-34,-42.3,-38.8,-37.4,-24.3,-18.2,-18.6,-12.9,-4.7,-6.4,-6,2.2,-7.1,-15.2,-9.8,-6.6,-9.8,0.3,0.2,0.6,0.3,7.2,-8,19.7,13.9,5.4,-10.9,-13.9,-19.2,-15.7,-16.2,-18.3,-25.5,-26.1,-18.8,-33.7,-18.9,-0.4,-12.3,-3.6,2,-30.2,-19.8,11.4,8.6,1.4,-1.7,2.2,-10.6,-3.4,0.4,-6.1,-6.3,0.4,-4.1,-8.3,-10.2,-15.7,-15.6,-32.5,-28.2,-9.8,-2.6,2.1,-1.7,4.7,7.1,15.6,15.7,14.5,10.7,24,15.1,21.5,20.2,20.9,6.6,-8.5,-15.3,-28.6,-11.3,-6.3,-10.1,-4.1,1.1,18,30.4,13.3,-1.6,-11.8,-8.8,-25.8,-3.3,-5.3,-19.9,-33.7,-51.9,-39.6,-47.2,-45.4,-18,-39.1,-48.7,-35,-58.5,-42.7,-21.8,-44.2,-55.3,-31,-74.1,-109.4,-154,-90.9,158.1,104.6
"45","35","    Capital consumption adjustment","A059RC1",-2.5,-2.2,-2.4,-2.4,-2.3,-2.5,-2.7,-2.8,-2.5,-2.4,-2.4,-2.3,-2.1,-2.2,-2.2,-2.6,-2.7,-2.5,-2.3,-2.1,-2.2,-2.1,-1.8,-1.7,-1.5,-1.1,-0.9,-0.3,-0.4,-0.4,-0.2,0.2,0.8,1.2,1.9,1.6,1.5,1,0.4,0.1,0.5,0.8,1,0.9,1.2,0.4,0.5,1,1.8,2.4,2.2,2.4,2.3,2.2,2.3,2.4,2.7,3.1,3.1,3.2,6,6.2,6.3,6.4,6.3,6.8,6.9,7.4,7.8,7.7,8,7.9,8.3,8.6,8.9,8.5,8.6,8.6,8.5,8.7,8.8,9.1,9.7,9.8,10,10.2,10,9.8,10.1,10,9.9,9.6,9.5,9.1,9.1,9.1,9.2,9.7,10.1,10,10.6,10.3,11.1,11.5,11.1,10.1,9.4,10.3,9.2,7.6,5.7,2.5,1,0.1,-0.5,-1.2,-2,-2.8,-2.4,-1.9,-3.3,-2.6,-1.3,-1.9,-4,-5.5,-6.6,-7.2,-7.5,-8.7,-9.3,-8.7,-10.8,-11.2,-10.3,-8.6,0.3,5.6,11.9,10.2,15.3,16.6,20.2,22.4,32.9,37.8,41.1,39.3,40.4,53.9,58.2,63.4,70,73.1,74.3,74,69.2,67,65.1,64.7,65.3,67,69.2,68.4,69.9,69.6,69.3,66.2,62.1,61.1,57.9,55.8,45.4,44.3,40.2,34.7,25.8,23.4,22,22,23,23.8,11.6,25.8,24.6,28.1,27.9,34.7,16.8,40.6,41.8,43.4,41.3,40.2,41.2,40.1,46,49.3,51.4,53.5,54.1,55.6,56.7,58.4,60,61.4,63.5,67.6,72.9,76.2,75.5,73.2,65.8,59.6,55.5,53.6,28.2,27.1,25.4,111.7,122.4,123.8,120.8,113.4,90,108.4,103.3,92.9,89.4,79.7,59,50.5,-117.2,-121.7,-154.5,-146,-144.5,-160,-173.4,-184.8,-176.9,-187,-197.8,-209.2,-48,-62.7,-88,-88.1,-143.7
"46",NA,"  Nonfinancial corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","36","    Profits before tax (without IVA and CCAdj)","A464RC1",30,28.1,27.7,30.2,31.4,33,32.2,30.8,27.6,23.8,24.9,24.4,28.6,35,43.2,47.8,47,38.8,34.5,37,34.8,32.5,32.3,36.1,38,37.9,36.9,27.4,29.7,30.7,33,35.7,40.8,41.4,42.4,44.2,42.2,43,40,42.7,43.4,41,39.8,35.9,29.6,30.3,35,41,43.8,48.4,41.6,39.9,45.1,40.6,38.5,36.1,34.9,38.3,41.1,45.4,44.3,43.6,45.1,45.5,45.6,49.5,51.2,52.6,55.3,55.4,56.9,55.9,62.9,65.1,66.3,70.2,72.2,72.4,71.4,69.7,66.5,66.2,66.8,70.8,72.5,73.7,73.7,76.1,75.3,72.7,69.4,67.4,60,59.4,59.8,54.8,64.5,66.4,68.3,70.2,74.8,75.1,78.8,88,99.1,99.6,96.6,102.4,103.8,109.6,120.8,106.3,89.3,99.4,125.3,128.7,140.4,138.8,138.2,135.4,147.3,159.5,165.3,165.5,157.9,188.5,189.1,199.3,197.6,199.5,198.1,192.7,202.9,160.4,178.7,194.2,197.3,180.9,189.7,171.9,146.7,145.8,142.4,124.8,127,158.3,181.2,186.6,210.4,208.4,186.9,184.9,174.1,166.4,179.2,174.1,141.4,142.3,147.5,167.7,180.2,207.6,225.7,225.6,245,257.1,262.2,277.3,264.9,242.9,224,222.8,229.1,241.2,251.2,234.6,217,219.5,226,226.8,238.5,264.1,254,276.3,273.5,303.1,297.4,339.3,348.7,369.4,388.8,413.4,411.9,411.5,427.7,426.1,443.8,458.8,458.6,473,473.5,482.2,515.2,506.1,446.2,449.6,463.5,438.2,448.6,466.6,455.3,461.3,454.8,451.3,415.8,373.7,363.7,359.9,312.8,206.1,260.9,317.2,357.2,409.8,408.6,384.9,428.8,479.1,579,661.7,701.9,706.8,896.5,941.5,921.1,1064.5,1093.3,1137.3,1196.1,1083,1086.8,1119.2,1080.4,1080.6,939.6,993.3,1006.5,667.7,722.8
"48","37","    Profits after tax (without IVA and CCAdj)","A466RC1",18.9,17.7,17.4,19,19.9,20.9,20.4,19.5,17.5,15,15.7,15.5,16.1,19.9,24.5,27.2,22,17.9,15.8,17.1,16.6,15.5,15.5,17.4,18.2,18.1,17.6,12.8,15.3,15.9,17.2,18.5,21.3,21.7,22.2,23.1,22.1,22.6,21,22.6,22.9,21.5,20.8,18.8,15.6,16,18.5,21.7,23,25.5,21.7,20.8,23.6,21.2,20.1,18.8,17.8,19.6,21.2,23.4,23.9,23.4,24.3,24.6,24.7,26.8,27.7,28.6,31.6,31.7,32.6,32.1,37,38.4,39.2,41.4,42.3,42.5,42,40.9,38.9,39,39.4,41.7,39.6,40.3,40.3,41.6,40.3,38.8,36.8,35.4,32.5,31.9,31.8,28.7,34.7,35.9,38.8,40.2,42.9,43.1,45.3,50.3,58.5,59,57.6,60.9,63.5,67.2,73.9,64.6,55.5,62.1,77.6,80,85,85.1,85.3,83.4,91.5,98.7,102.6,102.4,101.2,118.8,119.6,125,126.3,127.9,127,124.1,126.2,102.5,113.1,121.5,125.4,116.3,121.7,112.5,96.9,94.6,92.1,81.1,81.5,98.3,111.8,114.7,128.2,127.3,116.3,115,102.7,98.5,105.4,102.9,68.2,70.5,73.1,82.2,100.3,114.4,123.7,123.8,147.1,154.2,157.9,166.6,152.9,140.4,129.1,127.4,135.7,141.8,147.3,137.4,130.9,131.9,135.9,136.4,150.8,167.2,161.1,176.1,176.4,195.2,191.4,218.2,226,240.7,253.5,268.7,272.6,273.4,284.2,282.8,296.5,305.8,305.3,314.1,319,324.3,346,340,290,290.9,298.8,283.5,281,292.1,284.3,289.3,271.2,269.9,249.9,223.7,236.1,233.7,201.9,124.1,182.7,225.3,255.2,293.7,279.2,261.5,293,325.2,406,471.6,500.8,507.2,639.6,673.5,653.4,758.9,790.7,825,872.8,783.8,767,788.3,761.5,765.8,659.8,699.3,702.7,462.4,503.9
"49","38","    Inventory valuation adjustment","B058RC1",-9.7,-4.7,-4,-5.2,-2.9,-2.9,-2.8,-0.1,1.4,2.8,3,0.2,-0.7,-3.3,-7.3,-8.5,-8.7,-1,3.5,1.5,1.3,1.2,0.7,0.8,-0.4,-1.6,-2,0,0,0,-0.7,-0.5,-1.1,-0.9,-2.2,-2.8,-2.9,-3.6,-1.2,-3,-2.4,-1.5,-1.3,-0.9,-0.2,0.3,-0.2,-0.9,-0.6,-1,-0.3,0.8,-0.9,-0.6,0.5,0.3,-0.1,1,0.3,-0.2,0.4,-0.1,-0.8,0.5,1,0.2,-0.2,-0.8,-0.2,-0.1,-0.9,-0.7,-0.4,-1.1,-1.5,-1.9,-1.2,-2.7,-3.6,-1,-0.4,-1.3,-1.7,-2.8,-4.7,-2.9,-3,-4.1,-4.9,-5.2,-4.9,-8.4,-8.8,-4.6,-6.2,-6.6,-3.6,-4.7,-5.6,-4.5,-5.8,-5.8,-5.8,-9,-15.8,-21.1,-18.7,-22.7,-31.8,-36.7,-50,-34.4,-12.4,-7,-11.7,-11.1,-10.7,-14.9,-15.2,-15.6,-21.4,-15.3,-9.5,-16.6,-20.8,-23.2,-23.3,-27.5,-35.1,-40,-44.1,-41.4,-53.5,-34,-42.3,-38.8,-37.4,-24.3,-18.2,-18.6,-12.9,-4.7,-6.4,-6,2.2,-7.1,-15.2,-9.8,-6.6,-9.8,0.3,0.2,0.6,0.3,7.2,-8,19.7,13.9,5.4,-10.9,-13.9,-19.2,-15.7,-16.2,-18.3,-25.5,-26.1,-18.8,-33.7,-18.9,-0.4,-12.3,-3.6,2,-30.2,-19.8,11.4,8.6,1.4,-1.7,2.2,-10.6,-3.4,0.4,-6.1,-6.3,0.4,-4.1,-8.3,-10.2,-15.7,-15.6,-32.5,-28.2,-9.8,-2.6,2.1,-1.7,4.7,7.1,15.6,15.7,14.5,10.7,24,15.1,21.5,20.2,20.9,6.6,-8.5,-15.3,-28.6,-11.3,-6.3,-10.1,-4.1,1.1,18,30.4,13.3,-1.6,-11.8,-8.8,-25.8,-3.3,-5.3,-19.9,-33.7,-51.9,-39.6,-47.2,-45.4,-18,-39.1,-48.7,-35,-58.5,-42.7,-21.8,-44.2,-55.3,-31,-74.1,-109.4,-154,-90.9,158.1,104.6
