"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219","F220","F221","F222","F223","F224","F225","F226","F227","F228","F229","F230","F231","F232","F233","F234","F235","F236","F237","F238","F239","F240","F241","F242","F243","F244","F245","F246","F247","F248","F249","F250","F251","F252","F253","F254","F255"
"49","41","    Nonfarm","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","42","Net exports of goods and services","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","43","  Exports","B020RA3",6.537,6.455,6.127,5.433,5.185,4.7,4.811,4.641,5.197,5.152,4.722,4.087,4.02,4.069,4.174,4.512,4.738,5.204,5.332,5.282,5.563,4.951,4.561,4.592,4.514,4.542,4.724,4.569,4.364,4.991,4.83,5.053,5.24,5.118,5.454,5.479,5.739,6.125,6.329,6.613,7.044,6.836,6.644,6.445,5.805,5.833,5.852,5.833,6.219,6.426,6.63,6.453,7.261,7.722,7.527,7.683,7.631,7.525,7.484,7.715,7.696,8.435,7.963,7.791,7.974,8.907,8.431,8.854,9.397,9.552,9.478,9.761,8.708,10.343,9.75,10.457,10.273,10.724,10.321,10.661,10.867,10.768,10.506,10.805,11.119,11.341,12.007,11.854,10.432,12.77,12.464,12.896,13.007,13.58,13.535,13.66,13.712,13.684,14.246,13.052,14.434,14.014,14.86,15.491,16.626,17.428,17.486,18.345,18.579,19.483,18.432,18.913,19.047,18.493,18.181,19.209,19.076,19.268,19.828,20.029,19.708,20.239,20.396,19.741,20.206,22.312,22.557,23.452,23.472,23.534,24.381,25.916,26.639,27.141,27.084,26.919,27.428,27.576,26.989,27.114,25.939,26.095,24.939,23.797,24.181,24.254,24.62,25.116,25.641,26.279,26.859,27.405,27.424,27.325,26.924,27.735,28.612,28.923,29.584,30.686,30.71,31.928,33.304,34.535,36.449,37.458,38.152,39.317,40.473,42.234,42.697,43.368,45.263,45.878,46.213,46.601,46.935,48.624,49.738,50.872,51.779,51.78,52.905,53.175,53.296,53.948,53.772,55.492,56.023,57.871,60.082,61.412,62.541,63.403,66.16,67.115,67.96,69.1,69.659,74.025,75.435,78.423,80.245,80.099,80.476,79.549,79.18,82.166,81.534,82.472,84.635,86.756,88.251,90.757,92.971,92.239,91.029,88.058,83.525,81.17,82.468,84.706,85.296,84.427,83.647,83.384,85.636,89.629,91.743,93.175,93.869,96.006,97.788,99.88,99.908,102.424,106.415,108.2,108.353,112.882,113.856,115.302,120.293,124.436,124.395,127.997,126.828,120.149,109.922,108.766,113.315,119.289
"52","44","    Goods","B253RA3",7.024,6.828,6.451,5.653,5.419,4.875,5,4.801,5.433,5.355,4.928,4.254,4.12,4.167,4.306,4.663,4.853,5.336,5.461,5.363,5.662,4.972,4.612,4.683,4.515,4.595,4.822,4.648,4.384,5.169,4.905,5.175,5.378,5.209,5.548,5.564,5.864,6.272,6.508,6.801,7.274,7.038,6.796,6.352,5.867,5.806,5.845,5.777,5.46,5.616,6.171,5.885,6.824,7.156,7.282,7.294,7.342,6.839,7.195,7.324,7.235,7.706,7.72,7.317,7.343,8.105,8.247,8.637,9.027,9.017,9.264,9.452,8.062,9.574,9.271,10.048,9.938,9.769,9.802,10.013,9.974,9.955,9.805,9.973,10.308,10.458,11.181,10.906,9.439,11.954,11.653,12.051,12.277,12.579,12.612,12.771,12.534,12.512,13.401,11.596,13.474,13.157,13.931,14.861,16.206,17.001,16.986,17.96,18.284,19.032,17.985,18.264,18.192,17.347,17.686,18.632,18.416,18.658,19.012,19.182,18.802,19.287,19.482,18.679,18.935,21.565,21.699,22.575,22.594,22.757,23.814,25.624,26.429,26.904,26.433,26.32,26.554,26.515,25.721,26.146,24.607,24.889,23.642,22.315,22.646,22.796,23.184,24.081,23.967,24.537,25.358,26.173,25.952,25.881,25.564,26.328,26.394,26.899,27.324,28.437,28.133,29.327,31.089,32.594,34.581,35.538,36.088,37.761,38.409,40.604,40.744,41.367,43.242,43.618,43.832,43.992,45.182,46.212,47.301,48.043,49.178,49.33,50.782,51.419,50.909,51.557,51.188,53.596,53.609,55.524,58.359,59.918,61.315,62.343,64.735,65.63,67.008,67.721,68.978,72.718,75.234,78.736,81.04,81.158,81.379,79.457,79.601,82.784,81.164,82.077,84.748,87.531,89.481,92.282,96.201,94.766,93.505,89.278,84.401,82.474,82.415,85.3,85.692,83.666,84.02,83.984,85.593,89.498,90.938,92.454,93.619,95.09,97.036,100.224,99.956,102.784,107.085,109.021,109.069,112.488,113.311,115.048,119.075,122.613,123.873,128.016,127.446,118.407,105.52,103.817,109.695,118.04
"53","45","    Services","B646RA3",4.12,4.469,4.371,4.171,3.875,3.68,3.716,3.683,3.882,3.977,3.567,3.134,3.324,3.373,3.348,3.586,3.934,4.295,4.423,4.575,4.758,4.501,4.019,3.896,4.161,3.993,3.997,3.922,3.949,3.944,4.18,4.209,4.328,4.385,4.685,4.739,4.829,5.107,5.176,5.405,5.651,5.562,5.573,6.284,5.129,5.476,5.421,5.589,8.605,8.967,7.822,8.065,8.334,9.241,7.874,8.551,8.124,9.516,7.985,8.583,8.825,10.478,8.298,8.963,9.692,11.178,8.518,9.031,10.082,10.816,9.61,10.21,10.441,12.405,10.805,11.209,10.769,13.441,11.47,12.262,13.364,12.972,12.316,13.076,13.291,13.76,14.175,14.473,13.303,14.853,14.546,15.068,14.743,16.278,15.949,15.945,17.041,16.997,16.365,17.364,16.989,16.232,17.262,16.859,17.204,17.971,18.282,18.644,18.511,19.974,18.972,20.269,21.281,22.04,18.941,20.243,20.481,20.457,21.843,22.162,22.103,22.788,22.775,22.759,24.031,23.895,24.569,25.49,25.513,25.142,25.039,25.308,25.652,26.242,27.892,27.518,29.124,30.034,30.333,29.24,29.589,29.246,28.502,28.102,28.663,28.447,28.706,27.704,30.547,31.394,31.067,30.638,31.508,31.329,30.667,31.611,35.09,34.783,36.175,37.233,38.28,39.559,39.693,40.029,41.647,42.789,43.938,43.383,46.197,46.491,47.998,48.814,50.74,52.091,52.792,53.864,51.652,55.266,56.432,58.671,58.908,58.471,58.674,57.932,59.798,60.467,60.822,60.659,62.607,64.264,64.763,65.464,65.855,66.257,70.015,71.136,70.545,72.82,71.53,77.509,76.082,77.753,78.356,77.551,78.335,79.871,78.249,80.757,82.5,83.493,84.445,84.989,85.405,87.216,85.437,86.35,85.265,85.229,81.497,78.146,82.584,83.326,84.373,86.177,82.783,82,85.725,89.921,93.587,94.828,94.433,98.1,99.508,99.094,99.795,101.603,104.897,106.339,106.729,113.773,115.087,115.871,123.05,128.568,125.587,127.965,125.429,124.054,119.619,119.649,121.293,122.082
"54","46","  Imports","B021RA3",2.516,2.565,2.274,2.397,2.703,2.81,2.957,2.909,2.822,2.781,2.667,2.707,2.783,2.937,3.624,3.631,3.631,3.511,3.213,3.129,3.492,3.474,3.687,4.017,3.918,4.122,4.106,3.904,3.678,4.009,3.767,3.803,4.028,4.256,4.328,4.485,4.673,4.649,4.689,4.474,4.83,4.867,4.774,4.79,4.861,5.069,4.992,5.253,5.389,5.649,5.703,5.558,5.768,5.812,5.641,5.375,5.348,5.414,5.772,5.909,6.089,6.222,6.301,6.378,6.23,6.377,6.539,6.518,6.511,6.658,6.837,7.022,6.769,7.568,7.599,7.97,8.175,8.378,8.848,8.947,9.088,9.015,9.133,9.615,10.182,10.337,10.958,10.866,9.841,11.783,11.63,11.502,11.465,11.691,11.664,11.845,11.706,12.589,12.867,11.995,13.748,13.259,13.535,14.145,14.799,14.372,13.975,14.079,13.602,14.322,14.072,13.932,12.534,11.531,12.49,13.157,13.981,14.586,15.182,15.684,16.427,16.578,16.347,16.579,17.691,17.747,17.979,18.225,18.176,18.274,17.995,18.388,18.402,17.066,15.839,16.689,17.402,17.428,17.229,17.724,17.218,16.937,17.723,17.027,17.417,18.756,20.217,21.209,22.914,23.874,24.491,25.209,24.653,25.864,25.614,26.618,26.594,27.727,28.495,28.714,28.543,29.254,29.823,30.509,30.366,30.017,30.726,31.662,31.809,31.96,31.916,32.494,33.524,33.468,33.333,32.439,32.07,32.64,33.558,34.3,34.549,35.117,35.671,36.525,37.316,38.087,38.588,40.139,41.074,42.604,43.803,45.035,46.023,46.46,46.62,47.216,48.751,49.842,51.458,52.473,54.714,56.551,58.635,59.9,62.147,63.571,64.428,66.512,68.206,70.38,72.933,74.682,77.711,80.08,82.877,82.815,81.607,79.177,77.26,76.339,78.252,80.894,82.229,83.707,82.696,83.881,84.856,87.996,90.235,93.849,95.213,97.626,98.187,99.266,99.874,102.673,104.613,105.774,107.04,106.917,108.041,107.907,108.904,107.901,107.225,105.853,105.259,100.547,89.804,86.292,90.554,93.933
"55","47","    Goods","B255RA3",2.276,2.328,2.015,2.042,2.386,2.48,2.533,2.525,2.457,2.378,2.312,2.388,2.441,2.589,3.338,3.278,3.219,3.077,2.658,2.462,2.79,2.819,2.921,3.116,3.06,3.237,3.143,2.879,2.769,3.045,2.792,2.772,3.07,3.1,3.109,3.423,3.561,3.441,3.402,3.433,3.51,3.557,3.499,3.672,3.514,3.587,3.629,3.908,4.122,4.379,4.419,4.259,4.347,4.408,4.171,3.972,3.93,3.997,4.42,4.527,4.691,4.838,4.925,4.917,4.852,5.018,5.149,5.136,5.096,5.271,5.469,5.651,5.391,6.239,6.295,6.604,6.777,6.882,7.325,7.411,7.436,7.22,7.278,7.955,8.593,8.804,9.412,9.257,8.066,10.215,10.006,9.752,9.77,9.848,9.818,10.093,10.043,11.012,11.401,10.388,12.21,11.634,12.13,12.699,13.358,13.019,12.818,12.912,12.301,13.012,12.788,12.559,11.095,10.147,11.202,11.832,12.678,13.312,13.9,14.396,15.179,15.291,15.108,15.324,16.39,16.458,16.651,16.865,16.833,16.939,16.653,17.078,17.1,15.73,14.422,15.238,15.885,15.894,15.744,16.256,15.647,15.21,16.085,15.234,15.69,16.996,18.452,19.484,20.913,21.769,22.225,22.801,22.088,23.388,23.306,24.413,24.224,25.758,26.297,26.469,26.048,26.569,27.207,27.687,27.601,27.327,28.005,28.933,29.021,29.141,28.961,29.561,30.439,30.326,30.108,29.207,29.027,29.509,30.676,31.411,31.861,32.648,33.312,34.174,35.099,35.895,36.351,37.858,38.79,40.507,41.91,43.387,44.223,44.833,44.929,45.435,47.052,48.235,49.87,51.082,53.281,55.307,57.321,58.611,60.778,62.203,62.913,65.227,67.005,69.357,72.072,73.999,76.863,79.286,82.087,82.109,80.873,77.635,76.148,75.466,76.952,80.222,81.704,82.758,81.848,83.985,84.326,87.293,89.369,93.263,94.778,97.23,98.071,99.234,99.901,102.794,104.376,105.665,107.1,106.476,107.792,107.527,108.277,107.239,106.29,105.035,104.045,98.517,86.326,82.52,87.27,91.4
"56","48","    Services","B656RA3",3.768,3.8,3.651,4.33,4.39,4.57,5.248,4.971,4.771,4.948,4.579,4.417,4.629,4.801,5.036,5.44,5.809,5.826,6.467,7.221,7.745,7.397,8.338,9.548,9.168,9.515,10.037,10.302,9.32,9.968,9.863,10.29,9.941,11.523,12.027,11.031,11.534,12.196,12.799,10.868,13.139,13.097,12.769,11.67,13.33,14.43,13.571,13.685,13.257,13.485,13.602,13.586,14.614,14.533,14.841,14.152,14.229,14.271,14.161,14.488,14.761,14.796,14.822,15.436,14.766,14.792,15.144,15.07,15.285,15.243,15.294,15.489,15.281,15.775,15.653,16.407,16.814,17.625,18.26,18.434,19.289,20.09,20.573,19.874,20.02,19.841,20.557,20.843,20.807,21.523,21.706,22.349,21.967,23.115,23.112,22.695,22.001,22.369,21.99,21.941,23.311,23.363,22.255,23.117,23.738,22.765,21.141,21.298,21.782,22.456,22.007,22.596,21.994,20.712,20.718,21.566,22.1,22.388,22.947,23.42,23.724,24.165,23.588,23.906,25.213,25.165,25.667,26.138,25.961,25.982,25.805,25.841,25.754,25.012,24.782,25.729,26.866,27.053,26.477,26.717,27.236,28.367,28.217,28.999,28.733,30.09,31.316,31.791,35.51,37.173,39.031,40.789,41.652,41.855,40.276,40.32,41.593,39.703,42.055,42.602,44.284,46.364,46.343,48.52,47.965,47.087,47.941,48.823,49.399,49.762,50.809,51.14,53.226,53.61,54.095,53.324,51.58,52.727,51.821,52.563,51.411,50.442,50.226,50.993,50.848,51.427,52.215,54.005,54.922,55.163,54.966,54.554,56.524,55.801,56.371,57.529,58.486,58.955,60.417,60.197,62.666,63.336,65.819,66.928,69.63,71.037,72.724,73.493,74.695,75.855,77.492,78.236,82.182,84.23,86.983,86.424,85.375,87.568,83.234,80.989,85.198,84.434,84.976,88.739,87.206,83.371,87.636,91.684,94.787,96.949,97.531,99.741,98.816,99.441,99.73,102.012,105.888,106.358,106.715,109.276,109.381,109.95,112.25,111.435,112.249,110.211,111.849,111.605,108.238,106.16,107.962,107.458
"57","49","Government consumption expenditures and gross investment","B822RA3",17.184,17.293,17.451,17.193,17.534,18.378,18.735,19.523,20.081,20.99,21.201,20.75,20.403,20.737,20.339,21.635,23.948,27.241,30.332,32.023,33.015,34.134,34.472,35.09,36.281,37.079,36.631,36.517,35.54,34.282,33.455,33.252,33.212,32.882,33.082,32.365,32.347,33.025,32.713,33.563,34.252,34.039,34.3,34.925,34.535,35.4,35.621,36.381,36.145,36.696,37.158,36.753,36.029,36.322,37.197,37.456,37.946,38.037,38.783,39.635,40.336,40.555,41.478,41.538,41.285,41.233,43.001,42.61,42.768,43.045,43.071,42.947,42.843,43.396,44.897,45.862,46.687,47.514,48.8,49.594,51.699,51.418,51.953,52.307,53.22,53.466,53.578,53.622,53.674,53.45,53.525,52.739,52.455,51.777,52.001,52.002,51.16,50.996,50.964,50.584,50.768,51.083,50.03,50.344,50.839,50.536,49.887,50.254,51.305,51.651,51.728,51.908,52.544,52.14,53.057,53.507,53.64,53.052,52.773,52.732,53.21,53.763,53.861,53.688,53.775,55.227,55.667,56.172,55.667,56.255,56.337,56.704,57.616,57.795,56.998,56.94,57.696,57.825,57.694,58.225,58.167,58.506,58.906,59.923,60.373,60.889,61.946,60.899,61.512,62.838,63.302,64.659,65.4,66.867,68.603,69.013,69.759,71.242,72.854,72.436,72.732,73.192,73.194,74.08,73.721,73.914,73.871,75.372,74.909,76.069,76.786,77.194,78.385,78.501,78.478,79.257,79.579,79.857,79.478,79.144,79.745,79.651,80.06,80.083,79.239,79.18,79.101,79.491,78.48,78.81,80.192,79.5,79.816,80.083,79.907,79.013,79.519,80.661,80.583,81.266,81.411,82.116,82.208,82.344,81.849,83.628,84.402,85.157,85.593,85.95,87.061,88.438,87.714,88.884,88.604,88.874,90.188,92.061,91.893,93.525,94.958,95.87,96.646,97.293,97.091,98.534,98.824,98.895,99.366,99.73,100.094,99.482,99.577,99.685,100.59,100.147,101.147,101.232,101.386,101.67,101.671,102.764,103.757,104.169,104.845,105.782,107.036,107.346,106.639,108.386,109.097,108.737
"58","50","  Federal","B823RA3",25.544,25.597,25.611,24.718,25.559,27.116,27.669,29.169,29.756,30.874,30.534,29.021,27.64,28.254,27.251,30.451,36.413,44.208,51.849,56.15,58.6,60.92,62.487,63.469,65.942,68.018,66.162,65.201,61.731,58.425,55.519,54.873,53.552,52.337,52.889,50.91,50.53,51.855,50.911,52.735,53.672,52.858,53.05,53.793,51.864,53.53,53.321,54.566,53.666,54.95,56.085,55.268,52.782,52.58,54.212,54.41,54.339,54.847,56.387,57.381,59.488,59.733,61.53,61.199,59.714,59.161,62.445,60.783,60.473,60.07,59.598,58.76,58.02,58.132,60.48,62.158,63.579,65.262,67.904,68.469,73.163,72.103,73.249,73.097,74.368,73.771,73.136,72.689,72.285,71.132,71.182,69.277,67.908,65.781,64.808,64.455,61.946,61.053,60.796,58.915,59.155,60.101,56.86,56.673,57.611,56.718,54.311,54.354,56.066,55.977,56.258,56.671,56.034,55.584,56.97,57.115,56.588,56.466,56.306,56.45,56.919,57.857,58.191,57.621,57.823,59.202,59.411,59.932,60.013,60.755,60.661,60.647,62.588,64.162,63.297,63.511,64.826,66.761,66.689,67.403,67.508,68.12,69.141,71.185,72.042,73.574,75.639,72.99,73.614,75.924,75.634,78.144,78.977,80.904,83.617,83.585,83.141,85.792,89.039,87.657,88.179,89.403,89.498,90.829,88.361,87.461,86.806,89.413,87.583,89.554,90.416,89.962,91.312,91.421,90.605,91.401,92.11,92.371,90.65,88.871,88.899,88.81,89.824,89.87,87.106,85.876,84.97,85.415,82.358,81.893,84.14,81.83,81.63,81.307,80.754,77.722,79.341,80.472,79.053,78.825,77.764,79.142,78.884,78.776,76.319,78.419,77.767,78.529,78.01,78.009,79.646,81.416,78.194,81.324,79.747,79.379,81.069,82.805,83.361,84.368,86.376,88.372,89.772,91.289,91.315,95.718,95.812,96.511,97.749,98.304,100.01,98.778,99.19,99.286,101.608,99.915,102.763,101.887,101.792,102.066,100.738,102.558,104.871,105.57,107.654,109.698,113.152,114.946,113.693,116.801,119.057,119.067
"59","51","    National defense","B824RA3",31.436,29.376,30.894,31.105,31.023,30.767,30.306,31.82,32.659,33.252,33.158,31.069,29.815,30.075,32.052,36.49,46.253,57.332,69.12,75.329,77.918,82.119,84.015,85.514,88.146,88.851,87.687,86,80.234,76.861,72.895,70.391,70.015,67.475,68.187,65.896,65.645,67.397,67.18,69.335,69.727,70.307,70.885,70.028,69.252,69.937,69.907,70.429,68.471,67.637,69.36,68.473,67.262,66.276,68.396,67.605,69.396,68.962,70.943,72.173,74.862,74.047,75.231,74.353,72.589,71.841,74.401,72.52,71.463,70.08,69.847,68.412,66.894,66.584,68.92,71.525,74.143,75.702,80.666,82.713,87.664,87.721,89.921,88.963,91.161,91.079,89.282,88.483,87.542,85.578,85.448,83.658,81.434,77.587,76.38,75.8,72.237,69.47,68.079,66.136,65.182,66.208,61.528,61.434,62.627,61.504,57.856,58.257,59.601,60.56,59.117,59.101,58.647,57.741,59.928,59.805,58.981,58.94,58.813,58.578,59.235,60.138,60.167,58.505,58.876,60.203,60.365,60.633,60.931,62.156,61.972,62.32,64.154,64.308,64.427,65.275,66.514,68.523,69.108,70.367,71.161,73.141,74.413,76.541,76.996,78.776,79.314,81.355,81.609,82.477,82.148,85.65,86.242,88.731,92.308,92.727,92,95.469,99.187,96.41,97.831,100.183,101.665,101.522,100.432,99.576,98.608,100.687,97.426,99.502,100.711,99.703,99.921,99.639,97.934,99.725,100.593,100.318,97.631,94.314,92.843,92.91,94.185,93.464,89.785,88.463,87.26,88.097,83.683,83.726,86.484,82.395,82.174,82.028,81.047,78.495,80.026,81.117,79.396,78.886,76.352,78.151,77.772,78.199,73.543,76.359,77.308,76.7,75.772,75.81,78.056,79.904,75.179,78.647,77.03,77.09,78.447,79.544,80.267,81.374,83.128,85.041,86.482,88.476,87.785,95.191,94.066,95.929,97.359,97.871,100.708,98.201,99.068,99.826,102.492,98.614,101.115,101.384,100.892,102.963,100.952,103.059,105.546,105.668,107.76,109.597,114.668,115.732,114.219,118.014,120.419,119.317
"60","52","      Consumption expenditures","B997RA3",40.066,37.39,38.05,38.023,37,36.355,36.012,37.349,37.465,37.33,37.008,35.024,35.139,35.492,37.151,42.311,51.073,60.6,70.54,73.179,77.403,82.58,84.284,85.845,86.805,86.065,85.549,86.543,78.268,76.064,74.384,71.846,72.254,67.729,71.156,69.848,68.738,71.445,69.006,72.486,74.052,75.889,75.81,75.07,73.98,74.769,72.628,72.806,66.796,67.126,68.872,69.076,68.104,68.154,69.638,69.245,69.126,69.378,70.992,72.465,74.946,74.884,75.79,75.758,75.499,75.246,77.072,76.854,75.476,74.361,74.357,72.531,71.751,72.427,74.785,78.781,80.005,83.401,87.214,89.143,94.478,96.033,96.967,96.957,100.917,101.234,99.278,99.425,96.214,97.143,95.853,95.936,91.237,87.354,86.387,85.218,84.215,81.428,78.859,78.484,78.232,78.009,74.174,72.863,72.459,71.698,68.517,68.646,68.995,69.487,67.026,66.758,66.599,66.569,66.304,66.033,65.197,66.216,64.897,64.646,65.152,66.208,66.847,65.413,66.165,66.928,67.106,66.277,67.227,68.623,66.493,67.489,69.149,69.918,70.563,70.748,72.536,73.888,74.323,75.574,77.021,77.765,79.992,81.41,81.993,83.244,83.189,84.596,84.657,85.485,85.575,87.471,88.601,89.564,92.462,93.193,92.935,95.743,97.045,94.733,96.86,98.311,99.2,100.179,100.501,99.382,98.355,100.818,96.962,99.679,99.701,99.843,99.642,98.713,96.519,98.646,101.047,99.946,97.366,94.759,92.771,92.424,93.796,93.763,90.916,89.414,88.684,89.063,85.793,85.135,87.202,83.989,83.528,83.297,82.954,80.05,80.922,82.161,80.748,81.347,79.212,81.218,79.668,80.19,75.843,78.594,78.671,78.634,78.21,77.287,79.31,81.857,76.407,80.486,78.36,78.529,80.282,80.872,81.428,82.601,84.633,85.772,86.719,89.262,88.456,96.38,94.719,96.552,98.203,98.485,100.79,98.265,99.548,99.751,102.339,98.362,100.843,100.214,100.367,101.869,99.958,101.436,104.084,104.248,105.927,106.525,111.499,112.401,111.005,114.258,116.468,116.092
"61","53","      Gross investment","B788RA3",4.413,4.308,8.599,9.532,12.259,13.178,12.386,14.349,17.284,20.032,20.649,18.327,13.041,13.041,15.891,18.054,30.148,45.016,61.246,76.839,74.749,76.005,78.266,79.502,86.631,91.354,88.459,79.288,81.072,74.511,64.204,61.922,59.283,62.758,55.354,50.313,52.637,51.561,57.739,55.994,53.012,49.977,52.357,51.22,51.391,51.712,57.819,59.252,68.948,64.787,66.297,62.394,60.597,56.744,60.536,58.639,65.809,63.417,66.319,66.78,69.909,66.968,68.88,65.621,59.594,57.436,61.966,55.277,55.237,53.119,52.207,52.062,48.358,45.019,47.158,45.206,52.157,47.762,56.169,58.515,62.028,57.245,63.488,59.471,55.758,54.353,53.136,49.145,55.818,44.315,48.062,39.959,46.203,42.561,40.546,41.903,29.674,27.042,29.813,22.537,19.282,23.876,17.445,20.881,26.533,24.475,19.859,21.003,25.21,27.478,29.322,30.102,28.725,25.043,35.148,35.511,34.733,31.228,34.948,34.776,35.895,36.249,34.302,32.008,31.105,34.174,34.265,38.109,36.207,36.788,43.122,41.263,43.65,41.669,39.947,43.133,42.306,46.599,47.694,48.936,47.328,53.72,51.498,56.108,56.056,59.699,62.393,66.701,67.709,68.725,66.774,76.451,74.886,83.424,89.647,88.715,85.981,92.159,106.128,101.409,99.722,106.114,110.302,105.003,97.399,97.803,97.144,97.375,97,95.986,102.755,96.346,98.528,101.338,102.024,102.156,95.601,99.352,96.224,89.497,90.627,92.768,93.507,89.339,81.631,81.238,77.721,80.831,70.851,74.379,80.464,72.165,73.123,73.399,69.306,68.607,73.381,73.749,70.507,64.253,59.655,60.305,66.1,66.016,59.804,62.927,68.576,64.903,61.253,66.495,69.92,67.918,67.282,67.279,68.56,67.994,67.048,71.062,72.745,73.439,73.485,80.149,84.629,83.206,83.268,87.325,89.681,91.733,91.684,93.724,100.116,97.726,95.764,100.344,103.543,100.348,102.97,109.641,104.551,110.675,107.966,114.652,115.949,115.744,120.844,131.867,137.614,139.865,137.493,145.286,149.128,142.596
