"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213"
"29","20","    Financial services and insurance","DIFSRX0",480906,482241,484318,486042,488748,489478,492030,491015,495355,492726,495455,500099,500607,503337,509080,506480,510612,510192,505648,505085,510304,509779,512961,514588,517458,518055,517357,515197,521302,519739,528103,533915,533405,538150,530820,534956,535380,541927,545159,549868,549398,561340,557879,563664,573611,572679,577950,580868,584650,581183,584348,595945,598720,600809,605690,611858,615431,618114,634551,642799,651201,664510,673286,668479,659667,666236,665025,667402,668900,669662,664759,672723,665363,655931,657898,660022,659308,659044,653785,656366,661300,666205,669753,671035,664499,663924,660391,657665,657388,660454,668411,658013,653480,656548,656305,650128,650727,649926,651955,650036,656385,661828,661418,660056,667122,665048,666747,668670,671935,670296,670858,673629,671074,669897,672640,673289,675324,680171,685219,691369,685290,687420,688602,694168,693398,698373,700637,705787,705637,703837,706853,711149,711925,713096,713003,713469,715912,713594,711547,714491,717404,719583,724603,728445,725997,730893,733652,735169,739430,742830,744084,748715,737921,741764,750695,746691,750255,745442,743060,739811,739009,735948,735508,727527,733668,724689,709682,703090,694528,694030,691299,685694,683401,680178,676698,674977,673394,670403,669258,673131,679598,683463,683609,690370,693707,685877,683333,682371,680969,679799,681279,679794,679605,681913,680882,679098,678459,677338,680892,692575,683889,680925,681765,684057,686171,689573,690071,692704,693447,689749
"30","21","    Other services","DOTSRX0",515303,524504,527696,520593,520119,534727,521573,524802,522047,527101,526788,526055,532831,540307,533934,539580,534349,537888,551734,551092,552608,539124,541050,548939,555709,559260,559552,563695,567000,569762,575800,578319,582282,586325,593755,597276,600831,607186,612981,609671,614264,622081,628895,630514,633803,633580,634182,632079,639764,642957,648059,651842,652215,653429,658019,661960,661073,666590,669223,675765,678267,683733,692942,689395,702818,705594,711212,713855,716653,718857,718755,717888,720465,721880,721596,737912,738946,736376,736532,736665,739663,735647,733380,732461,736685,738572,736544,739219,739544,739919,737176,731216,736893,735382,733666,739697,750367,749815,752220,752516,749502,755394,759081,758812,754809,752800,753239,757891,765785,763323,761519,761270,766972,769475,768315,772684,772463,773925,772330,773179,776122,777451,778401,775936,773546,773705,774410,776278,776754,777312,782921,782298,782017,788988,792280,794756,796287,799551,798255,799059,800728,803380,805777,807978,811982,817453,815922,819528,819291,821859,813536,812393,812993,810338,812055,812047,815653,815954,810232,811280,803365,803154,798516,799432,801686,800187,804540,795946,797112,795969,792629,789412,783589,784756,785257,786604,783228,784872,786576,788102,786990,786749,787194,790136,789352,791209,792626,796613,794257,797918,798882,803593,803450,809120,808544,806069,804524,804522,803360,802584,803740,805454,807810,814211,812726,811180,810485,810760,810688,814496
"31","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX0",142455,139410,138834,141338,141273,142031,141830,141458,143255,144016,144918,146126,147599,151134,150972,150376,151033,153757,153466,153106,152079,151394,149437,146175,143282,139414,139763,139566,139617,140256,137587,140187,141284,139625,141657,143872,144526,146168,148293,149119,150854,152957,154778,156281,158228,160064,162077,163123,162798,162647,163247,163324,164193,164775,165033,165523,165542,165765,167763,168627,171765,172834,173600,172822,173640,174041,178265,179910,181420,184097,185336,185656,185086,185722,187233,189092,189816,190333,191291,192678,194519,195878,196540,197908,199242,199905,201715,203107,205220,206442,210108,213164,214867,215759,218577,219623,218758,216563,216019,218200,220598,220569,220877,219235,217757,219588,218937,217501,219616,219715,220290,218795,217759,217143,216199,216504,216376,218407,217679,213237,205896,203573,202431,205301,208286,211158,210841,211971,213720,219275,223606,224431,224533,224732,226461,227754,231888,234767,239471,241846,242900,241740,242779,242752,242070,240384,239163,236952,236795,238807,243524,246547,249933,255278,257369,255809,260584,265641,268207,268752,269173,269082,270465,272844,277594,283358,285583,283094,280683,275927,275595,272645,273132,272794,272901,275547,275808,279847,281394,280720,278457,277838,278953,281133,281734,282018,279401,278987,279376,277736,279153,279668,279357,280253,282154,283456,285050,290457,294915,299378,301380,295999,293784,294723,291545,294780,295496,295348,298302,299977
"32","23","    Gross output of nonprofit institutions \2\","DNPERX0",632751,631345,633755,632737,635651,635950,634810,637803,638206,640466,640223,643495,643919,641143,647616,649566,649456,655501,653571,655382,657644,660893,661368,664879,660802,656289,656357,657525,659645,661711,662571,666364,667565,668074,671930,676670,681337,685361,688102,689265,691694,694859,698509,701385,704315,706608,708724,710467,711377,713286,715322,715853,717009,718675,720847,722946,724575,727517,731147,732972,734603,736604,739614,741204,744102,747135,749699,752755,755350,759033,762855,764866,768202,770306,774209,776734,779092,781588,786296,790249,792838,797023,800749,806266,811443,815292,819108,823998,827721,832193,835107,839384,840647,842047,843144,843152,842848,841210,841866,842816,843525,844053,844954,844521,844190,844935,846032,848231,850084,851656,852293,853536,855683,859049,860932,863778,867208,870657,871005,869621,866534,866872,866900,869001,871610,873764,875162,875624,876567,878606,884007,886929,890465,893252,895898,897001,899813,902035,903417,904777,906008,908206,912732,916115,919953,921710,924881,923368,922493,921811,922793,925378,927613,932069,934335,936053,940512,944727,947295,949758,951156,953250,955298,958733,961655,965476,966187,965103,966675,966421,967726,967851,969546,971095,973036,973936,974677,975767,975475,973148,969544,969290,972077,976398,980257,984530,986178,989926,991885,995091,998497,1001310,1001160,1002194,1004721,1007253,1009506,1011279,1010778,1010742,1013365,1016066,1019490,1022930,1024601,1030677,1033838,1036072,1037834,1037882
"33","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX0",493173,494962,498041,494356,497393,496900,495952,499389,497907,499402,498214,500266,499157,492690,499400,501995,501195,504490,502836,505045,508405,512410,514930,521898,520790,520279,519985,521382,523489,524927,528633,529747,529824,532134,533893,536364,540453,542800,543297,543597,544181,545112,546852,548143,548992,549311,549249,549878,551162,553283,554706,555164,555384,556447,558394,560009,561672,564468,565958,566869,565013,565878,568126,570666,572737,575429,573247,574543,575510,576268,578811,580530,584660,586108,588413,588883,590492,592483,596266,598765,599327,602109,605208,609353,613183,616404,618287,621763,623213,626456,625326,626324,625743,626207,624260,623164,623830,624555,625831,624467,622667,623249,623861,625154,626380,625243,627025,630717,630419,631897,631966,634717,637913,641908,644746,647293,650858,652294,653371,656390,660607,663259,664433,663680,663322,662635,664338,663681,662883,659328,660404,662519,665958,668549,669478,669299,668026,667415,664192,663236,663442,666754,670242,673627,678098,681477,685806,686437,685713,683096,679529,679176,678131,677437,677702,680866,680762,680155,680273,682188,683172,685322,686038,687187,685613,684002,682666,683936,687714,691787,693378,696142,697366,699177,700974,699533,700032,697575,695966,694314,692792,693078,694802,697095,700280,704130,707912,711850,713394,717850,719909,722163,722279,722506,723319,724639,725450,722602,718403,714664,715519,722520,727614,730113,734300,737419,739832,742072,741336,740023
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","25","  PCE excluding food and energy \4\","DPCCRX0",5052988,5038239,5078446,5061260,5094945,5142018,5123098,5147966,5174198,5156870,5191687,5225492,5197226,5240951,5266517,5294750,5302623,5310388,5331693,5346903,5364650,5374583,5387994,5414603,5439671,5452419,5469892,5459373,5470705,5504104,5552672,5600002,5595427,5614504,5648535,5680554,5690338,5720593,5741290,5779850,5817943,5851864,5861967,5893161,5941560,5978834,6000648,6043359,6030292,6068114,6092746,6130141,6161451,6189178,6198945,6241115,6272348,6286205,6333914,6389617,6402408,6468972,6512279,6488482,6516305,6525037,6539839,6570633,6627901,6626747,6627852,6639236,6661348,6675935,6665220,6679040,6712055,6727410,6730772,6781957,6700298,6881689,6857555,6836639,6872746,6898971,6890037,6933353,6888586,6930433,6971383,6982251,6944869,6955882,6971350,7023663,7027215,6995200,7041179,7067233,7100336,7144420,7175137,7233266,7210749,7220626,7257913,7268535,7294685,7309825,7341138,7333818,7381257,7348426,7404316,7416588,7466291,7481687,7494679,7548732,7540981,7573616,7583084,7653567,7607194,7691546,7742398,7704601,7681976,7692975,7741038,7770499,7842361,7832881,7853657,7875063,7865961,7889830,7911255,7904584,7946489,7968968,7995877,8051469,8044580,8043900,8077484,8068098,8110476,8103767,8109045,8135611,8143367,8154581,8166291,8167177,8164350,8139927,8127486,8149094,8153357,8144203,8112343,8103818,8054931,7993880,7970109,7933106,7953711,7928979,7883952,7876239,7886493,7885687,7912408,7984165,7886982,7899293,7923075,7939764,7929522,7943215,8003403,8018826,8025714,8037498,8050481,8083492,8097501,8143784,8174781,8187403,8204118,8237216,8265460,8266700,8263800,8265613,8285946,8294421,8327946,8347652,8362756,8387450,8413169,8446756,8452110,8450995,8450155,8443101
"36","26","  Energy goods and services \5\","DNRGRX0",415066,428115,410894,425567,431004,431278,437054,442733,424743,418393,437545,434719,438098,443341,448372,440151,442442,441531,429167,438844,425868,436852,440307,433658,436768,435821,428090,445510,438875,434392,444015,434147,439740,457430,443156,453680,431833,446811,457059,447874,459912,470148,460954,463235,464639,449622,443303,452418,458890,448174,461304,463290,463778,472933,478079,468479,465191,469590,445824,465486,454762,450990,439898,456572,468802,469164,462198,471955,471030,463904,471142,504500,473383,472358,478879,461825,460785,450294,468456,458530,461480,468689,452873,459530,454732,461806,467315,465904,479618,474505,476104,477156,475465,485453,484079,481082,488422,484817,471379,493726,485356,473832,479807,491896,480342,487289,493501,493591,498094,496025,482378,494113,495138,489544,485233,484555,489987,492641,492848,491271,498210,486485,500938,489962,499893,498514,502208,502500,484550,486643,484558,490453,454870,476589,478493,477760,487302,480368,502092,483643,485471,496774,480117,469731,484323,493117,470167,499743,473016,476378,480751,489264,486437,470649,476401,480700,475670,468080,482066,471837,466148,463869,451411,448928,446752,462675,466199,465558,475696,468965,480772,472625,468039,461758,456380,471253,466351,470454,450167,472219,477197,478759,469867,466519,480153,470369,473839,480697,474488,465865,467262,471092,471138,462709,470454,468079,463266,447531,466526,456387,460791,458713,448809,439974,435304,442105,439841,456244,462516,460217
"37","27","  Market-based PCE \6\","DPCMRX0",5247337,5232006,5257905,5252310,5292869,5327610,5324092,5351265,5366423,5339517,5387166,5427772,5392387,5427866,5462086,5483652,5497110,5497497,5499721,5523444,5528423,5562587,5581255,5601677,5622721,5634069,5651644,5647239,5649387,5679867,5736288,5769569,5770232,5802016,5821531,5852313,5844042,5880700,5901623,5937383,5981265,6018643,6015288,6045128,6091245,6111878,6128088,6185344,6177822,6212243,6240896,6275001,6306546,6335063,6345971,6381039,6412916,6423983,6450831,6534992,6502365,6562572,6593336,6595731,6621698,6636193,6634495,6667665,6725990,6720099,6727615,6773531,6768295,6779641,6769170,6760272,6790560,6798231,6812934,6854249,6776505,6957581,6918760,6903921,6929602,6960887,6962185,6998354,6971315,7012980,7054896,7069364,7020459,7044215,7064731,7106480,7105846,7083806,7116237,7157136,7179782,7207867,7240760,7312557,7285591,7294738,7334823,7341020,7378329,7382448,7402347,7402557,7441233,7403505,7459330,7471739,7523970,7543259,7556976,7614053,7616686,7649921,7664555,7720339,7692071,7768341,7822638,7784863,7749432,7756011,7787377,7820123,7848212,7865088,7879811,7906024,7909698,7917043,7960081,7927896,7970067,8007346,8009973,8063017,8074477,8078352,8085635,8103890,8115205,8109658,8122615,8157793,8161064,8152414,8170201,8182146,8161580,8116503,8137490,8142331,8150064,8143787,8097396,8079707,8017204,7973438,7946589,7916294,7953048,7934129,7903435,7900697,7917161,7909111,7934191,8018045,7931041,7944982,7939139,7987004,7979143,7998014,8038309,8040983,8062201,8063142,8075749,8121053,8132807,8171476,8214949,8231548,8252922,8271177,8304710,8313824,8304477,8282425,8322241,8314277,8348795,8374787,8379477,8369599,8393140,8433627,8442341,8460174,8465409,8449031
"38","28","  Market-based PCE excluding food and energy \6\","DPCXRX0",4303178,4286518,4322265,4310412,4341998,4375824,4369928,4392280,4418800,4397977,4429897,4465357,4430404,4462456,4491005,4515624,4527755,4528102,4539297,4556850,4571056,4595143,4610535,4633739,4650504,4662356,4681756,4668320,4678006,4710250,4754356,4794949,4790753,4809560,4837077,4863288,4870181,4894209,4906584,4946310,4980034,5006891,5008759,5036974,5077966,5108472,5126169,5170488,5159548,5196447,5214823,5243598,5272334,5295904,5300841,5338683,5367755,5379909,5419475,5466446,5470452,5525360,5556382,5545702,5564572,5572109,5578907,5604497,5660046,5655772,5658228,5675030,5693746,5710152,5696841,5694529,5723284,5743383,5744657,5792379,5710690,5885366,5859264,5835233,5869676,5895280,5891171,5932019,5889961,5933242,5971230,5986997,5942199,5954111,5970534,6013405,6004228,5983813,6030841,6054526,6086430,6123163,6144359,6203146,6186574,6191299,6228529,6238076,6259677,6268311,6299135,6289960,6329766,6297185,6355600,6365397,6405102,6422342,6434538,6489752,6481753,6523882,6523977,6592443,6556087,6626962,6678639,6634941,6614762,6615553,6650321,6678320,6745807,6732257,6747652,6769065,6758971,6777316,6794498,6780182,6825150,6841809,6862651,6918445,6914886,6913622,6949440,6935569,6976190,6966767,6970164,7000800,7003885,7011263,7022934,7021866,7015573,6983342,6981728,7002437,7016303,7007996,6983961,6974322,6920655,6860053,6832338,6813631,6837559,6823420,6779195,6782803,6799156,6797353,6826947,6895317,6808058,6816623,6832444,6850167,6839814,6847086,6903967,6915954,6921627,6934557,6946605,6975086,6993330,7039746,7075574,7085779,7105969,7130353,7159427,7165435,7164248,7160827,7175897,7181322,7213795,7238140,7254349,7264792,7289595,7321491,7333300,7330927,7328827,7316888
"39",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","29","      Personal consumption expenditures","DPCERX0",6000388,5987140,6017150,6006336,6048991,6096990,6080262,6109929,6124374,6101076,6151760,6190500,6162186,6209410,6240495,6265526,6274587,6282509,6294778,6316102,6324429,6344195,6360806,6384512,6413974,6426159,6441634,6440396,6444048,6475483,6536362,6576173,6576530,6608652,6634549,6671154,6665630,6708666,6738130,6772428,6820681,6865240,6870264,6903006,6956531,6983817,7004137,7059641,7049998,7085130,7120178,7163003,7197044,7229718,7245589,7284845,7318802,7331534,7366394,7459535,7435560,7507424,7550537,7539727,7574771,7590494,7596824,7635242,7695125,7692393,7698563,7739131,7737105,7746510,7738705,7746093,7780601,7783317,7800212,7844825,7767467,7954727,7917948,7906469,7933648,7965502,7961946,8000473,7970914,8010964,8055768,8065198,8023988,8046830,8066323,8117497,8129817,8096066,8127240,8170534,8194252,8229641,8272160,8343158,8310171,8324520,8364581,8371852,8413775,8424432,8444718,8446842,8493134,8455200,8508413,8523312,8585578,8602997,8617509,8673394,8676301,8699962,8724017,8781791,8743502,8833287,8886755,8854904,8817033,8833754,8878384,8912611,8945109,8966059,8986177,9012430,9017108,9029952,9077251,9052624,9091795,9134881,9143595,9196464,9204556,9208980,9214097,9236741,9249888,9247007,9261816,9292992,9300899,9296088,9313919,9327769,9310617,9273148,9283457,9289262,9287605,9280472,9226368,9209754,9151769,9107468,9084540,9036110,9069606,9040181,9008756,8994726,9005128,8998086,9020324,9107635,9010709,9028374,9030425,9077265,9069467,9094685,9138356,9144477,9166865,9166720,9180265,9230059,9237660,9276312,9315040,9334044,9352034,9378939,9411748,9416208,9405190,9388295,9433290,9428352,9464012,9485523,9489176,9493338,9517855,9560087,9562513,9581557,9588005,9576397
"41","30","Household consumption expenditures \7\","DPHCRX0",5859819,5849385,5879891,5866793,5909440,5956668,5940150,5970112,5982883,5958929,6008699,6046265,6016655,6060579,6091748,6117277,6125719,6131141,6143652,6165268,6174519,6194878,6213253,6239913,6271986,6287731,6302865,6301817,6305424,6336231,6399527,6436866,6436215,6469886,6493841,6528321,6522194,6563635,6591034,6624529,6671075,6713560,6716786,6748040,6799633,6825096,6843414,6897871,6888535,6923805,6958250,7000998,7034173,7066267,7081881,7120658,7154617,7167138,7199988,7292318,7265141,7335967,7378337,7368329,7402571,7417904,7419852,7456611,7514992,7509468,7514349,7554637,7553211,7561953,7552528,7557950,7591743,7593910,7609811,7653023,7573555,7759691,7722150,7709197,7735001,7766201,7760705,7797820,7765956,7804780,7845761,7851985,7808942,7830899,7847496,7897667,7910928,7879441,7911226,7952315,7973606,8009057,8051299,8124009,8092519,8105020,8145746,8154460,8194250,8204797,8224508,8228114,8275429,8238115,8292268,8306868,8369262,8384689,8399926,8460165,8470351,8496330,8521534,8576461,8535225,8622162,8675946,8642981,8603362,8614491,8654778,8688191,8720594,8741347,8759737,8784698,8785255,8795240,8837870,8810910,8849030,8893251,8900937,8953819,8962588,8968684,8975005,8999818,9013103,9008237,9018393,9046573,9051138,9041105,9056897,9072233,9050487,9008186,9016020,9021303,9019244,9012201,8956830,8937951,8875497,8825762,8800745,8754774,8790555,8765689,8734651,8723426,8733368,8726665,8748769,8833461,8736529,8750465,8751117,8798448,8792719,8818427,8860967,8865112,8886892,8886491,8902336,8952352,8959578,8999584,9036920,9055399,9073607,9099621,9130624,9133903,9121498,9099854,9140766,9131932,9165724,9191840,9197419,9200748,9227928,9267185,9268980,9288078,9291946,9278940
"42","31","  Food and beverages purchased for off-premises consumption","DFXARX0",554546,546724,548198,544254,548678,548470,546895,547125,547576,546410,548031,554308,552411,551228,552591,554902,554209,554906,554549,553319,553016,554612,554999,556571,558181,558112,561628,558272,555155,555725,560241,558895,559927,559845,561460,557778,557509,559289,560727,561756,563140,566218,566986,566268,569300,568142,570190,576048,575651,578723,580203,583449,585120,583295,585662,588412,592880,588481,591610,614083,584775,591821,599664,600286,597838,604416,601142,600606,603143,607383,606532,608591,609243,604521,602226,609357,611334,607273,605982,606322,609287,607079,606269,611341,605013,605226,606879,602396,608252,609413,611338,608916,606953,611090,615805,615937,618736,620243,616409,615012,611846,611326,618033,620531,619802,618431,615758,612222,623789,620898,621115,620760,618330,618309,618989,622073,629426,628957,630222,633352,637683,639322,640451,637859,636736,642823,641534,646957,651094,654236,653305,651915,651190,657981,655355,661084,664275,660811,662423,665511,660974,670037,668940,677397,677098,673024,669545,668694,669998,669901,674436,669690,673152,675383,674890,682500,674092,669887,674782,672223,673464,677928,672019,667198,660305,655552,652615,642298,644906,646070,648080,649414,653762,653827,655053,655604,660284,661255,661565,667734,664888,674695,668552,663082,664024,662510,659601,669092,669551,671811,678146,680198,681499,685574,681198,687142,685034,685905,687183,686602,683914,688506,689668,680974,685797,686611,686692,686386,686179,684422
"43","32","  Clothing, footwear, and related services","DCAFRX0",214918,211049,214167,213317,215408,217992,220043,215754,222003,215752,220847,221826,217595,222986,221756,225314,225172,227466,227064,231068,230947,232202,230121,231446,230362,232222,232496,228569,228724,232780,235438,239181,237747,239272,241067,240943,242472,246591,246935,251111,248425,248308,250088,245668,247175,251805,252924,254759,258868,261839,264972,262511,264496,265357,264474,266547,266602,265990,266286,267550,266143,270584,275587,275044,277947,275915,275764,278838,282618,280318,281937,281175,281474,277584,270899,279288,278817,276348,278733,282591,271728,279977,281936,284353,285525,284881,284664,285933,282346,286777,285079,283352,281157,292274,289127,292539,291870,286860,294294,293787,299407,300145,303004,304144,304498,301266,303596,307307,309721,312078,314966,307271,310363,306113,308987,311125,313645,317163,316312,321179,320876,326330,319857,328998,326476,332142,329595,331265,328467,340024,338901,339435,342789,343719,340492,344099,339264,341059,345241,341651,349288,350516,345939,354477,355323,350410,357422,351795,357012,356103,358162,357161,358141,357514,357927,356864,354954,352993,354346,360317,361798,365784,362140,355133,343781,340807,343429,340627,343035,340558,328181,330472,332657,328541,331818,335996,332702,337577,336102,336809,340529,342815,349456,350494,348781,347400,346330,352819,352571,356199,364437,362221,358599,364260,366026,367230,364672,364259,361271,356361,363481,362441,363476,364117,361245,372304,372046,364118,364014,363056
"44","33","  Housing, utilities, and fuels","DHUFRX0",1239102,1250262,1240236,1255009,1261135,1261884,1270894,1277743,1265229,1262621,1278493,1279139,1280827,1289939,1287961,1285977,1288688,1286196,1279804,1289011,1285093,1292564,1297006,1295460,1302612,1298318,1293592,1312717,1311414,1306869,1317283,1315788,1322415,1340680,1327428,1339879,1323746,1339741,1347802,1342887,1354907,1365157,1361488,1364378,1368594,1362179,1361251,1369996,1379336,1374088,1389043,1390978,1393612,1401745,1408574,1408642,1410056,1410829,1401838,1410446,1414915,1414174,1407108,1421669,1431867,1440347,1436089,1445216,1448446,1448376,1462188,1487745,1468386,1473345,1482097,1470189,1474435,1474149,1478707,1478632,1479518,1485988,1469859,1477398,1475670,1476330,1482263,1482615,1489519,1483738,1488514,1487029,1488233,1500197,1497217,1494802,1504448,1501759,1489514,1510053,1504058,1494284,1504660,1507072,1502202,1509418,1513242,1518616,1521660,1526240,1510326,1527384,1528084,1530587,1534118,1534233,1546041,1551427,1558563,1565763,1569556,1571257,1593807,1587936,1599270,1608793,1612606,1617597,1616301,1613023,1615110,1625524,1588551,1620077,1630406,1627217,1641892,1638644,1656879,1644784,1642872,1655039,1642352,1628373,1644660,1653408,1631086,1657119,1634237,1638929,1638509,1655825,1646329,1635580,1647218,1645619,1648876,1656079,1652525,1651530,1650392,1648914,1647311,1636864,1647579,1655765,1664036,1667547,1672627,1664557,1674680,1673421,1669459,1671619,1667588,1675482,1675182,1682257,1661837,1686701,1682137,1684039,1671909,1669412,1685207,1688582,1690218,1690036,1686837,1680703,1691228,1697580,1692370,1678626,1690825,1689220,1693836,1692599,1705601,1696676,1695697,1692279,1686639,1674107,1667824,1677484,1671343,1684549,1687866,1688345
"45","34","  Furnishings, household equipment, and routine household maintenance","DFHHRX0",248831,244887,245604,246129,249094,250476,251676,250191,252143,250631,254891,255180,248387,253328,255789,257967,260210,260502,260672,260076,262300,264453,265584,266729,265104,268213,269194,268138,268281,270674,272934,274705,275468,276338,278866,279484,283029,283713,283897,284789,286839,289572,289864,291143,293403,295695,298960,300759,300556,305442,308045,305013,309286,311400,310571,315450,318948,319720,321485,327175,325697,329355,332202,330873,333280,332671,332395,334263,335249,336683,334847,333070,340720,336458,336109,338531,340088,339464,341299,343272,336216,342098,345839,349744,351128,353861,354670,354899,355347,354842,354130,356243,355366,358317,361712,363439,363171,357784,366081,364546,373197,374804,377472,382141,383852,384747,387704,388426,389964,391195,397524,395678,396455,397610,404014,402953,403181,404832,406480,412454,409883,411339,409750,415236,410998,418615,417165,421519,424976,428999,429382,426689,436511,434913,435553,433592,430202,432256,432311,433497,434808,434122,432857,437850,441819,437610,439330,437671,440369,437135,440790,442032,442647,442704,444653,444033,441093,435241,433357,438355,438887,439088,436281,428888,418050,414532,410853,404585,402279,400365,392139,392503,393078,391515,392230,394798,394207,396481,397556,400881,400982,405558,409483,413723,413142,411352,411686,415863,417138,418089,424567,426000,423195,428242,432912,434046,432631,434220,436952,438022,441309,442580,445467,445625,451851,451439,453649,450184,453319,451849
