"","Table 3#1# Government Current Receipts and Expenditures         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171"
"22","3","  Personal current taxes","W055RC1","102,602.0","105,660.0","104,139.0","105,623.0","104,573.0","105,512.0","100,657.0","101,538.0","98,331.0","100,714.0","102,307.0","105,468.0","119,785.0","123,370.0","124,277.0","127,128.0","126,399.0","129,181.0","134,089.0","139,959.0","142,792.0","148,902.0","154,911.0","157,587.0","157,988.0","121,068.0","152,831.0","158,541.0","162,140.0","168,974.0","175,765.0","182,353.0","188,438.0","195,331.0","198,191.0","208,116.0","211,744.0","222,832.0","236,046.0","246,966.0","253,378.0","261,751.0","274,580.0","284,955.0","284,168.0","291,517.0","301,538.0","318,197.0","330,283.0","342,057.0","356,272.0","352,048.0","351,882.0","359,102.0","349,516.0","355,940.0","350,319.0","358,999.0","344,878.0","355,104.0","360,670.0","369,940.0","383,606.0","395,432.0","431,811.0","388,050.0","421,053.0","428,442.0","425,715.0","428,828.0","438,878.0","455,447.0","450,203.0","511,142.0","488,447.0","506,440.0","501,055.0","496,811.0","505,668.0","516,218.0","551,253.0","565,037.0","569,937.0","578,153.0","580,547.0","592,621.0","598,766.0","598,898.0","578,489.0","583,698.0","587,957.0","596,356.0","586,542.0","604,866.0","613,858.0","636,858.0","614,567.0","641,342.0","656,970.0","673,253.0","671,064.0","695,266.0","692,803.0","702,883.0","720,005.0","742,222.0","747,685.0","765,680.0","796,545.0","834,409.0","838,438.0","858,428.0","896,442.0","910,515.0","935,439.0","962,208.0","990,115.0","1,016,355.0","1,037,222.0","1,062,016.0","1,073,520.0","1,090,773.0","1,116,233.0","1,149,578.0","1,204,669.0","1,226,085.0","1,243,640.0","1,254,642.0","1,297,621.0","1,304,479.0","1,109,544.0","1,227,684.0","1,068,351.0","1,045,328.0","1,046,313.0","1,041,680.0","1,021,277.0","1,018,092.0","945,204.0","1,016,815.0","1,009,312.0","1,026,361.0","1,064,699.0","1,090,912.0","1,164,234.0","1,192,330.0","1,224,030.0","1,253,762.0","1,321,498.0","1,340,233.0","1,354,334.0","1,393,543.0","1,458,748.0","1,480,363.0","1,497,502.0","1,518,015.0","1,535,845.0","1,331,624.0","1,442,373.0","1,442,966.0","1,213,415.0","1,112,459.0","1,116,996.0","1,117,230.0","1,134,699.0","1,149,124.0","1,178,199.0","1,205,096.0"
"23","4","  Taxes on production and imports","W056RC1","80,589.0","82,901.0","85,217.0","86,717.0","88,466.0","90,535.0","92,512.0","94,139.0","97,652.0","98,947.0","101,674.0","103,699.0","104,560.0","106,786.0","108,862.0","111,504.0","114,600.0","116,185.0","118,397.0","119,698.0","120,806.0","124,068.0","127,054.0","127,680.0","128,821.0","133,011.0","138,199.0","141,137.0","141,674.0","144,856.0","147,693.0","151,329.0","154,836.0","158,028.0","161,532.0","164,260.0","166,912.0","173,059.0","169,711.0","173,910.0","176,441.0","178,493.0","180,902.0","184,568.0","189,513.0","196,896.0","204,294.0","210,617.0","230,842.0","235,496.0","237,466.0","238,772.0","237,401.0","238,262.0","241,777.0","246,292.0","250,664.0","261,239.0","267,494.0","273,727.0","281,644.0","287,748.0","292,172.0","297,528.0","301,047.0","305,701.0","311,851.0","313,933.0","317,495.0","319,475.0","326,155.0","330,367.0","336,035.0","344,369.0","352,378.0","357,398.0","365,088.0","372,587.0","377,635.0","382,546.0","391,097.0","397,372.0","403,844.0","403,155.0","419,362.0","419,501.0","426,879.0","434,218.0","444,271.0","451,603.0","461,167.0","471,323.0","476,247.0","481,066.0","485,909.0","490,282.0","489,804.0","497,944.0","504,986.0","519,766.0","531,900.0","544,174.0","550,169.0","554,749.0","554,882.0","553,675.0","559,166.0","563,889.0","570,757.0","577,713.0","581,629.0","592,917.0","595,645.0","610,260.0","616,560.0","623,995.0","629,124.0","635,523.0","642,991.0","650,252.0","657,491.0","667,058.0","679,019.0","690,772.0","698,563.0","707,303.0","711,308.0","717,050.0","724,087.0","724,087.0","725,412.0","737,178.0","745,207.0","756,914.0","772,076.0","776,967.0","787,865.0","799,467.0","812,962.0","826,914.0","843,531.0","855,700.0","867,853.0","886,524.0","905,607.0","925,128.0","939,629.0","950,340.0","971,544.0","983,327.0","991,622.0","1,000,743.0","1,014,660.0","1,023,938.0","1,030,740.0","1,039,415.0","1,041,698.0","1,051,879.0","1,052,575.0","1,034,336.0","1,016,650.0","1,018,732.0","1,028,244.0","1,035,186.0","1,045,895.0","1,054,641.0","1,060,793.0","1,072,725.0"
"24","5","  Taxes on corporate income","W025RC1","41,184.0","40,136.0","38,832.0","38,544.0","34,100.0","34,256.0","35,316.0","33,752.0","37,400.0","38,148.0","37,488.0","37,924.0","39,980.0","40,252.0","41,528.0","45,676.0","49,044.0","49,600.0","48,052.0","50,456.0","48,840.0","51,420.0","56,588.0","50,328.0","43,072.0","46,188.0","56,544.0","57,820.0","65,340.0","64,384.0","64,060.0","63,068.0","67,400.0","73,064.0","75,632.0","76,080.0","71,264.0","85,184.0","86,348.0","91,228.0","88,512.0","89,144.0","88,436.0","85,892.0","94,700.0","74,880.0","80,920.0","88,640.0","88,328.0","79,444.0","82,860.0","73,940.0","62,748.0","64,712.0","65,196.0","59,668.0","60,984.0","75,824.0","84,988.0","87,168.0","100,332.0","99,404.0","87,648.0","88,764.0","95,876.0","94,120.0","99,272.0","96,780.0","103,132.0","103,412.0","104,236.0","115,168.0","115,878.0","129,458.0","134,196.0","128,824.0","124,699.0","131,899.0","142,600.0","149,434.0","153,882.0","140,749.0","135,866.0","135,315.0","135,042.0","139,979.0","144,623.0","142,781.0","136,761.0","131,671.0","132,420.0","133,459.0","142,781.0","144,147.0","138,330.0","147,335.0","152,779.0","164,637.0","156,390.0","187,694.0","168,083.0","177,500.0","194,726.0","206,464.0","210,617.0","208,175.0","214,647.0","210,464.0","214,219.0","225,444.0","225,924.0","228,993.0","230,030.0","234,494.0","246,871.0","237,166.0","239,823.0","236,493.0","242,557.0","237,831.0","246,280.0","244,478.0","248,614.0","255,681.0","264,061.0","262,564.0","244,697.0","247,363.0","214,813.0","206,997.0","185,660.0","166,622.0","169,111.0","175,337.0","182,259.0","198,581.0","219,835.0","215,429.0","235,300.0","256,642.0","264,196.0","283,955.0","306,478.0","313,332.0","389,114.0","379,674.0","386,869.0","427,949.0","443,438.0","456,356.0","477,155.0","439,692.0","451,934.0","443,319.0","405,296.0","381,947.0","328,315.0","314,066.0","285,553.0","192,686.0","197,969.0","200,091.0","233,125.0","294,564.0","379,168.0","381,263.0","404,813.0","402,124.0"
"25","6","  Taxes from the rest of the world","W008RC1","380.0","392.0","404.0","400.0","384.0","380.0","368.0","364.0","356.0","364.0","364.0","384.0","396.0","408.0","408.0","400.0","388.0","384.0","368.0","372.0","360.0","364.0","368.0","376.0","400.0","432.0","488.0","564.0","656.0","720.0","744.0","736.0","708.0","696.0","724.0","780.0","868.0","940.0","988.0","1,020.0","1,028.0","1,080.0","1,176.0","1,308.0","1,480.0","1,600.0","1,656.0","1,652.0","1,584.0","1,536.0","1,492.0","1,456.0","1,336.0","1,328.0","1,320.0","1,504.0","1,152.0","1,244.0","1,220.0","1,228.0","1,324.0","1,328.0","1,228.0","1,336.0","1,416.0","1,848.0","2,176.0","2,316.0","1,468.0","1,584.0","1,748.0","2,052.0","1,860.0","2,000.0","1,924.0","2,376.0","2,124.0","2,748.0","2,392.0","2,232.0","3,000.0","2,464.0","2,736.0","2,760.0","2,688.0","2,888.0","3,040.0","3,504.0","2,664.0","2,688.0","2,564.0","2,492.0","2,652.0","2,604.0","2,592.0","2,704.0","2,844.0","2,640.0","2,708.0","2,768.0","2,956.0","3,188.0","3,176.0","3,248.0","3,600.0","3,708.0","4,168.0","4,188.0","4,604.0","4,840.0","5,384.0","5,792.0","4,836.0","4,912.0","5,056.0","5,580.0","4,764.0","5,096.0","5,580.0","7,280.0","5,376.0","5,976.0","6,308.0","6,012.0","6,900.0","7,628.0","7,280.0","7,536.0","7,628.0","7,044.0","7,680.0","8,264.0","7,180.0","7,464.0","7,544.0","8,140.0","7,512.0","10,580.0","7,996.0","9,728.0","9,676.0","9,108.0","8,396.0","12,744.0","11,352.0","10,384.0","13,596.0","13,184.0","11,096.0","11,160.0","11,996.0","21,696.0","13,744.0","15,032.0","14,128.0","15,888.0","15,172.0","15,664.0","16,288.0","20,256.0","14,228.0","13,188.0","12,864.0","12,376.0","12,620.0","12,796.0","12,148.0","12,972.0"
"26","7","Contributions for government social insurance","W782RC1","43,100.0","43,904.0","44,844.0","45,512.0","46,216.0","46,488.0","46,948.0","46,720.0","50,764.0","51,376.0","51,648.0","52,228.0","58,520.0","59,172.0","59,864.0","60,756.0","74,144.0","75,268.0","76,620.0","78,120.0","83,676.0","85,260.0","86,920.0","87,144.0","88,220.0","88,612.0","90,348.0","92,408.0","99,576.0","101,056.0","102,836.0","104,424.0","110,000.0","112,840.0","115,104.0","117,468.0","127,012.0","130,984.0","133,616.0","136,888.0","149,696.0","151,796.0","155,128.0","158,092.0","164,092.0","164,248.0","167,596.0","172,876.0","192,792.0","195,288.0","198,820.0","200,576.0","208,368.0","209,564.0","211,032.0","211,380.0","221,624.0","224,860.0","228,460.0","233,888.0","252,312.0","257,148.0","261,280.0","264,484.0","276,836.0","280,256.0","284,240.0","289,848.0","299,388.0","302,156.0","306,504.0","311,512.0","317,924.0","321,708.0","326,084.0","332,836.0","353,780.0","360,796.0","366,076.0","371,972.0","381,524.0","384,520.0","388,068.0","393,636.0","405,992.0","410,296.0","416,092.0","415,920.0","426,480.0","429,768.0","434,668.0","438,012.0","450,812.0","455,804.0","459,908.0","461,828.0","469,600.0","477,740.0","482,332.0","488,912.0","500,728.0","508,816.0","513,124.0","520,000.0","528,420.0","532,848.0","538,040.0","542,704.0","546,972.0","554,824.0","561,440.0","568,228.0","578,444.0","585,188.0","593,288.0","604,100.0","614,904.0","623,492.0","632,104.0","640,512.0","655,644.0","659,688.0","665,572.0","677,408.0","700,912.0","702,416.0","714,760.0","719,484.0","739,236.0","737,792.0","735,268.0","735,480.0","750,420.0","756,024.0","756,420.0","757,948.0","770,476.0","778,728.0","785,744.0","796,396.0","816,528.0","825,928.0","837,520.0","846,800.0","865,612.0","870,432.0","883,752.0","889,716.0","920,012.0","921,932.0","925,328.0","938,380.0","958,036.0","958,976.0","963,448.0","976,388.0","993,156.0","992,528.0","994,304.0","988,320.0","969,020.0","976,368.0","975,380.0","979,548.0","992,896.0","1,007,072.0","1,015,368.0","1,022,832.0"
"27","8","Income receipts on assets","W058RC1","6,556.0","6,865.0","7,194.0","7,449.0","7,876.0","8,181.0","8,302.0","8,461.0","8,655.0","8,968.0","8,967.0","9,210.0","9,168.0","9,312.0","9,662.0","10,034.0","10,740.0","11,280.0","11,747.0","12,465.0","13,421.0","14,189.0","14,723.0","15,163.0","15,728.0","16,092.0","16,327.0","16,197.0","16,163.0","16,211.0","16,459.0","16,343.0","17,391.0","18,043.0","18,766.0","19,256.0","20,854.0","22,471.0","23,802.0","25,613.0","28,139.0","29,687.0","31,724.0","33,590.0","36,475.0","38,579.0","41,117.0","43,549.0","46,505.0","48,902.0","51,465.0","54,072.0","56,794.0","58,282.0","59,644.0","60,848.0","62,740.0","63,981.0","66,017.0","68,382.0","70,386.0","73,651.0","75,336.0","77,875.0","80,516.0","82,784.0","85,393.0","87,183.0","89,059.0","89,355.0","91,508.0","88,714.0","87,398.0","86,265.0","85,379.0","83,454.0","92,368.0","87,512.0","88,299.0","91,453.0","91,933.0","92,826.0","95,934.0","93,955.0","94,406.0","94,642.0","96,154.0","106,886.0","100,203.0","97,384.0","97,096.0","93,465.0","92,347.0","89,853.0","88,328.0","87,892.0","88,152.0","87,542.0","86,745.0","84,849.0","84,851.0","85,147.0","86,681.0","87,405.0","88,974.0","91,154.0","91,953.0","95,115.0","97,551.0","98,780.0","101,309.0","102,076.0","103,114.0","104,195.0","103,943.0","103,152.0","102,638.0","102,490.0","102,316.0","103,276.0","103,054.0","104,668.0","107,046.0","110,684.0","116,876.0","119,672.0","119,300.0","119,216.0","118,356.0","116,123.0","113,539.0","110,310.0","104,705.0","100,707.0","98,104.0","96,060.0","94,459.0","96,565.0","97,451.0","98,634.0","97,124.0","98,627.0","101,115.0","104,490.0","106,900.0","110,582.0","113,635.0","116,627.0","122,217.0","127,392.0","131,977.0","136,906.0","140,312.0","143,159.0","145,987.0","147,522.0","146,828.0","148,722.0","146,779.0","145,195.0","156,011.0","163,991.0","162,128.0","166,811.0","159,338.0","162,153.0","165,580.0","166,531.0"
"28","9","  Interest and miscellaneous receipts \1\","W059RC1","6,556.0","6,865.0","7,194.0","7,449.0","7,876.0","8,181.0","8,302.0","8,461.0","8,655.0","8,968.0","8,967.0","9,210.0","9,168.0","9,312.0","9,662.0","10,034.0","10,716.0","11,252.0","11,719.0","12,437.0","13,393.0","14,157.0","14,691.0","15,127.0","15,692.0","16,056.0","16,287.0","16,157.0","16,123.0","16,167.0","16,415.0","16,299.0","17,347.0","17,999.0","18,718.0","19,208.0","20,802.0","22,407.0","23,734.0","25,537.0","28,059.0","29,603.0","31,640.0","33,506.0","36,387.0","38,487.0","41,017.0","43,441.0","46,389.0","48,778.0","51,337.0","53,936.0","56,650.0","58,130.0","59,488.0","60,684.0","62,568.0","63,805.0","65,837.0","68,206.0","70,214.0","73,487.0","75,176.0","77,715.0","80,356.0","82,628.0","85,237.0","87,031.0","88,907.0","89,207.0","91,360.0","88,562.0","87,242.0","86,105.0","85,215.0","83,286.0","92,196.0","87,336.0","88,123.0","91,273.0","91,757.0","92,650.0","95,758.0","93,775.0","94,225.0","94,436.0","95,900.0","106,575.0","99,900.0","97,057.0","96,747.0","93,072.0","91,944.0","89,405.0","87,844.0","87,367.0","87,619.0","86,971.0","86,148.0","84,206.0","84,170.0","84,404.0","85,926.0","86,560.0","88,131.0","90,315.0","90,927.0","93,971.0","96,379.0","97,454.0","99,814.0","100,657.0","101,704.0","102,691.0","102,364.0","101,545.0","101,068.0","100,841.0","100,642.0","101,649.0","101,502.0","103,177.0","105,571.0","109,214.0","115,404.0","118,335.0","118,072.0","117,833.0","116,940.0","114,772.0","112,069.0","108,859.0","103,242.0","99,218.0","96,462.0","94,450.0","92,622.0","94,896.0","95,717.0","96,914.0","95,439.0","96,848.0","99,140.0","101,725.0","104,747.0","108,276.0","111,276.0","114,213.0","119,748.0","124,796.0","129,366.0","134,246.0","137,673.0","140,611.0","143,335.0","144,897.0","144,084.0","146,070.0","144,065.0","140,893.0","140,501.0","140,614.0","140,337.0","141,665.0","141,377.0","142,908.0","144,150.0","145,248.0"
"29","10","  Dividends","W065RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","24.0","28.0","28.0","28.0","28.0","32.0","32.0","36.0","36.0","36.0","40.0","40.0","40.0","44.0","44.0","44.0","44.0","44.0","48.0","48.0","52.0","64.0","68.0","76.0","80.0","84.0","84.0","84.0","88.0","92.0","100.0","108.0","116.0","124.0","128.0","136.0","144.0","152.0","156.0","164.0","172.0","176.0","180.0","176.0","172.0","164.0","160.0","160.0","160.0","156.0","156.0","152.0","152.0","148.0","148.0","152.0","156.0","160.0","164.0","168.0","172.0","176.0","176.0","180.0","176.0","176.0","176.0","180.0","181.0","206.0","254.0","311.0","303.0","327.0","349.0","393.0","403.0","448.0","484.0","525.0","533.0","571.0","597.0","643.0","681.0","743.0","755.0","845.0","843.0","839.0","1,026.0","1,144.0","1,172.0","1,326.0","1,495.0","1,419.0","1,410.0","1,504.0","1,579.0","1,607.0","1,570.0","1,649.0","1,674.0","1,627.0","1,552.0","1,491.0","1,475.0","1,470.0","1,472.0","1,337.0","1,228.0","1,383.0","1,416.0","1,351.0","1,470.0","1,451.0","1,463.0","1,489.0","1,642.0","1,610.0","1,837.0","1,669.0","1,734.0","1,720.0","1,685.0","1,779.0","1,975.0","2,765.0","2,153.0","2,306.0","2,359.0","2,414.0","2,469.0","2,596.0","2,611.0","2,660.0","2,639.0","2,548.0","2,652.0","2,625.0","2,744.0","2,652.0","2,714.0","4,302.0","15,510.0","23,377.0","21,791.0","25,146.0","17,961.0","19,245.0","21,430.0","21,283.0"
"30","11","Current transfer receipts","W060RC1","2,667.0","2,717.0","2,757.0","2,811.0","2,871.0","2,914.0","2,840.0","2,871.0","2,994.0","3,038.0","3,104.0","3,196.0","3,457.0","3,576.0","3,661.0","3,722.0","3,947.0","4,049.0","3,667.0","3,797.0","4,230.0","4,417.0","4,552.0","4,653.0","4,876.0","4,985.0","5,112.0","5,255.0","5,717.0","5,765.0","5,864.0","6,030.0","6,371.0","6,616.0","7,073.0","7,304.0","7,829.0","8,092.0","8,339.0","8,572.0","9,065.0","9,306.0","9,548.0","9,805.0","10,341.0","10,638.0","10,792.0","12,445.0","12,477.0","12,327.0","12,748.0","13,200.0","14,699.0","15,183.0","15,527.0","15,759.0","16,180.0","16,597.0","17,068.0","17,895.0","18,907.0","19,566.0","20,042.0","20,409.0","21,322.0","27,402.0","22,198.0","22,558.0","31,039.0","23,696.0","23,152.0","25,557.0","26,169.0","27,455.0","27,020.0","27,464.0","26,489.0","27,171.0","28,354.0","29,470.0","30,814.0","31,758.0","33,525.0","33,907.0","34,241.0","34,794.0","36,602.0","39,447.0","42,593.0","43,870.0","45,619.0","47,402.0","48,310.0","48,743.0","50,003.0","54,952.0","54,211.0","54,549.0","55,216.0","57,268.0","60,035.0","59,597.0","60,809.0","59,587.0","58,794.0","58,261.0","58,404.0","58,053.0","60,061.0","61,410.0","63,056.0","82,541.0","66,505.0","67,752.0","72,992.0","69,771.0","71,544.0","70,720.0","72,980.0","85,888.0","79,012.0","80,512.0","82,088.0","84,992.0","89,648.0","91,332.0","93,032.0","95,256.0","96,956.0","98,296.0","99,624.0","100,788.0","102,576.0","103,780.0","105,020.0","105,872.0","105,628.0","107,568.0","109,988.0","112,424.0","115,897.0","118,415.0","120,664.0","122,028.0","124,064.0","126,245.0","127,269.0","129,030.0","132,409.0","134,532.0","137,012.0","139,943.0","144,885.0","146,546.0","149,646.0","155,667.0","162,542.0","165,791.0","168,319.0","189,094.0","193,993.0","203,986.0","185,527.0","190,548.0","191,422.0","193,905.0","198,007.0","199,202.0"
"31","12","  From business (net)","W061RC1","1,592.0","1,611.0","1,613.0","1,624.0","1,649.0","1,655.0","1,541.0","1,527.0","1,623.0","1,616.0","1,625.0","1,648.0","1,784.0","1,811.0","1,830.0","1,847.0","2,116.0","2,229.0","1,839.0","1,936.0","2,290.0","2,402.0","2,444.0","2,444.0","2,572.0","2,561.0","2,556.0","2,567.0","2,889.0","2,806.0","2,782.0","2,827.0","3,064.0","3,195.0","3,557.0","3,684.0","4,124.0","4,290.0","4,431.0","4,563.0","4,926.0","5,047.0","5,162.0","5,277.0","5,699.0","5,808.0","5,745.0","7,156.0","6,865.0","6,471.0","6,673.0","6,939.0","8,008.0","8,259.0","8,340.0","8,297.0","8,460.0","8,609.0","8,791.0","9,360.0","10,128.0","10,511.0","10,736.0","10,877.0","11,459.0","17,182.0","11,591.0","11,548.0","19,695.0","11,976.0","11,097.0","12,840.0","13,507.0","14,544.0","13,513.0","13,768.0","12,336.0","12,412.0","13,283.0","14,069.0","14,893.0","15,465.0","16,848.0","16,826.0","16,966.0","16,918.0","17,944.0","19,848.0","21,666.0","21,802.0","22,508.0","23,224.0","23,323.0","22,966.0","23,620.0","28,119.0","26,169.0","26,218.0","26,534.0","28,047.0","29,921.0","28,901.0","29,627.0","28,011.0","26,911.0","25,918.0","25,518.0","24,573.0","26,034.0","26,777.0","27,821.0","46,712.0","29,265.0","29,733.0","34,409.0","30,817.0","32,492.0","31,380.0","32,984.0","44,824.0","36,724.0","36,996.0","37,416.0","39,220.0","42,712.0","43,204.0","43,692.0","44,660.0","45,420.0","45,840.0","46,236.0","46,484.0","47,404.0","47,784.0","48,232.0","48,308.0","47,540.0","48,288.0","49,248.0","49,928.0","51,317.0","52,251.0","53,156.0","53,412.0","53,884.0","55,197.0","55,437.0","56,446.0","57,833.0","58,864.0","60,120.0","61,551.0","64,786.0","65,127.0","66,614.0","70,737.0","75,422.0","76,757.0","77,655.0","97,080.0","100,908.0","109,720.0","89,972.0","93,594.0","92,966.0","93,840.0","96,218.0","96,180.0"
"32","13","  From persons","W062RC1","1,075.0","1,106.0","1,144.0","1,187.0","1,222.0","1,259.0","1,299.0","1,344.0","1,371.0","1,422.0","1,479.0","1,548.0","1,673.0","1,765.0","1,831.0","1,875.0","1,831.0","1,820.0","1,828.0","1,861.0","1,940.0","2,015.0","2,108.0","2,209.0","2,304.0","2,424.0","2,556.0","2,688.0","2,828.0","2,959.0","3,082.0","3,203.0","3,307.0","3,421.0","3,516.0","3,620.0","3,705.0","3,802.0","3,908.0","4,009.0","4,139.0","4,259.0","4,386.0","4,528.0","4,642.0","4,830.0","5,047.0","5,289.0","5,612.0","5,856.0","6,075.0","6,261.0","6,691.0","6,924.0","7,187.0","7,462.0","7,720.0","7,988.0","8,277.0","8,535.0","8,779.0","9,055.0","9,306.0","9,532.0","9,863.0","10,220.0","10,607.0","11,010.0","11,344.0","11,720.0","12,055.0","12,717.0","12,662.0","12,911.0","13,507.0","13,696.0","14,153.0","14,759.0","15,071.0","15,401.0","15,921.0","16,293.0","16,677.0","17,081.0","17,275.0","17,876.0","18,658.0","19,599.0","20,927.0","22,068.0","23,111.0","24,178.0","24,987.0","25,777.0","26,383.0","26,833.0","28,042.0","28,331.0","28,682.0","29,221.0","30,114.0","30,696.0","31,182.0","31,576.0","31,883.0","32,343.0","32,886.0","33,480.0","34,027.0","34,633.0","35,235.0","35,829.0","37,240.0","38,019.0","38,583.0","38,954.0","39,052.0","39,340.0","39,996.0","41,064.0","42,288.0","43,516.0","44,672.0","45,772.0","46,936.0","48,128.0","49,340.0","50,596.0","51,536.0","52,456.0","53,388.0","54,304.0","55,172.0","55,996.0","56,788.0","57,564.0","58,088.0","59,280.0","60,740.0","62,496.0","64,580.0","66,164.0","67,508.0","68,616.0","70,180.0","71,048.0","71,832.0","72,584.0","74,576.0","75,668.0","76,892.0","78,392.0","80,099.0","81,419.0","83,032.0","84,930.0","87,120.0","89,034.0","90,664.0","92,014.0","93,085.0","94,266.0","95,555.0","96,954.0","98,456.0","100,065.0","101,789.0","103,022.0"
"33","14","Current surplus of government enterprises \2\","A108RC1","938.0","951.0","1,038.0","1,153.0","498.0","-309.0","-72.0","-247.0","-560.0","16.0","-255.0","-161.0","-36.0","361.0","539.0","1,043.0","133.0","-271.0","-488.0","-843.0","-708.0","-190.0","-1,066.0","-1,752.0","-2,797.0","-3,036.0","-3,558.0","-3,575.0","-1,650.0","-1,802.0","-1,802.0","-1,955.0","-2,258.0","-2,462.0","-2,996.0","-3,032.0","-2,951.0","-2,478.0","-1,613.0","-1,763.0","-2,108.0","-2,557.0","-3,194.0","-3,669.0","-4,075.0","-4,607.0","-5,488.0","-6,203.0","-6,527.0","-4,926.0","-6,552.0","-4,299.0","-4,176.0","-4,220.0","-5,224.0","-4,301.0","-3,723.0","-3,208.0","-3,498.0","-2,292.0","-2,118.0","-1,906.0","-2,062.0","-1,558.0","-652.0","876.0","1,022.0","1,006.0","1,024.0","1,019.0","762.0","711.0","485.0","206.0","-85.0","21.0","-654.0","3,327.0","3,551.0","4,066.0","4,516.0","5,012.0","5,127.0","5,065.0","2,951.0","1,510.0","1,111.0","693.0","3,316.0","5,946.0","6,177.0","7,251.0","7,649.0","8,228.0","8,907.0","8,143.0","7,572.0","9,350.0","8,831.0","8,972.0","9,657.0","9,789.0","9,550.0","9,404.0","13,191.0","12,995.0","13,089.0","13,244.0","13,901.0","14,041.0","14,600.0","14,875.0","13,932.0","14,693.0","13,985.0","13,805.0","12,933.0","13,504.0","13,747.0","12,993.0","15,050.0","14,711.0","14,242.0","12,383.0","12,504.0","11,034.0","7,706.0","5,332.0","4,364.0","3,011.0","7,886.0","928.0","4,270.0","4,374.0","9,097.0","7,639.0","9,383.0","7,885.0","6,336.0","4,276.0","3,654.0","1,851.0","318.0","-855.0","-1,785.0","-3,144.0","-4,501.0","-4,535.0","-2,412.0","-3,827.0","-4,665.0","-5,956.0","-10,090.0","-11,034.0","-11,216.0","-14,768.0","-15,994.0","-16,992.0","-16,538.0","-17,279.0","-15,770.0","-14,171.0","-11,718.0","-11,254.0","-12,062.0","-13,134.0","-14,153.0","-13,671.0"
