"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"42","23","    Domestic business","W987RC1","133,407.0","133,713.0","138,659.0","134,565.0","131,249.0","135,392.0","136,936.0","126,642.0","146,396.0","149,618.0","151,453.0","145,151.0","155,663.0","167,986.0","172,859.0","175,285.0","186,479.0","201,243.0","197,604.0","215,668.0","205,663.0","215,115.0","207,856.0","222,609.0","186,122.0","181,828.0","198,796.0","205,659.0","227,528.0","241,222.0","246,762.0","245,554.0","262,791.0","279,887.0","301,320.0","307,619.0","316,715.0","344,111.0","362,363.0","384,167.0","396,387.0","409,425.0","413,702.0","417,674.0","429,226.0","412,451.0","383,106.0","428,114.0","496,676.0","488,395.0","536,453.0","533,954.0","480,602.0","486,111.0","484,021.0","432,378.0","431,968.0","466,636.0","491,369.0","549,331.0","616,120.0","639,585.0","659,776.0","651,317.0","629,007.0","644,759.0","636,278.0","667,490.0","662,216.0","641,440.0","615,737.0","616,873.0","642,370.0","640,389.0","639,132.0","704,654.0","666,740.0","686,205.0","691,132.0","707,640.0","750,783.0","750,466.0","745,205.0","748,135.0","758,850.0","770,049.0","764,391.0","721,010.0","705,616.0","699,540.0","711,548.0","737,986.0","704,065.0","748,733.0","757,737.0","780,346.0","805,785.0","811,569.0","802,413.0","843,461.0","882,708.0","934,368.0","923,261.0","981,697.0","1,008,341.0","994,764.0","984,720.0","1,009,168.0","1,016,888.0","1,063,095.0","1,113,315.0","1,118,828.0","1,155,832.0","1,215,071.0","1,239,469.0","1,249,866.0","1,302,640.0","1,265,936.0","1,295,037.0","1,336,519.0","1,389,228.0","1,374,499.0","1,412,616.0","1,464,574.0","1,447,720.0","1,568,491.0","1,552,730.0","1,553,659.0","1,445,726.0","1,433,855.0","1,394,880.0","1,300,601.0","1,348,185.0","1,347,590.0","1,346,224.0","1,337,485.0","1,340,202.0","1,339,410.0","1,380,817.0","1,435,916.0","1,431,483.0","1,500,183.0","1,531,855.0","1,579,441.0","1,649,136.0","1,616,903.0","1,643,436.0","1,739,024.0","1,792,812.0","1,819,147.0","1,843,596.0","1,826,660.0","1,851,007.0","1,912,850.0","1,934,672.0","1,931,922.0","1,904,227.0","1,892,436.0","1,861,955.0","1,718,897.0","1,487,292.0","1,369,374.0","1,319,945.0","1,463,270.0","1,535,195.0","1,624,314.0","1,725,423.0","1,708,847.0","1,682,994.0","1,765,785.0","1,772,918.0","1,930,236.0","1,959,918.0","1,997,552.0","1,994,652.0","1,952,967.0","2,000,052.0","2,028,940.0","2,124,276.0","2,161,060.0","2,146,759.0","2,261,002.0","2,305,576.0","2,344,339.0"
"43","24","    Households and institutions","W988RC1","38,981.0","39,007.0","38,907.0","37,012.0","36,864.0","36,061.0","36,966.0","40,110.0","43,100.0","47,712.0","50,602.0","53,263.0","57,303.0","58,813.0","60,231.0","64,428.0","67,835.0","66,955.0","66,733.0","65,189.0","62,700.0","62,278.0","63,156.0","58,728.0","58,185.0","61,453.0","66,395.0","70,576.0","77,112.0","81,082.0","81,547.0","92,095.0","97,521.0","109,816.0","112,814.0","114,682.0","118,079.0","126,472.0","130,002.0","131,591.0","129,424.0","129,869.0","131,923.0","130,205.0","125,336.0","106,839.0","111,967.0","123,360.0","122,707.0","121,444.0","115,843.0","109,441.0","107,715.0","107,511.0","108,938.0","116,868.0","133,551.0","147,141.0","160,898.0","169,166.0","174,752.0","179,312.0","179,074.0","180,425.0","180,861.0","182,281.0","185,875.0","192,059.0","201,238.0","213,794.0","220,093.0","225,190.0","228,828.0","234,198.0","237,336.0","241,800.0","241,831.0","248,321.0","250,871.0","255,111.0","254,581.0","250,524.0","251,299.0","247,813.0","251,990.0","244,703.0","236,267.0","226,540.0","218,992.0","227,012.0","235,924.0","240,771.0","252,709.0","264,329.0","266,468.0","277,662.0","278,116.0","282,897.0","293,528.0","309,534.0","319,351.0","330,721.0","328,333.0","325,491.0","318,924.0","309,061.0","318,500.0","326,451.0","338,342.0","355,465.0","361,131.0","361,167.0","366,119.0","374,781.0","385,869.0","395,430.0","409,674.0","428,853.0","444,749.0","457,898.0","461,406.0","471,274.0","478,301.0","484,869.0","498,197.0","503,269.0","503,039.0","507,914.0","521,809.0","533,138.0","542,458.0","542,080.0","561,841.0","578,006.0","581,634.0","599,014.0","619,987.0","631,139.0","667,452.0","696,876.0","723,671.0","759,342.0","779,426.0","801,309.0","826,033.0","852,644.0","883,802.0","897,454.0","906,842.0","877,804.0","840,809.0","814,922.0","783,203.0","759,061.0","723,565.0","678,692.0","622,787.0","600,825.0","573,917.0","524,214.0","484,854.0","456,516.0","466,453.0","464,761.0","454,344.0","468,402.0","439,143.0","447,610.0","440,464.0","446,890.0","455,303.0","464,933.0","485,484.0","491,749.0","505,797.0","528,527.0","543,271.0","565,637.0","584,610.0","584,105.0","567,642.0","582,630.0","599,484.0","607,759.0"
"44","25","  Gross government investment","A782RC1","61,517.0","59,714.0","59,910.0","57,022.0","58,997.0","58,846.0","60,239.0","61,088.0","58,046.0","58,331.0","59,181.0","58,477.0","60,024.0","60,971.0","59,138.0","62,631.0","66,180.0","65,595.0","64,555.0","66,232.0","70,968.0","76,106.0","78,123.0","79,452.0","83,062.0","79,220.0","85,446.0","89,861.0","92,938.0","89,004.0","88,687.0","87,932.0","91,465.0","94,242.0","93,637.0","93,287.0","93,606.0","104,996.0","109,720.0","113,944.0","109,819.0","116,994.0","125,358.0","128,228.0","135,780.0","134,739.0","134,356.0","138,932.0","146,427.0","145,369.0","145,727.0","151,859.0","150,194.0","156,556.0","157,493.0","163,553.0","164,549.0","167,293.0","174,662.0","178,155.0","183,808.0","189,755.0","194,069.0","205,082.0","207,854.0","218,677.0","226,736.0","226,220.0","228,585.0","234,668.0","246,319.0","242,764.0","247,430.0","253,705.0","259,011.0","258,416.0","253,533.0","258,509.0","258,717.0","262,821.0","263,439.0","267,517.0","275,009.0","275,758.0","286,629.0","288,438.0","290,711.0","295,690.0","290,745.0","295,137.0","295,562.0","294,922.0","300,311.0","297,732.0","294,276.0","292,151.0","288,440.0","293,329.0","291,441.0","294,333.0","283,288.0","290,345.0","302,354.0","300,699.0","305,521.0","310,081.0","306,686.0","308,432.0","314,735.0","317,911.0","321,693.0","325,466.0","330,362.0","330,025.0","331,285.0","326,459.0","324,577.0","336,888.0","351,763.0","352,379.0","356,301.0","364,248.0","370,557.0","382,760.0","387,708.0","385,956.0","391,615.0","395,738.0","401,680.0","421,709.0","406,706.0","424,443.0","434,387.0","439,447.0","447,968.0","452,487.0","455,349.0","461,043.0","472,240.0","472,394.0","475,266.0","487,555.0","494,413.0","496,608.0","498,174.0","509,585.0","519,379.0","527,428.0","534,251.0","553,727.0","555,759.0","565,653.0","575,574.0","590,708.0","597,231.0","605,312.0","611,363.0","632,755.0","645,756.0","648,629.0","642,749.0","651,900.0","651,397.0","642,072.0","635,405.0","655,321.0","660,509.0","656,030.0","637,677.0","639,099.0","637,455.0","637,296.0","623,266.0","627,707.0","620,127.0","606,598.0","592,363.0","597,420.0","598,744.0","596,746.0","574,591.0","591,049.0","593,038.0","602,246.0"
"45","26","    Federal","A787RC1","32,480.0","30,252.0","31,036.0","29,124.0","30,828.0","30,340.0","29,944.0","30,716.0","27,696.0","27,508.0","28,852.0","27,136.0","28,556.0","30,600.0","28,264.0","29,976.0","32,756.0","32,268.0","30,684.0","30,900.0","33,292.0","35,228.0","36,404.0","37,724.0","37,708.0","36,884.0","41,716.0","43,080.0","43,660.0","43,420.0","45,596.0","46,320.0","47,960.0","49,368.0","49,836.0","49,628.0","50,556.0","53,804.0","56,092.0","58,516.0","58,332.0","60,048.0","64,648.0","63,948.0","68,324.0","69,008.0","70,268.0","73,412.0","75,404.0","79,580.0","81,672.0","85,060.0","84,868.0","90,280.0","90,316.0","94,360.0","96,768.0","100,044.0","104,328.0","108,212.0","110,488.0","113,676.0","114,356.0","123,840.0","124,724.0","131,036.0","137,360.0","136,980.0","134,596.0","138,576.0","148,092.0","146,272.0","147,304.0","153,148.0","156,044.0","153,292.0","147,432.0","147,876.0","148,076.0","148,548.0","149,024.0","149,668.0","155,000.0","151,176.0","155,916.0","158,500.0","159,304.0","159,096.0","155,704.0","159,308.0","157,460.0","154,716.0","155,520.0","156,644.0","157,056.0","156,356.0","152,404.0","151,476.0","148,828.0","150,024.0","141,180.0","144,180.0","149,732.0","146,344.0","148,676.0","148,788.0","146,672.0","146,668.0","153,664.0","152,076.0","149,648.0","143,780.0","141,460.0","142,368.0","146,600.0","144,392.0","143,964.0","147,268.0","150,868.0","148,552.0","148,092.0","154,324.0","157,108.0","159,904.0","156,348.0","156,340.0","158,480.0","158,336.0","158,744.0","163,500.0","165,720.0","167,416.0","171,844.0","178,480.0","184,568.0","186,216.0","188,864.0","196,276.0","199,124.0","201,152.0","203,644.0","208,992.0","215,280.0","216,108.0","216,676.0","221,392.0","226,896.0","226,552.0","233,252.0","238,444.0","237,216.0","243,284.0","243,044.0","251,680.0","254,692.0","256,272.0","260,652.0","274,800.0","282,032.0","285,652.0","277,460.0","283,432.0","287,312.0","287,728.0","290,084.0","299,476.0","302,864.0","307,412.0","297,528.0","299,704.0","296,908.0","295,420.0","288,124.0","291,356.0","289,408.0","282,228.0","271,664.0","268,884.0","268,248.0","265,120.0","250,996.0","254,988.0","253,604.0","256,492.0"
"46","27","    State and local","A799RC1","29,037.0","29,462.0","28,874.0","27,898.0","28,169.0","28,506.0","30,295.0","30,372.0","30,350.0","30,823.0","30,329.0","31,341.0","31,468.0","30,371.0","30,874.0","32,655.0","33,424.0","33,327.0","33,871.0","35,332.0","37,676.0","40,878.0","41,719.0","41,728.0","45,354.0","42,336.0","43,730.0","46,781.0","49,278.0","45,584.0","43,091.0","41,612.0","43,505.0","44,874.0","43,801.0","43,659.0","43,050.0","51,192.0","53,628.0","55,428.0","51,487.0","56,946.0","60,710.0","64,280.0","67,456.0","65,731.0","64,088.0","65,520.0","71,023.0","65,789.0","64,055.0","66,799.0","65,326.0","66,276.0","67,177.0","69,193.0","67,781.0","67,249.0","70,334.0","69,943.0","73,320.0","76,079.0","79,713.0","81,242.0","83,130.0","87,641.0","89,376.0","89,240.0","93,989.0","96,092.0","98,227.0","96,492.0","100,126.0","100,557.0","102,967.0","105,124.0","106,101.0","110,633.0","110,641.0","114,273.0","114,415.0","117,849.0","120,009.0","124,582.0","130,713.0","129,938.0","131,407.0","136,594.0","135,041.0","135,829.0","138,102.0","140,206.0","144,791.0","141,088.0","137,220.0","135,795.0","136,036.0","141,853.0","142,613.0","144,309.0","142,108.0","146,165.0","152,622.0","154,355.0","156,845.0","161,293.0","160,014.0","161,764.0","161,071.0","165,835.0","172,045.0","181,686.0","188,902.0","187,657.0","184,685.0","182,067.0","180,613.0","189,620.0","200,895.0","203,827.0","208,209.0","209,924.0","213,449.0","222,856.0","231,360.0","229,616.0","233,135.0","237,402.0","242,936.0","258,209.0","240,986.0","257,027.0","262,543.0","260,967.0","263,400.0","266,271.0","266,485.0","264,767.0","273,116.0","271,242.0","271,622.0","278,563.0","279,133.0","280,500.0","281,498.0","288,193.0","292,483.0","300,876.0","300,999.0","315,283.0","318,543.0","322,369.0","332,530.0","339,028.0","342,539.0","349,040.0","350,711.0","357,955.0","363,724.0","362,977.0","365,289.0","368,468.0","364,085.0","354,344.0","345,321.0","355,845.0","357,645.0","348,618.0","340,149.0","339,395.0","340,547.0","341,876.0","335,142.0","336,351.0","330,719.0","324,370.0","320,699.0","328,536.0","330,496.0","331,626.0","323,595.0","336,061.0","339,434.0","345,754.0"
"47","28","Capital account transactions (net) \1\","W167RC1","4.0","0.0","4.0","0.0","0.0","4.0","4.0","12.0","12.0","12.0","16.0","24.0","24.0","24.0","36.0","36.0","36.0","36.0","40.0","36.0","36.0","36.0","36.0","36.0","48.0","60.0","60.0","60.0","60.0","48.0","48.0","48.0","52.0","60.0","72.0","72.0","84.0","84.0","84.0","96.0","96.0","108.0","108.0","120.0","120.0","128.0","132.0","132.0","128.0","120.0","120.0","120.0","120.0","116.0","108.0","108.0","108.0","104.0","96.0","96.0","88.0","92.0","100.0","112.0","136.0","148.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","224.0","420.0","-5,944.0","192.0","2,640.0","212.0","448.0","200.0","172.0","3,612.0","1,068.0","228.0","236.0","-268.0","1,976.0","-268.0","216.0","204.0","204.0","212.0","284.0","576.0","680.0","364.0","216.0","196.0","272.0","236.0","280.0","272.0","304.0","17,012.0","384.0","372.0","436.0","180.0","228.0","208.0","-52,520.0","324.0","364.0","368.0","640.0","628.0","612.0","5,371.0","2,271.0","249.0","491.0","240.0","-12,406.0","522.0","8,897.0","604.0","-61,190.0","272.0","5,157.0","2,226.0","288.0","592.0","260.0","-1,501.0","520.0","358.0","379.0","445.0","-23,801.0","1,338.0","447.0","495.0","588.0","727.0","504.0","558.0","1,128.0","542.0","605.0","3,878.0","1,635.0","425.0","622.0","1,376.0","2,282.0","-30,248.0","604.0","1,312.0","1,030.0","417.0","455.0","300.0","289.0","....."
"48","29","  Private","W999RC1","3,350.0","3,556.0","3,427.0","3,518.0","3,803.0","3,947.0","3,555.0","3,936.0","5,635.0","3,121.0","3,406.0","5,716.0","5,648.0","3,906.0","4,881.0","8,234.0","10,653.0","5,417.0","9,233.0","6,406.0","8,466.0","18,255.0","3,839.0","8,929.0","4,504.0","4,876.0","4,790.0","4,617.0","5,570.0","8,080.0","9,619.0","7,451.0","12,339.0","7,047.0","9,393.0","7,132.0","5,268.0","8,365.0","4,142.0","5,756.0","7,866.0","5,366.0","7,906.0","11,459.0","8,389.0","5,515.0","8,788.0","18,877.0","6,012.0","12,041.0","20,137.0","11,174.0","12,515.0","8,904.0","8,133.0","15,975.0","6,000.0","20,833.0","11,796.0","5,280.0","9,119.0","11,938.0","9,889.0","8,047.0","5,866.0","5,782.0","10,754.0","5,871.0","6,093.0","13,788.0","6,738.0","10,857.0","6,674.0","6,616.0","7,528.0","6,575.0","6,163.0","3,666.0","9,716.0","8,168.0","6,823.0","9,364.0","8,097.0","8,863.0","8,526.0","14,399.0","11,179.0","9,121.0","9,527.0","8,964.0","10,495.0","9,413.0","9,705.0","8,930.0","3,896.0","10,473.0","10,522.0","11,349.0","11,611.0","13,093.0","14,444.0","16,128.0","11,992.0","13,326.0","12,959.0","14,721.0","42,385.0","14,664.0","16,441.0","17,572.0","19,857.0","33,659.0","21,415.0","48,410.0","25,832.0","24,361.0","26,672.0","35,865.0","33,458.0","27,279.0","27,059.0","28,762.0","31,065.0","30,249.0","27,846.0","27,968.0","27,942.0","26,831.0","31,309.0","28,570.0","-21,685.0","23,926.0","23,615.0","21,486.0","22,481.0","4,669.0","3,767.0","1,765.0","951.0","3,369.0","2,163.0","2,913.0","-27,505.0","3,759.0","5,100.0","4,852.0","-114,787.0","-18,549.0","11,224.0","6,666.0","6,863.0","55,414.0","-7,945.0","-5,743.0","-9,123.0","6,764.0","10,902.0","25,445.0","-26,071.0","-223,068.0","-198,521.0","-137,256.0","-57,537.0","-92,416.0","-78,293.0","-97,382.0","-32,069.0","-26,294.0","-26,090.0","-48,775.0","-45,101.0","-66,935.0","-25,407.0","-6,829.0","-5,722.0","-57,119.0","889.0","6,865.0","11,110.0","11,052.0","6,555.0","7,485.0","13,994.0","....."
"49","30","    Domestic business","W989RC1","-375.0","-484.0","-409.0","-370.0","-231.0","-47.0","-249.0","84.0","1,824.0","-679.0","-749.0","-709.0","-815.0","-847.0","-286.0","2,485.0","4,686.0","609.0","4,252.0","1,046.0","3,143.0","13,275.0","-869.0","4,508.0","62.0","-82.0","-434.0","-580.0","177.0","2,381.0","3,760.0","818.0","-620.0","355.0","2,926.0","931.0","-634.0","2,595.0","-1,674.0","-115.0","1,894.0","-434.0","1,992.0","5,112.0","1,862.0","-1,523.0","1,198.0","11,667.0","-876.0","4,680.0","12,390.0","3,170.0","2,918.0","440.0","-7.0","9,231.0","-346.0","14,349.0","4,892.0","-240.0","2,445.0","5,853.0","3,919.0","2,043.0","-670.0","-329.0","3,994.0","-275.0","-699.0","6,665.0","-792.0","3,789.0","-891.0","-729.0","-108.0","-207.0","-1,086.0","-3,344.0","1,447.0","-103.0","-1,141.0","495.0","4,783.0","1,084.0","-946.0","-65.0","-22.0","-1,582.0","-1,740.0","-1,738.0","-1,725.0","2,833.0","-1,759.0","-1,763.0","32,582.0","-1,722.0","2,099.0","-1,691.0","-1,177.0","-1,706.0","17,530.0","-686.0","-3,063.0","-1,582.0","-1,570.0","509.0","26,609.0","2,762.0","-258.0","-687.0","293.0","14,319.0","367.0","26,745.0","3,162.0","1,171.0","1,436.0","9,490.0","6,736.0","-387.0","-1,752.0","-1,246.0","3,111.0","-1,715.0","-1,415.0","-1,273.0","-634.0","-1,394.0","2,481.0","7,911.0","-35,902.0","-2,465.0","-2,798.0","-2,841.0","-2,784.0","-2,245.0","-2,247.0","-1,733.0","-2,222.0","-2,589.0","-2,407.0","-1,962.0","16,307.0","-1,155.0","-47.0","57.0","10,693.0","-10,161.0","556.0","1,343.0","1,596.0","50,835.0","-167.0","595.0","-1,827.0","2,786.0","7,749.0","18,955.0","8,123.0","-234,294.0","-203,999.0","-141,222.0","42,489.0","-30,674.0","-13,418.0","-78,451.0","-27,117.0","1,207.0","-21,085.0","-42,312.0","-36,487.0","-63,759.0","-24,303.0","-7,293.0","-8,632.0","-4,073.0","-8,881.0","-3,957.0","-1,906.0","-2,590.0","-7,078.0","-5,739.0","41,062.0","....."
"50","31","    Households and institutions","W990RC1","3,725.0","4,040.0","3,836.0","3,888.0","4,034.0","3,994.0","3,804.0","3,852.0","3,811.0","3,800.0","4,155.0","6,425.0","6,463.0","4,753.0","5,167.0","5,749.0","5,967.0","4,808.0","4,981.0","5,360.0","5,323.0","4,980.0","4,708.0","4,421.0","4,442.0","4,958.0","5,224.0","5,197.0","5,393.0","5,699.0","5,859.0","6,633.0","12,959.0","6,692.0","6,467.0","6,201.0","5,902.0","5,770.0","5,816.0","5,871.0","5,972.0","5,800.0","5,914.0","6,347.0","6,527.0","7,038.0","7,590.0","7,210.0","6,888.0","7,361.0","7,747.0","8,004.0","9,597.0","8,464.0","8,140.0","6,744.0","6,346.0","6,484.0","6,904.0","5,520.0","6,674.0","6,085.0","5,970.0","6,004.0","6,536.0","6,111.0","6,760.0","6,146.0","6,792.0","7,123.0","7,530.0","7,068.0","7,565.0","7,345.0","7,636.0","6,782.0","7,249.0","7,010.0","8,269.0","8,271.0","7,964.0","8,869.0","3,314.0","7,779.0","9,472.0","14,464.0","11,201.0","10,703.0","11,267.0","10,702.0","12,220.0","6,580.0","11,464.0","10,693.0","-28,686.0","12,195.0","8,423.0","13,040.0","12,788.0","14,799.0","-3,086.0","16,814.0","15,055.0","14,908.0","14,529.0","14,212.0","15,776.0","11,902.0","16,699.0","18,259.0","19,564.0","19,340.0","21,048.0","21,665.0","22,670.0","23,190.0","25,236.0","26,375.0","26,722.0","27,666.0","28,811.0","30,008.0","27,954.0","31,964.0","29,261.0","29,241.0","28,576.0","28,225.0","28,828.0","20,659.0","14,217.0","26,391.0","26,413.0","24,327.0","25,265.0","6,914.0","6,014.0","3,498.0","3,173.0","5,958.0","4,570.0","4,875.0","-43,812.0","4,914.0","5,147.0","4,795.0","-125,480.0","-8,388.0","10,668.0","5,323.0","5,267.0","4,579.0","-7,778.0","-6,338.0","-7,296.0","3,978.0","3,153.0","6,490.0","-34,194.0","11,226.0","5,478.0","3,966.0","-100,026.0","-61,742.0","-64,875.0","-18,931.0","-4,952.0","-27,501.0","-5,005.0","-6,463.0","-8,614.0","-3,176.0","-1,104.0","464.0","2,910.0","-53,046.0","9,770.0","10,822.0","13,016.0","13,642.0","13,633.0","13,224.0","-27,068.0","....."
"51","32","  Government","W991RC1","-3,346.0","-3,556.0","-3,423.0","-3,519.0","-3,803.0","-3,942.0","-3,551.0","-3,924.0","-5,623.0","-3,109.0","-3,389.0","-5,691.0","-5,624.0","-3,883.0","-4,845.0","-8,197.0","-10,614.0","-5,381.0","-9,192.0","-6,369.0","-8,430.0","-18,219.0","-3,803.0","-8,893.0","-4,456.0","-4,815.0","-4,729.0","-4,558.0","-5,509.0","-8,032.0","-9,569.0","-7,402.0","-12,288.0","-6,987.0","-9,321.0","-7,060.0","-5,184.0","-8,280.0","-4,057.0","-5,659.0","-7,771.0","-5,258.0","-7,798.0","-11,339.0","-8,268.0","-5,387.0","-8,655.0","-18,745.0","-5,884.0","-11,922.0","-20,016.0","-11,054.0","-12,396.0","-8,787.0","-8,025.0","-15,867.0","-5,892.0","-20,729.0","-11,701.0","-5,186.0","-9,031.0","-11,846.0","-9,789.0","-7,934.0","-5,730.0","-5,634.0","-10,604.0","-5,736.0","-5,973.0","-13,679.0","-6,629.0","-10,751.0","-6,546.0","-6,480.0","-7,384.0","-6,431.0","-6,028.0","-3,534.0","-9,581.0","-8,037.0","-6,692.0","-9,220.0","-7,954.0","-7,890.0","-7,694.0","-14,246.0","-11,023.0","19,230.0","-5,088.0","-8,396.0","5,516.0","-9,238.0","-9,485.0","-8,509.0","-9,838.0","-10,281.0","-7,883.0","-11,138.0","-11,161.0","-12,894.0","-14,272.0","-12,517.0","-10,922.0","-13,100.0","-12,721.0","-14,990.0","-40,371.0","-14,930.0","-16,225.0","-17,368.0","-19,655.0","-33,448.0","-21,128.0","-47,831.0","-25,154.0","-23,998.0","-26,457.0","-35,668.0","-33,183.0","-27,040.0","-26,776.0","-28,490.0","-30,759.0","-13,234.0","-27,463.0","-27,598.0","-27,506.0","-26,653.0","-31,082.0","-28,360.0","-30,838.0","-23,604.0","-23,251.0","-21,116.0","-21,843.0","-4,042.0","-3,156.0","3,604.0","1,319.0","-3,119.0","-1,674.0","-2,676.0","15,105.0","-3,238.0","3,798.0","-4,250.0","53,600.0","18,820.0","-6,068.0","-4,440.0","-6,575.0","-54,821.0","8,203.0","4,241.0","9,644.0","-6,404.0","-10,522.0","-25,000.0","2,266.0","224,404.0","198,967.0","137,750.0","58,124.0","93,142.0","78,798.0","97,940.0","33,196.0","26,837.0","26,694.0","52,653.0","46,736.0","67,359.0","26,030.0","8,204.0","8,004.0","26,872.0","-284.0","-5,552.0","-10,081.0","-10,635.0","-6,101.0","-7,184.0","-13,705.0","....."
"52","33","    Federal","W992RC1","2,481.0","2,325.0","2,253.0","2,545.0","1,833.0","1,341.0","1,253.0","809.0","-479.0","2,789.0","1,993.0","-615.0","-279.0","1,090.0","1,670.0","-2,574.0","-4,963.0","559.0","-4,083.0","-713.0","-1,010.0","-9,987.0","2,324.0","-1,496.0","3,707.0","2,559.0","5,671.0","5,625.0","4,247.0","1,518.0","991.0","3,832.0","-1,004.0","4,511.0","2,903.0","4,050.0","5,985.0","3,448.0","8,084.0","7,015.0","5,938.0","7,788.0","6,538.0","4,454.0","8,008.0","11,215.0","7,390.0","-1,984.0","10,264.0","3,948.0","-5,048.0","4,112.0","1,676.0","6,124.0","6,984.0","-932.0","10,556.0","-6,092.0","4,392.0","10,584.0","7,512.0","5,204.0","7,972.0","10,736.0","10,848.0","13,300.0","8,936.0","14,876.0","13,176.0","6,276.0","14,012.0","6,880.0","11,416.0","12,260.0","10,636.0","11,500.0","12,132.0","15,480.0","9,932.0","10,276.0","12,328.0","9,416.0","9,464.0","11,096.0","12,164.0","4,332.0","7,908.0","38,904.0","15,144.0","11,964.0","25,356.0","10,160.0","10,560.0","12,936.0","11,108.0","11,480.0","12,668.0","10,160.0","12,600.0","10,792.0","8,372.0","10,420.0","13,128.0","12,132.0","13,504.0","11,456.0","-15,440.0","10,572.0","11,980.0","9,956.0","7,240.0","-4,592.0","7,764.0","-18,148.0","4,584.0","5,196.0","624.0","-8,624.0","-4,592.0","3,560.0","352.0","3,024.0","2,800.0","20,152.0","7,336.0","7,544.0","7,108.0","11,188.0","7,420.0","12,452.0","16,168.0","16,488.0","21,544.0","20,388.0","18,788.0","35,788.0","33,086.0","46,636.0","43,023.0","38,010.0","39,146.0","35,231.0","42,226.0","37,425.0","48,248.0","41,928.0","102,687.0","40,504.0","41,987.0","42,664.0","39,800.0","-9,254.0","49,820.0","51,356.0","56,800.0","40,478.0","37,273.0","25,103.0","51,710.0","274,774.0","247,037.0","187,740.0","118,902.0","155,963.0","132,695.0","163,591.0","106,339.0","98,769.0","89,755.0","115,974.0","111,248.0","134,888.0","87,903.0","71,741.0","72,227.0","99,273.0","62,831.0","54,507.0","56,125.0","50,490.0","55,595.0","56,607.0","54,848.0","....."
