"","Table 1#6#4# Price Indexes for Gross Domestic Purchases         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182"
"29","21","      Financial services and insurance","DIFSRG3",22.405,22.83,23.178,23.568,23.804,24.017,24.256,24.627,24.937,25.385,25.898,26.28,26.827,27.095,27.366,27.494,27.232,27.626,28.02,28.472,29.151,29.738,30.378,31.005,31.557,32.14,32.424,33.051,33.295,33.067,33.787,34.237,34.449,35.526,36.874,37.862,39.476,40.834,41.267,42.232,40.66,43.628,44.209,44.235,44.648,45.577,46.788,49.081,50.477,50.311,49.79,49.582,50.632,51.669,53.748,55.663,57.243,55.73,59.857,59.291,59.222,61.462,63.068,63.046,66.461,66.411,68.072,66.578,69.299,68.431,67.093,66.712,64.381,64.353,64.554,65.319,66.094,67.081,68.656,69.142,69.385,69.895,69.635,69.913,70.218,70.641,70.886,71.083,70.062,69.61,70.666,70.874,71.617,72.331,72.656,73.974,74.838,76.298,77.362,77.489,77.232,77.94,78.027,78.586,78.791,79.257,79.832,80.684,81.002,81.784,82.899,83.771,84.486,85.566,86.008,86.501,86.385,85.572,85.532,85.236,85.132,84.724,84.81,85.506,86.592,85.541,85.639,85.828,86.012,85.947,84.426,85.932,85.897,87.226,88.222,89.35,89.852,91.31,92.153,92.718,93.671,94.574,95.705,96.081,96.695,97.469,98.291,99.334,99.727,100.322,100.656,101.597,102.573,102.585,103.801,105.023,105.474,105.855,104.611,102.534,99.412,99.427,99.532,101.629,102.648,103.885,104.46,104.98,105.003,105.422,106.296,107.144,108.405,109.337,110.786,111.701,111.682,111.508,112.438
"30","22","      Other services","DOTSRG3",15.956,16.15,16.345,16.518,16.676,16.919,17.116,17.389,17.646,17.88,18.173,18.42,18.656,18.866,19.032,19.257,19.368,19.762,20.361,20.776,21.381,22.088,22.596,22.883,23.19,23.545,24.155,24.435,24.764,25.125,25.586,25.806,26.229,26.51,26.77,26.976,27.285,27.774,28.317,28.697,29.177,29.754,30.367,30.909,31.764,32.289,33.187,33.887,34.732,35.638,36.578,37.604,38.17,38.731,39.136,39.766,40.438,40.918,41.382,41.86,42.866,43.224,43.345,43.538,43.865,44.509,45.179,45.723,46.361,47.006,47.47,47.843,47.801,48.115,48.44,48.895,49.428,50.163,50.583,51.189,51.604,52.072,52.444,52.809,53.392,54.142,54.565,55.211,56.035,56.596,57.221,57.91,58.62,59.131,59.718,60.005,60.543,61.181,61.708,62.259,62.897,63.344,64.032,64.586,65.077,65.719,66.047,66.326,66.801,67.295,67.97,68.698,69.012,69.587,69.821,69.931,70.179,70.845,71.21,71.796,72.292,72.532,72.821,73.346,73.773,73.928,74.157,74.635,75.311,75.861,76.874,77.625,78.253,78.808,80.037,80.37,81.239,82.162,82.704,83.265,83.976,84.608,85.498,86.07,87.067,88.088,88.541,89.017,89.981,90.826,91.589,92.152,92.546,93.409,94.043,94.747,95.798,97.275,98.1,98.847,99.263,99.655,100.161,100.921,101.547,102.295,102.799,103.011,103.313,103.971,104.559,105.155,105.726,106.457,106.48,106.996,108.083,108.625,108.762
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRG3",63.696,64.877,65.899,66.709,67.234,67.699,68.211,69.428,70.707,71.48,72.545,73.076,73.826,74.232,75.258,76.385,76.109,78.24,81.587,83.082,86.601,91.275,92.782,94.536,97.242,98.215,101.429,101.853,104.515,104.124,104.217,106.564,110.136,109.893,113.378,114.735,116.249,117.848,121.319,122.132,125.048,128.231,133.903,137.086,139.874,144.862,143.024,145.266,147.629,152.985,151.222,149.613,146.116,143.155,141.983,138.838,134.043,133.991,131.076,128.175,127.562,127.46,125.647,123.702,123.367,122.355,122.83,124.708,122.346,119.217,118.086,117.404,117.232,116.505,117.126,117.011,116.828,116.18,115.255,114.202,112.467,109.767,106.694,103.314,102.711,100.014,97.331,95.888,93.355,92.952,90.882,88.951,85.97,83.827,82.541,80.375,79.14,79.22,78.25,78.335,78.082,78.184,78.649,79.407,78.186,78.422,78.821,78.584,78.753,79.719,80.135,80.85,81.934,81.994,83.537,85.537,87.147,88.894,89.75,89.806,89.995,91.217,92.743,94.416,94.762,97.352,97.507,99.059,101.076,101.876,102.376,101.515,102.418,102.982,102.01,101.193,100.631,99.489,99.304,99.012,97.564,98.236,98.595,98.096,99.156,99.747,100.67,101.039,101.199,101.305,100.873,100.979,102.319,102.321,102.99,102.037,102.776,103.447,103.745,102.527,100.743,100.159,100.049,99.049,98.794,98.44,99.021,99.527,99.548,100.188,99.359,99.475,99.016,99.022,98.532,99.156,98.674,101.281,101.924
"32","24","Gross private domestic investment","B006RG3",27.562,27.854,28.097,28.468,28.696,29.293,29.233,29.578,30.094,30.521,30.854,31.118,31.483,31.7,32.03,32.485,32.777,33.361,34.057,34.463,35.177,36.228,37.644,39.04,40.376,41.302,41.793,42.359,42.732,43.457,44.068,44.739,45.647,46.491,47.4,48.353,49.273,50.272,51.263,52.309,53.374,54.716,56.054,57.205,58.543,59.914,61.159,62.447,64.232,65.654,66.738,68.024,68.785,69.616,70.073,70.227,70.049,69.788,69.754,69.966,70.179,70.568,70.833,70.99,71.186,71.285,71.575,72.022,72.353,72.826,73.395,73.922,74.24,74.436,74.641,75.272,75.838,76.296,76.603,77.355,77.797,78.29,78.693,79.101,79.571,79.849,80.342,80.669,81.385,81.483,81.617,81.355,81.166,81.303,81.491,81.764,82.02,82.326,82.522,82.715,83.197,83.429,83.729,84.076,84.604,84.913,85.144,85.071,84.882,84.727,84.976,84.896,84.913,84.925,84.981,84.869,84.489,84.285,84.212,84.251,84.371,84.426,84.341,84.618,85.142,85.473,85.857,86.029,86.111,86.375,86.592,86.665,86.601,86.637,86.725,87.171,87.533,87.545,87.834,88.453,89.281,90.238,91.1,91.963,92.943,93.899,95.061,96.273,97.216,97.851,98.413,99.241,99.855,100.008,100.024,100.116,100.282,100.475,100.983,102.371,101.684,100.262,99.058,98.996,98.798,98.932,99.1,99.608,99.869,100.3,100.559,100.727,101.085,101.482,101.82,102.196,102.726,103.206,103.528
"33","25","  Fixed investment","B007RG3",26.728,27.016,27.263,27.618,27.84,28.438,28.379,28.711,29.21,29.621,29.966,30.24,30.613,30.819,31.122,31.562,31.881,32.444,33.128,33.571,34.231,35.215,36.556,37.984,39.282,40.208,40.686,41.287,41.686,42.41,43.005,43.677,44.592,45.424,46.433,47.432,48.335,49.333,50.295,51.3,52.367,53.701,54.994,56.108,57.415,58.736,60.001,61.275,62.877,64.27,65.364,66.719,67.543,68.4,68.844,69.035,68.823,68.622,68.637,68.785,68.936,69.276,69.555,69.778,70.023,70.155,70.481,70.931,71.297,71.839,72.439,72.905,73.181,73.347,73.561,74.26,74.909,75.389,75.772,76.487,76.914,77.41,77.798,78.227,78.7,79.009,79.491,79.919,80.585,80.726,80.8,80.538,80.406,80.551,80.74,81.016,81.299,81.577,81.734,81.979,82.428,82.694,83.047,83.374,83.885,84.199,84.45,84.435,84.308,84.155,84.381,84.347,84.373,84.425,84.544,84.45,84.141,83.964,83.918,83.956,84.089,84.171,84.098,84.384,84.94,85.299,85.689,85.873,85.926,86.221,86.435,86.49,86.404,86.453,86.567,87.031,87.425,87.433,87.725,88.354,89.176,90.138,91.005,91.866,92.868,93.854,95.051,96.255,97.202,97.854,98.394,99.218,99.844,100.002,100.024,100.084,100.293,100.518,101.227,101.944,101.367,100.158,99.22,99.255,98.987,99.024,99.138,99.571,99.922,100.463,100.73,100.911,101.298,101.679,102.045,102.386,102.967,103.478,103.854
"34","26","    Nonresidential","B008RG3",33.324,33.639,34.01,34.429,34.811,35.381,35.609,36.079,36.59,37.018,37.345,37.579,38.005,38.296,38.541,38.772,39.109,39.663,40.279,40.759,41.521,42.808,44.543,46.475,48.196,49.431,50.067,50.751,51.311,51.971,52.663,53.433,54.473,55.294,56.253,57.229,58.078,59.044,60.011,61.045,62.328,63.699,65.042,66.263,67.743,69.298,70.77,72.236,74.201,75.998,77.397,79.08,80.015,80.983,81.479,81.67,81.24,80.873,80.75,80.748,80.819,81.122,81.3,81.396,81.649,81.791,82.096,82.452,82.663,83.203,83.746,84.13,84.194,84.169,84.198,84.989,85.78,86.239,86.608,87.417,87.871,88.257,88.752,89.19,89.691,90.041,90.66,91.259,92.154,92.233,92.177,91.899,91.808,91.719,91.779,91.785,91.869,91.943,91.897,92.163,92.411,92.6,92.789,92.867,93.256,93.563,93.809,93.605,93.291,92.917,92.929,92.738,92.633,92.562,92.488,92.13,91.596,91.133,90.766,90.548,90.458,90.25,89.894,90.066,90.352,90.564,90.864,90.863,90.518,90.529,90.318,90.207,90.135,89.998,90,90.055,89.801,89.747,89.895,90.096,90.388,90.949,91.331,91.898,92.795,93.512,94.046,94.966,95.623,96.169,96.796,97.656,98.304,98.621,98.649,98.722,99.139,99.559,100.697,101.952,101.425,100.236,99.237,99.102,98.735,98.953,99.095,99.496,99.875,100.456,100.774,100.99,101.506,101.897,102.157,102.35,102.692,103.008,103.268
"35","27","      Structures","B009RG3",11.701,11.894,12.058,12.288,12.411,12.799,12.835,13.048,13.317,13.62,13.922,14.166,14.444,14.624,14.815,15.103,15.327,15.655,16.089,16.482,16.926,17.663,18.486,19.263,19.826,20.184,20.363,20.603,20.728,21.1,21.409,21.707,22.395,22.799,23.314,23.805,24.316,24.995,25.609,26.307,27.041,27.87,28.733,29.344,29.85,30.456,31.106,32.079,33.455,34.618,35.598,36.802,37.6,37.973,38.077,37.908,37.258,36.884,36.806,36.75,36.794,37.164,37.404,37.626,37.913,38,38.198,38.419,38.578,38.776,38.949,39.151,39.162,39.328,39.54,39.924,40.549,40.952,41.354,41.796,42.153,42.65,42.983,43.315,43.678,43.984,44.347,44.617,45.014,45.091,45.079,44.642,44.642,44.819,45.035,45.373,45.702,46.095,46.469,46.878,47.241,47.532,48.115,48.793,49.378,49.701,50.242,50.661,50.709,50.899,51.55,51.905,52.408,52.886,53.479,54.119,54.879,55.465,55.918,56.374,56.775,57.145,57.546,58.046,58.741,59.279,59.905,60.614,61.47,62.4,63.395,63.783,64.385,65.091,65.681,66.459,67.262,67.305,67.803,68.723,70.144,71.736,73.702,75.931,78.184,80.271,83.199,86.57,88.871,91.144,92.849,95.327,96.536,97.007,97.868,99.067,100.183,101.062,102.859,104.931,103.757,100.651,97.895,97.696,98.05,98.554,99.077,99.693,100.347,101.375,102.293,102.975,103.206,103.703,103.856,104.164,105.189,106.521,107.275
"36","28","      Equipment","Y033RG3",54.456,54.738,55.226,55.707,56.31,56.845,57.272,57.942,58.578,58.95,59.034,59.031,59.442,59.719,59.831,59.693,59.942,60.546,61.036,61.197,61.954,63.507,66.107,69.356,72.557,74.871,76.028,77.211,78.396,79.151,80.166,81.41,82.733,83.952,85.303,86.744,87.767,88.826,89.935,91.02,92.71,94.4,95.943,97.62,100.149,102.692,104.91,106.436,108.477,110.56,111.962,113.494,113.987,115.555,116.391,116.915,116.744,116.241,115.674,115.521,115.323,115.243,114.999,114.823,114.708,114.826,115.136,115.717,115.915,116.984,118.073,118.663,118.631,118.051,117.491,118.521,119.13,119.437,119.64,121.025,121.491,121.634,122.312,122.957,123.638,123.898,124.79,126.05,127.065,126.772,126.409,126.575,127.112,126.672,126.499,125.769,125.608,125.206,124.796,124.527,124.977,125.208,124.936,124.125,123.615,123.834,123.478,122.854,121.856,120.734,120.272,119.72,118.665,117.749,116.973,115.883,114.111,112.62,111.364,110.121,109.347,108.185,107.004,106.376,106.064,105.641,105.292,104.547,103.261,102.627,101.887,101.344,100.902,100.427,99.915,99.738,98.859,98.421,98.354,98.446,98.241,98.579,98.3,98.322,98.806,98.938,98.444,98.368,98.24,98.024,98.327,98.675,98.975,99.111,98.515,97.805,97.645,97.645,98.793,100.682,100.739,100.433,99.897,98.931,97.875,97.817,98.049,98.293,98.464,98.874,99.058,99.317,99.837,99.94,100.3,100.673,100.601,100.5,100.568
"37","29","        Information processing equipment","Y034RG3",427.463,427.431,428.408,430.049,433.175,434.095,431.204,429.315,427.571,423.638,419.702,417.212,414.781,412.485,411.17,411.314,415.852,417.933,414.961,410.093,409.044,416.871,424.771,433.774,443.801,449.65,449.642,450.793,453.111,454.126,453.841,450.68,451.99,449.627,444.071,436.495,432.321,429.61,426.495,423.242,424.362,424.748,421.595,419.06,421.663,423.34,425.086,426.566,430.351,433.152,434.117,435.775,430.751,438.072,440.826,442.615,435.307,427.39,421.163,416.987,411.345,406.787,402.414,399.436,395.097,390.477,386.162,382.569,376.617,375.433,379.538,378.327,371.902,365.334,359.822,363.019,363.923,359.513,357.343,358.746,359.074,355.827,354.036,351.246,348.38,346.61,347.128,346.715,345.719,342.139,336.569,332.858,332.276,327.244,323.864,319.341,315.868,311.004,306.737,302.574,300.976,298.477,294.461,289.006,284.864,281.018,274.794,267.644,259.86,250.979,245.601,240.32,234.024,228.024,221.944,215.655,206.787,199.069,192.148,185.817,180.413,175.353,171.183,168.254,166.286,163.775,161.901,159.597,154.108,150.913,147.545,144.355,142.65,140.772,138.272,135.696,132.813,130.842,128.811,126.502,125.357,124.313,123.219,122.057,120.62,119.017,117.488,115.895,114.157,112.713,111.814,111.378,110.925,110.171,107.49,104.819,104.486,103.836,103.476,102.775,101.277,99.937,99.783,99.003,98.498,98.364,98.084,98.341,98.263,97.629,97.039,96.615,96.703,96.309,96.138,95.791,95.405,94.989,94.595
"38","30","          Computers and peripheral equipment","B935RG3",64287.951,62906.557,61191.213,60167.041,59902.951,58263.141,54318.181,50776.091,47824.756,43775.566,40408.851,37983.349,35801.055,34690.54,33542.553,33081.638,34151.13,33943.891,32054.375,29850.251,28153.131,26792.939,25865.818,25328.105,25393.896,25227.343,24350.382,23212.969,21979.397,20839.426,19904.24,19279.832,19439.98,18842.513,17449.023,15629.835,13837.739,12408.051,11368.096,10655.686,10665.48,10392.506,9811.651,9126.727,8689.538,8033.809,7444.32,7048.476,6980.133,6958.597,6851.841,6643.176,6201.631,6203.221,6152.972,6134.981,5624.113,5265.887,4945.792,4751.126,4452.865,4226.004,4046.681,3929.681,3754.896,3601.546,3476.527,3326.179,3097.991,3016.088,3052.608,3030.464,2781.199,2609.709,2494.514,2503.793,2479.778,2417.635,2385.135,2367.669,2345.773,2263.28,2234.709,2167.532,2074.322,2047.938,2043.446,2010.511,1956.671,1893.625,1781.361,1713.511,1676.661,1599.052,1521.689,1471.065,1423.644,1354.847,1300.042,1248.139,1221.624,1198.219,1159.377,1105.266,1055.339,1012.667,954.998,897.383,830.449,762.085,719.429,677.649,632.177,594.196,555.961,522.347,478.487,442.684,410.252,380.836,357.984,338.555,323.537,313.181,304.461,294.863,287.65,279.775,257.058,247.613,236.242,225.078,218.092,213.678,206.833,200.42,193.51,189.213,185.482,181.949,179.408,176.576,172.21,167.836,161.745,156.159,150.544,145.287,140.978,136.086,131.72,128.6,125.691,122.263,118.526,115.883,111.691,109.69,107.859,105.712,103.246,100.526,98.796,97.432,96.733,96.288,95.804,95.194,93.638,92.57,91.374,90.536,90.495,90.053,90.061,89.629,89.401,89.438,89.343
"39","31","          Other","B937RG3",68.405,68.747,69.386,69.968,70.646,71.349,71.946,72.642,73.277,73.925,74.513,75.102,75.716,75.829,76.185,76.458,76.92,77.508,77.829,77.926,78.686,81.246,83.707,86.262,88.57,90.044,90.589,91.636,93.154,94.383,95.156,94.904,94.987,94.992,95.156,95.505,97.046,98.747,99.917,100.525,100.825,101.577,102.105,103.242,105.336,108.028,110.991,113.401,115.246,116.454,117.377,119.121,119.838,122.409,123.662,124.401,125.483,125.553,126.274,126.659,127.676,128.579,129.125,129.538,130.229,130.513,130.505,131.329,132.57,133.542,134.922,134.729,136.509,137.004,136.853,138.42,139.562,138.704,138.341,139.605,140.395,140.949,140.764,141.2,142.364,142.07,142.47,143.19,144.263,144.105,144.373,144.493,145.521,145.402,146.514,145.747,145.589,145.611,145.43,145.224,145.529,145.071,144.417,143.698,143.842,143.899,143.465,142.547,142.157,141.159,140.838,140.752,140.499,139.855,139.366,138.1,135.935,133.933,132.377,131.075,129.771,128.293,126.88,125.821,125.486,124.734,124.219,123.334,122.209,120.664,119.356,118.277,118.077,116.987,115.796,114.395,112.708,111.409,109.879,107.965,107.255,106.749,106.624,106.449,106.423,106.011,105.726,105.304,104.427,104.14,104.452,104.97,105.382,105.551,103.234,100.556,101.63,101.498,101.703,101.551,100.446,99.683,100.199,99.673,99.243,99.249,99.066,99.692,100.212,99.768,99.437,99.19,99.326,98.948,98.701,98.384,97.931,97.335,96.826
"40","32","        Industrial equipment","B680RG3",19.036,19.111,19.255,19.483,19.759,20.051,20.322,20.573,20.755,20.996,21.21,21.348,21.396,21.467,21.525,21.642,21.762,21.968,22.225,22.492,22.868,23.455,24.499,25.947,27.556,28.887,29.789,30.391,30.818,31.287,31.835,32.453,33.316,34.119,34.862,35.562,36.38,37.098,37.841,38.62,39.611,40.601,41.723,42.724,44.365,45.875,47.28,48.566,49.695,50.61,51.422,52.131,52.33,53.394,53.802,54.038,54.315,54.548,54.522,54.565,54.775,55.132,55.189,55.289,55.318,55.673,56.202,56.849,57.729,58.375,58.964,59.178,60.322,60.916,61.033,62.082,62.859,63.736,63.807,64.934,65.425,65.68,66.375,67.133,68.156,68.788,69.648,70.702,71.65,71.462,71.702,72.364,72.825,73.128,73.919,73.673,73.873,74.248,74.53,74.909,75.13,75.613,76.138,76.742,77.257,78.395,78.964,79.369,79.799,79.953,80.237,80.511,80.611,80.601,80.684,80.79,80.904,81.031,81.218,81.352,81.551,81.465,81.578,81.796,81.891,81.988,82.146,82.187,82.47,82.637,82.581,82.66,82.478,82.442,82.72,82.836,82.967,83.128,83.351,83.519,84.183,84.94,85.604,86.403,87.406,88.328,88.715,89.37,89.976,90.68,91.784,92.413,93.469,94.285,94.836,95.58,96.48,98.214,100.015,100.062,99.907,99.795,100.022,100.276,100.476,100.886,101.169,101.69,102.785,103.833,104.577,104.694,105.299,105.708,105.864,106.261,106.462,106.289,106.273
"41","33","        Transportation equipment","B681RG3",23.92,24.109,24.517,24.756,25.054,25.28,25.544,26.087,26.638,26.898,26.796,26.691,27.124,27.368,27.603,27.223,27.111,27.437,27.843,28.113,28.783,29.618,30.646,31.742,32.579,33.499,33.754,34.449,35.273,35.518,36.157,36.963,37.348,37.992,39.123,40.624,41.46,41.899,42.554,43.153,44.41,45.501,46.185,47.474,48.946,50.141,51.545,52.211,52.815,54.362,54.969,55.811,56.385,56.735,57.297,57.401,57.706,57.719,57.799,58.012,58.264,58.338,58.449,58.591,59.03,59.716,60.378,61.575,62.349,63.835,64.176,65.404,65.357,64.763,64.755,64.922,64.674,65.18,65.898,66.894,66.85,67.404,68.083,69.244,69.962,70.299,70.839,72.455,73.804,74.241,74.616,75.421,76.284,76.424,75.913,75.754,76.313,76.282,76.357,76.815,78.222,78.829,78.9,78.316,77.776,78.278,79.145,79.693,79.648,80.565,81.314,81.829,81.911,82.498,83.687,83.833,83.377,83.319,83.345,83.194,84.114,84.039,83.263,83.276,83.623,83.935,83.99,83.111,82.852,83.168,83.505,84.044,84.123,84.328,84.245,85.896,85.103,84.992,86.687,89.723,90.093,90.777,89.968,89.929,90.998,91.224,89.989,90.688,91.067,91.157,91.464,91.832,92.55,92.995,93.057,92.434,91.625,92.038,93.745,95.305,99.668,102.684,101.484,96.165,92.59,92.81,93.228,93.82,94.141,94.961,95.031,95.518,96.318,96.292,97.04,98.326,98.304,98.224,98.967
"42","34","        Other equipment","B862RG3",19.316,19.463,19.586,19.74,19.905,20.103,20.299,20.618,20.961,21.177,21.32,21.361,21.661,21.889,21.838,21.83,21.969,22.251,22.467,22.392,22.574,23.155,24.666,26.58,28.372,29.315,29.849,30.358,30.912,31.313,31.774,32.584,33.327,34.008,34.78,35.604,36.032,36.916,37.694,38.463,39.033,39.862,41.061,42.078,43.3,45.137,46.35,47.034,48.678,49.984,51.136,52.405,53.535,53.994,54.322,54.746,55.143,55.344,55.325,55.634,55.964,56.36,56.647,56.677,56.971,57.276,57.817,58.158,58.403,59.171,59.787,60.121,60.558,60.859,60.893,61.202,61.828,62.406,62.806,63.665,64.226,64.794,65.661,66.311,67.146,67.364,68.037,68.808,69.519,69.831,70.27,70.633,71.053,71.361,71.835,72.097,72.325,72.812,73.053,73.171,73.461,74.08,74.386,74.324,74.712,75.372,75.784,76.488,77.053,77.297,77.813,78.303,78.469,78.576,78.533,78.779,79.17,79.459,79.958,80.421,80.688,80.826,80.828,80.804,80.922,81.214,81.436,81.658,82.099,82.323,82.5,82.926,83.021,82.878,83.224,83.48,83.649,83.933,84.044,84.003,83.475,84.557,84.782,85.417,86.912,88.109,88.708,88.893,89.398,89.454,90.383,91.363,91.469,91.781,92.116,92.549,92.213,91.138,93.339,100.674,101.119,100.805,99.243,98.833,97.112,96.682,97.609,97.347,96.953,97.952,98.838,99.958,100.746,101.437,102.298,102.707,102.785,103.154,103.27
"43","35","      Intellectual property products","Y001RG3",34.929,35.293,35.756,36.148,36.672,37.008,37.403,37.816,38.237,38.487,38.725,38.901,39.259,39.579,39.903,40.214,40.706,41.277,41.986,42.852,43.938,45.049,46.164,47.24,48.166,49.065,49.638,50.162,50.413,51.137,51.765,52.425,52.83,53.372,53.978,54.59,55.339,56.015,56.838,57.758,58.65,59.712,60.758,61.849,63.077,64.283,65.514,66.707,67.962,69.144,70.219,71.629,72.448,73.31,74.098,74.939,75.631,76.067,76.801,77.306,77.951,78.4,78.989,79.036,79.58,79.796,80.117,80.112,80.303,80.423,80.583,80.784,81.127,81.58,82.141,83.013,83.941,84.472,84.759,84.909,85.269,85.513,85.757,85.803,85.993,86.356,86.747,86.727,88.028,88.608,88.931,88.455,87.359,87.294,87.365,87.826,87.81,88.02,87.837,88.606,88.263,88.156,88.37,88.898,90.402,90.748,91.456,90.997,91.337,91.419,91.238,90.853,91.413,91.928,92.053,91.507,91.264,91.114,91.138,91.762,92.203,92.904,93.046,94.142,94.901,95.77,96.738,97.101,96.875,96.814,95.973,95.968,95.741,95.25,95.464,95.178,94.873,95.313,95.449,95.138,95.15,95.11,95.109,95.07,95.439,95.902,96.066,96.54,97.09,97.409,97.619,97.916,98.646,99.11,99.365,99.601,100.225,100.838,101.317,100.927,100.315,99.74,99.564,100.382,100.295,100.636,100.381,100.851,101.354,101.904,102.029,101.868,102.56,103.304,103.486,103.325,103.816,104.071,104.275
"44","36","        Software \1\","B985RG3",126.114,125.991,126.705,127.383,128.727,128.719,128.727,128.397,126.843,125.858,125.247,124.373,123.59,123.282,123.237,123.298,124.636,125.595,126.134,126.557,127.175,129.363,131.912,134.085,135.941,135.909,136.046,136.594,136.221,136.114,136.481,136.894,138.017,138.161,137.822,137.022,135.059,134.584,134.388,134.803,136.999,138.03,139.246,140.471,140.874,141.999,142.517,143.062,145.23,146.487,147.952,149.246,150.476,150.992,151.492,151.612,150.852,150.098,149.193,148.374,147.749,147.74,146.807,146.049,146.042,144.942,144.19,142.852,140.757,139.399,138.548,138.271,138.518,138.343,138.275,137.945,137.983,137.55,136.422,134.954,132.602,130.881,129.109,127.314,126.223,125.429,125.044,125.139,126.888,126,124.546,122.284,117.424,114.864,113.348,112.445,114.021,114.116,113.841,113.157,111.38,110.289,109.486,108.969,109.467,109.709,109.441,108.863,108.118,107.194,106.271,105.442,104.683,104.352,103.324,102.345,100.995,100.606,100.509,100.212,101.065,101.649,102.17,102.457,103.239,104.36,105.904,106.058,105.689,106.099,104.709,104.89,104.488,103.167,103.279,103.005,101.98,101.928,101.008,99.45,99.104,98.782,98.817,97.837,98.213,98.278,98.111,98.129,98.617,99.4,99.766,99.73,99.86,99.978,100.003,100.159,100.339,101.028,101.324,100.926,100.593,100.136,99.482,99.789,99.375,99.176,98.967,98.908,99.223,99.205,99.183,99.034,98.963,98.796,98.338,97.992,98.368,98.748,98.611
"45","37","        Research and development","Y006RG3",22.122,22.349,22.577,22.806,23.036,23.268,23.504,23.742,23.983,24.208,24.418,24.612,24.791,25.001,25.244,25.519,25.826,26.287,26.902,27.671,28.594,29.453,30.248,30.979,31.647,32.21,32.668,33.023,33.273,33.866,34.34,34.875,35.18,35.625,36.153,36.736,37.25,37.786,38.47,39.264,40.063,40.941,41.901,42.79,44.082,45.166,46.19,47.261,48.177,49.382,50.243,51.491,52.293,53.076,53.741,54.606,55.208,55.61,56.403,57.002,57.858,58.093,58.611,58.673,59.064,59.362,59.684,59.811,60.017,60.288,60.44,60.598,60.879,61.257,61.679,62.576,63.636,64.404,64.808,65.224,65.785,66.294,66.678,67.14,67.538,67.952,68.344,68.231,69.054,69.822,70.589,70.591,70.683,71.388,71.927,72.864,72.225,72.458,72.192,73.549,73.457,73.663,74.278,75.224,77.438,77.711,78.747,78.015,78.859,79.136,79.232,78.998,80.207,81.434,82.235,81.871,81.736,82.351,82.684,83.992,83.774,84.518,84.33,86.065,86.829,87.611,88.212,88.664,88.342,87.791,87.258,87.013,87.1,86.929,87.187,86.772,86.89,87.895,89.064,89.928,90.169,90.283,90.342,91.373,91.73,92.666,93.192,94.402,95.16,94.907,94.91,95.425,96.662,97.723,98.67,98.945,100.187,100.934,101.579,101.05,99.959,99.458,99.433,101.15,101.67,102.614,102.101,103.458,104.294,105.658,106.151,106.099,107.673,109.598,110.403,110.412,111.261,111.523,111.971
"46","38","        Entertainment, literary, and artistic originals","Y020RG3",24.744,25.115,25.708,26.107,26.839,27.149,27.643,28.238,28.999,29.187,29.349,29.408,30.091,30.491,30.771,30.89,31.317,31.539,31.772,32.048,32.551,33.089,33.791,34.654,35.26,36.619,37.084,37.639,37.775,38.374,38.929,39.403,39.586,39.993,40.451,40.865,42.175,42.905,43.625,44.216,44.294,44.991,45.366,46.093,46.271,46.824,47.869,48.615,49.611,49.733,50.464,51.271,51.359,51.906,52.559,52.909,53.872,54.541,55.192,55.581,55.652,56.636,57.71,58.053,58.992,59.465,60.127,60.392,61.627,61.968,62.598,63.073,63.453,64.244,65.316,66.362,66.896,66.996,67.772,68.171,69.822,70.712,72.197,72.541,73.204,74.409,75.419,75.597,77.559,78.85,79.453,79.545,79.15,79.529,80.029,80.569,80.58,80.838,81.111,81.772,82.677,82.981,83.334,83.947,84.407,85.068,86.058,86.706,87.058,88.077,88.246,88.202,88.962,88.752,89.025,88.89,90.761,88.726,88.058,88.659,90.16,91,91.18,92.442,93.097,93.477,93.905,94.583,95.112,95.243,95.08,95.333,94.606,95.562,95.925,95.994,96.44,96.568,96.746,96.811,97.285,97.697,97.41,97.272,97.649,97.986,98.143,97.936,98.069,98.565,98.901,99.625,100.8,100.571,99.409,99.801,99.925,99.775,100.363,100.486,100.469,99.163,100.342,100.026,99.096,99.406,99.824,99.296,99.402,99.342,98.796,98.23,98.864,99.155,99.734,99.726,99.488,99.227,99.948
