"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"60","41","    Nonfarm","A015RC1","1,639.0","1,480.0","-441.0","2,280.0","2,366.0","3,027.0","3,732.0","2,857.0","592.0","-3,996.0","-423.0","-4,527.0","2,164.0","4,165.0","3,697.0","13,392.0","9,214.0","13,848.0","8,972.0","3,611.0","3,760.0","-3,403.0","3,358.0","4,818.0","3,118.0","4,261.0","1,647.0","-4,130.0","-2,814.0","-3,166.0","-2,791.0","220.0","3,927.0","5,739.0","5,618.0","6,924.0","6,416.0","5,043.0","4,319.0","3,874.0","1,905.0","2,000.0","2,311.0","-3,475.0","-6,258.0","-5,832.0","-674.0","3,422.0","4,156.0","9,212.0","2,636.0","5,912.0","10,588.0","2,352.0","3,344.0","-5,564.0","-3,120.0","1,188.0","5,720.0","4,588.0","7,884.0","5,232.0","5,948.0","3,008.0","4,948.0","4,752.0","6,360.0","4,456.0","5,760.0","5,664.0","6,476.0","6,100.0","11,196.0","7,420.0","8,504.0","6,580.0","13,232.0","13,972.0","12,408.0","16,932.0","13,676.0","4,192.0","8,736.0","9,320.0","5,404.0","9,828.0","7,456.0","8,036.0","9,736.0","7,844.0"
"61","42","Net exports of goods and services","A019RC1","10,875.0","11,294.0","11,770.0","9,289.0","7,293.0","5,205.0","4,949.0","4,501.0","6,478.0","6,283.0","5,179.0","2,999.0","2,203.0","1,643.0","-740.0","-154.0","177.0","1,943.0","3,742.0","4,190.0","3,721.0","1,951.0","-4.0","-1,013.0","-667.0","-1,251.0","-552.0","-335.0","-356.0","254.0","574.0","1,145.0","1,104.0","-155.0","724.0","240.0","440.0","1,909.0","2,569.0","4,527.0","4,819.0","4,099.0","3,997.0","3,388.0","1,079.0","471.0","856.0","-260.0","405.0","12.0","598.0","574.0","2,717.0","4,159.0","4,165.0","5,774.0","5,797.0","5,533.0","3,909.0","4,416.0","3,950.0","5,800.0","3,839.0","2,813.0","3,884.0","6,533.0","3,915.0","5,423.0","7,264.0","7,071.0","6,376.0","6,948.0","4,600.0","7,456.0","4,901.0","5,513.0","4,416.0","5,232.0","2,206.0","3,596.0","4,563.0","4,520.0","2,896.0","2,239.0","1,099.0","1,942.0","1,288.0","1,067.0","171.0","1,244.0"
"62","43","  Exports","B020RC1","18,394.0","19,497.0","19,433.0","17,636.0","16,917.0","15,241.0","15,405.0","14,625.0","16,082.0","15,647.0","14,115.0","12,091.0","11,704.0","11,872.0","12,293.0","13,531.0","15,043.0","17,121.0","18,052.0","18,180.0","18,679.0","16,581.0","15,246.0","15,329.0","15,128.0","15,196.0","15,755.0","15,172.0","14,424.0","16,438.0","15,878.0","16,605.0","17,273.0","16,942.0","18,145.0","18,349.0","19,365.0","20,882.0","21,822.0","23,068.0","24,919.0","24,369.0","23,759.0","23,022.0","20,534.0","20,546.0","20,595.0","20,563.0","21,801.0","22,556.0","23,466.0","23,078.0","26,005.0","27,614.0","27,044.0","27,516.0","27,455.0","27,432.0","27,235.0","28,286.0","28,264.0","30,684.0","28,950.0","28,363.0","29,069.0","32,423.0","30,619.0","32,187.0","34,242.0","34,797.0","34,805.0","36,233.0","33,057.0","39,135.0","36,931.0","39,461.0","39,406.0","41,472.0","40,377.0","42,425.0","43,995.0","43,540.0","42,439.0","43,892.0","45,498.0","47,358.0","49,529.0","49,238.0","43,974.0","53,915.0"
"63","44","    Goods","A253RC1","15,728.0","16,732.0","16,792.0","15,136.0","14,576.0","13,004.0","13,128.0","12,352.0","13,676.0","13,168.0","11,884.0","10,124.0","9,624.0","9,752.0","10,180.0","11,256.0","12,508.0","14,308.0","15,096.0","15,060.0","15,416.0","13,440.0","12,400.0","12,540.0","12,132.0","12,308.0","12,864.0","12,344.0","11,588.0","13,620.0","12,900.0","13,608.0","14,180.0","13,800.0","14,780.0","14,936.0","15,900.0","17,196.0","18,052.0","19,076.0","20,640.0","20,084.0","19,416.0","18,108.0","16,560.0","16,328.0","16,448.0","16,320.0","15,552.0","15,908.0","17,504.0","16,868.0","19,540.0","20,464.0","20,928.0","20,880.0","21,200.0","20,052.0","20,996.0","21,540.0","21,192.0","22,256.0","22,264.0","21,120.0","21,288.0","23,444.0","23,756.0","24,864.0","26,124.0","25,996.0","26,928.0","27,812.0","24,364.0","28,820.0","27,912.0","30,064.0","30,360.0","30,092.0","30,600.0","31,892.0","32,476.0","32,264.0","31,644.0","32,312.0","33,560.0","34,908.0","36,632.0","35,944.0","31,640.0","39,948.0"
"64","45","    Services","A646RC1","2,666.0","2,765.0","2,641.0","2,500.0","2,341.0","2,237.0","2,277.0","2,273.0","2,406.0","2,479.0","2,231.0","1,967.0","2,080.0","2,120.0","2,113.0","2,275.0","2,535.0","2,813.0","2,956.0","3,120.0","3,263.0","3,141.0","2,846.0","2,789.0","2,996.0","2,888.0","2,891.0","2,828.0","2,836.0","2,818.0","2,978.0","2,997.0","3,093.0","3,142.0","3,365.0","3,413.0","3,465.0","3,686.0","3,770.0","3,992.0","4,279.0","4,285.0","4,343.0","4,914.0","3,974.0","4,218.0","4,147.0","4,243.0","6,249.0","6,648.0","5,962.0","6,210.0","6,465.0","7,150.0","6,116.0","6,636.0","6,255.0","7,380.0","6,239.0","6,746.0","7,072.0","8,428.0","6,686.0","7,243.0","7,781.0","8,979.0","6,863.0","7,323.0","8,118.0","8,801.0","7,877.0","8,421.0","8,693.0","10,315.0","9,019.0","9,397.0","9,046.0","11,380.0","9,777.0","10,533.0","11,519.0","11,276.0","10,795.0","11,580.0","11,938.0","12,450.0","12,897.0","13,294.0","12,334.0","13,967.0"
"65","46","  Imports","B021RC1","7,519.0","8,203.0","7,663.0","8,347.0","9,624.0","10,036.0","10,456.0","10,124.0","9,604.0","9,364.0","8,936.0","9,092.0","9,501.0","10,229.0","13,033.0","13,685.0","14,866.0","15,178.0","14,310.0","13,990.0","14,958.0","14,630.0","15,250.0","16,342.0","15,795.0","16,447.0","16,307.0","15,507.0","14,780.0","16,184.0","15,304.0","15,460.0","16,169.0","17,097.0","17,421.0","18,109.0","18,925.0","18,973.0","19,253.0","18,541.0","20,100.0","20,270.0","19,762.0","19,634.0","19,455.0","20,075.0","19,739.0","20,823.0","21,396.0","22,544.0","22,868.0","22,504.0","23,288.0","23,455.0","22,879.0","21,742.0","21,658.0","21,899.0","23,326.0","23,870.0","24,314.0","24,884.0","25,111.0","25,550.0","25,185.0","25,890.0","26,704.0","26,764.0","26,978.0","27,726.0","28,429.0","29,285.0","28,457.0","31,679.0","32,030.0","33,948.0","34,990.0","36,240.0","38,171.0","38,829.0","39,432.0","39,020.0","39,543.0","41,653.0","44,399.0","45,416.0","48,241.0","48,171.0","43,803.0","52,671.0"
"66","47","    Goods","A255RC1","5,612.0","6,292.0","5,828.0","6,160.0","7,340.0","7,644.0","7,708.0","7,536.0","7,164.0","6,852.0","6,620.0","6,860.0","7,184.0","7,808.0","10,464.0","10,868.0","11,772.0","12,040.0","10,808.0","10,084.0","10,696.0","10,604.0","10,768.0","11,284.0","10,988.0","11,516.0","11,152.0","10,244.0","9,976.0","11,048.0","10,224.0","10,164.0","11,104.0","11,232.0","11,296.0","12,476.0","13,020.0","12,692.0","12,620.0","12,880.0","13,188.0","13,376.0","13,060.0","13,540.0","12,580.0","12,668.0","12,780.0","13,780.0","14,484.0","15,532.0","15,796.0","15,428.0","15,700.0","15,888.0","15,056.0","14,236.0","14,064.0","14,256.0","15,760.0","16,132.0","16,440.0","16,920.0","17,084.0","17,032.0","16,916.0","17,568.0","18,152.0","18,216.0","18,344.0","19,080.0","19,720.0","20,424.0","19,552.0","22,436.0","22,808.0","24,192.0","24,852.0","25,612.0","27,160.0","27,712.0","27,704.0","26,796.0","27,012.0","29,532.0","32,116.0","33,152.0","35,408.0","35,108.0","30,772.0","39,116.0"
"67","48","    Services","B656RC1","1,907.0","1,911.0","1,835.0","2,187.0","2,284.0","2,392.0","2,748.0","2,588.0","2,440.0","2,512.0","2,316.0","2,232.0","2,317.0","2,421.0","2,569.0","2,817.0","3,094.0","3,138.0","3,502.0","3,906.0","4,262.0","4,026.0","4,482.0","5,058.0","4,807.0","4,931.0","5,155.0","5,263.0","4,804.0","5,136.0","5,080.0","5,296.0","5,065.0","5,865.0","6,125.0","5,633.0","5,905.0","6,281.0","6,633.0","5,661.0","6,912.0","6,894.0","6,702.0","6,094.0","6,875.0","7,407.0","6,959.0","7,043.0","6,912.0","7,012.0","7,072.0","7,076.0","7,588.0","7,567.0","7,823.0","7,506.0","7,594.0","7,643.0","7,566.0","7,738.0","7,874.0","7,964.0","8,027.0","8,518.0","8,269.0","8,322.0","8,552.0","8,548.0","8,634.0","8,646.0","8,709.0","8,861.0","8,905.0","9,243.0","9,222.0","9,756.0","10,138.0","10,628.0","11,011.0","11,117.0","11,728.0","12,224.0","12,531.0","12,121.0","12,283.0","12,264.0","12,833.0","13,063.0","13,031.0","13,555.0"
"68","49","Government consumption expenditures and gross investment","A822RC1","36,265.0","36,567.0","36,324.0","36,197.0","37,525.0","39,675.0","41,370.0","43,440.0","45,538.0","47,262.0","47,147.0","46,590.0","45,527.0","46,035.0","45,844.0","49,451.0","57,336.0","64,702.0","72,581.0","77,598.0","79,145.0","83,031.0","84,847.0","87,315.0","89,634.0","91,779.0","90,248.0","90,394.0","88,541.0","86,198.0","84,812.0","84,972.0","85,393.0","86,014.0","87,617.0","86,742.0","88,179.0","91,446.0","91,507.0","94,348.0","98,129.0","98,416.0","99,834.0","102,257.0","101,811.0","105,415.0","106,925.0","109,682.0","108,832.0","110,165.0","110,990.0","109,991.0","108,241.0","109,515.0","113,348.0","115,089.0","116,670.0","117,587.0","120,135.0","123,604.0","127,121.0","128,283.0","131,784.0","133,165.0","133,145.0","133,396.0","138,963.0","139,900.0","141,331.0","142,869.0","144,389.0","144,265.0","144,856.0","147,378.0","153,994.0","159,558.0","163,573.0","167,875.0","175,494.0","179,580.0","188,472.0","189,553.0","193,792.0","198,215.0","204,140.0","207,597.0","210,949.0","214,561.0","216,549.0","219,386.0"
"69","50","  Federal","A823RC1","23,292.0","23,192.0","22,344.0","21,532.0","22,356.0","23,744.0","24,568.0","25,956.0","27,520.0","28,520.0","27,656.0","26,856.0","25,488.0","25,680.0","24,872.0","27,848.0","35,200.0","41,796.0","49,140.0","53,892.0","55,348.0","58,436.0","60,436.0","62,364.0","63,880.0","66,152.0","63,940.0","63,496.0","60,756.0","57,664.0","55,320.0","55,176.0","54,580.0","54,676.0","55,800.0","54,348.0","54,692.0","57,084.0","56,388.0","58,512.0","61,016.0","60,440.0","61,152.0","62,652.0","61,184.0","63,840.0","64,192.0","65,996.0","64,288.0","65,428.0","66,212.0","65,376.0","62,420.0","62,352.0","65,268.0","66,272.0","66,020.0","66,804.0","68,568.0","70,172.0","73,372.0","73,904.0","76,612.0","77,048.0","75,504.0","74,908.0","78,780.0","78,388.0","78,616.0","78,400.0","78,912.0","77,808.0","77,100.0","77,500.0","81,540.0","85,476.0","87,552.0","89,968.0","95,580.0","96,548.0","103,028.0","102,740.0","105,444.0","107,284.0","110,148.0","110,620.0","111,704.0","112,580.0","112,144.0","111,988.0"
"70","51","    National defense","A824RC1","19,388.0","18,112.0","17,484.0","17,628.0","17,908.0","17,936.0","18,012.0","19,032.0","19,996.0","20,244.0","19,968.0","18,920.0","18,080.0","17,992.0","19,460.0","22,492.0","29,556.0","35,908.0","43,416.0","47,992.0","48,484.0","51,904.0","53,516.0","55,352.0","56,116.0","56,792.0","55,684.0","55,016.0","52,080.0","49,932.0","47,924.0","46,720.0","46,964.0","46,456.0","47,624.0","46,636.0","47,184.0","49,260.0","49,320.0","51,080.0","52,724.0","53,368.0","54,256.0","54,080.0","54,132.0","55,144.0","55,752.0","56,428.0","54,180.0","53,236.0","54,200.0","53,648.0","52,632.0","52,020.0","54,344.0","54,396.0","55,548.0","55,416.0","56,864.0","58,208.0","60,760.0","60,336.0","61,748.0","61,496.0","60,520.0","59,928.0","61,720.0","61,688.0","61,084.0","59,932.0","60,592.0","59,356.0","58,256.0","58,284.0","61,104.0","64,768.0","66,996.0","68,416.0","74,676.0","76,536.0","80,908.0","81,976.0","84,968.0","85,908.0","88,484.0","89,472.0","89,320.0","89,700.0","88,892.0","88,336.0"
"71","52","      Consumption expenditures","A997RC1","18,776.0","17,520.0","16,268.0","16,252.0","16,132.0","15,996.0","16,112.0","16,824.0","17,276.0","17,176.0","16,832.0","16,132.0","16,076.0","15,988.0","17,000.0","19,528.0","24,500.0","28,256.0","32,944.0","34,628.0","35,532.0","38,744.0","39,848.0","41,412.0","41,260.0","41,208.0","40,680.0","41,648.0","38,332.0","37,272.0","36,804.0","35,816.0","36,676.0","35,436.0","37,764.0","37,488.0","37,264.0","39,400.0","38,108.0","40,124.0","42,092.0","43,300.0","43,568.0","43,536.0","43,672.0","44,600.0","43,808.0","44,084.0","39,812.0","39,724.0","40,328.0","40,572.0","40,028.0","40,216.0","41,652.0","42,100.0","41,744.0","42,040.0","42,880.0","43,948.0","45,976.0","46,128.0","46,936.0","47,212.0","47,684.0","47,480.0","48,368.0","49,760.0","49,204.0","48,472.0","49,320.0","48,104.0","47,876.0","48,512.0","50,900.0","54,944.0","55,728.0","57,916.0","62,344.0","63,584.0","67,264.0","69,264.0","70,748.0","72,456.0","75,896.0","77,100.0","77,144.0","78,224.0","75,748.0","77,588.0"
"72","53","      Gross investment","A788RC1","612.0","592.0","1,216.0","1,376.0","1,776.0","1,940.0","1,900.0","2,208.0","2,720.0","3,068.0","3,136.0","2,788.0","2,004.0","2,004.0","2,460.0","2,964.0","5,056.0","7,652.0","10,472.0","13,364.0","12,952.0","13,160.0","13,668.0","13,940.0","14,856.0","15,584.0","15,004.0","13,368.0","13,748.0","12,660.0","11,120.0","10,904.0","10,288.0","11,020.0","9,860.0","9,148.0","9,920.0","9,860.0","11,212.0","10,956.0","10,632.0","10,068.0","10,688.0","10,544.0","10,460.0","10,544.0","11,944.0","12,344.0","14,368.0","13,512.0","13,872.0","13,076.0","12,604.0","11,804.0","12,692.0","12,296.0","13,804.0","13,376.0","13,984.0","14,260.0","14,784.0","14,208.0","14,812.0","14,284.0","12,836.0","12,448.0","13,352.0","11,928.0","11,880.0","11,460.0","11,272.0","11,252.0","10,380.0","9,772.0","10,204.0","9,824.0","11,268.0","10,500.0","12,332.0","12,952.0","13,644.0","12,712.0","14,220.0","13,452.0","12,588.0","12,372.0","12,176.0","11,476.0","13,144.0","10,748.0"
"73","54","    Nondefense","A825RC1","3,904.0","5,080.0","4,860.0","3,904.0","4,448.0","5,808.0","6,556.0","6,924.0","7,524.0","8,276.0","7,688.0","7,936.0","7,408.0","7,688.0","5,412.0","5,356.0","5,644.0","5,888.0","5,724.0","5,900.0","6,864.0","6,532.0","6,920.0","7,012.0","7,764.0","9,360.0","8,256.0","8,480.0","8,676.0","7,732.0","7,396.0","8,456.0","7,616.0","8,220.0","8,176.0","7,712.0","7,508.0","7,824.0","7,068.0","7,432.0","8,292.0","7,072.0","6,896.0","8,572.0","7,052.0","8,696.0","8,440.0","9,568.0","10,108.0","12,192.0","12,012.0","11,728.0","9,788.0","10,332.0","10,924.0","11,876.0","10,472.0","11,388.0","11,704.0","11,964.0","12,612.0","13,568.0","14,864.0","15,552.0","14,984.0","14,980.0","17,060.0","16,700.0","17,532.0","18,468.0","18,320.0","18,452.0","18,844.0","19,216.0","20,436.0","20,708.0","20,556.0","21,552.0","20,904.0","20,012.0","22,120.0","20,764.0","20,476.0","21,376.0","21,664.0","21,148.0","22,384.0","22,880.0","23,252.0","23,652.0"
"74","55","      Consumption expenditures","A542RC1","2,900.0","4,060.0","4,256.0","3,304.0","3,388.0","4,936.0","5,588.0","5,652.0","6,424.0","7,136.0","6,152.0","6,008.0","5,928.0","6,016.0","3,596.0","4,008.0","4,232.0","4,364.0","4,404.0","4,072.0","5,236.0","4,996.0","5,404.0","5,460.0","6,404.0","7,948.0","6,880.0","7,116.0","7,492.0","6,300.0","6,232.0","7,396.0","6,624.0","7,348.0","7,440.0","6,864.0","6,592.0","6,704.0","5,752.0","6,144.0","7,012.0","5,708.0","5,452.0","7,164.0","5,428.0","7,140.0","6,796.0","7,888.0","8,448.0","10,452.0","10,368.0","10,080.0","8,060.0","8,368.0","8,892.0","9,620.0","8,076.0","9,100.0","9,292.0","9,360.0","9,976.0","10,756.0","11,928.0","12,344.0","11,824.0","11,616.0","13,428.0","12,920.0","13,532.0","14,444.0","14,100.0","14,012.0","14,408.0","14,576.0","15,736.0","15,836.0","15,524.0","16,596.0","15,984.0","15,296.0","17,760.0","16,712.0","16,368.0","17,252.0","17,696.0","17,288.0","18,676.0","19,148.0","19,584.0","19,964.0"
"75","56","      Gross investment","A798RC1","1,004.0","1,020.0","604.0","600.0","1,060.0","872.0","968.0","1,272.0","1,100.0","1,140.0","1,536.0","1,928.0","1,480.0","1,672.0","1,816.0","1,348.0","1,412.0","1,524.0","1,320.0","1,828.0","1,628.0","1,536.0","1,516.0","1,552.0","1,360.0","1,412.0","1,376.0","1,364.0","1,184.0","1,432.0","1,164.0","1,060.0","992.0","872.0","736.0","848.0","916.0","1,120.0","1,316.0","1,288.0","1,280.0","1,364.0","1,444.0","1,408.0","1,624.0","1,556.0","1,644.0","1,680.0","1,660.0","1,740.0","1,644.0","1,648.0","1,728.0","1,964.0","2,032.0","2,256.0","2,396.0","2,288.0","2,412.0","2,604.0","2,636.0","2,812.0","2,936.0","3,208.0","3,160.0","3,364.0","3,632.0","3,780.0","4,000.0","4,024.0","4,220.0","4,440.0","4,436.0","4,640.0","4,700.0","4,872.0","5,032.0","4,956.0","4,920.0","4,716.0","4,360.0","4,052.0","4,108.0","4,124.0","3,968.0","3,860.0","3,708.0","3,732.0","3,668.0","3,688.0"
"76","57","  State and local","A829RC1","12,973.0","13,375.0","13,980.0","14,665.0","15,169.0","15,931.0","16,802.0","17,484.0","18,018.0","18,742.0","19,491.0","19,734.0","20,039.0","20,355.0","20,972.0","21,603.0","22,136.0","22,906.0","23,441.0","23,706.0","23,797.0","24,595.0","24,411.0","24,951.0","25,754.0","25,627.0","26,308.0","26,898.0","27,785.0","28,534.0","29,492.0","29,796.0","30,813.0","31,338.0","31,817.0","32,394.0","33,487.0","34,362.0","35,119.0","35,836.0","37,113.0","37,976.0","38,682.0","39,605.0","40,627.0","41,575.0","42,733.0","43,686.0","44,544.0","44,737.0","44,778.0","44,615.0","45,821.0","47,163.0","48,080.0","48,817.0","50,650.0","50,783.0","51,567.0","53,432.0","53,749.0","54,379.0","55,172.0","56,117.0","57,641.0","58,488.0","60,183.0","61,512.0","62,715.0","64,469.0","65,477.0","66,457.0","67,756.0","69,878.0","72,454.0","74,082.0","76,021.0","77,907.0","79,914.0","83,032.0","85,444.0","86,813.0","88,348.0","90,931.0","93,992.0","96,977.0","99,245.0","101,981.0","104,405.0","107,398.0"
"77","58","    Consumption expenditures","A991RC1","10,332.0","10,694.0","11,088.0","11,515.0","11,757.0","12,045.0","12,540.0","12,969.0","13,273.0","13,429.0","13,846.0","14,070.0","14,492.0","14,680.0","15,017.0","15,332.0","15,630.0","15,852.0","16,243.0","16,596.0","16,522.0","17,320.0","17,122.0","17,504.0","18,034.0","17,999.0","18,383.0","18,532.0","18,937.0","19,423.0","20,102.0","20,368.0","21,094.0","21,336.0","21,667.0","22,126.0","22,554.0","23,097.0","23,751.0","24,353.0","24,787.0","25,495.0","26,203.0","26,812.0","27,601.0","28,412.0","28,988.0","29,486.0","30,046.0","30,485.0","30,948.0","31,509.0","32,465.0","33,392.0","33,829.0","34,505.0","35,490.0","36,484.0","36,770.0","37,497.0","38,133.0","38,745.0","39,183.0","39,876.0","40,663.0","41,474.0","42,324.0","43,305.0","44,371.0","45,329.0","46,214.0","47,247.0","48,339.0","49,514.0","50,865.0","52,060.0","53,659.0","55,185.0","56,895.0","58,663.0","59,999.0","61,531.0","63,519.0","65,251.0","67,425.0","69,195.0","71,296.0","73,610.0","75,858.0","78,443.0"
"78","59","    Gross investment","A799RC1","2,641.0","2,681.0","2,892.0","3,150.0","3,412.0","3,886.0","4,262.0","4,515.0","4,745.0","5,313.0","5,645.0","5,664.0","5,547.0","5,675.0","5,955.0","6,271.0","6,506.0","7,054.0","7,198.0","7,110.0","7,275.0","7,275.0","7,289.0","7,447.0","7,720.0","7,628.0","7,925.0","8,366.0","8,848.0","9,111.0","9,390.0","9,428.0","9,719.0","10,002.0","10,150.0","10,268.0","10,933.0","11,265.0","11,368.0","11,483.0","12,326.0","12,481.0","12,479.0","12,793.0","13,026.0","13,163.0","13,745.0","14,200.0","14,498.0","14,252.0","13,830.0","13,106.0","13,356.0","13,771.0","14,251.0","14,312.0","15,160.0","14,299.0","14,797.0","15,935.0","15,616.0","15,634.0","15,989.0","16,241.0","16,978.0","17,014.0","17,859.0","18,207.0","18,344.0","19,140.0","19,263.0","19,210.0","19,417.0","20,364.0","21,589.0","22,022.0","22,362.0","22,722.0","23,019.0","24,369.0","25,445.0","25,282.0","24,829.0","25,680.0","26,567.0","27,782.0","27,949.0","28,371.0","28,547.0","28,955.0"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","4. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
