"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"50","42","S4 QN7221ZZMG   Full-service restaurants","T060420",9644,9491,9370,9125,9103,8820,8915,8975,9044,9175,9497,9408,9302,9315,9277,9426,9472,9619,9507,9737,9895,9768,9694,9685,9466,9946,10121,9977,9961,10084,10120,9992,10041,10029,9996,10106,10052,9805,9899,10000,10055,10050,10234,10137,9969,9953,9976,9960,9879,9992,10107,10145,10172,10138,10194,10306,10493,10506,10677,10527,10875,10858,10881,10821,10851,10792,11048,11116,11100,10997,10796,11083,10980,11093,11080,11030,11072,11222,11054,11057,11120,11160,11205,11424,11205,11248,11222,11405,11364,11347,11262,11318,11426,11589,11525,11444,11658,11751,11978,11919,11742,11648,11756,11575,11834,11862,11752,11521,11779,11774,11670,11599,11700,11788,11832,11973,11523,11457,11570,12298,12120,12036,11952,12058,11974,12001,11944,11912,11881,11845,11966,12247,11932,11803,12022,12016,12256,12329,12313,12496,12300,12423,12542,12466,12728,12689,12734,12613,12679,12693,12800,12592,13017,13100,13010,13185,13108,13291,13152,13398,13304,13286,13262,13278,13391,13593,13672,13848,14148
"51","43","S4 QN7222ZZMG   Limited-service eating places","T060430",9005,9067,9001,9025,9049,9002,9077,9267,9229,9387,9536,9530,9703,9599,9598,9737,9727,9816,9761,9851,9972,9797,9872,9871,9373,9829,9875,9870,9938,10054,10143,10076,10163,10237,10259,10238,10273,10187,10244,10269,10255,10174,10133,10339,10344,10314,10269,10406,10339,10361,10360,10343,10408,10397,10400,10253,10180,10269,10307,10299,10176,10326,10307,10374,10344,10485,10416,10405,10354,10299,10280,10290,10488,10509,10643,10739,10814,10769,10797,10911,10944,10986,11021,11075,10882,11048,10926,10887,11003,10956,10923,10946,11024,11215,11244,11401,11453,11434,11527,11549,11523,11667,11586,11598,11600,11632,11605,11542,12043,12003,11934,11864,11849,11800,11913,11912,11575,11836,11746,11947,11986,12045,11968,12128,12028,12065,12112,12119,12114,11988,12044,11978,12287,12121,12292,12334,12477,12577,12567,12703,12597,13008,13075,12992,13079,13210,13487,13415,13372,13418,13475,13443,13527,13529,13620,13796,13701,13831,13682,13863,13904,13876,13878,13951,13933,13985,14171,14173,14648
"52","44","S4 QN7223ZZMG   Special food Services","T060440",1886,1861,1835,1776,1749,1689,1678,1720,1746,1751,1796,1781,1794,1763,1745,1765,1795,1784,1764,1791,1835,1819,1812,1812,1754,1814,1826,1825,1819,1849,1909,1863,1804,1801,1789,1813,1777,1704,1784,1888,1834,1855,1814,1827,1827,1861,1811,1771,1789,1810,1848,1843,1836,1745,1812,1817,1833,1848,1873,1914,2028,1903,1886,1873,1845,1889,1920,1926,1995,1942,1907,1975,1951,1973,1964,1976,1979,1997,1979,1975,1989,2031,2049,2096,2051,2054,2057,2057,2107,2123,2138,2138,2082,2132,2196,2284,2294,2275,2313,2251,2265,2229,2377,2291,2280,2220,2214,2276,2414,2275,2293,2350,2354,2306,2219,2193,2186,2204,2150,2024,2216,2228,2234,2257,2190,2233,2180,2190,2251,2214,2233,2221,2185,2213,2224,2149,2214,2186,2271,2421,2246,2300,2315,2162,2269,2245,2243,2237,2260,2275,2301,2251,2207,2362,2325,2367,2362,2309,2322,2443,2348,2364,2386,2349,2530,2448,2479,2518,2575
"53","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",1486,1441,1406,1349,1315,1305,1298,1301,1314,1310,1337,1324,1310,1301,1294,1317,1314,1313,1346,1315,1295,1280,1265,1215,1233,1252,1277,1242,1249,1238,1212,1214,1218,1210,1214,1217,1229,1224,1225,1248,1254,1248,1275,1275,1332,1306,1310,1316,1289,1286,1289,1266,1268,1280,1279,1269,1289,1270,1282,1312,1281,1247,1247,1273,1269,1282,1303,1315,1294,1304,1289,1272,1290,1312,1309,1290,1305,1315,1317,1311,1310,1310,1310,1324,1267,1336,1365,1350,1328,1332,1296,1295,1316,1346,1349,1374,1388,1406,1457,1428,1423,1398,1393,1376,1340,1323,1307,1330,1347,1331,1328,1321,1304,1318,1342,1372,1389,1398,1397,1414,1401,1389,1376,1381,1391,1405,1423,1356,1337,1348,1351,1356,1370,1352,1405,1418,1434,1420,1439,1485,1450,1479,1486,1449,1519,1528,1526,1520,1541,1551,1540,1553,1578,1575,1557,1543,1553,1556,1555,1590,1585,1584,1589,1598,1605,1592,1585,1585,1658
"54",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",151375,150743,149908,149981,150133,150026,150117,151333,151972,152700,153136,154434,155214,154123,152773,154474,156196,156861,157870,157721,159382,158901,159829,160308,159638,161791,163875,164136,164316,165741,165908,167235,167703,169103,168981,169965,170568,168818,169609,169691,170998,171626,172390,172474,173654,172884,175126,176320,173913,175945,176994,178241,178584,180049,180185,180648,181505,182541,182603,182794,182766,184264,185435,184872,184763,186751,188285,188432,189356,189396,190218,190407,191877,193560,194896,195865,196646,198080,198928,199739,200634,202308,204368,205771,206198,208964,209854,208598,210600,210696,210767,212208,213481,214548,216857,220927,218491,219702,222232,220655,221820,221286,222544,223534,224732,225418,225302,226195,227431,227237,226059,228651,228417,227411,229007,230844,226269,230922,232452,235358,236179,237172,236333,238219,237455,238248,238295,238315,238018,240074,240971,241824,243240,240125,242841,242948,245685,249062,251440,254143,252952,254549,256795,257067,259345,258732,262729,261053,262284,262576,265250,265820,268485,269218,271012,273076,275145,275924,274666,277233,278182,281455,281876,283563,282820,285358,288678,289807,294672
"56","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",129654,129167,128564,128926,129124,129366,129323,130261,130828,131292,131247,132631,133337,132380,131110,132492,134130,134588,135719,135290,136660,136480,137411,137934,137940,139167,140993,141411,141541,142717,142738,144257,144644,145979,145875,146742,147376,146014,146588,146443,147740,148423,149061,149036,150298,149570,151846,152944,150709,152576,153476,154713,154973,156533,156552,157047,157762,158693,158529,158799,158488,159995,161165,160590,160509,162351,163650,163727,164662,164891,165961,165819,167194,168701,169924,170852,171498,172795,173795,174498,175284,176830,178789,179860,180795,183280,184286,182905,184799,184938,185145,186509,187631,188265,190541,194419,191699,192838,194958,193509,194868,194343,195429,196693,197676,198378,198423,199529,199842,199850,198832,201525,201214,200200,201703,203400,199609,204063,205641,207693,208478,209506,208840,210429,209917,210586,210682,210791,210488,212770,213459,214093,215556,212717,214969,215104,217361,220637,222960,225124,224484,225418,227461,228128,229848,229144,232838,231365,232539,232739,235251,236136,238290,238770,240649,242320,244605,245101,244136,246085,247216,250578,250993,252639,251570,253964,257009,257909,261817
"57","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores\1\","T060480",42045,42503,42376,42559,42475,42808,42637,43170,43461,43652,43819,45047,45232,44433,44207,45196,45736,46031,46553,46297,46689,46882,47183,47446,47242,48359,48996,48884,48625,49300,49453,50305,50419,51419,51501,52006,52042,51079,51746,51703,52431,53021,53341,53017,54082,53309,54388,54486,53354,54504,54864,55613,55751,56186,56405,57111,57197,57591,57328,57925,57589,58051,58213,58133,58199,58793,59576,60223,60201,60712,61222,61304,62080,62928,63190,63464,63684,64611,64655,64890,65439,66237,66973,67326,68315,69371,70242,69768,70692,71372,71467,72107,72915,73033,73336,74646,74013,75158,76296,76157,76924,76621,77404,77693,78765,78323,78057,77887,79299,78895,78235,79364,79658,79746,80564,81441,79869,81676,82995,84527,84210,85057,84940,85471,85104,85841,85364,85846,85489,87625,87589,88173,88157,87708,89025,89206,90844,92065,92958,94931,94879,94487,95402,96255,97562,97421,98596,97439,98451,98194,99726,99589,100737,101344,101466,102213,103215,104515,103544,105172,105069,106688,106958,107521,108061,109349,109642,109848,112816
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Includes industries QN442ZZZMG, QN443ZZZMG, QN448ZZZMG, QN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","QN452ZZZMG, and QN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
